sep=	
DetectorAtFocus_RN	DetectorAtFocus_RS	DetectorAtFocus_RO	DetectorAtFocus_OX	DetectorAtFocus_OY	DetectorAtFocus_OZ	DetectorAtFocus_DX	DetectorAtFocus_DY	DetectorAtFocus_DZ	DetectorAtFocus_EN	DetectorAtFocus_PL	DetectorAtFocus_S0	DetectorAtFocus_S1	DetectorAtFocus_S2	DetectorAtFocus_S3
4	2	1	0.0885026688832979	0.0210876988626388	0	-0.000633308349654795	0.000594659300849478	0.999999622650354	450.080274348381	1.75312291262389	3.35868e+13	2.91528e+13	3.33635e+10	-1.66788e+13
35	2	1	-0.0487882535245771	0.022663344918922	0	0.000514906223903889	-0.000195288562659823	0.999999848366968	450.079646598707	-1.27086619058969	3.27423e+13	3.20352e+13	-1.33183e+10	6.75922e+12
114	2	1	-0.0194368279790956	0.0201443912951149	0	0.000616845460062872	0.000804685253971399	0.999999485991529	450.027892803577	-1.55974071306764	3.4003e+13	2.66847e+13	4.10774e+10	-2.1074e+13
178	2	1	0.0283317585314466	-0.000756019675602126	0	-0.000815503879252643	-0.000641988900131448	0.999999461401693	449.967168711777	2.06171008530714	3.36532e+13	2.88282e+13	-3.52545e+10	1.73629e+13
184	2	1	0.160231135160766	0.0111606582309227	0	-0.000479479186945565	-0.00025422329003302	0.999999852735104	450.039247816416	2.05233109037363	3.26195e+13	3.23684e+13	-8.10681e+09	4.03292e+12
190	2	1	0.0379485195127643	-0.000655552776147594	0	0.000523690120329348	0.000679844226672603	0.999999631780175	449.956087133013	-1.00953516239178	3.39654e+13	2.69812e+13	4.0341e+10	-2.0631e+13
207	2	1	-0.0266923300233088	-0.0175520391706565	0	0.000740458560891996	0.000635494292412188	0.999999523933949	449.956317315698	-1.79500913329957	3.38386e+13	2.78523e+13	3.7448e+10	-1.9217e+13
236	2	1	0.0707505929609002	-0.0124209175983959	0	-5.50463233861404e-05	0.000637266982618651	0.999999795430327	449.970796679833	0.338830668693845	3.37982e+13	2.80903e+13	3.71903e+10	-1.8795e+13
238	2	1	0.138211281003376	-0.00956268519208958	0	-0.000631512920467113	0.000302687757220137	0.999999754785747	449.98156625847	2.0730312093151	3.29664e+13	3.13629e+13	2.03844e+10	-1.01564e+13
277	2	1	-0.0346195685461949	-0.0194868758725531	0	-0.000384096187003916	-6.97627653887499e-05	0.999999923801635	449.953542263377	0.604344091640542	3.25497e+13	3.25429e+13	-1.33498e+09	6.66155e+11
290	2	1	0.0495699625381778	-0.0169083226492126	0	-4.9163193865119e-05	-0.000983689418471927	0.999999514968936	449.939041303153	0.58273246511726	3.41123e+13	2.45265e+13	-4.75949e+10	2.37082e+13
323	2	1	0.0850840182523289	-0.0124971910126404	0	-0.000507866552294163	0.000870922509195193	0.999999491782645	449.998434445531	1.31285577476865	3.41094e+13	2.41805e+13	4.79211e+10	-2.40572e+13
325	2	1	0.230287010317013	-0.00700813690662339	0	-0.000432588490690939	0.00056110866437523	0.999999749012101	450.028360604192	2.18847795812212	3.36518e+13	2.88448e+13	3.45601e+10	-1.73283e+13
333	2	1	0.0893577041999607	0.0212874186485912	0	-0.000745083800962596	-0.000614501770473813	0.999999533618743	450.017253297103	2.30686473837113	3.38262e+13	2.79417e+13	-3.86362e+10	1.90649e+13
343	2	1	-0.0244570844139462	-0.00997109712651389	0	0.000352284562938515	0.000621338159561585	0.999999744917207	449.995458272898	-1.03250799943407	3.37524e+13	2.83435e+13	3.59771e+10	-1.8326e+13
385	2	1	0.136663465228284	0.0163940749832516	0	-0.000585848065411233	-1.26996564450941e-05	0.999999828310367	450.004435102544	2.09757657132695	3.25562e+13	3.25332e+13	-2.4619e+09	1.22499e+12
406	2	1	0.0061313721181856	0.00189742869625686	0	0.000472203884799109	-0.000632881817012807	0.999999688242	450.03802258224	-0.771087210120413	3.35161e+13	2.9444e+13	-3.17145e+10	1.60111e+13
407	2	1	0.113743168193741	0.0158952131084429	0	-0.000360542331851715	0.000677221681557417	0.999999705689967	450.077533414003	1.25807776713896	3.38946e+13	2.75345e+13	3.93143e+10	-1.97658e+13
