,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.orderDiffraction,Dipole.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.1,500,2,100000.0,1.191432847537555,7528820000000.0,3084.0,3.084,232188808800.0,0.17336111075246663,0.1394900141631165,0.04738106153227131
1,1,0.1,1000,2,100000.0,1.4245703315395712,7519730000000.0,9155.0,9.155,688431281500.0001,0.23612142617434984,0.13432453005879336,0.043063645452804576
2,2,0.1,1500,2,100000.0,1.7093389082243329,6934960000000.0,10647.0,10.647,738365191200.0,0.31545949095470854,0.11086519680442589,0.04253863141096875
3,3,0.1,2000,2,100000.0,2.064163904469712,6194530000000.0,9921.0,9.921,614559321300.0001,0.4086233901966807,0.11117528538297626,0.04343294484832525
4,4,0.1,2500,2,100000.0,2.5118137811320644,5437420000000.0,8833.0,8.833,480287308600.0,0.5263039910514635,0.10870953024038987,0.042188577815479994
5,5,0.1,3000,2,100000.0,3.0668427013872974,4720160000000.0,7738.0,7.738,365245980800.0,0.6386323300412187,0.13331983813540668,0.043243215570687166
6,6,0.1,3500,2,100000.0,3.797208992452417,4065910000000.0,6722.0,6.722,273310470200.00003,0.7762294786680286,0.10991357138392586,0.044401786343584826
7,7,0.1,4000,2,100000.0,4.645923194002247,3482280000000.0,5747.0,5.747,200126631600.0,0.9643225216059363,0.125353871514855,0.04300758627884784
8,8,0.1,4500,2,100000.0,5.546693824604396,2969180000000.0,5122.0,5.122,152081399600.0,1.1130428090145867,0.1164911095766256,0.04274065414403529
9,9,0.1,5000,2,100000.0,6.092590039420309,2522670000000.0,4882.0,4.882000000000001,123156749400.0,1.4121250167299877,0.1159619305836798,0.04454045345237724
