sep=	
DetectorAtFocus_RN	DetectorAtFocus_RS	DetectorAtFocus_RO	DetectorAtFocus_OX	DetectorAtFocus_OY	DetectorAtFocus_OZ	DetectorAtFocus_DX	DetectorAtFocus_DY	DetectorAtFocus_DZ	DetectorAtFocus_EN	DetectorAtFocus_PL	DetectorAtFocus_S0	DetectorAtFocus_S1	DetectorAtFocus_S2	DetectorAtFocus_S3
8	2	1	0.0493793847166247	-0.0191868402486161	0	-0.000298254021200265	-0.00042546714313654	0.999999865011116	1999.75579210329	0.95762297020292	2.74033e+13	2.49224e+13	1.55351e+10	1.13931e+13
31	2	1	-0.0311464511891228	0.0149840651856155	0	-0.000813645564314847	0.000633045511674361	0.999999468616997	2000.35663334393	1.43917244357203	2.53221e+13	1.92828e+13	-2.23181e+10	-1.64125e+13
38	2	1	-0.0299769878046553	-0.0109682800560048	0	0.00018365354793785	0.000529784295670417	0.999999842799975	1999.8664327196	-0.675056757728498	2.57809e+13	2.0756e+13	-2.08326e+10	-1.52919e+13
52	2	1	-0.00730985928110006	0.0175252722024828	0	-0.000432188227966827	0.000470768071187688	0.999999795795359	2000.30444738806	0.771735734926551	2.70905e+13	2.34907e+13	-1.83528e+10	-1.34936e+13
61	2	1	-0.0909809347416219	0.00836638725592154	0	0.000864704931889959	0.000311528682517669	0.999999577617541	2000.04177205273	-2.29747814457073	2.74033e+13	2.57139e+13	-1.28749e+10	-9.47077e+12
64	2	1	-0.0237537650896728	-0.00131363354260668	0	0.000156136565769208	3.11787578203271e-05	0.999999987324629	1999.96759035126	-0.4660427893009	2.8098e+13	2.80701e+13	-1.69534e+09	-1.24445e+12
73	2	1	0.00673134234921302	-0.00152253305953182	0	-0.000253464901399022	9.20568252793623e-05	0.999999963640542	1999.90334558343	0.530149203352494	2.82587e+13	2.8062e+13	-4.53581e+09	-3.32844e+12
101	2	1	0.143392093006898	-0.00867880492213852	0	-0.000664161684943827	-0.00023769575431706	0.999999751194961	1999.53622961168	2.33713729722308	2.81476e+13	2.69385e+13	1.11267e+10	8.16114e+12
115	2	1	0.023207502458698	-0.0106436520447284	0	0.00119150058492074	-0.000241700607030701	0.999999260953313	1999.94963998082	-2.05233199382451	2.73065e+13	2.64247e+13	9.36716e+09	6.88217e+12
132	2	1	0.0481235895747822	0.0105333154144514	0	-0.000770677170130694	8.20850787964165e-05	0.999999699659325	2000.03330105363	1.94955739253487	2.86287e+13	2.859e+13	-1.8965e+09	-1.39413e+12
144	2	1	0.0234496136713293	-0.0205553606576534	0	-0.000111063635978651	-0.000148319448358011	0.999999982833106	1999.75401532237	0.405885062574043	2.82193e+13	2.80207e+13	4.55368e+09	3.34245e+12
159	2	1	0.0692126163555403	-0.0150814617743849	0	-5.51630648804385e-05	-0.000728511765595519	0.999999733113786	1999.75872959132	0.615513027085626	2.42967e+13	1.78957e+13	2.2385e+10	1.64327e+13
162	2	1	-0.0658372793105717	-0.00815906561906493	0	0.00112602533927382	-0.000243726800029945	0.999999336331871	2000.07670035686	-2.52393837163527	2.75271e+13	2.70078e+13	7.22838e+09	5.31678e+12
168	2	1	-0.0268875666776536	-0.0120945385223753	0	0.000925535262402462	-0.000119919765154672	0.999999564501769	2000.04994040131	-1.92423464219132	2.76909e+13	2.75942e+13	3.13096e+09	2.30068e+12
214	2	1	-0.0154890200543247	0.0115075325551744	0	0.000505341517252118	-0.000373709461565473	0.999999802485575	2000.20044229084	-1.03391979989806	2.68135e+13	2.39434e+13	1.64245e+10	1.20637e+13
220	2	1	0.0136049348495495	-0.000919715680739008	0	0.000522104761890709	0.000619061682610517	0.999999672084572	1999.9563811696	-1.07137668006931	2.48021e+13	1.89419e+13	-2.17989e+10	-1.601e+13
278	2	1	0.143704665771785	0.0173760988601425	0	-0.000778167449310699	-0.000156879965959377	0.999999684921999	2000.25270850958	2.5898474078565	2.82363e+13	2.74251e+13	9.14727e+09	6.71842e+12
287	2	1	0.0828566892142125	0.0186095213865637	0	-2.96812674149443e-05	3.51763316383605e-05	0.999999998940824	2000.31135398718	0.569079991238141	2.81241e+13	2.81235e+13	-1.71411e+08	-1.25875e+11
318	2	1	0.0952036529210747	-0.00477980249154919	0	-0.00049606551062569	-0.000471754234244826	0.999999765683449	1999.8426085394	1.67875991661936	2.68658e+13	2.30338e+13	1.88306e+10	1.3827e+13
337	2	1	-0.0186155176200413	-0.0140287731249231	0	0.0011176480091398	-0.000265446265334802	0.999999340200386	2000.16936709955	-2.16953392949131	2.74459e+13	2.66461e+13	8.93878e+09	6.57711e+12
369	2	1	0.0635110966763477	-0.00154846200647601	0	-0.000818390812371519	-0.000293274709001857	0.99999962211314	1999.91046295193	2.21498629227199	2.80198e+13	2.6197e+13	1.35269e+10	9.93844e+12
373	2	1	0.0523110012082642	0.00966215445799101	0	-0.000523884965049282	9.08400069999025e-05	0.999999858646308	2000.29043131621	1.47147027040683	2.84037e+13	2.82191e+13	-4.38691e+09	-3.22462e+12
386	2	1	-0.0630455117819835	-0.00869648620353269	0	0.00105790069486238	0.00037539829407059	0.999999369960922	1999.93209228927	-2.46401892359495	2.67194e+13	2.3776e+13	-1.65829e+10	-1.21911e+13
415	2	1	0.0198193462632312	0.0200166363567874	0	0.000772557387578682	-0.000220254183652218	0.999999677321537	2000.35490780512	-1.33372982804894	2.72956e+13	2.59302e+13	1.1601e+10	8.52505e+12
424	2	1	0.151529922411525	0.0102307483500076	0	-0.000695240454538866	-0.000640273411820515	0.999999553345235	1999.97757238586	2.48631932564513	2.4554e+13	1.81543e+13	2.25219e+10	1.65324e+13
438	2	1	0.0627532891720212	-0.0151353214915331	0	-0.00035450277852496	0.000393232503979438	0.999999859847979	1999.78855502737	1.05936078945001	2.70232e+13	2.34989e+13	-1.81909e+10	-1.33436e+13
455	2	1	0.135039275429068	0.00695337383398398	0	-0.000763640644021693	-0.000535219847749072	0.999999565196246	2000.0118841594	2.54178979200788	2.58633e+13	2.06598e+13	2.11999e+10	1.55586e+13
491	2	1	0.0655010958542233	0.0229960149211596	0	-0.000706424695283824	0.00024765742861441	0.999999719814935	2000.32720903754	1.90264230225307	2.82901e+13	2.75405e+13	-8.79314e+09	-6.45976e+12
507	2	1	0.0270665498287125	-0.00878466655954102	0	0.000348553536802408	-0.000262324857495201	0.999999904848046	1999.98225358534	-0.476493567892703	2.77325e+13	2.66185e+13	1.05815e+10	7.77524e+12
567	2	1	0.185182928264745	-0.0211809973833029	0	-0.000568353793630092	-8.63025487897704e-05	0.999999834762904	1999.64029363868	2.35145339870587	2.8515e+13	2.85026e+13	1.14432e+09	8.40109e+11
591	2	1	0.0427930189463432	0.0062603164993853	0	-0.000943792945386818	-0.000669427329448014	0.999999330560739	1999.95926643949	2.43424948389361	2.44506e+13	1.78714e+13	2.2727e+10	1.66865e+13
593	2	1	-0.0345540690548767	-0.00595826411702682	0	0.000764067215720813	-0.000437026970719033	0.999999612604284	2000.16533480913	-1.62883943688166	2.70651e+13	2.48146e+13	1.46933e+10	1.0805e+13
598	2	1	0.0926838692238887	-0.0217299117849193	0	-0.000716987372929286	0.00011340696347131	0.99999973653395	1999.79005967668	2.08261185522269	2.83225e+13	2.75997e+13	-8.6578e+09	-6.35246e+12
653	2	1	-0.0161277169787173	0.00494957683845559	0	0.00118810096532904	0.000115259822483154	0.999999287565381	1999.95898894415	-2.33885103749208	2.75455e+13	2.73303e+13	-4.67595e+09	-3.43553e+12
768	2	1	0.0397299298642228	-0.000454725972422465	0	2.79965697583996e-05	-0.000531221694956625	0.999999858509842	1999.97915764838	0.277546451574835	2.60866e+13	2.16606e+13	1.9816e+10	1.45372e+13
787	2	1	0.0534223297999283	0.0110828473083264	0	3.17485409148674e-05	0.000314343995891465	0.99999995008994	2000.37266983212	0.205872406762865	2.75349e+13	2.56076e+13	-1.37744e+10	-1.01194e+13
797	2	1	0.0128321675295774	0.00909413111303864	0	-0.00056313797063452	0.000188331205236821	0.999999823703476	2000.06715531043	1.25184160677441	2.83078e+13	2.76664e+13	-8.15143e+09	-5.98645e+12
848	2	1	0.101870882763253	0.0243309427029403	0	-0.00090280456821584	0.000672639163164939	0.999999366250033	2000.62558794299	2.45247153426658	2.48754e+13	1.84507e+13	-2.26642e+10	-1.66834e+13
865	2	1	-0.0652608445591918	-0.0170542952345188	0	0.000684801782851741	0.000574431474678297	0.99999960053742	1999.4104551651	-1.85055251533436	2.51662e+13	1.96402e+13	-2.14429e+10	-1.57349e+13
874	2	1	-0.0250008553559682	-0.013104461984862	0	0.000758182254210246	0.000610394509843071	0.999999526288994	1999.80251873573	-1.79156582780206	2.46699e+13	1.87054e+13	-2.18856e+10	-1.60845e+13
878	2	1	0.0106985148442136	0.0102323217815322	0	0.000384230109567244	-0.000434331169385085	0.999999831861815	2000.29804982133	-0.603012573884143	2.67679e+13	2.35164e+13	1.73855e+10	1.27856e+13
899	2	1	0.107999303018246	-0.0145179407737563	0	-0.000701636859890961	-0.00022052429577386	0.99999972953734	1999.65903586608	2.20477688100596	2.82306e+13	2.73317e+13	9.63271e+09	7.06534e+12
906	2	1	0.1076628816281	0.0175502640596703	0	-0.000500480714794004	3.34859564109121e-05	0.999999874198865	2000.24138835279	1.69122271256583	2.84634e+13	2.84501e+13	1.16298e+09	8.55006e+11
930	2	1	-0.00966592453721071	-0.00896733539493103	0	-0.00025253881570182	-0.000134584663796896	0.999999959055557	1999.97948459876	0.480539046586728	2.81955e+13	2.79652e+13	4.90103e+09	3.59658e+12
941	2	1	0.0445848598495033	0.0124408372636449	0	-0.000662806578891277	0.000168904785800506	0.999999766079279	2000.18664558342	1.69082342951856	2.83613e+13	2.7897e+13	-6.95891e+09	-5.11084e+12
948	2	1	0.0671467484668819	-0.0160939240346575	0	5.87640675904811e-05	0.000591784943092803	0.999999823168667	1999.7086463329	0.187569699182177	2.49783e+13	1.90594e+13	-2.20063e+10	-1.61441e+13
962	2	1	0.0168089117118104	-0.00179659724734593	0	0.00125208423576664	-0.00013908251581523	0.999999206470246	2000.14202029923	-2.21977432914446	2.74826e+13	2.72248e+13	5.08499e+09	3.7393e+12
1013	2	1	0.185343296131996	0.0183321926606968	0	-0.000638719639160148	-6.25960301855569e-05	0.999999794059459	2000.28272621881	2.54892367395269	2.84044e+13	2.81359e+13	5.28372e+09	3.88409e+12
1018	2	1	-0.0140390443282427	-0.0146656893237867	0	0.000387336717776855	0.000202053650420413	0.99999990457229	1999.80035714266	-0.918022564984767	2.78104e+13	2.66864e+13	-1.06452e+10	-7.82039e+12
1054	2	1	-0.00756816792719817	0.00483315541338836	0	-0.0008218261673109	-0.000279040618690482	0.999999623368971	1999.66036674126	1.80637541538249	2.79759e+13	2.60189e+13	1.40041e+10	1.02792e+13
1058	2	1	-0.0275515596093148	-0.0213490726280317	0	-0.00103816625854292	4.10100646857039e-09	0.999999461105265	1999.87467695087	2.08613083518776	2.86121e+13	2.8532e+13	-2.90544e+09	-2.13204e+12
1078	2	1	0.117430172041618	0.000924802274461567	0	-0.000702783487777003	-0.000138178427649956	0.999999743501013	2000.0305135447	2.27741543939555	2.83218e+13	2.77849e+13	7.46342e+09	5.47962e+12
1093	2	1	-0.0313647182345131	-0.003009887730408	0	0.000988119424492189	-0.000348099137997257	0.999999451223346	2000.05335837272	-2.05813495359735	2.70587e+13	2.51273e+13	1.36592e+10	1.00391e+13
1128	2	1	0.032288571777931	0.0208992041626133	0	0.000213062929951394	-0.000271560283065304	0.999999940429599	2000.19065262525	-0.182641164288725	2.73565e+13	2.522e+13	1.44258e+10	1.05986e+13
1193	2	1	0.0209273672701131	0.00110529570764439	0	0.00103975853692381	-0.000645263698315336	0.999999251268192	2000.34483308611	-1.75011097765628	2.43645e+13	1.85424e+13	2.1482e+10	1.58051e+13
1262	2	1	0.0821531172101118	0.000570831147758022	0	-0.000738762188564208	0.000243513849294406	0.999999697465672	1999.95226909096	2.07392994421252	2.81611e+13	2.68983e+13	-1.13522e+10	-8.3317e+12
1281	2	1	-0.0709852626929148	0.0142466990173093	0	0.000774611665935078	0.000520274677178998	0.999999564645419	2000.01736703673	-2.02728223560871	2.6173e+13	2.19647e+13	-1.93554e+10	-1.42316e+13
1297	2	1	-0.0603769890834966	-0.0146941468219791	0	0.000659106715378772	0.000303346334941418	0.999999736779635	1999.67217449942	-1.72365391255448	2.73137e+13	2.52568e+13	-1.41628e+10	-1.03978e+13
1367	2	1	0.00930725507207786	-0.0129500060893478	0	-0.000409403959341262	0.000119968913123634	0.999999908997925	2000.06712302907	0.892244139788545	2.8306e+13	2.77568e+13	-7.54851e+09	-5.54728e+12
1396	2	1	-0.0677369688100914	0.0061454849095145	0	0.000471042301282776	-0.000668833984795003	0.99999966539007	2000.21399585463	-1.29296045462638	2.45306e+13	1.85418e+13	2.18434e+10	1.60607e+13
1480	2	1	0.110564403204008	-0.0171883195593245	0	-0.000402668991856017	-0.00054413767159334	0.999999770885913	1999.90475619488	1.59736955620906	2.65088e+13	2.23949e+13	1.93364e+10	1.4183e+13
1487	2	1	0.0356600666151123	0.0188951860853042	0	9.0449469473108e-05	-0.000653121702348373	0.999999782625444	2000.22946399548	0.134937131449078	2.40097e+13	1.75663e+13	2.22927e+10	1.63672e+13
1494	2	1	0.138044492584252	-0.0234061323075361	0	-0.000531695613720296	0.000509166390255465	0.999999729024644	1999.97629098182	1.86009855500652	2.56456e+13	2.00243e+13	-2.18037e+10	-1.60225e+13
1507	2	1	-0.00317498224424839	0.0133615962811638	0	0.000505260139305419	-0.000368522782707319	0.999999804451556	2000.23803921241	-0.983234580693534	2.67426e+13	2.37221e+13	1.67988e+10	1.23403e+13
1511	2	1	-0.0175187266263488	0.00968017822029255	0	0.00135600867845136	-0.000437709269886441	0.999998984825015	2000.37211128855	-2.53959683873109	2.61641e+13	2.27997e+13	1.74375e+10	1.28347e+13
1515	2	1	0.197477606809651	-0.00199852703420167	0	-0.00052199647504283	-0.000671656201399862	0.999999638198748	1999.75265827472	2.43439304484173	2.4293e+13	1.78214e+13	2.252e+10	1.65087e+13
1523	2	1	-0.00082756051958599	0.00915575920564626	0	0.000747016733065541	0.000172260629005001	0.999999706146095	2000.06499348518	-1.47748780348047	2.7822e+13	2.73727e+13	-6.73697e+09	-4.95396e+12
1537	2	1	0.0209196567654516	0.0204964387438853	0	-0.000336411627288394	0.000214904622749038	0.999999920321607	2000.22652969019	0.786059272768398	2.81711e+13	2.76335e+13	-7.44996e+09	-5.46965e+12
1544	2	1	0.0879118084702197	0.00582563136645622	0	-0.000522254093485756	-0.000160211289365355	0.999999850791492	1999.92238767358	1.70769276972283	2.82474e+13	2.7496e+13	8.8116e+09	6.4715e+12
1561	2	1	0.030393005275355	-0.00507314321040304	0	-3.62005167832721e-05	-5.3768233541987e-05	0.99999999789925	1999.97125409372	0.263863977862002	2.82659e+13	2.82477e+13	1.37617e+09	1.01108e+12
1589	2	1	0.0712503951485817	-0.0164561517901266	0	-0.000418581748331301	-0.000466114954971401	0.999999803763065	1999.69762118952	1.367099381755	2.70906e+13	2.36508e+13	1.79945e+10	1.32112e+13
1594	2	1	-0.0487969223873714	0.00510517383358883	0	0.000804387780802454	0.000313013625125674	0.999999627491315	1999.97123172165	-1.90596286156642	2.73869e+13	2.55852e+13	-1.32853e+10	-9.76896e+12
1644	2	1	0.0503781606383886	0.00924150183081257	0	-0.000402674568325691	-0.000245331675094398	0.999999888832775	2000.35773263115	1.2057419301691	2.79888e+13	2.66622e+13	1.15706e+10	8.50944e+12
1656	2	1	-0.0658238317449478	-0.00126451374732191	0	0.00056052877124851	-2.24611954894802e-05	0.999999842651484	2000.19005331796	-1.50871288368512	2.78841e+13	2.78838e+13	1.67384e+08	1.22975e+11
1657	2	1	-0.0183425444859239	0.0209024050091936	0	0.000260529427597426	-3.07709568387813e-05	0.999999965588782	2000.20116943413	-0.611041837719767	2.80305e+13	2.78627e+13	4.16615e+09	3.06139e+12
1660	2	1	-0.0443336327231085	0.0177202337541785	0	0.000966367941959786	-0.000337417109079346	0.999999476141211	2000.29343407117	-2.05547249491133	2.68159e+13	2.43629e+13	1.52368e+10	1.12037e+13
1702	2	1	-0.0269724683800117	-0.0109676298001288	0	0.000683199908996848	1.21442080558871e-05	0.999999766545174	1999.76753688344	-1.49615913741036	2.79231e+13	2.78875e+13	-1.91553e+09	-1.40689e+12
1709	2	1	0.0930318212256035	0.0053796869893788	0	-0.000536175482038876	8.98791622540273e-05	0.999999852218783	2000.06985809569	1.70688363943714	2.84539e+13	2.83246e+13	-3.68453e+09	-2.7072e+12
1726	2	1	-0.0716180442738282	0.00454794777999579	0	0.000499225246808781	0.000612229719047307	0.999999687974413	2000.05795919571	-1.56016941834696	2.48412e+13	1.90586e+13	-2.16915e+10	-1.59283e+13
