# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
3.540540000000000000e+12	7.000000000000000000e+00	6.999999999999999278e-03	2.478377999999999702e+08	2.137309582427229272e-03	6.139663216121150902e-02	2.523749427913750745e-02
4.943630000000000000e+12	1.520000000000000000e+02	1.519999999999999962e-01	7.514317600000000000e+09	2.013614217179338084e-02	1.677437656430302848e-02	3.365076405124104580e-02
5.711030000000000000e+12	9.100000000000000000e+01	9.099999999999999756e-02	5.197037300000000000e+09	3.848293725959070488e-02	1.315125708847018626e-01	3.042214282833396663e-02
6.242890000000000000e+12	1.600000000000000000e+02	1.600000000000000033e-01	9.988624000000000000e+09	5.156095203517452319e-02	9.342129708325315474e-02	2.809451284593457096e-02
6.644880000000000000e+12	2.190000000000000000e+02	2.190000000000000002e-01	1.455228720000000000e+10	6.018472189725798671e-02	8.459947084378771631e-02	3.263807285650827117e-02
6.962770000000000000e+12	2.120000000000000000e+02	2.119999999999999940e-01	1.476107240000000000e+10	1.120655574922011510e-01	7.297275109637600676e-02	3.889852794055399798e-02
7.221090000000000000e+12	1.240000000000000000e+02	1.239999999999999991e-01	8.954151600000000000e+09	1.239774349064646231e-01	1.144860786845467437e-01	3.850865041253720422e-02
7.434690000000000000e+12	2.000000000000000000e+02	2.000000000000000111e-01	1.486938000000000000e+10	1.456764997501522885e-01	1.273397252604195340e-01	4.163020808000747475e-02
7.613330000000000000e+12	2.490000000000000000e+02	2.489999999999999991e-01	1.895719170000000000e+10	2.167443156120043568e-01	9.135964235049734428e-02	4.346417661211295774e-02
7.763820000000000000e+12	2.900000000000000000e+02	2.899999999999999800e-01	2.251507800000000000e+10	1.876556055659648337e-01	3.948610977391284194e-02	4.006706426059949977e-02
7.891090000000000000e+12	3.470000000000000000e+02	3.469999999999999751e-01	2.738208229999999619e+10	2.910732004079363833e-01	1.173123266485092270e-01	3.999675663996091202e-02
7.998900000000000000e+12	3.790000000000000000e+02	3.790000000000000036e-01	3.031583100000000000e+10	3.280988271358182828e-01	9.994128720753900352e-02	3.481990773449672449e-02
8.090120000000000000e+12	3.760000000000000000e+02	3.760000000000000009e-01	3.041885120000000000e+10	3.420740152698726888e-01	1.192353952969279485e-01	3.902473161060728002e-02
8.167050000000000000e+12	3.320000000000000000e+02	3.320000000000000173e-01	2.711460600000000000e+10	4.052232518465643807e-01	8.086038923328592309e-02	4.174712652836442411e-02
8.231550000000000000e+12	3.720000000000000000e+02	3.719999999999999973e-01	3.062136600000000000e+10	4.410580191467943223e-01	1.537070134360482565e-01	4.353197746506456967e-02
8.285110000000000000e+12	3.000000000000000000e+02	2.999999999999999889e-01	2.485533000000000000e+10	5.410764346738687891e-01	6.034285295865224330e-02	3.706086256605354429e-02
8.329020000000000000e+12	2.760000000000000000e+02	2.759999999999999676e-01	2.298809519999999619e+10	4.089908866289988509e-01	9.749207197056876384e-02	4.329513962725940746e-02
8.364330000000000000e+12	2.380000000000000000e+02	2.380000000000000171e-01	1.990710540000000000e+10	5.802739689204372553e-01	1.071194187684846311e-01	3.866180178915899768e-02
8.391950000000000000e+12	1.830000000000000000e+02	1.829999999999999960e-01	1.535726850000000000e+10	4.815831855898977665e-01	1.526200273239885219e-01	3.940428019021009060e-02
8.412650000000000000e+12	1.260000000000000000e+02	1.260000000000000009e-01	1.059993900000000000e+10	5.113684812799874635e-01	1.584686045217943984e-01	2.505254190199221118e-02
8.427110000000000000e+12	4.700000000000000000e+01	4.700000000000000011e-02	3.960741700000000000e+09	5.108812666861495266e-01	1.288059837730648749e-01	2.713432261788547087e-02
8.435920000000000000e+12	1.000000000000000000e+02	1.000000000000000056e-01	8.435920000000000000e+09	5.756034273385921551e-01	1.031017358874598139e-02	4.250838140575403934e-02
8.439580000000000000e+12	5.500000000000000000e+01	5.500000000000000028e-02	4.641769000000000000e+09	7.240396071200807526e-01	1.373246551809403082e-01	2.936881654938441888e-02
8.438560000000000000e+12	3.100000000000000000e+01	3.099999999999999978e-02	2.615953600000000000e+09	7.588577658318694796e-01	1.277302413488222710e-01	3.139580143401164702e-02
8.433260000000000000e+12	4.000000000000000000e+01	4.000000000000000083e-02	3.373304000000000000e+09	8.080757893316209417e-01	1.167550359701143431e-01	2.863251178100254674e-02
8.424040000000000000e+12	3.100000000000000000e+01	3.099999999999999978e-02	2.611452400000000000e+09	9.232097201418837384e-01	1.596765255559049190e-01	3.534043420914895900e-02
