sep=	
DetectorAtFocus_RN	DetectorAtFocus_RS	DetectorAtFocus_RO	DetectorAtFocus_OX	DetectorAtFocus_OY	DetectorAtFocus_OZ	DetectorAtFocus_DX	DetectorAtFocus_DY	DetectorAtFocus_DZ	DetectorAtFocus_EN	DetectorAtFocus_PL	DetectorAtFocus_S0	DetectorAtFocus_S1	DetectorAtFocus_S2	DetectorAtFocus_S3
10	2	1	0.0505565461422975	-0.0120653353383731	0	-0.000482772141288358	-0.000224362887651125	0.999999858296167	999.963110518695	1.40310952156915	2.83733e+13	2.8202e+13	9.17566e+09	3.07041e+12
16	2	1	0.0139636700996735	0.00575614602738167	0	-8.45709439217203e-05	-0.000250344619757644	0.999999965087663	1000.01737618142	0.343419700132927	2.83275e+13	2.80279e+13	1.22055e+10	4.06281e+12
58	2	1	0.0173744868605897	0.00822755197004654	0	-0.000313070867391245	0.00114263252957328	0.999999298188521	1000.03158390626	0.285651869990716	2.84977e+13	2.5497e+13	-3.83739e+10	-1.27043e+13
98	2	1	0.133347647876014	0.0142013926400644	0	-0.000793585720272997	0.000731316666660244	0.99999941769865	1000.05937269253	2.25119535171598	2.85488e+13	2.70993e+13	-2.68323e+10	-8.95847e+12
167	2	1	0.0966762143045642	-0.00692924410500984	0	-0.00059578430784628	7.1138323091035e-05	0.999999819990183	999.990882375339	1.847810168038	2.83994e+13	2.8392e+13	7.86714e+07	2.63127e+10
177	2	1	-0.0281768946736148	-0.0171376337364902	0	-0.000555722802897328	-0.000142012304981051	0.999999835502322	999.939711074218	1.05525282746407	2.83785e+13	2.82295e+13	8.12481e+09	2.71894e+12
309	2	1	0.0651448073196984	0.0158369383585611	0	2.26835910416867e-05	0.00061298694173129	0.999999811866215	1000.04000726671	0.120953929779034	2.84032e+13	2.76e+13	-2.01347e+10	-6.65544e+12
420	2	1	0.0376578408488827	0.00560237392613105	0	-0.000233785244832874	-0.00126053223963082	0.999999178201128	1000.00882667917	1.09239549994481	2.82797e+13	2.48066e+13	4.04337e+10	1.35609e+13
500	2	1	-0.0370192399166386	0.00619702919360078	0	-0.000114236926533951	3.03355920227913e-05	0.999999993014839	1000.00422659194	0.00684325693555365	2.83275e+13	2.83152e+13	-1.08814e+09	-3.61663e+11
649	2	1	0.0478259020139479	0.0228781428368565	0	-0.000534312673876967	9.21596626932038e-05	0.999999853008271	1000.0663572473	1.43391878219109	2.83983e+13	2.83706e+13	2.33572e+09	7.80359e+11
705	2	1	0.097352910754136	0.0131739826939392	0	-0.00034570322594752	0.000765186062133442	0.999999647489723	1000.05285535225	0.997024528709971	2.84976e+13	2.65506e+13	-3.10475e+10	-1.03047e+13
803	2	1	-0.0760013009934144	-0.00329730945250329	0	0.00039994724617493	1.06342308686599e-05	0.999999919964554	999.986349786646	-1.26329927987717	2.82591e+13	2.82158e+13	-4.02248e+09	-1.3287e+12
837	2	1	0.0460486310660486	0.00400285393624666	0	-0.000375530825840729	-0.000745505441256299	0.999999651599057	1000.00504122584	1.30006700400804	2.83877e+13	2.68624e+13	2.73316e+10	9.16222e+12
986	2	1	-0.0384722677889469	-0.0227294520838208	0	0.000866176092806112	0.000797764375533437	0.999999306655249	999.903662044716	-2.24754436058561	2.83233e+13	2.61119e+13	-3.35272e+10	-1.09544e+13
1031	2	1	-0.0309030675980873	0.0209980228206459	0	0.00125361922311026	-0.000715388345784742	0.999998958328637	1000.10826378236	-2.29150827388276	2.81543e+13	2.68714e+13	2.56186e+10	8.39906e+12
1049	2	1	0.0985814177561604	-0.0101974698721141	0	-0.000710284672071969	0.000445515016252632	0.999999648505966	999.978983979793	1.96196571774681	2.84812e+13	2.78155e+13	-1.82478e+10	-6.09755e+12
1054	2	1	0.0604317505332835	0.0197556052545821	0	-0.000221817285525658	-0.000141828190095325	0.999999965340928	1000.050436453	0.895653755849025	2.83387e+13	2.828e+13	5.19603e+09	1.73094e+12
1286	2	1	0.088335786275651	-0.012192830550984	0	-0.000537142630532679	0.000484246267188074	0.999999738491639	999.997176413897	1.48686936778904	2.84794e+13	2.75708e+13	-2.1294e+10	-7.10183e+12
1294	2	1	-0.038367303989767	-0.0157031489066083	0	0.001055620080114	-0.000326298333284611	0.999999389597636	999.958707110826	-2.12985839073599	2.81536e+13	2.797e+13	9.70719e+09	3.18577e+12
1376	2	1	0.0737213208295638	-0.0159037047007251	0	-0.000567820526934963	-0.000565050537595486	0.999999679148818	999.943072304398	1.8520934200526	2.84047e+13	2.73504e+13	2.27433e+10	7.63284e+12
1411	2	1	0.105234825103333	-0.0190036965107895	0	-0.000751916137805391	0.000425000045511732	0.999999626998472	999.962713016497	2.07918961912969	2.85006e+13	2.74617e+13	-2.26325e+10	-7.56761e+12
1507	2	1	0.0333672785680314	-0.00587457521159895	0	-3.16167556677103e-05	-0.001158449274741	0.999999328497604	999.996175563695	0.593307304557811	2.82925e+13	2.52675e+13	3.80221e+10	1.272e+13
1573	2	1	0.0103647910119215	-0.00795835299350545	0	-5.6209716990073e-05	-0.000217513314953295	0.999999974764213	999.965066529029	0.240817431380719	2.83092e+13	2.8226e+13	5.98445e+09	1.9912e+12
1643	2	1	-0.00693295136145566	-0.00592217059854216	0	0.000581528875228693	0.000981953708647117	0.999999348795329	999.960780102964	-1.58951742731801	2.83785e+13	2.57291e+13	-3.65264e+10	-1.19687e+13
1723	2	1	-0.01379425098966	-0.0203807955044308	0	0.00118025865992759	0.00105606433550807	0.999998745858021	999.912173600489	-2.75652652745407	2.82917e+13	2.56339e+13	-3.67227e+10	-1.19341e+13
1750	2	1	-0.0819719797747442	0.00608241736922466	0	0.000960118870379109	0.000520366142265981	0.999999403695239	1000.00380568264	-2.52162049624121	2.82422e+13	2.77944e+13	-1.49614e+10	-4.88941e+12
1764	2	1	0.00205068546978526	0.00172182795376119	0	0.000920113097880884	0.000978598944209832	0.99999909786759	999.958765440824	-2.15825550139971	2.83388e+13	2.63016e+13	-3.22672e+10	-1.05269e+13
2142	2	1	-0.0578301253250222	0.0204714023264539	0	0.000966586219623957	0.000194266487286977	0.999999513985688	1000.04871341992	-2.25259877061717	2.81961e+13	2.81506e+13	-4.68459e+09	-1.53367e+12
2181	2	1	-0.0217307478150773	-0.0215796575310021	0	2.78368649021432e-05	-0.00127896472228073	0.99999918173684	999.941583738646	0.158268653858158	2.82692e+13	2.53168e+13	3.75086e+10	1.25488e+13
2182	2	1	0.0822806453545151	0.00496648419256022	0	-0.000856482269331004	8.73561854045437e-06	0.999999633180839	999.986649642137	2.41782448764729	2.84385e+13	2.83723e+13	5.52929e+09	1.85672e+12
2204	2	1	0.0381803343545079	-0.0181682585963547	0	-0.000170344096796149	-4.64575503806434e-06	0.999999985480653	999.952116937909	0.573005351243864	2.83343e+13	2.82912e+13	-3.44366e+09	-1.14592e+12
2277	2	1	0.00759592545474727	-0.017761210031049	0	-0.000110776362485633	-0.000390034747456521	0.999999917800743	999.960472941832	0.423934190938326	2.83416e+13	2.7578e+13	1.95099e+10	6.50223e+12
2328	2	1	0.046637059917064	0.00971440611362007	0	-0.000666464527715019	0.000796355319342031	0.999999460821474	1000.05141172073	1.38427033800485	2.85405e+13	2.62247e+13	-3.36709e+10	-1.12209e+13
2457	2	1	-0.0222235098607748	0.00757465316192774	0	0.000823072986005246	-0.000133101819622727	0.999999652417322	1000.0287954978	-1.66599005926219	2.81883e+13	2.81191e+13	5.85663e+09	1.92402e+12
2514	2	1	0.00408959055670138	-0.00187834428864186	0	-0.00016629452803434	0.000967800110663872	0.999999517854422	1000.00935848565	-0.0580151271069553	2.84798e+13	2.58437e+13	-3.61063e+10	-1.19466e+13
2521	2	1	0.0210337531474434	-0.00815939344370786	0	0.000187669402149149	-0.000999406285956111	0.999999482983502	999.987537395545	0.0351172331431826	2.82812e+13	2.5656e+13	3.56678e+10	1.18811e+13
2537	2	1	0.136620476326875	0.0164032057564774	0	-0.000610567567923618	-0.000376013361950582	0.999999742910566	1000.03629620042	2.27418901710325	2.84129e+13	2.78001e+13	1.73713e+10	5.82565e+12
2550	2	1	0.00593568420569937	-0.00403329191869772	0	-4.56149621492006e-05	-0.000675252357359775	0.999999770976739	999.989523140161	0.334927401107052	2.83354e+13	2.70801e+13	2.49182e+10	8.31234e+12
2592	2	1	-0.00780522015017082	0.0105430305838011	0	0.00136863775429472	0.000201569517196236	0.999999043099756	1000.024634563	-2.65573527541164	2.8151e+13	2.80613e+13	-6.60076e+09	-2.15087e+12
2641	2	1	-0.0516081738451373	-0.0192652198220686	0	0.000845680677414225	0.000937311210250747	0.999999203135626	999.914300194616	-2.34734002627101	2.83345e+13	2.60857e+13	-3.38528e+10	-1.10534e+13
2698	2	1	-0.00973387765768863	0.00884035106047532	0	0.000514169851190252	0.00104915915149053	0.999999317446987	999.989865719995	-1.51721465656601	2.83843e+13	2.55394e+13	-3.77291e+10	-1.23649e+13
2793	2	1	-0.00218399178149442	-0.0209457491812721	0	0.000365684771893529	2.76300088836861e-05	0.999999932755613	999.934373490714	-0.774436377887469	2.82659e+13	2.82386e+13	-3.19451e+09	-1.05587e+12
2813	2	1	0.0404543577351768	-0.00882731977870732	0	-0.000459967604873222	0.000533637320307198	0.999999751830476	999.992538233202	1.01029071701987	2.84801e+13	2.73852e+13	-2.34358e+10	-7.80652e+12
2820	2	1	0.0940710521756296	0.0162930898123554	0	-0.000716631345534173	0.000767048376862718	0.999999449037999	1000.07771824969	1.81891512341167	2.85468e+13	2.68201e+13	-2.92187e+10	-9.74471e+12
2832	2	1	-0.0472296688124496	-0.00627514082103586	0	0.000391793592114799	-0.000353353077423693	0.999999860819683	999.998146195417	-0.944809900838891	2.82618e+13	2.78143e+13	1.49583e+10	4.95254e+12
2901	2	1	-0.0185984553726136	0.00404332018547821	0	-0.00010726217379486	-0.000170763360226023	0.99999997966735	1000.00633173226	0.164710720569701	2.83179e+13	2.82269e+13	6.24176e+09	2.07691e+12
3211	2	1	0.0324328815639218	0.00486973134136925	0	0.000213340433743851	0.000396101284965283	0.999999898794811	1000.00905921824	-0.379453222426719	2.83332e+13	2.80631e+13	-1.16124e+10	-3.83579e+12
3234	2	1	0.00629690240137204	-0.0141012520086901	0	0.000607659723903158	0.000810470538618917	0.999999486943452	999.947049800791	-1.50629644840387	2.83621e+13	2.68314e+13	-2.79052e+10	-9.15117e+12
3284	2	1	-0.00801497812331053	-0.0186990847997215	0	0.000820054625224847	-0.000115120581888759	0.999999657128773	999.943223925707	-1.60010964775392	2.81921e+13	2.80447e+13	8.2487e+09	2.71034e+12
3344	2	1	0.0662605065826023	-0.00387474957432854	0	-0.000300322273034156	-0.000183535722725711	0.999999938060584	999.979507067382	1.09160632057342	2.8339e+13	2.8289e+13	4.22423e+09	1.40896e+12
