,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,0.1,50,2.25,1,100000.0,0.01715,0.00243,5.72,3540540000000.0,8.0,0.008,283243200.0,50.0,0.0013663930811259356,0.1338314940387989,0.01848434294875843,36.59269114477584,0.2927415291582067,10364630936.457972
1,1,0.1,60,2.25,1,100000.0,0.01715,0.00243,5.72,3748020000000.0,4.0,0.004,149920800.0,60.0,0.0024752210676599927,0.08019837872548502,0.013276620127915388,24.240259096017787,0.09696103638407116,3634119035.882264
2,2,0.1,70,2.25,1,100000.0,0.01715,0.00243,5.72,3931350000000.0,20.0,0.02,786270000.0,70.0,0.003912914530918172,0.13836663671115584,0.019487542090009684,17.88947840462398,0.3577895680924796,14065960185.203695
3,3,0.1,80,2.25,1,100000.0,0.01715,0.00243,5.72,4096050000000.0,30.0,0.03,1228815000.0,80.0,0.0038098873450538766,0.11750183325987264,0.024374185061123384,20.997996201609133,0.629939886048274,25802652702.480328
4,4,0.1,90,2.25,1,100000.0,0.01715,0.00243,5.72,4245860000000.0,43.0,0.043,1825719800.0,90.0,0.005198974318070036,0.16698446869074032,0.01970693061312369,17.31110686336489,0.7443775951246903,31605230560.361168
5,5,0.1,100,2.25,1,100000.0,0.01715,0.00243,5.72,4383450000000.0,40.0,0.04,1753380000.0,100.0,0.005633682565141551,0.11205686482769033,0.019371800829829942,17.750378876287897,0.7100151550515159,31123159314.10568
6,6,0.1,110,2.25,1,100000.0,0.01715,0.00243,5.72,4510800000000.0,46.0,0.046,2074968000.0,110.0,0.0065989340036949375,0.10836954004952903,0.021425316085688085,16.669359011380894,0.7667905145235211,34588386529.12699
7,7,0.1,120,2.25,1,100000.0,0.01715,0.00243,5.72,4629430000000.0,63.0,0.063,2916540900.0,120.0,0.008262121164967412,0.13316614052149828,0.02163716881526145,14.524115248856107,0.9150192606779347,42360176159.60252
8,8,0.1,130,2.25,1,100000.0,0.01715,0.00243,5.72,4740500000000.0,65.0,0.065,3081325000.0,130.0,0.008787668575917425,0.12384484236329976,0.01851763255671869,14.793457317708196,0.9615747256510327,45583449869.487206
9,9,0.1,140,2.25,1,100000.0,0.01715,0.00243,5.72,4844980000000.0,74.0,0.07399999999999998,3585285200.0,140.0,0.011593736419414255,0.12458379135802394,0.0223271978798886,12.07548584299048,0.8935859523812956,43294060675.6833
10,10,0.1,150,2.25,1,100000.0,0.01715,0.00243,5.72,4943630000000.0,78.0,0.078,3856031400.0,150.0,0.011096665099230732,0.12141828710757346,0.023044644468020625,13.517574754094236,1.0543708308193507,52124192703.63466
11,11,0.1,160,2.25,1,100000.0,0.01715,0.00243,5.72,5037080000000.0,94.0,0.094,4734855200.0,160.0,0.010884532782017632,0.14187455142888267,0.02147635455617794,14.699758198563789,1.3817772706649962,69601226545.21239
12,12,0.1,170,2.25,1,100000.0,0.01715,0.00243,5.72,5125860000000.0,76.0,0.076,3895653600.0,170.0,0.012276817223019095,0.12138795705553489,0.0194191797732452,13.847237187929224,1.0523900262826211,53944039401.210365
13,13,0.1,180,2.25,1,100000.0,0.01715,0.00243,5.72,5210430000000.0,83.0,0.083,4324656900.0,180.0,0.013580719264153515,0.12385974280110625,0.021512980475216773,13.254084448613288,1.1000890092349027,57319367763.87815
14,14,0.1,190,2.25,1,100000.0,0.01715,0.00243,5.72,5291170000000.0,23.0,0.023,1216969100.0,190.0,0.01263729839229422,0.11139001144190268,0.01889285785486018,15.034859042012911,0.345801757966297,18296958876.98532
15,15,0.1,200,2.25,1,100000.0,0.01715,0.00243,5.72,5368410000000.0,60.0,0.06,3221046000.0,200.0,0.016102794977126966,0.12664287236287947,0.02076663098053296,12.420204087805113,0.7452122452683065,40006048696.20831
16,16,0.1,210,2.25,1,100000.0,0.01715,0.00243,5.72,5442440000000.0,40.0,0.04,2176976000.0,210.0,0.014424629067272349,0.11226270618864279,0.020020967722674532,14.558433289384427,0.5823373315753771,31693359868.590958
17,17,0.1,220,2.25,1,100000.0,0.01715,0.00243,5.72,5513500000000.0,52.0,0.052,2867020000.0,220.0,0.016556204055239106,0.12393910245587032,0.02173119485382974,13.288070095414314,0.6909796449615443,38097162724.954735
18,18,0.1,230,2.25,1,100000.0,0.01715,0.00243,5.72,5581830000000.0,49.0,0.049,2735096700.0,230.0,0.018661095826496513,0.1267407072015236,0.01958170954882727,12.325106850018296,0.6039302356508964,33710359072.632435
19,19,0.1,240,2.25,1,100000.0,0.01715,0.00243,5.72,5647610000000.0,46.0,0.046,2597900600.0,240.0,0.024597160697788716,0.1295979189780089,0.02350475118677796,9.757223727923037,0.4488322914844596,25348297377.105488
20,20,0.1,250,2.25,1,100000.0,0.01715,0.00243,5.72,5711030000000.0,43.0,0.043,2455742900.0,250.0,0.021883419261763355,0.1326468858523207,0.020295214477018007,11.424174486151808,0.4912395029045278,28054835382.72845
21,21,0.1,260,2.25,1,100000.0,0.01715,0.00243,5.72,5772230000000.0,66.0,0.066,3809671800.0,260.0,0.02048389514305277,0.14787867934641047,0.020006762555833505,12.69289840551544,0.8377312947640192,48355777115.757126
22,22,0.1,270,2.25,1,100000.0,0.01715,0.00243,5.72,5831360000000.0,51.0,0.051,2973993600.0,270.0,0.02093522239964997,0.1283559212681458,0.020184776300475046,12.896925327361908,0.6577431916954573,38355373383.25223
23,23,0.1,280,2.25,1,100000.0,0.01715,0.00243,5.72,5888550000000.0,71.0,0.07100000000000001,4180870500.0,280.0,0.02113270158688476,0.11764727467900868,0.02074875138415697,13.249607431818932,0.9407221276591443,55394892848.27254
24,24,0.1,290,2.25,1,100000.0,0.01715,0.00243,5.72,5943910000000.0,75.0,0.07499999999999998,4457932500.0,290.0,0.025081899529722344,0.13470325033883265,0.02137912438832937,11.562122703519588,0.867159202763969,51543162569.00784
25,25,0.1,300,2.25,1,100000.0,0.01715,0.00243,5.72,5997540000000.0,51.0,0.051,3058745400.0,300.0,0.02702591043881557,0.112127238772801,0.021655213949585923,11.100458601725007,0.5661233886879754,33953476685.916798
