,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,0.1,50,2.25,1,100000.0,0.01715,0.00243,5.72,708108000000.0,20000.0,20.0,708108000000.0,10.0,0.00996218839056496,0.007480594736923858,0.0010939413972922772,0.20076376911120025,20.07637691112002,710812155088.9688
1,1,0.1,60,2.25,1,100000.0,0.01715,0.00243,5.72,749604000000.0,20000.0,20.0,749604000000.0,12.0,0.01197579773507698,0.0072281469444590895,0.0010268167448231219,0.20040447097600944,20.040447097600943,751119965307.5029
2,2,0.1,70,2.25,1,100000.0,0.01715,0.00243,5.72,786270000000.0,20000.0,20.0,786270000000.0,14.0,0.013980243834673728,0.006837864666152589,0.0010009952534708083,0.2002829215986364,20.028292159863646,787382263826.7993
3,3,0.1,80,2.25,1,100000.0,0.01715,0.00243,5.72,819210000000.0,20000.0,20.0,819210000000.0,16.0,0.015871704639689597,0.00719744451312859,0.001002187086221315,0.20165231904934444,20.165231904934448,825977981442.0675
4,4,0.1,90,2.25,1,100000.0,0.01715,0.00243,5.72,849172000000.0,20000.0,20.0,849172000000.0,18.0,0.01796214394020467,0.007217218394370186,0.0010096080845099452,0.2004218319513517,20.042183195135166,850963039408.966
5,5,0.1,100,2.25,1,100000.0,0.01715,0.00243,5.72,876690000000.0,20000.0,20.0,876690000000.0,20.0,0.01998305463128872,0.007357643370984798,0.0010254055091574264,0.2001696067340952,20.016960673409525,877433462638.5697
6,6,0.1,110,2.25,1,100000.0,0.01715,0.00243,5.72,902160000000.0,20000.0,20.0,902160000000.0,22.0,0.021963784244017008,0.006983195313116637,0.001016500741074018,0.2003303868635952,20.03303868635953,903650309064.3055
7,7,0.1,120,2.25,1,100000.0,0.01715,0.00243,5.72,925886000000.0,20000.0,20.0,925886000000.0,24.0,0.023881269646907986,0.0069780282643415,0.000974225489097608,0.20100636403607816,20.100636403607815,930544891859.5416
8,8,0.1,130,2.25,1,100000.0,0.01715,0.00243,5.72,948100000000.0,20000.0,20.0,948100000000.0,26.0,0.02595139116660448,0.00726164654493671,0.0009904167366898242,0.20037477262649225,20.037477262649215,949876609635.8864
9,9,0.1,140,2.25,1,100000.0,0.01715,0.00243,5.72,968996000000.0,20000.0,20.0,968996000000.0,28.0,0.027901033358273254,0.0070467662527033265,0.0010412433340162331,0.20071407801734345,20.071407801734345,972455693712.4688
10,10,0.1,150,2.25,1,100000.0,0.01715,0.00243,5.72,988726000000.0,20000.0,20.0,988726000000.0,30.0,0.02993731403407196,0.006987805754010849,0.0010319547271097165,0.20041937427816656,20.041937427816652,990799231262.7728
11,11,0.1,160,2.25,1,100000.0,0.01715,0.00243,5.72,1007416000000.0,20000.0,20.0,1007416000000.0,32.0,0.03193309085860392,0.007119281725529664,0.0010235841001492562,0.2004192048026467,20.04192048026467,1009527568127.3156
12,12,0.1,170,2.25,1,100000.0,0.01715,0.00243,5.72,1025172000000.0,20000.0,20.0,1025172000000.0,34.0,0.033968903534489524,0.006844809476186764,0.0010166341568457144,0.2001831303062133,20.018313030621325,1026110700311.4064
13,13,0.1,180,2.25,1,100000.0,0.01715,0.00243,5.72,1042086000000.0,20000.0,20.0,1042086000000.0,36.0,0.03594661125977268,0.00704273688524548,0.0010148945030813566,0.20029714704780527,20.029714704780528,1043634263892.296
14,14,0.1,190,2.25,1,100000.0,0.01715,0.00243,5.72,1058234000000.0,20000.0,20.0,1058234000000.0,38.0,0.037924443980028845,0.0073501539770562995,0.0010461245559815916,0.2003985193986879,20.039851939868797,1060342633886.7556
15,15,0.1,200,2.25,1,100000.0,0.01715,0.00243,5.72,1073682000000.0,20000.0,20.0,1073682000000.0,40.0,0.03967535003776789,0.0075250102961156575,0.0009548821101831512,0.20164890371944968,20.164890371944967,1082533991216.5308
16,16,0.1,210,2.25,1,100000.0,0.01715,0.00243,5.72,1088488000000.0,20000.0,20.0,1088488000000.0,42.0,0.041888619053050885,0.007307964434431613,0.0009633370147571428,0.20053291242811172,20.053291242811177,1091388343915.2526
17,17,0.1,220,2.25,1,100000.0,0.01715,0.00243,5.72,1102700000000.0,20000.0,20.0,1102700000000.0,44.0,0.0431217748895233,0.007007868050730089,0.001004976236567995,0.2043968045772835,20.439680457728343,1126941782036.8523
18,18,0.1,230,2.25,1,100000.0,0.01715,0.00243,5.72,1116366000000.0,20000.0,20.0,1116366000000.0,46.0,0.04591880099046193,0.0068472247012405976,0.000999353643749423,0.20035388216681607,20.035388216681607,1118341310095.1987
19,19,0.1,240,2.25,1,100000.0,0.01715,0.00243,5.72,1129522000000.0,20000.0,20.0,1129522000000.0,48.0,0.04795143361165628,0.007337630059596751,0.0010243647270127979,0.20020282332892733,20.020282332892727,1130667467060.683
20,20,0.1,250,2.25,1,100000.0,0.01715,0.00243,5.72,1142206000000.0,20000.0,20.0,1142206000000.0,50.0,0.049787108701845,0.006938122308658907,0.0010294010280926704,0.20085637528716543,20.085637528716536,1147096784956.2603
21,21,0.1,260,2.25,1,100000.0,0.01715,0.00243,5.72,1154446000000.0,20000.0,20.0,1154446000000.0,52.0,0.051930939543713056,0.007323118125456655,0.000985945845779892,0.2002661237230016,20.026612372300164,1155982127337.6218
22,22,0.1,270,2.25,1,100000.0,0.01715,0.00243,5.72,1166272000000.0,20000.0,20.0,1166272000000.0,54.0,0.05390651304735684,0.007116801268943008,0.000999718006942291,0.20034707881240185,20.034707881240188,1168295941503.4875
23,23,0.1,280,2.25,1,100000.0,0.01715,0.00243,5.72,1177710000000.0,20000.0,20.0,1177710000000.0,56.0,0.055903132927687685,0.007250076219901772,0.000995202769679059,0.20034687241303617,20.034687241303622,1179752575547.7844
24,24,0.1,290,2.25,1,100000.0,0.01715,0.00243,5.72,1188782000000.0,20000.0,20.0,1188782000000.0,58.0,0.057927167032969455,0.007080521690364652,0.0010496714442211864,0.20025155635312888,20.02515563531289,1190277228322.9263
