,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,0.1,50,2.25,1,100000.0,0.01715,0.00243,5.72,3540540000000.0,100000.0,100.0,3540540000000.0,50.0,0.049970407684298834,0.0331240323695831,0.004834676683054518,1.0005921968035187,100.05921968035187,3542636696470.7295
1,1,0.1,60,2.25,1,100000.0,0.01715,0.00243,5.72,3748020000000.0,100000.0,100.0,3748020000000.0,60.0,0.059959303971439226,0.039687694880289774,0.005344967580975304,1.0006787275012423,100.06787275012424,3750563884249.207
2,2,0.1,70,2.25,1,100000.0,0.01715,0.00243,5.72,3931350000000.0,100000.0,100.0,3931350000000.0,70.0,0.06996390601486269,0.03378017321733859,0.004870794698141704,1.0005158943688715,100.05158943688714,3933378161327.063
3,3,0.1,80,2.25,1,100000.0,0.01715,0.00243,5.72,4096050000000.0,100000.0,100.0,4096050000000.0,80.0,0.07989046020631463,0.03944781303977241,0.004634391398254471,1.0013711248302049,100.13711248302047,4101666195860.7607
4,4,0.1,90,2.25,1,100000.0,0.01715,0.00243,5.72,4245860000000.0,100000.0,100.0,4245860000000.0,90.0,0.08978919148763964,0.03336608747529615,0.005403570524540489,1.0023478161331851,100.23478161331855,4255828498607.247
5,5,0.1,100,2.25,1,100000.0,0.01715,0.00243,5.72,4383450000000.0,100000.0,100.0,4383450000000.0,100.0,0.09987634005088351,0.035018505162480916,0.00537907444760124,1.0012381305627887,100.12381305627888,4388877283415.457
6,6,0.1,110,2.25,1,100000.0,0.01715,0.00243,5.72,4510800000000.0,100000.0,100.0,4510800000000.0,110.0,0.10974786245330392,0.03670510957776285,0.005369970260430916,1.002297425581326,100.2297425581326,4521163227312.246
7,7,0.1,120,2.25,1,100000.0,0.01715,0.00243,5.72,4629430000000.0,100000.0,100.0,4629430000000.0,120.0,0.119923930501173,0.03766368752747416,0.004852362620321977,1.0006343145901664,100.06343145901663,4632366514993.153
8,8,0.1,130,2.25,1,100000.0,0.01715,0.00243,5.72,4740500000000.0,100000.0,100.0,4740500000000.0,130.0,0.12986861526309212,0.037222164267493536,0.005414049475778818,1.0010116742728157,100.10116742728158,4745295841890.283
9,9,0.1,140,2.25,1,100000.0,0.01715,0.00243,5.72,4844980000000.0,100000.0,100.0,4844980000000.0,140.0,0.1399055547214516,0.03894156950598014,0.005315848326449079,1.0006750645371905,100.06750645371903,4848250674181.396
10,10,0.1,150,2.25,1,100000.0,0.01715,0.00243,5.72,4943630000000.0,100000.0,100.0,4943630000000.0,150.0,0.14953777314698868,0.034893277455063154,0.004950920281728236,1.0030910374234139,100.30910374234136,4958910945337.512
11,11,0.1,160,2.25,1,100000.0,0.01715,0.00243,5.72,5037080000000.0,100000.0,100.0,5037080000000.0,160.0,0.15989062136048915,0.03338274456282903,0.004753199704297287,1.000684084148152,100.06840841481518,5040525786580.973
12,12,0.1,170,2.25,1,100000.0,0.01715,0.00243,5.72,5125860000000.0,100000.0,100.0,5125860000000.0,170.0,0.1698098169042623,0.03883983117249616,0.004684094387544133,1.00111997703787,100.111997703787,5131600845499.336
13,13,0.1,180,2.25,1,100000.0,0.01715,0.00243,5.72,5210430000000.0,100000.0,100.0,5210430000000.0,180.0,0.17931397005122562,0.037853205701915325,0.0047891761191914736,1.0038258589031204,100.38258589031204,5230364370004.586
