# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
3.540540000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	3.540540000000000000e+12	4.944921907320311977e-02	3.589960884569765726e-02	5.004639770429963712e-03
3.748020000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	3.748020000000000000e+12	5.993147054480885833e-02	3.539446990773100626e-02	5.003191593797679144e-03
3.931350000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	3.931350000000000000e+12	6.967431351556860331e-02	3.572309499580912651e-02	5.042573355337306301e-03
4.096050000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	4.096050000000000000e+12	7.980582111253965716e-02	3.557302995628150444e-02	5.020517944420428529e-03
4.245860000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	4.245860000000000000e+12	8.959568297834710759e-02	3.535877573571519911e-02	5.042977830740271415e-03
4.383450000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	4.383450000000000000e+12	9.951061042155143199e-02	3.553193351114963816e-02	5.044959374074260185e-03
4.510800000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	4.510800000000000000e+12	1.087709104495950957e-01	3.542911076858743652e-02	5.082864433557310151e-03
4.629430000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	4.629430000000000000e+12	1.194189116440981385e-01	3.561928533437672129e-02	5.042468774892911593e-03
4.740500000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	4.740500000000000000e+12	1.297722220223749834e-01	3.592484511944676884e-02	5.013582287626300316e-03
4.844980000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	4.844980000000000000e+12	1.388458413307779582e-01	3.584801231432916541e-02	5.018748564771247957e-03
4.943630000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	4.943630000000000000e+12	1.498017447999543950e-01	3.568700487055685711e-02	5.038335347802334364e-03
5.037080000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	5.037080000000000000e+12	1.587344804305321488e-01	3.537046416235276047e-02	5.077816238830460370e-03
5.125860000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	5.125860000000000000e+12	1.698154010631142685e-01	3.574256370733994159e-02	4.978352996926946501e-03
5.210430000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	5.210430000000000000e+12	1.797587899736487194e-01	3.510395040560242153e-02	5.046900096396344029e-03
5.291170000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	5.291170000000000000e+12	1.891303807574891971e-01	3.530632948317147940e-02	5.042424204745197570e-03
5.368410000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	5.368410000000000000e+12	1.971469063555192913e-01	3.542059477132655093e-02	5.030332741714193742e-03
5.442440000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	5.442440000000000000e+12	2.090100506344142461e-01	3.575898437719667033e-02	5.042657079719161696e-03
5.513500000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	5.513500000000000000e+12	2.182245562172454023e-01	3.539767144503162821e-02	5.026234523646775330e-03
5.581830000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	5.581830000000000000e+12	2.288964599571840786e-01	3.556146666249557914e-02	5.088995730614116753e-03
5.647610000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	5.647610000000000000e+12	2.397161189370220213e-01	3.545974631202943733e-02	5.089538063104608566e-03
5.711030000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	5.711030000000000000e+12	2.480447836190907418e-01	3.558196265524727481e-02	5.040011409262691068e-03
5.772230000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	5.772230000000000000e+12	2.571189473414965398e-01	3.559433005641330500e-02	5.022570001608375398e-03
5.831360000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	5.831360000000000000e+12	2.696410263826078402e-01	3.558513392525109592e-02	5.054962494678124502e-03
5.888550000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	5.888550000000000000e+12	2.795169390648902796e-01	3.588580914857589232e-02	5.057242656089592364e-03
5.943910000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	5.943910000000000000e+12	2.895693048719902851e-01	3.570815187165330556e-02	5.037159335644512438e-03
5.997540000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	5.997540000000000000e+12	2.975592257297562937e-01	3.560832016246302800e-02	5.057905844081666234e-03
6.049540000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	6.049540000000000000e+12	3.093999886806568789e-01	3.524391476102693710e-02	4.990869981260798519e-03
6.100000000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	6.100000000000000000e+12	3.176199904046734246e-01	3.579608495094005471e-02	5.070099352091908367e-03
6.149000000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	6.149000000000000000e+12	3.295346112885516598e-01	3.573830518600511208e-02	5.033654931851459097e-03
6.196610000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	6.196610000000000000e+12	3.374582520508914718e-01	3.570158277874925512e-02	5.058385687045765210e-03
6.242890000000000000e+12	1.500000000000000000e+05	1.000000000000000000e+02	6.242890000000000000e+12	3.494616394626490208e-01	3.567605218240475079e-02	5.061584345932551750e-03
