# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs
3.540540000000000000e+12	6.397999999999999545e+02	6.397999999999999243e-01	2.265237492000000000e+10	5.000000000000000000e+01	1.836585889569164378e-03	1.026702117201151732e-01	2.929649351039737004e-02	2.784298867023530732e+01	1.772241382183598901e+01	6.274691503276319580e+11
3.748020000000000000e+12	8.433999999999999773e+02	8.433999999999999275e-01	3.161080068000000000e+10	6.000000000000000000e+01	2.404666481955075423e-03	1.157886705327594717e-01	2.863928432123315909e-02	2.536857022541303053e+01	2.135875740436419079e+01	8.005304992670506592e+11
3.931350000000000000e+12	1.039400000000000091e+03	1.039399999999999880e+00	4.086245190000000000e+10	7.000000000000000000e+01	2.984261645198671604e-03	1.059337536823403980e-01	2.954413737911879001e-02	2.367256143873261465e+01	2.459696699321202829e+01	9.669928618876409912e+11
4.096050000000000000e+12	1.246599999999999909e+03	1.246599999999999708e+00	5.106135930000000000e+10	8.000000000000000000e+01	3.610787556243622194e-03	1.104945608359520354e-01	2.868827384286530904e-02	2.221065072765041393e+01	2.767439934451827099e+01	1.133557234351140625e+12
4.245860000000000000e+12	1.420000000000000000e+03	1.419999999999999929e+00	6.029121200000000000e+10	9.000000000000000000e+01	4.644510815123225993e-03	1.066988578519613984e-01	2.854550832709534802e-02	1.953916649786578930e+01	2.780709160722288331e+01	1.180650179714433594e+12
4.383450000000000000e+12	1.565599999999999909e+03	1.565599999999999881e+00	6.862729320000000000e+10	1.000000000000000000e+02	5.353300431659135591e-03	1.045274614379732708e-01	2.902936937653303323e-02	1.872390735872629008e+01	2.930936235443232363e+01	1.284761244125363770e+12
4.510800000000000000e+12	1.715599999999999909e+03	1.715599999999999792e+00	7.738728480000000000e+10	1.100000000000000000e+02	6.187904189718551780e-03	1.024168639638251832e-01	2.874570783977270505e-02	1.798574360159290464e+01	3.090233833958374277e+01	1.393942677821943604e+12
4.629430000000000000e+12	1.821400000000000091e+03	1.821399999999999908e+00	8.432043802000000000e+10	1.200000000000000000e+02	7.357174116651776959e-03	1.117878267639121209e-01	2.850415899116192503e-02	1.633604015615731342e+01	2.975774569093098876e+01	1.377614006339666504e+12
4.740500000000000000e+12	2.029000000000000000e+03	2.028999999999999915e+00	9.618474500000000000e+10	1.300000000000000000e+02	7.568084704433886319e-03	1.097256623410708815e-01	2.856522023653215725e-02	1.725927712899055422e+01	3.501357067570129544e+01	1.659818317881619873e+12
4.844980000000000000e+12	2.121400000000000091e+03	2.121400000000000396e+00	1.027814057200000000e+11	1.400000000000000000e+02	8.553746680672703190e-03	9.673162462702855624e-02	2.927135404666313806e-02	1.641917465726357506e+01	3.484994329947416247e+01	1.688472782870863525e+12
4.943630000000000000e+12	2.318199999999999818e+03	2.318200000000000038e+00	1.146032306600000000e+11	1.500000000000000000e+02	9.618029531071669441e-03	1.074134288666187542e-01	2.821863517802509699e-02	1.565314864761921854e+01	3.626620438270454372e+01	1.792866959724696045e+12
5.037080000000000000e+12	2.398800000000000182e+03	2.398800000000000043e+00	1.208294750400000000e+11	1.600000000000000000e+02	1.063853466406499207e-02	1.097211159472248482e-01	2.837041889813857187e-02	1.505616252418456646e+01	3.612514055238049338e+01	1.819652229735847168e+12
5.125860000000000000e+12	2.557199999999999818e+03	2.557199999999999918e+00	1.310784919200000000e+11	1.700000000000000000e+02	1.223581159871400814e-02	1.077299882584774604e-01	2.820266185636345277e-02	1.391229377846416959e+01	3.556345885671137097e+01	1.822933112152625732e+12
5.210430000000000000e+12	2.606199999999999818e+03	2.606200000000000294e+00	1.357942266600000000e+11	1.800000000000000000e+02	1.273146779229250569e-02	1.009728315681966138e-01	2.858932448977610091e-02	1.426761714060566533e+01	3.713106129152728130e+01	1.934687956852125000e+12
5.291170000000000000e+12	2.678199999999999818e+03	2.678199999999999914e+00	1.417081149400000000e+11	1.900000000000000000e+02	1.325026478025392862e-02	1.101032006601909280e-01	2.799557441413309464e-02	1.441184992412227039e+01	3.862066081654064931e+01	2.043484818926553955e+12
5.368410000000000000e+12	2.752800000000000182e+03	2.752799999999999692e+00	1.477815904800000000e+11	2.000000000000000000e+02	1.543983475000345641e-02	1.011461423063898801e-01	2.837357582456397423e-02	1.299832894424786467e+01	3.579308718274705825e+01	1.921519671627311035e+12
5.442440000000000000e+12	2.840800000000000182e+03	2.840800000000000214e+00	1.546088355200000000e+11	2.100000000000000000e+02	1.651332091173571964e-02	9.606386103444339297e-02	2.815507114240389797e-02	1.275081387794363330e+01	3.619239036222404593e+01	1.969749130029826172e+12
5.513500000000000000e+12	2.879199999999999818e+03	2.879199999999999982e+00	1.587446920000000000e+11	2.200000000000000000e+02	1.717696166091968804e-02	1.036798896125585567e-01	2.850629352757019785e-02	1.286162517970738861e+01	3.702000346614657644e+01	2.041097891105991699e+12
5.581830000000000000e+12	2.856599999999999909e+03	2.856599999999999806e+00	1.594505557800000000e+11	2.300000000000000000e+02	1.811882545717367204e-02	9.620094503843498734e-02	2.772626913437927637e-02	1.278580481735918184e+01	3.652596704009896911e+01	2.038817386034356201e+12
5.647610000000000000e+12	2.931599999999999909e+03	2.931599999999999984e+00	1.655653347600000000e+11	2.400000000000000000e+02	1.965600486350354073e-02	1.055739763952087407e-01	2.860482899523083405e-02	1.227952888295169487e+01	3.602040114666644399e+01	2.034291777199248779e+12
5.711030000000000000e+12	2.944199999999999818e+03	2.944199999999999928e+00	1.681441452600000000e+11	2.500000000000000000e+02	2.006420955489716246e-02	1.010809640100954476e-01	2.852260673578503256e-02	1.253488000105837941e+01	3.691347044495760343e+01	2.108139371152662598e+12
5.772230000000000000e+12	2.989599999999999909e+03	2.989600000000000257e+00	1.725665880800000000e+11	2.600000000000000000e+02	2.151051054413528549e-02	1.126000596193576370e-01	2.869236995297427817e-02	1.208924191472821086e+01	3.613904491247744488e+01	2.086028792151496826e+12
5.831360000000000000e+12	3.086199999999999818e+03	3.086199999999999832e+00	1.799674323200000000e+11	2.700000000000000000e+02	2.299236084163567423e-02	1.061243597760963275e-01	2.824490247664668274e-02	1.177364368327294741e+01	3.633611337309109501e+01	2.118889580793084717e+12
5.888550000000000000e+12	3.111599999999999909e+03	3.111600000000000144e+00	1.832281218000000000e+11	2.800000000000000000e+02	2.358425729399869081e-02	1.086317744890464010e-01	2.816014146654595776e-02	1.192399932663026618e+01	3.708728187898756090e+01	2.183903137085121826e+12
5.943910000000000000e+12	3.141400000000000091e+03	3.141399999999999970e+00	1.867219887400000000e+11	2.900000000000000000e+02	2.595524392301058400e-02	1.138457074746023201e-01	2.871411255023346293e-02	1.118241246076781081e+01	3.513115504464139605e+01	2.088164237813944824e+12
5.997540000000000000e+12	3.160199999999999818e+03	3.160199999999999676e+00	1.895342590800000000e+11	3.000000000000000000e+02	2.568538717637238594e-02	1.009642351077858075e-01	2.872205349238637906e-02	1.173006045940203101e+01	3.706721244463194864e+01	2.223120893251778809e+12
6.049540000000000000e+12	3.210599999999999909e+03	3.210599999999999454e+00	1.942265312400000000e+11	3.100000000000000000e+02	2.668324294672856992e-02	1.044733956290450072e-01	2.796104811008574484e-02	1.166542250871301079e+01	3.744562132926695597e+01	2.265287840562536133e+12
6.100000000000000000e+12	3.232599999999999909e+03	3.232600000000000140e+00	1.971886000000000000e+11	3.200000000000000000e+02	2.884376350395996200e-02	1.071604283506962518e-01	2.833132887814250253e-02	1.110431630812918691e+01	3.589460543951274474e+01	2.189570931810277344e+12
6.149000000000000000e+12	3.261599999999999909e+03	3.261600000000000055e+00	2.005557840000000000e+11	3.300000000000000000e+02	3.012837140628334825e-02	9.926919963079136600e-02	2.832578431961351242e-02	1.100246250758922173e+01	3.585616014382092942e+01	2.204795287243549316e+12
6.196610000000000000e+12	3.342400000000000091e+03	3.342399999999999149e+00	2.071154926400000000e+11	3.400000000000000000e+02	3.280395380529625704e-02	1.083386303001784706e-01	2.791567488564875021e-02	1.038819326505629626e+01	3.472896660271682379e+01	2.152018617400610840e+12
6.242890000000000000e+12	3.363800000000000182e+03	3.363799999999999901e+00	2.099983338200000000e+11	3.500000000000000000e+02	3.045993997122877633e-02	1.019839455802047379e-01	2.788972165052934840e-02	1.152583486244023270e+01	3.876098816169190542e+01	2.419805853847447266e+12
6.287920000000000000e+12	3.428800000000000182e+03	3.428800000000000292e+00	2.156002009600000000e+11	3.600000000000000000e+02	3.288159884132255822e-02	1.071986828432482247e-01	2.898708313253745006e-02	1.098485101836509159e+01	3.766301143862237666e+01	2.368220028851424316e+12
6.331740000000000000e+12	3.453199999999999818e+03	3.453200000000000269e+00	2.186476456800000000e+11	3.700000000000000000e+02	3.367848924849568132e-02	1.012026498518122375e-01	2.790058297140949814e-02	1.098974521430445961e+01	3.794885719720171124e+01	2.402822970698099609e+12
6.374420000000000000e+12	3.493400000000000091e+03	3.493399999999999839e+00	2.226839882800000000e+11	3.800000000000000000e+02	3.603211598343705052e-02	1.001437768809193274e-01	2.827082450588013635e-02	1.059858035647018859e+01	3.704936144309002799e+01	2.361681905700619141e+12
6.416000000000000000e+12	3.489000000000000000e+03	3.488999999999999879e+00	2.238542400000000000e+11	3.900000000000000000e+02	3.740096464957787248e-02	1.023908405370936026e-01	2.784411879671953166e-02	1.047907536673315043e+01	3.654296415102779605e+01	2.344596579929943848e+12
6.456530000000000000e+12	3.522800000000000182e+03	3.522800000000000153e+00	2.274506388400000000e+11	4.000000000000000000e+02	3.830307197074489522e-02	1.091988365628412810e-01	2.797585996226252883e-02	1.047842710288084156e+01	3.690498651291278520e+01	2.382781525702167969e+12
6.496060000000000000e+12	3.513800000000000182e+03	3.513799999999998924e+00	2.282585562800000000e+11	4.100000000000000000e+02	4.159767588363365298e-02	1.040299553852109121e-01	2.795851225144539362e-02	9.868359928090420397e+00	3.466830096568217101e+01	2.252073631711293457e+12
6.534620000000000000e+12	3.590599999999999909e+03	3.590599999999999792e+00	2.346320657200000000e+11	4.200000000000000000e+02	4.253110300194293952e-02	1.073810171697251042e-01	2.846358130352412072e-02	9.901538911867225679e+00	3.553573886624318590e+01	2.322125499101300781e+12
6.572250000000000000e+12	3.645800000000000182e+03	3.645799999999999930e+00	2.396110905000000000e+11	4.300000000000000000e+02	4.527482996326170905e-02	1.027596228139192186e-01	2.844603393735281593e-02	9.514694931071213446e+00	3.469729661969650181e+01	2.280393077088002930e+12
6.608990000000000000e+12	3.664000000000000000e+03	3.664000000000000146e+00	2.421533936000000000e+11	4.400000000000000000e+02	4.584122577887228545e-02	1.026729538022214533e-01	2.847300407738004996e-02	9.637190226189401798e+00	3.530514425195831052e+01	2.333313453097500000e+12
