# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs
1.363764000000000000e+12	3.530800000000000409e+02	3.530800000000000050e-01	2.407588965600000000e+10	1.004000000000000057e+02	3.019157674152893669e-02	2.028737226509482600e-02	5.973863479154561777e-03	6.716025515848690342e-01	1.185523149154311895e+00	8.083868959916403198e+10
1.365024000000000000e+12	3.490800000000000409e+02	3.490800000000000014e-01	2.382512889600000000e+10	1.007999999999999972e+02	3.029011245221454457e-02	2.032128367817662845e-02	5.936399072119887509e-03	6.664617402014677561e-01	1.162611703491260640e+00	7.934964389732272339e+10
1.366278000000000000e+12	3.493600000000000136e+02	3.493600000000000039e-01	2.386614410400000000e+10	1.012000000000000028e+02	2.846051056559190107e-02	2.114375593902919487e-02	5.947372368636761122e-03	7.166999346870513987e-01	1.251558428741472273e+00	8.549883734520205688e+10
1.367526000000000000e+12	3.588400000000000318e+02	3.588399999999999923e-01	2.453615149200000000e+10	1.015999999999999943e+02	3.115719642389876837e-02	2.134478582005860242e-02	5.859862825509582103e-03	6.560434988227278330e-01	1.177263870731328099e+00	8.049694760428649902e+10
1.368770000000000000e+12	3.633600000000000136e+02	3.633600000000000163e-01	2.486781336000000000e+10	1.020000000000000000e+02	2.901462277640348697e-02	2.046548899247178227e-02	5.980508370740626398e-03	7.050367336065984647e-01	1.280968516441086003e+00	8.766756381245326233e+10
1.370006000000000000e+12	3.595199999999999818e+02	3.595199999999999507e-01	2.462722785600000000e+10	1.024000000000000057e+02	2.751032879820968294e-02	2.223553890242518580e-02	5.878763768222775715e-03	7.454023096799284875e-01	1.339992943838919093e+00	9.178991865084909058e+10
1.371240000000000000e+12	3.661999999999999886e+02	3.662000000000000255e-01	2.510740440000000000e+10	1.027999999999999972e+02	2.870320524847557245e-02	2.104885153126394640e-02	5.998575436581364724e-03	7.189294968925505902e-01	1.315770246915671793e+00	9.021183966903228760e+10
1.372466000000000000e+12	3.612800000000000296e+02	3.612799999999999900e-01	2.479222582400000000e+10	1.032000000000000028e+02	2.622430522211743886e-02	2.238597618216704027e-02	5.955731726923720569e-03	7.906577242902346203e-01	1.428556542297759524e+00	9.803226416906184387e+10
1.373688000000000000e+12	3.741599999999999682e+02	3.741599999999999371e-01	2.569895510400000000e+10	1.035999999999999943e+02	2.813232160374809498e-02	2.048324845149732815e-02	5.888158037666988559e-03	7.427880909260697884e-01	1.390480290027142907e+00	9.550430443234030151e+10
1.374906000000000000e+12	3.731200000000000045e+02	3.731200000000000072e-01	2.565024633600000000e+10	1.040000000000000000e+02	2.556753892575215972e-02	2.086067579512999523e-02	5.976229223495495117e-03	8.182472769899910015e-01	1.527076996983750545e+00	1.049793662807470093e+11
1.376118000000000000e+12	3.716800000000000068e+02	3.716800000000000104e-01	2.557377691200000000e+10	1.044000000000000057e+02	2.961962405138819990e-02	2.089115761355011050e-02	5.951655525620271406e-03	7.072477625526170097e-01	1.315343393203004974e+00	9.050338597838664246e+10
