# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
6.812500000000000000e+10	1.000000000000000000e+03	1.000000000000000000e+00	6.812500000000000000e+10	4.991358688203496353e-03	3.571013779117432081e-04	5.073250420739453329e-05
7.830100000000000000e+10	1.000000000000000000e+03	1.000000000000000000e+00	7.830100000000000000e+10	9.981302960495543400e-03	3.604870725019118562e-04	5.094283403161867186e-05
8.259610000000000000e+10	1.000000000000000000e+03	1.000000000000000000e+00	8.259610000000000000e+10	1.476244623113524140e-02	3.580120548592249105e-04	5.040574755488232497e-05
8.420630000000000000e+10	1.000000000000000000e+03	1.000000000000000000e+00	8.420630000000000000e+10	1.969499318621038830e-02	3.560564814130700467e-04	5.062697818278367383e-05
8.429120000000000000e+10	1.000000000000000000e+03	1.000000000000000000e+00	8.429120000000000000e+10	2.486536424043045770e-02	3.619759858580326906e-04	5.079640130376209813e-05
8.341990000000000000e+10	1.000000000000000000e+03	1.000000000000000000e+00	8.341990000000000000e+10	2.982285602447518058e-02	3.579048308968981406e-04	5.040501673533599980e-05
8.191780000000000000e+10	1.000000000000000000e+03	1.000000000000000000e+00	8.191780000000000000e+10	3.467538269102466569e-02	3.601211143726762908e-04	5.022190431382672881e-05
7.998990000000000000e+10	1.000000000000000000e+03	1.000000000000000000e+00	7.998990000000000000e+10	3.991942882048297309e-02	3.525068596188032119e-04	5.008332775960519062e-05
7.777310000000000000e+10	1.000000000000000000e+03	1.000000000000000000e+00	7.777310000000000000e+10	4.477236324533886980e-02	3.588552070874743310e-04	5.037847255666878132e-05
7.536350000000000000e+10	1.000000000000000000e+03	1.000000000000000000e+00	7.536350000000000000e+10	4.975185496789769762e-02	3.586895543045598607e-04	5.069032487402698993e-05
