,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,0.1,502,2,100000.0,0.01715,0.00243,5.72,1.17662360156545,6818820000000.0,100000.0,100.0,6818820000000.0,502.0,0.5016625256853331,0.035371495309724985,0.005288932645819006,1.000672711827948,100.06727118279483,6823407100866.649
1,1,0.1,504,2,100000.0,0.01715,0.00243,5.72,1.17747901516844,6825120000000.0,100000.0,100.0,6825120000000.0,504.0,0.5023349138006665,0.03432817482318412,0.00497596179139514,1.003314693352161,100.33146933521613,6847743179891.702
2,2,0.1,506,2,100000.0,0.01715,0.00243,5.72,1.17837189466193,6831390000000.0,100000.0,100.0,6831390000000.0,506.0,0.5057253573539242,0.0350817350674364,0.004854003633882784,1.0005430667892803,100.05430667892801,6835099901033.621
3,3,0.1,508,2,100000.0,0.01715,0.00243,5.72,1.1791362468331,6837630000000.0,100000.0,100.0,6837630000000.0,508.0,0.5075998461051086,0.03893306017801398,0.004808348016785412,1.0007883254850487,100.07883254850486,6843020277986.334
4,4,0.1,510,2,100000.0,0.01715,0.00243,5.72,1.18000708146274,6843850000000.0,100000.0,100.0,6843850000000.0,510.0,0.5096453753972128,0.03430533563515437,0.005612741175590292,1.0006958261958343,100.06958261958344,6848612130110.36
5,5,0.1,512,2,100000.0,0.01715,0.00243,5.72,1.18089388467086,6850030000000.0,100000.0,100.0,6850030000000.0,512.0,0.5115365079507797,0.038524362285927066,0.005463761679225783,1.0009060781430383,100.09060781430384,6856236662462.157
6,6,0.1,514,2,100000.0,0.01715,0.00243,5.72,1.18169303123046,6856200000000.0,100000.0,100.0,6856200000000.0,514.0,0.5137577256045915,0.03388546715783908,0.004815363410250514,1.000471573240331,100.0471573240331,6859433200450.356
7,7,0.1,516,2,100000.0,0.01715,0.00243,5.72,1.18256256858225,6862330000000.0,100000.0,100.0,6862330000000.0,516.0,0.5150300177867848,0.03547261999642265,0.005540768556244507,1.0018833508333815,100.18833508333815,6875254174924.438
8,8,0.1,518,2,100000.0,0.01715,0.00243,5.72,1.18333929872482,6868440000000.0,100000.0,100.0,6868440000000.0,518.0,0.5161983947256203,0.03931342386243243,0.005301561411330521,1.0034901411798023,100.3490141179802,6892411825285.0
9,9,0.1,520,2,100000.0,0.01715,0.00243,5.72,1.18413280440169,6874530000000.0,100000.0,100.0,6874530000000.0,520.0,0.5189102879236316,0.034958874881481805,0.005547456035469038,1.002100000909076,100.21000009090758,6888966519249.469
10,10,0.1,522,2,100000.0,0.01715,0.00243,5.72,1.184814908884,6880590000000.0,100000.0,100.0,6880590000000.0,522.0,0.5211251056409765,0.038055318848093225,0.0049133641697980705,1.0016788566690669,100.16788566690668,6892141524408.615
11,11,0.1,524,2,100000.0,0.01715,0.00243,5.72,1.18564428721044,6886620000000.0,100000.0,100.0,6886620000000.0,524.0,0.5234671819807772,0.03367504941945643,0.00488539268155673,1.0010178632731217,100.10178632731215,6893629637573.945
12,12,0.1,526,2,100000.0,0.01715,0.00243,5.72,1.18623535979449,6892620000000.0,100000.0,100.0,6892620000000.0,526.0,0.3581191057772074,0.03725989817790573,0.004736441415425185,1.4687850815958263,146.87850815958268,10123777429109.023
13,13,0.1,528,2,100000.0,0.01715,0.00243,5.72,1.18691311580508,6898610000000.0,100000.0,100.0,6898610000000.0,528.0,0.526764690680011,0.033316027619385194,0.004763979221011593,1.0023450875539783,100.23450875539784,6914787844450.752
