,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs
0,0,0.1,502,2,100000.0,0.01715,0.00243,5.72,1.17662360156545,6818820000000.0,2766.0,2.7659999999999996,188608561200.0,502.0,0.15398435731909785,0.10232187119537524,0.03035304098550795,3.270019384246596,9.043794487578095,616680067277.8727
1,1,0.1,504,2,100000.0,0.01715,0.00243,5.72,1.17747901516844,6825120000000.0,2777.8,2.7778,189588183360.0,504.0,0.15222148377722533,0.10902422931979032,0.030483921912242435,3.3161401088445666,9.219842587108115,629265320381.2336
2,2,0.1,506,2,100000.0,0.01715,0.00243,5.72,1.17837189466193,6831390000000.0,2821.6,2.8216,192754500240.0,506.0,0.15262194246153055,0.11110876713696292,0.029711528854814127,3.3343593000322116,9.405540733935904,642529169144.024
3,3,0.1,508,2,100000.0,0.01715,0.00243,5.72,1.1791362468331,6837630000000.0,2865.6,2.8656,195939125280.0,508.0,0.15455812910561234,0.10711140822424364,0.03020823516965189,3.297597238709824,9.458250178558608,646720151684.177
4,4,0.1,510,2,100000.0,0.01715,0.00243,5.72,1.18000708146274,6843850000000.0,2884.6,2.8846,197417697100.0,510.0,0.15658557426418157,0.10677959197483186,0.029903192282434616,3.261690474744064,9.406171841652228,643744291584.9159
5,5,0.1,512,2,100000.0,0.01715,0.00243,5.72,1.18089388467086,6850030000000.0,2964.2,2.9641999999999995,203048589260.0,512.0,0.14023672549083127,0.1062472706588478,0.029962705795008572,3.65359998497154,10.830017540674415,741859450541.4597
6,6,0.1,514,2,100000.0,0.01715,0.00243,5.72,1.18169303123046,6856200000000.0,2952.4,2.9524,202422448800.0,514.0,0.14116123680505552,0.10512025490455491,0.02963868978800941,3.6503141376225834,10.781245399917973,739183747109.176
7,7,0.1,516,2,100000.0,0.01715,0.00243,5.72,1.18256256858225,6862330000000.0,3010.6,3.0106,206597306980.0,516.0,0.1453716333407556,0.10692819892010104,0.03010641561379108,3.5530036093014714,10.698710364978968,734180810989.0612
8,8,0.1,518,2,100000.0,0.01715,0.00243,5.72,1.18333929872482,6868440000000.0,2965.0,2.965,203649246000.0,518.0,0.14800907532933252,0.1107817643796719,0.03009484613000448,3.5158277978063355,10.428283158230451,716260371753.1637
9,9,0.1,520,2,100000.0,0.01715,0.00243,5.72,1.18413280440169,6874530000000.0,3018.2,3.0182,207487064460.0,520.0,0.14557972874597452,0.10699729490831413,0.02989667435149572,3.59583911688604,10.846944035251676,745676421786.587
10,10,0.1,522,2,100000.0,0.01715,0.00243,5.72,1.184814908884,6880590000000.0,3019.8,3.0198,207780056820.0,522.0,0.14508857355715463,0.10397458779489924,0.030379158865171087,3.6139409649737937,10.91866424396156,751268520103.5947
11,11,0.1,524,2,100000.0,0.01715,0.00243,5.72,1.18564428721044,6886620000000.0,3048.2,3.0482,209917950840.0,524.0,0.13932023504332847,0.10747481586008947,0.03025693518283908,3.7654954589329326,11.4793635381631,790540145291.8479
12,12,0.1,526,2,100000.0,0.01715,0.00243,5.72,1.18623535979449,6892620000000.0,3096.6,3.0965999999999996,213436870920.0,526.0,0.1440206960906835,0.10895444480413415,0.02992563162548072,3.6621349280467848,11.334877548321003,781270036871.0833
13,13,0.1,528,2,100000.0,0.01715,0.00243,5.72,1.18691311580508,6898610000000.0,3113.8,3.1138,214808918180.0,528.0,0.13535484435767559,0.10689048327785908,0.030137882865380817,3.91910923656622,12.215348766626692,842689271549.3857
14,14,0.1,530,2,100000.0,0.01715,0.00243,5.72,1.18740617352132,6904560000000.0,3087.2,3.0872,213157576320.0,530.0,0.14115737163776884,0.1043259077373974,0.02954866878515992,3.7770771297711514,11.676019617521447,806177780103.539
15,15,0.1,532,2,100000.0,0.01715,0.00243,5.72,1.18810554884438,6910490000000.0,3143.8,3.1438,217251984620.0,532.0,0.13416201702382297,0.10473280751984573,0.029908422997507823,3.97200244963632,12.484435416891978,862735661040.7786
16,16,0.1,534,2,100000.0,0.01715,0.00243,5.72,1.18943277689967,6916400000000.0,3182.8,3.1828,220135179200.0,534.0,0.13650953841834051,0.09851461182096329,0.02936377509500217,3.929680246090931,12.493139521985787,864075501898.6251
17,17,0.1,536,2,100000.0,0.01715,0.00243,5.72,1.19165789569026,6922280000000.0,3198.2,3.1982,221388358960.0,536.0,0.13319740294894017,0.1047234917281133,0.029757843260327096,4.045301177849015,12.934419355270112,895356724145.9918
18,18,0.1,538,2,100000.0,0.01715,0.00243,5.72,1.1933953170949,6928140000000.0,3243.6,3.2436,224721149040.0,538.0,0.1366460111949664,0.10590157000569866,0.029575097345230467,3.9581004070584584,12.843379513509324,889807313427.2448
19,19,0.1,540,2,100000.0,0.01715,0.00243,5.72,1.19462031821519,6933970000000.0,3223.0,3.2230000000000003,223481853100.0,540.0,0.1286285484916334,0.10904845248492648,0.0296871617872283,4.20812334845612,13.55675271649541,940021166335.9768
20,20,0.1,542,2,100000.0,0.01715,0.00243,5.72,1.19557065892945,6939780000000.0,3257.6,3.2576,226070273280.0,542.0,0.12788441908171536,0.1129174562745408,0.029800259854797048,4.270187980333626,13.898872746260611,964551191070.4448
21,21,0.1,544,2,100000.0,0.01715,0.00243,5.72,1.19668353378915,6945560000000.0,3324.8,3.3248000000000006,230925978880.0,544.0,0.13302181113083403,0.10317087316483405,0.029653786759618554,4.144095385146694,13.78531011216052,957466985026.1763
22,22,0.1,546,2,100000.0,0.01715,0.00243,5.72,1.19757869607337,6951320000000.0,3355.2,3.3552,233230688640.0,546.0,0.12681529988194598,0.10632585925418044,0.02987780753476412,4.328542851007844,14.524541558159797,1009647362240.6736
23,23,0.1,548,2,100000.0,0.01715,0.00243,5.72,1.19860065465315,6957060000000.0,3368.2,3.3682000000000003,234327694920.0,548.0,0.12906462383925826,0.10775336891682288,0.030067485307367223,4.287802184679063,14.416406241637928,1002958032074.4956
24,24,0.1,550,2,100000.0,0.01715,0.00243,5.72,1.19963845879841,6962770000000.0,3414.2,3.4142,237722893340.0,550.0,0.123272208877961,0.10705056714143096,0.030343962594137942,4.468233284375719,15.261062982727724,1062592715042.471
25,25,0.1,552,2,100000.0,0.01715,0.00243,5.72,1.20065872263705,6968460000000.0,3379.6,3.3796,235506074160.0,552.0,0.12981325470586852,0.10840732235567765,0.02989715257734003,4.291269300947269,14.507259326752083,1010932563280.9882
