# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	PhotonEnergy	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM	EnergyPerMilPerBw	FluxPerMilPerBwPerc	FluxPerMilPerBwAbs
3.011670000000000000e+12	1.300000000000000000e+01	1.300000000000000114e-02	3.915171000000000000e+08	3.000000000000000000e+01	1.748724229946162483e-03	1.335740068516842460e-01	2.021626570431518319e-02	1.806230211003901687e+01	2.321219151599211161e-01	6.990746082296796799e+09
3.300160000000000000e+12	2.139999999999999858e+01	2.140000000000000235e-02	7.062342400000000000e+08	4.000000000000000000e+01	2.563544170590478007e-03	1.262652622501974631e-01	1.952490047076652774e-02	1.606370723474166340e+01	3.377159330562325423e-01	1.114516613634856606e+10
3.540540000000000000e+12	3.439999999999999858e+01	3.440000000000000002e-02	1.217945760000000000e+09	5.000000000000000000e+01	3.119992949336783915e-03	1.295356548946708097e-01	2.011189196606376003e-02	1.615211551242702015e+01	5.535303166465991298e-01	1.959796227299950027e+10
3.748020000000000000e+12	4.900000000000000000e+01	4.900000000000000189e-02	1.836529800000000000e+09	6.000000000000000000e+01	4.675802788378043140e-03	1.315115912275549304e-01	2.043643895930302018e-02	1.303259276821249912e+01	6.430889595913763523e-01	2.410310282327669907e+10
3.931350000000000000e+12	5.620000000000000284e+01	5.620000000000000689e-02	2.209418700000000000e+09	7.000000000000000000e+01	5.938982686643773726e-03	1.262097667883319563e-01	2.062361991621589757e-02	1.180996021635070647e+01	6.645859408674323898e-01	2.612719938629180527e+10
4.096050000000000000e+12	7.959999999999999432e+01	7.960000000000000409e-02	3.260455800000000000e+09	8.000000000000000000e+01	6.938184388889265426e-03	1.292377867552926551e-01	2.132257047143470974e-02	1.155950555378883493e+01	9.214944888432985426e-01	3.774487501026591492e+10
4.245860000000000000e+12	1.094000000000000057e+02	1.093999999999999834e-01	4.644970840000000000e+09	9.000000000000000000e+01	5.778170923554214015e-03	8.052273213501109916e-02	2.412243655257712699e-02	1.734964970141131602e+01	1.887758898451239675e+00	8.015159996578179932e+10
4.383450000000000000e+12	1.314000000000000057e+02	1.314000000000000168e-01	5.759853300000000000e+09	1.000000000000000000e+02	8.875599489121555399e-03	7.558801118006311381e-02	2.108480835251872604e-02	1.163383231053517974e+01	1.540280725563181630e+00	6.751743546469929504e+10
4.510800000000000000e+12	1.444000000000000057e+02	1.444000000000000283e-01	6.513595200000000000e+09	1.100000000000000000e+02	8.210408588882955189e-03	9.453038918400526180e-02	2.454357811584828228e-02	1.517585017686363358e+01	2.230120539623274833e+00	1.005962773013266907e+11
4.629430000000000000e+12	1.671999999999999886e+02	1.671999999999999875e-01	7.740406960000000000e+09	1.200000000000000000e+02	8.672896668218754018e-03	9.941589464833203160e-02	2.334567099596265155e-02	1.581601606913666203e+01	2.599090069496496458e+00	1.203230554042916565e+11
4.740500000000000000e+12	1.814000000000000057e+02	1.814000000000000057e-01	8.599267000000000000e+09	1.300000000000000000e+02	9.480551524779912489e-03	1.128241823706921110e-01	2.401328289924745119e-02	1.422937875962708532e+01	2.573424340193853688e+00	1.219931808468896027e+11
4.844980000000000000e+12	1.724000000000000057e+02	1.724000000000000254e-01	8.352745520000000000e+09	1.400000000000000000e+02	1.214248691030661575e-02	1.025031742411571106e-01	2.160855637214548555e-02	1.239300319045000265e+01	2.087924539558618786e+00	1.011595263567071838e+11
4.943630000000000000e+12	1.770000000000000000e+02	1.770000000000000184e-01	8.750225100000000000e+09	1.500000000000000000e+02	1.180633086038369514e-02	1.205993588826103774e-01	2.508963541287788715e-02	1.394216183402170905e+01	2.481584134019402477e+00	1.226803377246234131e+11
5.037080000000000000e+12	1.544000000000000057e+02	1.544000000000000095e-01	7.777251520000000000e+09	1.600000000000000000e+02	9.937861501310863571e-03	9.965011850721330888e-02	2.543585602075756208e-02	2.581418720238851705e+01	4.045033883491935711e+00	2.037515927385956421e+11
5.125860000000000000e+12	1.344000000000000057e+02	1.344000000000000195e-01	6.889155840000000000e+09	1.700000000000000000e+02	1.458672186039962002e-02	9.154660311949343321e-02	2.429006808462462128e-02	1.226432860314091577e+01	1.634018640493533736e+00	8.375750788560185242e+10
5.210430000000000000e+12	1.260000000000000000e+02	1.260000000000000009e-01	6.565141800000000000e+09	1.800000000000000000e+02	1.895840500971530604e-02	8.468369872167787193e-02	2.291404026793528170e-02	1.317418853301291470e+01	1.678662491958995862e+00	8.746553407977909851e+10
5.291170000000000000e+12	9.220000000000000284e+01	9.219999999999999030e-02	4.878458740000000000e+09	1.900000000000000000e+02	1.947619423485971030e-02	1.183274409502872437e-01	1.929765143706135833e-02	9.894500042435307563e+00	9.162458254887393405e-01	4.848012424451252747e+10
5.368410000000000000e+12	8.620000000000000284e+01	8.620000000000001272e-02	4.627569420000000000e+09	2.000000000000000000e+02	2.291662315990734833e-02	1.280096943219619088e-01	2.012752526043401491e-02	8.752338022781213311e+00	7.541977925363468893e-01	4.048842971430049896e+10
5.442440000000000000e+12	8.279999999999999716e+01	8.280000000000001248e-02	4.506340320000000000e+09	2.100000000000000000e+02	2.302671661056982996e-02	1.191044228665866650e-01	2.014012974526463787e-02	9.221082791092047870e+00	7.723453866661154077e-01	4.203443426207133484e+10
5.513500000000000000e+12	8.679999999999999716e+01	8.679999999999998828e-02	4.785718000000000000e+09	2.200000000000000000e+02	2.668558189369329980e-02	1.187454894402410616e-01	2.052044420641831179e-02	8.269931385155114612e+00	7.177107552672997715e-01	3.957098249166257477e+10
5.581830000000000000e+12	8.100000000000000000e+01	8.100000000000000255e-02	4.521282300000000000e+09	2.300000000000000000e+02	2.850056477117911616e-02	1.224084731263329895e-01	2.014363707384619895e-02	8.107640640327357318e+00	6.550886642741874377e-01	3.656593558905587769e+10
5.647610000000000000e+12	8.459999999999999432e+01	8.459999999999999465e-02	4.777878060000000000e+09	2.400000000000000000e+02	3.073097806237253329e-02	1.293621224390892055e-01	2.063355647833470252e-02	7.867052896851061128e+00	6.619812951838515147e-01	3.738612182493271637e+10
5.711030000000000000e+12	9.440000000000000568e+01	9.439999999999999780e-02	5.391212320000000000e+09	2.500000000000000000e+02	2.947271195769086624e-02	9.053864820452375839e-02	2.489536506493785634e-02	8.524793557466438187e+00	8.032077103801187334e-01	4.587143330212169647e+10
5.772230000000000000e+12	9.520000000000000284e+01	9.519999999999999296e-02	5.495162960000000000e+09	2.600000000000000000e+02	2.955483111699582638e-02	1.072386458599190878e-01	2.172979612641857614e-02	9.291183126280248672e+00	8.986664259068369853e-01	5.187309303612220764e+10
5.831360000000000000e+12	1.035999999999999943e+02	1.035999999999999976e-01	6.041288960000000000e+09	2.700000000000000000e+02	3.196760075850581251e-02	9.695017373920636339e-02	2.328487199399343482e-02	8.570055113339455133e+00	8.916521650099573648e-01	5.199544768952465057e+10
5.888550000000000000e+12	1.024000000000000057e+02	1.024000000000000049e-01	6.029875200000000000e+09	2.800000000000000000e+02	2.762268227354018960e-02	1.041691679567058604e-01	2.287899698120583053e-02	1.399470767514829106e+01	1.492348702868131927e+00	8.787769954274139404e+10
5.943910000000000000e+12	1.110000000000000000e+02	1.110000000000000153e-01	6.597740100000000000e+09	2.900000000000000000e+02	3.928761899305026339e-02	1.026678068618525480e-01	2.142246210052260735e-02	7.750625623061187852e+00	8.579410633538694375e-01	5.099524465879697418e+10
5.997540000000000000e+12	1.217999999999999972e+02	1.217999999999999916e-01	7.305003720000000000e+09	3.000000000000000000e+02	4.295224725068465255e-02	9.247724152119629615e-02	2.506169006672170213e-02	7.151559858315512663e+00	8.784519410903272041e-01	5.268550654766880798e+10
6.049540000000000000e+12	1.240000000000000000e+02	1.239999999999999991e-01	7.501429600000000000e+09	3.100000000000000000e+02	4.057732110975394157e-02	9.806397870548280715e-02	2.371973969451500464e-02	7.664915928088556818e+00	9.488315267112372720e-01	5.739994274100698090e+10
6.100000000000000000e+12	1.200000000000000000e+02	1.199999999999999956e-01	7.320000000000000000e+09	3.200000000000000000e+02	4.612004868669146440e-02	9.430291016262594417e-02	2.382640934373146668e-02	7.093749029452991017e+00	8.435920080277906630e-01	5.145911248969522095e+10
6.149000000000000000e+12	1.214000000000000057e+02	1.213999999999999940e-01	7.464886000000000000e+09	3.300000000000000000e+02	4.029340147350239654e-02	7.590412432368079387e-02	2.523900813244108615e-02	8.421844911424884117e+00	1.023335123495072052e+00	6.292487674371199036e+10
6.196610000000000000e+12	1.197999999999999972e+02	1.197999999999999898e-01	7.423538780000000000e+09	3.400000000000000000e+02	4.827763351097473510e-02	8.103112024511024969e-02	2.299381550547751479e-02	7.756294512905692606e+00	9.277090344737691785e-01	5.748651080110502625e+10
6.242890000000000000e+12	1.325999999999999943e+02	1.325999999999999956e-01	8.278072140000000000e+09	3.500000000000000000e+02	4.206670583239428829e-02	7.817856593305969048e-02	2.540217131823803778e-02	9.823490389391007938e+00	1.350785407563484419e+00	8.432804713024000549e+10
6.287920000000000000e+12	1.291999999999999886e+02	1.292000000000000093e-01	8.123992640000000000e+09	3.600000000000000000e+02	5.085504350482779323e-02	1.090173882270074890e-01	2.471328332308016934e-02	8.768119015218850620e+00	1.174914998254071197e+00	7.387771515821740723e+10
6.331740000000000000e+12	1.325999999999999943e+02	1.325999999999999956e-01	8.395887240000000000e+09	3.700000000000000000e+02	5.578091842322692451e-02	8.221462712644098114e-02	2.102516124489994809e-02	6.799512977017405646e+00	9.091735669728473468e-01	5.756650640944657135e+10
6.374420000000000000e+12	1.448000000000000114e+02	1.448000000000000120e-01	9.230160160000000000e+09	3.800000000000000000e+02	4.724755940643490110e-02	9.438565898316912672e-02	2.607611179280189956e-02	8.458504634724503646e+00	1.225496486242314109e+00	7.811829311832731628e+10
6.416000000000000000e+12	1.410000000000000000e+02	1.410000000000000142e-01	9.046560000000000000e+09	3.900000000000000000e+02	4.992701307967308683e-02	9.379571841717940228e-02	2.307166896920546592e-02	8.432978601749489656e+00	1.166206023653642010e+00	7.482377847761766052e+10
6.456530000000000000e+12	1.508000000000000114e+02	1.507999999999999896e-01	9.736447240000000000e+09	4.000000000000000000e+02	4.602473786635528225e-02	8.873052599635625204e-02	2.456631251622135373e-02	1.044109393239219585e+01	1.564812642607500859e+00	1.010325977137460938e+11
6.496060000000000000e+12	1.521999999999999886e+02	1.522000000000000020e-01	9.887003320000000000e+09	4.100000000000000000e+02	4.731419453578382395e-02	1.096644040110579948e-01	2.452199331841296154e-02	9.191318000157838952e+00	1.388274775402624339e+00	9.018316237501969910e+10
6.534620000000000000e+12	1.745999999999999943e+02	1.745999999999999497e-01	1.140944652000000000e+10	4.200000000000000000e+02	6.199587207344166295e-02	8.985122425562816484e-02	2.342028264088879402e-02	7.097779134463875650e+00	1.245653100658510537e+00	8.139869664625115967e+10
6.572250000000000000e+12	1.664000000000000057e+02	1.664000000000000201e-01	1.093622400000000000e+10	4.300000000000000000e+02	6.271242767180637556e-02	9.121056345400531395e-02	2.609382033569412895e-02	7.008885993813317228e+00	1.165747009593867123e+00	7.661580783803294373e+10
6.608990000000000000e+12	1.744000000000000057e+02	1.744000000000000272e-01	1.152607856000000000e+10	4.400000000000000000e+02	6.545549792609790807e-02	8.953285619918423255e-02	2.262573942787895337e-02	6.806338377479098867e+00	1.186865555695487240e+00	7.843982588935917664e+10
6.644880000000000000e+12	1.700000000000000000e+02	1.699999999999999845e-01	1.129629600000000000e+10	4.500000000000000000e+02	5.955857629733145309e-02	1.000320626133087420e-01	2.231252898120854311e-02	7.888892242135050026e+00	1.345476473596882272e+00	8.940529709874453735e+10
6.679940000000000000e+12	1.824000000000000057e+02	1.824000000000000343e-01	1.218421056000000000e+10	4.600000000000000000e+02	7.714961748810082731e-02	1.053885606237501965e-01	2.543703998634613828e-02	6.157094910848470271e+00	1.124738992588445452e+00	7.513188986151260376e+10
6.714200000000000000e+12	1.811999999999999886e+02	1.812000000000000277e-01	1.216613040000000000e+10	4.700000000000000000e+02	8.317416374752610586e-02	8.640514712323990598e-02	2.678621787358689138e-02	5.702078751206485663e+00	1.031225502798948979e+00	6.923854270892703247e+10
6.747700000000000000e+12	1.895999999999999943e+02	1.895999999999999908e-01	1.279363920000000000e+10	4.800000000000000000e+02	7.124996732882209194e-02	1.129640567908365839e-01	2.224570604900396112e-02	7.042029453303302766e+00	1.343064149672712260e+00	9.062593962746560669e+10
6.780450000000000000e+12	1.831999999999999886e+02	1.832000000000000295e-01	1.242178440000000000e+10	4.900000000000000000e+02	8.011374588322724144e-02	1.069443713767288806e-01	2.471268030000904267e-02	6.226296618968258478e+00	1.137265056900603755e+00	7.711168855061697388e+10
6.812500000000000000e+12	1.955999999999999943e+02	1.955999999999999961e-01	1.332525000000000000e+10	5.000000000000000000e+02	8.702038737834527637e-02	8.594845770993109202e-02	2.619134920619269752e-02	5.867884989508736382e+00	1.149235947656486401e+00	7.829169893409812927e+10
6.843850000000000000e+12	1.978000000000000114e+02	1.978000000000000314e-01	1.353713530000000000e+10	5.100000000000000000e+02	8.442082410454077035e-02	8.400908116136709958e-02	2.613739570652075586e-02	6.210876062531812458e+00	1.230227430403571631e+00	8.419491999567483521e+10
6.874530000000000000e+12	2.025999999999999943e+02	2.026000000000000301e-01	1.392779778000000000e+10	5.200000000000000000e+02	8.021757911769782090e-02	1.096974866738273657e-01	2.097229992797429443e-02	6.825979993802403278e+00	1.386778243310573533e+00	9.533448636985838318e+10
6.904560000000000000e+12	2.008000000000000114e+02	2.008000000000000063e-01	1.386435648000000000e+10	5.300000000000000000e+02	8.314498465849737285e-02	7.574519762036138748e-02	2.652683368580436782e-02	6.661216033720710250e+00	1.333030679946999530e+00	9.203990311534854126e+10
6.933970000000000000e+12	1.774000000000000057e+02	1.774000000000000021e-01	1.230086278000000000e+10	5.400000000000000000e+02	9.035957893268005414e-02	8.498046452808538653e-02	2.260025972243302414e-02	6.164022883833705890e+00	1.084376097435450159e+00	7.519031328334487915e+10
6.962770000000000000e+12	1.898000000000000114e+02	1.898000000000000242e-01	1.321533746000000000e+10	5.500000000000000000e+02	8.746534456236076949e-02	1.027059785128700831e-01	2.612347219940631612e-02	6.445464456651353480e+00	1.218580029939835496e+00	8.484692475064187622e+10
6.990990000000000000e+12	1.910000000000000000e+02	1.910000000000000031e-01	1.335279090000000000e+10	5.600000000000000000e+02	8.901638321940481824e-02	1.018514850879227163e-01	2.364855513630553102e-02	6.596237950266489847e+00	1.255819849271508692e+00	8.779424008058624268e+10
7.018630000000000000e+12	2.058000000000000114e+02	2.057999999999999829e-01	1.444434054000000000e+10	5.700000000000000000e+02	8.991230773701772150e-02	1.053122770856054213e-01	2.641453605961568973e-02	6.629001431726257110e+00	1.388277674180833587e+00	9.743807332335823059e+10
7.045720000000000000e+12	1.998000000000000114e+02	1.998000000000000331e-01	1.407734856000000000e+10	5.800000000000000000e+02	9.902013422340587290e-02	9.937675820296834606e-02	2.422725616419662414e-02	6.153249116421983800e+00	1.225606189058893403e+00	8.635278038376025391e+10
7.072270000000000000e+12	1.981999999999999886e+02	1.981999999999999873e-01	1.401723914000000000e+10	5.900000000000000000e+02	9.696568859144463759e-02	9.057152674158741590e-02	2.583306177410306728e-02	6.872071042781277228e+00	1.363856326822552978e+00	9.645560184497335815e+10
7.098300000000000000e+12	2.025999999999999943e+02	2.025999999999999746e-01	1.438115580000000000e+10	6.000000000000000000e+02	9.705545183514914520e-02	1.033134361363069742e-01	2.557860010728278330e-02	8.236781330056746953e+00	1.757685890965084541e+00	1.247658175983745575e+11
7.123820000000000000e+12	2.090000000000000000e+02	2.089999999999999913e-01	1.488878380000000000e+10	6.100000000000000000e+02	1.152084406618996554e-01	8.197573513803134426e-02	2.584510100305502725e-02	5.478477063092367594e+00	1.134745915000471950e+00	8.083725644198661804e+10
7.148840000000000000e+12	2.168000000000000114e+02	2.168000000000000205e-01	1.549868512000000000e+10	6.200000000000000000e+02	1.225531435794891821e-01	8.857338070973974631e-02	2.343539727362550784e-02	5.255487587216826739e+00	1.135284296738426457e+00	8.115965791895532227e+10
7.173390000000000000e+12	2.125999999999999943e+02	2.125999999999999834e-01	1.525062714000000000e+10	6.300000000000000000e+02	1.136576624837744021e-01	9.457039029802118135e-02	2.442431364187567372e-02	5.650158188323763042e+00	1.211457482978645306e+00	8.690256993824185181e+10
