,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.1,30,2.25,1,100000.0,0.01715,0.00243,5.72,301167000000.0,89.4,0.0894,2692432980.0,0.0001515909677080529,0.009961548439444003,0.0028645255670733368
1,1,0.1,40,2.25,1,100000.0,0.01715,0.00243,5.72,330016000000.0,118.03,0.11803,3895178848.0,0.0002288929896533176,0.009801284795259092,0.0028152112167230217
2,2,0.1,50,2.25,1,100000.0,0.01715,0.00243,5.72,354054000000.0,147.79000000000002,0.14779,5232564066.0,0.0003063796517093919,0.00991419668221409,0.002803309397088917
3,3,0.1,60,2.25,1,100000.0,0.01715,0.00243,5.72,374802000000.0,170.82,0.17082000000000003,6402367764.0,0.0004252773820847012,0.010568083239343452,0.0027921336189941992
4,4,0.1,70,2.25,1,100000.0,0.01715,0.00243,5.72,393135000000.0,179.57999999999998,0.17958,7059918330.0,0.0005180378082118864,0.01094065702844486,0.0028077750075264103
5,5,0.1,80,2.25,1,100000.0,0.01715,0.00243,5.72,409605000000.0,188.51,0.18851,7721463855.0,0.0006449172442187035,0.010364783898381613,0.0028154077498416634
6,6,0.1,90,2.25,1,100000.0,0.01715,0.00243,5.72,424586000000.0,194.26,0.19426,8248007636.0,0.0007443031243488462,0.010375590421059712,0.002742136517867792
7,7,0.1,100,2.25,1,100000.0,0.01715,0.00243,5.72,438345000000.0,206.92,0.20692,9070234740.0,0.0008301938997556135,0.010155992841801362,0.0027933585534060173
8,8,0.1,110,2.25,1,100000.0,0.01715,0.00243,5.72,451080000000.0,211.13,0.21113,9523652040.0,0.000992491196767844,0.010669302919465587,0.0027977652821397025
9,9,0.1,120,2.25,1,100000.0,0.01715,0.00243,5.72,462943000000.0,220.59,0.2205900000000001,10212059637.0,0.0010970025752635591,0.009977904924641968,0.0028257860021362706
10,10,0.1,130,2.25,1,100000.0,0.01715,0.00243,5.72,474050000000.0,226.02,0.22602,10714478100.0,0.0012684331026954964,0.010408999124466915,0.0027989209426762655
11,11,0.1,140,2.25,1,100000.0,0.01715,0.00243,5.72,484498000000.0,235.08,0.23508,11389578984.0,0.0013774036260898014,0.01023074186025526,0.002797613668340532
12,12,0.1,150,2.25,1,100000.0,0.01715,0.00243,5.72,494363000000.0,236.59,0.23658999999999997,11696134217.0,0.001518460505266148,0.010271449179010546,0.0028406227962869514
13,13,0.1,160,2.25,1,100000.0,0.01715,0.00243,5.72,503708000000.0,243.35,0.24335000000000004,12257734180.0,0.0017138297031272028,0.01038907347570014,0.0028035294463264276
14,14,0.1,170,2.25,1,100000.0,0.01715,0.00243,5.72,512586000000.0,248.49,0.24849,12737249514.0,0.0018290325906730233,0.010600040751303228,0.0028371199237290303
15,15,0.1,180,2.25,1,100000.0,0.01715,0.00243,5.72,521043000000.0,253.86,0.25386,13227197598.0,0.0020824674727194293,0.01076388903583574,0.002812045560655888
16,16,0.1,190,2.25,1,100000.0,0.01715,0.00243,5.72,529117000000.0,261.5,0.26149999999999995,13836409550.0,0.002215364621710024,0.010810823602585349,0.002823069949845287
17,17,0.1,200,2.25,1,100000.0,0.01715,0.00243,5.72,536841000000.0,266.06,0.2660600000000001,14283191646.0,0.0024139083998591104,0.010578573199850672,0.002812166944893948
