# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
1.073682000000000000e+12	8.400000000000000799e-01	8.400000000000001433e-04	4.509464400000000000e+07	1.920909938027346928e-03	1.934856458309990729e-02	6.428000126921180933e-04
nan	nan	nan	nan	nan	nan	nan
1.073682000000000000e+12	7.600000000000000089e-01	7.600000000000000418e-04	4.079991600000000000e+07	1.994518143624070348e-03	1.767797768684328114e-02	9.251045562678885748e-04
1.073682000000000000e+12	9.599999999999999645e-01	9.600000000000001327e-04	5.153673600000000000e+07	2.699219450169907525e-03	1.868857528536162563e-02	8.732515894937968939e-04
1.073682000000000000e+12	7.199999999999999734e-01	7.199999999999999369e-04	3.865255200000000000e+07	2.128796820313715032e-03	2.034618100450635153e-02	5.280181243216117062e-04
1.088488000000000000e+12	8.400000000000000799e-01	8.399999999999999264e-04	4.571649600000000000e+07	2.048667666092691096e-03	1.830607360910741638e-02	4.067115027566568656e-04
nan	nan	nan	nan	nan	nan	nan
1.088488000000000000e+12	8.800000000000001155e-01	8.800000000000000313e-04	4.789347200000000000e+07	1.704356925197834331e-03	1.494463144083634822e-02	5.746270080927759873e-04
nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan
1.102700000000000000e+12	9.599999999999999645e-01	9.600000000000001327e-04	5.292960000000000000e+07	2.764932344967785567e-03	2.512858300231355854e-02	5.510880067783116695e-04
1.102700000000000000e+12	9.599999999999999645e-01	9.600000000000001327e-04	5.292960000000000000e+07	2.179424837515036607e-03	1.972574346142011090e-02	4.342956857807994046e-04
1.102700000000000000e+12	8.400000000000000799e-01	8.400000000000001433e-04	4.631340000000000000e+07	3.005625797154008218e-03	1.121028997382201436e-02	4.639578081094858255e-04
1.102700000000000000e+12	6.400000000000000133e-01	6.400000000000000524e-04	3.528640000000000000e+07	2.471649781428379711e-03	1.776704343476470313e-02	5.826160471018753447e-04
1.116366000000000000e+12	1.000000000000000000e+00	1.000000000000000021e-03	5.581830000000000000e+07	1.876008338467434824e-03	1.746579961344512169e-02	7.362796634340252212e-04
nan	nan	nan	nan	nan	nan	nan
1.116366000000000000e+12	1.119999999999999885e+00	1.119999999999999902e-03	6.251649600000000000e+07	2.352378522467299914e-03	2.033360549253385510e-02	8.805942665886681928e-04
1.116366000000000000e+12	1.040000000000000036e+00	1.039999999999999909e-03	5.805103200000000000e+07	2.221824683831456586e-03	2.083446552799083501e-02	6.033618440790123726e-04
1.116366000000000000e+12	9.599999999999999645e-01	9.600000000000001327e-04	5.358556800000000000e+07	2.651095811909912579e-03	2.263420004643666023e-02	5.037348893614757798e-04
1.129522000000000000e+12	8.400000000000000799e-01	8.399999999999999264e-04	4.743992400000000000e+07	2.330825285277749685e-03	1.568890167247039696e-02	5.697647222920376514e-04
1.129522000000000000e+12	8.000000000000000444e-01	8.000000000000000383e-04	4.518088000000000000e+07	2.196456164595112556e-03	1.582300554074465501e-02	7.125315803389357331e-04
nan	nan	nan	nan	nan	nan	nan
1.129522000000000000e+12	1.199999999999999956e+00	1.200000000000000112e-03	6.777132000000000000e+07	2.687691672976446570e-03	2.210116527977427220e-02	7.660469467386988749e-04
1.129522000000000000e+12	1.119999999999999885e+00	1.119999999999999902e-03	6.325323200000000000e+07	2.799601718425443787e-03	1.859752929332588248e-02	7.839614057910008560e-04
1.142206000000000000e+12	1.119999999999999885e+00	1.119999999999999902e-03	6.396353600000000000e+07	3.317652121633810590e-03	2.474655423386741895e-02	7.341278966955693593e-04
