# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
6.023340000000000000e+11	1.828000000000000114e+01	1.828000000000000111e-02	5.505332760000000000e+08	2.977040334571953283e-04	2.542955169105098195e-02	8.096017280491384083e-04
6.023340000000000000e+11	1.735999999999999943e+01	1.735999999999999696e-02	5.228259120000000000e+08	3.151126101830710501e-04	2.563770354914745100e-02	8.083835861052446076e-04
6.023340000000000000e+11	1.688000000000000256e+01	1.687999999999999917e-02	5.083698960000000000e+08	3.027907637875791287e-04	2.426181607885670444e-02	7.312661451010055939e-04
6.023340000000000000e+11	1.716000000000000014e+01	1.716000000000000164e-02	5.168025720000000000e+08	2.897655738804209825e-04	2.131894174884754051e-02	7.949298739527793861e-04
6.023340000000000000e+11	1.835999999999999943e+01	1.835999999999999785e-02	5.529426120000000000e+08	2.735126263623663856e-04	2.358567145279536620e-02	7.469415147423489948e-04
6.600320000000000000e+11	2.528000000000000114e+01	2.528000000000000386e-02	8.342804480000000000e+08	2.333232722276079303e-04	1.761886589008734155e-02	7.529692280734118616e-04
6.600320000000000000e+11	2.344000000000000128e+01	2.343999999999999903e-02	7.735575040000000000e+08	1.790906457523533586e-04	1.818864419011472638e-02	6.487826270923442891e-04
6.600320000000000000e+11	2.471999999999999886e+01	2.471999999999999892e-02	8.157995520000000000e+08	2.828926502490958618e-04	1.793314526502431255e-02	4.155064632754523995e-04
6.600320000000000000e+11	2.611999999999999744e+01	2.611999999999999739e-02	8.620017920000000000e+08	1.865452830600134002e-04	1.727228124274397120e-02	5.255610887805737316e-04
6.600320000000000000e+11	2.371999999999999886e+01	2.371999999999999803e-02	7.827979520000000000e+08	3.145709369945848049e-04	1.933238318161959596e-02	5.986538257011270354e-04
7.081080000000000000e+11	2.796000000000000085e+01	2.795999999999999527e-02	9.899349840000000000e+08	3.825911952657179253e-04	1.438255202934968745e-02	5.473266418853232115e-04
7.081080000000000000e+11	3.003999999999999915e+01	3.004000000000000073e-02	1.063578216000000000e+09	3.736073608999390867e-04	1.545864969785987718e-02	6.070768278360355206e-04
7.081080000000000000e+11	2.828000000000000114e+01	2.828000000000000652e-02	1.001264712000000000e+09	3.256957547046113372e-04	1.411988927776633082e-02	5.213714042299295512e-04
7.081080000000000000e+11	2.839999999999999858e+01	2.839999999999999816e-02	1.005513360000000000e+09	2.930428935124496071e-04	1.961403959810699774e-02	4.383246935743908179e-04
7.081080000000000000e+11	2.932000000000000028e+01	2.932000000000000231e-02	1.038086328000000000e+09	3.870285059798561937e-04	1.841372807294883868e-02	6.055285709928033121e-04
7.496040000000000000e+11	3.528000000000000114e+01	3.527999999999999886e-02	1.322301456000000000e+09	6.462556316648715438e-04	2.187146395992343312e-02	5.953199233781014893e-04
7.496040000000000000e+11	3.407999999999999829e+01	3.408000000000000612e-02	1.277325216000000000e+09	5.216432909611512427e-04	1.492331435894281647e-02	7.180571858147213838e-04
7.496040000000000000e+11	3.651999999999999602e+01	3.652000000000000385e-02	1.368776904000000000e+09	5.150963526688201888e-04	1.789712242169234219e-02	6.353708635280161388e-04
7.496040000000000000e+11	3.392000000000000171e+01	3.391999999999999876e-02	1.271328384000000000e+09	4.149456531490613716e-04	1.575621828814932970e-02	4.524780313849065825e-04
7.496040000000000000e+11	3.283999999999999631e+01	3.283999999999999420e-02	1.230849768000000000e+09	3.817087015931974639e-04	1.688406301782262309e-02	7.175209427874228120e-04
7.862700000000000000e+11	3.467999999999999972e+01	3.468000000000000249e-02	1.363392180000000000e+09	5.596907305221066227e-04	1.723547868313599074e-02	7.277605608954510006e-04
7.862700000000000000e+11	3.564000000000000057e+01	3.563999999999999807e-02	1.401133140000000000e+09	5.789690128335677919e-04	1.741600865202985043e-02	5.434317424625658560e-04
7.862700000000000000e+11	3.596000000000000085e+01	3.596000000000000585e-02	1.413713460000000000e+09	6.486563363654340459e-04	1.826545413867774331e-02	6.198244096087492019e-04
7.862700000000000000e+11	3.664000000000000057e+01	3.664000000000000590e-02	1.440446640000000000e+09	6.254026916582233709e-04	1.797256753634883172e-02	5.856740246958376094e-04
7.862700000000000000e+11	3.835999999999999943e+01	3.836000000000000520e-02	1.508065860000000000e+09	8.251469897589912544e-04	2.046923655131779179e-02	6.214160928121941971e-04
8.192100000000000000e+11	3.992000000000000171e+01	3.991999999999999715e-02	1.635143160000000000e+09	5.699768560964458284e-04	1.868045860441789816e-02	5.928989808274829406e-04
8.192100000000000000e+11	3.835999999999999943e+01	3.835999999999999827e-02	1.571244780000000000e+09	6.094743585168771417e-04	1.689446303588172660e-02	5.502011416718796850e-04
8.192100000000000000e+11	3.867999999999999972e+01	3.867999999999999911e-02	1.584352140000000000e+09	7.019376639954089201e-04	2.048805832808541644e-02	5.581263856208071392e-04
8.192100000000000000e+11	3.839999999999999858e+01	3.840000000000000357e-02	1.572883200000000000e+09	8.295231135139146100e-04	1.584434173148475261e-02	5.888858217688490784e-04
8.192100000000000000e+11	3.823999999999999488e+01	3.823999999999999622e-02	1.566329520000000000e+09	7.058838549664869615e-04	2.437761688686355954e-02	5.574278722344308285e-04
