# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
3.011670000000000000e+12	9.140000000000000568e+01	9.140000000000000902e-02	2.752666380000000000e+09	1.488520167285976642e-03	1.271477584552549167e-01	4.048008640245692041e-03
3.011670000000000000e+12	8.679999999999999716e+01	8.679999999999998828e-02	2.614129560000000000e+09	1.575563050915355142e-03	1.281885177457372516e-01	4.041917930526222821e-03
3.011670000000000000e+12	8.440000000000000568e+01	8.440000000000000280e-02	2.541849480000000000e+09	1.513953818937895752e-03	1.213090803942835222e-01	3.656330725505027752e-03
3.011670000000000000e+12	8.579999999999999716e+01	8.580000000000001514e-02	2.584012860000000000e+09	1.448827869402104966e-03	1.065947087442377095e-01	3.974649369763896822e-03
3.011670000000000000e+12	9.179999999999999716e+01	9.179999999999999272e-02	2.764713060000000000e+09	1.367563131811831874e-03	1.179283572639768379e-01	3.734707573711745082e-03
3.300160000000000000e+12	1.264000000000000057e+02	1.264000000000000123e-01	4.171402240000000000e+09	1.166616361138039706e-03	8.809432945043671470e-02	3.764846140367059200e-03
3.300160000000000000e+12	1.172000000000000028e+02	1.171999999999999986e-01	3.867787520000000000e+09	8.954532287617667386e-04	9.094322095057363886e-02	3.243913135461721445e-03
3.300160000000000000e+12	1.235999999999999943e+02	1.236000000000000015e-01	4.078997760000000000e+09	1.414463251245479201e-03	8.966572632512156971e-02	2.077532316377262052e-03
3.300160000000000000e+12	1.305999999999999943e+02	1.305999999999999939e-01	4.310008960000000000e+09	9.327264153000669467e-04	8.636140621371984905e-02	2.627805443902868441e-03
3.300160000000000000e+12	1.185999999999999943e+02	1.185999999999999971e-01	3.913989760000000000e+09	1.572854684972924133e-03	9.666191590809798673e-02	2.993269128505635177e-03
3.540540000000000000e+12	1.398000000000000114e+02	1.397999999999999798e-01	4.949674920000000000e+09	1.912955976328589627e-03	7.191276014674843897e-02	2.736633209426616274e-03
3.540540000000000000e+12	1.501999999999999886e+02	1.502000000000000002e-01	5.317891080000000000e+09	1.868036804499695379e-03	7.729324848929938763e-02	3.035384139180177712e-03
3.540540000000000000e+12	1.414000000000000057e+02	1.414000000000000257e-01	5.006323560000000000e+09	1.628478773523056632e-03	7.059944638883165757e-02	2.606857021149647756e-03
3.540540000000000000e+12	1.420000000000000000e+02	1.419999999999999873e-01	5.027566800000000000e+09	1.465214467562248090e-03	9.807019799053498521e-02	2.191623467871954035e-03
3.540540000000000000e+12	1.465999999999999943e+02	1.466000000000000081e-01	5.190431640000000000e+09	1.935142529899280860e-03	9.206864036474418644e-02	3.027642854964016778e-03
3.748020000000000000e+12	1.764000000000000057e+02	1.764000000000000012e-01	6.611507280000000000e+09	3.231278158324357719e-03	1.093573197996171587e-01	2.976599616890507338e-03
3.748020000000000000e+12	1.704000000000000057e+02	1.704000000000000237e-01	6.386626080000000000e+09	2.608216454805756430e-03	7.461657179471407886e-02	3.590285929073607028e-03
3.748020000000000000e+12	1.825999999999999943e+02	1.826000000000000123e-01	6.843884520000000000e+09	2.575481763344100727e-03	8.948561210846170400e-02	3.176854317640080694e-03
3.748020000000000000e+12	1.695999999999999943e+02	1.696000000000000008e-01	6.356641920000000000e+09	2.074728265745306912e-03	7.878109144074664505e-02	2.262390156924532804e-03
3.748020000000000000e+12	1.641999999999999886e+02	1.641999999999999849e-01	6.154248840000000000e+09	1.908543507965987374e-03	8.442031508911311544e-02	3.587604713937114168e-03
3.931350000000000000e+12	1.734000000000000057e+02	1.733999999999999986e-01	6.816960900000000000e+09	2.798453652610533113e-03	8.617739341567995370e-02	3.638802804477254786e-03
3.931350000000000000e+12	1.781999999999999886e+02	1.781999999999999973e-01	7.005665700000000000e+09	2.894845064167839068e-03	8.708004326014924523e-02	2.717158712312829280e-03
3.931350000000000000e+12	1.798000000000000114e+02	1.798000000000000154e-01	7.068567300000000000e+09	3.243281681827170446e-03	9.132727069338870962e-02	3.099122048043746226e-03
