,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,Dipole.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,0.1,500,100000.0,1.17577026432641,6812500000000.0,1685.0,0.0002734939994594,500.0,0.1462183995916461,0.1071112543658654,0.0307606563855253,18631778.713177554,3.419542283299388,0.0009352242953803,63712155.1227881,4.0429308978708306e-10,2.2607431120262416e-10
1,1,0.1,520,100000.0,1.18413280440169,6874530000000.0,1883.0,2.89096051579489e-05,520.0,0.1385141382874053,0.1261068828320154,0.0305162656743421,1987399.4794647445,3.754129408227218,0.0001085303989036,7460954.831754062,4.4886227030060615e-11,2.5233422288107816e-11
2,2,0.1,540,100000.0,1.19462031821519,6933970000000.0,1930.0,1.4794595969404416e-05,540.0,0.1329804005770256,0.1069726436059516,0.0299807018024314,1025852.8461397114,4.060748784458792,6.007713759931792e-05,4165730.697995424,2.407907004647108e-11,1.362414084733742e-11
3,3,0.1,560,100000.0,1.20514112000624,6990990000000.0,1969.0,0.0074443739378756,560.0,0.1087040406749793,0.1118931807851572,0.030658013635621,520435437.5594944,5.151602429153278,0.0383504548618856,2681076464.3489404,1.2622464429651816e-08,7.215112406950858e-09
4,4,0.1,580,100000.0,1.21534946177801,7045720000000.0,1319.0,0.0118838272660277,580.0,0.1035054020985626,0.1018151579296712,0.030358892433514,837301194.4479718,5.6035722603898215,0.0665918848151774,4691877746.799919,2.1048452511092176e-08,1.2052875303343532e-08
5,5,0.1,600,100000.0,1.21985929056978,7098300000000.0,1814.0,0.0061097165867695,600.0,0.0979174556587167,0.108566386892853,0.0299436895145147,433686012.4786648,6.127610199464848,0.0374379616729288,2657458833.429506,1.1289804315717554e-08,6.443449183639988e-09
6,6,0.1,620,100000.0,1.22668718395639,7148840000000.0,1981.0,0.0069936540830539,620.0,0.1045406383234421,0.1154768673278273,0.0289395845999859,499965140.5509973,5.9307079997135554,0.0414773202175977,2965147258.643712,1.3456982470825473e-08,7.654710816263374e-09
7,7,0.1,640,100000.0,1.23422873606346,7197470000000.0,2111.0,0.0083055886630946,640.0,0.0996590364768508,0.0975017241161975,0.029723313060354,597792252.3496366,6.421896323959159,0.0533376293038442,3838959867.8553967,1.662382774412015e-08,9.425866950533843e-09
8,8,0.1,660,100000.0,1.24231942993718,7244270000000.0,2375.0,0.0105988351015175,660.0,0.0752648326014195,0.1090614423173157,0.0295640690978159,767808231.608706,8.769035646371073,0.0929415628152164,6732937752.553881,2.202873693152173e-08,1.2520334017808525e-08
9,9,0.1,680,100000.0,1.25043238280315,7289350000000.0,2427.0,0.0122884707085438,680.0,0.0887359200341961,0.1221381665281199,0.0295192574343593,895749639.5932409,7.663187576552408,0.0941688560685413,6864297509.832221,2.6490886359114493e-08,1.5075112877731923e-08
10,10,0.1,700,100000.0,1.25848494585637,7332790000000.0,2579.0,0.0151649985927062,700.0,0.1061411421094362,0.1258268237090626,0.0294062031832546,1112017500.3061042,6.594992159385931,0.1000130468159963,7333746695.618699,3.3872754650053155e-08,1.9279383698880605e-08
11,11,0.1,720,100000.0,1.266694990595,7374660000000.0,2603.0,0.0178805640374868,720.0,0.0867056359743401,0.1073762994544809,0.0290147258890636,1318630803.846926,8.303958467164449,0.1484794611367648,10949855428.668545,4.1329146869133776e-08,2.347993503989369e-08
12,12,0.1,740,100000.0,1.27448555561608,7415040000000.0,2776.0,0.0230588994338428,740.0,0.0729742675162015,0.0994695154120218,0.0288221487477784,1709826616.579219,10.140560846817786,0.2338301727695353,17338600842.930157,5.509705114748407e-08,3.1208448245838344e-08
13,13,0.1,760,100000.0,1.28257035434233,7454000000000.0,2928.0,0.0285180765870394,760.0,0.1012593522132192,0.0963060016132514,0.0288488300148106,2125737428.797924,7.505479576836392,0.2140418413946809,15954678857.55952,7.038165588928989e-08,3.971811655321359e-08
14,14,0.1,780,100000.0,1.29084637328192,7491600000000.0,3004.0,0.0336923671680526,780.0,0.0789288571550059,0.0936510717150271,0.0292865043779194,2524097378.761832,9.88231716656155,0.3329586584469414,24943930856.211063,8.579239004250164e-08,4.82385648770639e-08
15,15,0.1,800,100000.0,1.29941365924252,7527910000000.0,3183.0,0.0411929259305355,800.0,0.0888200228885125,0.1071060161014724,0.0294508810802359,3100966390.417375,9.006978088760066,0.3710237812682496,27930336332.47069,1.0814208881563288e-07,6.064095881449404e-08
16,16,0.1,820,100000.0,1.30778091275259,7562970000000.0,3205.0,0.0472805770087051,820.0,0.0913873516261674,0.1206572435390176,0.0294431837567209,3575815854.9952664,8.972795309293165,0.4242389396043836,32085063730.597656,1.2785226477931118e-07,7.145058256394649e-08
