Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,Dipole.numberRays,PG.cFactor
0,0.1,500,100000.0,1.17577026432641
1,0.1,520,100000.0,1.18413280440169
2,0.1,540,100000.0,1.19462031821519
3,0.1,560,100000.0,1.20514112000624
4,0.1,580,100000.0,1.21534946177801
5,0.1,600,100000.0,1.21985929056978
6,0.1,620,100000.0,1.22668718395639
7,0.1,640,100000.0,1.23422873606346
8,0.1,660,100000.0,1.24231942993718
9,0.1,680,100000.0,1.25043238280315
10,0.1,700,100000.0,1.25848494585637
11,0.1,720,100000.0,1.266694990595
12,0.1,740,100000.0,1.27448555561608
13,0.1,760,100000.0,1.28257035434233
14,0.1,780,100000.0,1.29084637328192
15,0.1,800,100000.0,1.29941365924252
16,0.1,820,100000.0,1.30778091275259
17,0.1,840,100000.0,1.31630553599908
18,0.1,860,100000.0,1.32489377407417
19,0.1,880,100000.0,1.33329262758449
20,0.1,900,100000.0,1.3422067252821
21,0.1,920,100000.0,1.35104631264484
22,0.1,940,100000.0,1.36010248136541
23,0.1,960,100000.0,1.36926953155921
24,0.1,980,100000.0,1.37836355581004
25,0.1,1000,100000.0,1.38719560853008
26,0.1,1020,100000.0,1.39664356222928
27,0.1,1040,100000.0,1.40604835471862
28,0.1,1060,100000.0,1.4155721082738
29,0.1,1080,100000.0,1.42522230999383
30,0.1,1100,100000.0,1.43421228863291
31,0.1,1120,100000.0,1.44409865044327
32,0.1,1140,100000.0,1.45381420065885
33,0.1,1160,100000.0,1.46375114566509
34,0.1,1180,100000.0,1.47374179461199
35,0.1,1200,100000.0,1.48319437300648
36,0.1,1220,100000.0,1.49333246877473
37,0.1,1240,100000.0,1.50355521895399
38,0.1,1260,100000.0,1.5138667440428
39,0.1,1280,100000.0,1.52426622902487
40,0.1,1300,100000.0,1.53429754702107
41,0.1,1320,100000.0,1.5451051452317
42,0.1,1340,100000.0,1.55521345874571
43,0.1,1360,100000.0,1.56621058572968
44,0.1,1380,100000.0,1.57645288509541
45,0.1,1400,100000.0,1.58764002600254
46,0.1,1420,100000.0,1.59801278952994
47,0.1,1440,100000.0,1.6093916073593
48,0.1,1460,100000.0,1.61989146064109
49,0.1,1480,100000.0,1.63146370843972
50,0.1,1500,100000.0,1.642094071436
51,0.1,1520,100000.0,1.65386866368164
52,0.1,1540,100000.0,1.66576883018961
53,0.1,1560,100000.0,1.67662025268967
54,0.1,1580,100000.0,1.68872777614473
55,0.1,1600,100000.0,1.69972180784833
56,0.1,1620,100000.0,1.7120423565671
57,0.1,1640,100000.0,1.72316997258232
58,0.1,1660,100000.0,1.73570025312257
59,0.1,1680,100000.0,1.74696458987926
