,Simulation Number,ExitSlit.totalHeight,Dipole.photonEnergy,PG.cFactor,PG.orderDiffraction,Dipole.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,0.1,50,2.25,1,100000.0,4558810000000.0,530.0,0.53,24161693000.0,0.0035640601236366365,0.12225880282539477,0.04465881421754116
1,1,0.1,150,2.25,1,100000.0,6109030000000.0,2516.0,2.516,153703194800.0,0.018853108768610127,0.09850181997606464,0.04171108784611696
2,2,0.1,250,2.25,1,100000.0,6817320000000.0,3831.0,3.831,261171529200.0,0.031253033423752186,0.1199258295911166,0.043453390109101674
3,3,0.1,350,2.25,1,100000.0,7218160000000.0,4419.0,4.419,318970490400.0,0.055805333139915085,0.11532148465298372,0.043228055720158656
4,4,0.1,450,2.25,1,100000.0,7453040000000.0,4937.0,4.936999999999999,367956584799.99994,0.08856766166303488,0.10421900467230212,0.042378784597918245
5,5,0.1,550,2.25,1,100000.0,7583430000000.0,5283.0,5.283,400632606900.0,0.12204775480620356,0.118154457396417,0.042498188094476586
6,6,0.1,650,2.25,1,100000.0,7642310000000.0,5871.0,5.871,448680020099.99994,0.14939456708702892,0.11101902561887092,0.0431822697665567
7,7,0.1,750,2.25,1,100000.0,7649700000000.0,6259.0,6.259,478794723000.0,0.1640290410707621,0.11569915236004376,0.043649390961382095
8,8,0.1,850,2.25,1,100000.0,7618740000000.0,6440.0,6.44,490646855999.99994,0.2016868291080982,0.1260468046558575,0.044420453047043805
9,9,0.1,950,2.25,1,100000.0,7558600000000.0,7016.0,7.016,530311376000.0,0.2520872612723224,0.11454978191508,0.043202193338304336
10,10,0.1,1050,2.25,1,100000.0,7475920000000.0,7140.0,7.140000000000001,533780688000.00006,0.28787912531743126,0.12687037526772363,0.04208298715675442
11,11,0.1,1150,2.25,1,100000.0,7375670000000.0,7305.0,7.305,538792693500.00006,0.3250280537388335,0.11826840138894532,0.04325378096198544
12,12,0.1,1250,2.25,1,100000.0,7261700000000.0,7680.0,7.679999999999999,557698560000.0,0.3633692460309703,0.10600459647007043,0.04319775890770479
13,13,0.1,1350,2.25,1,100000.0,7137010000000.0,8099.0,8.099,578026439900.0,0.40851549086346495,0.12460530476746746,0.04429258712852904
14,14,0.1,1450,2.25,1,100000.0,7003980000000.0,8465.0,8.465,592886907000.0,0.4439990643659257,0.12809985504482907,0.04469199689709386
15,15,0.1,1550,2.25,1,100000.0,6864560000000.0,8783.0,8.783000000000001,602914304800.0001,0.5256492097669252,0.12177270978004978,0.044423746071491695
16,16,0.1,1650,2.25,1,100000.0,6720320000000.0,8882.0,8.881999999999998,596898822400.0,0.5139599831732085,0.140295043069197,0.04324113243159321
17,17,0.1,1750,2.25,1,100000.0,6572580000000.0,9165.0,9.165,602376957000.0,0.6433757496399721,0.125750417535489,0.044372729574692085
18,18,0.1,1850,2.25,1,100000.0,6422410000000.0,9480.0,9.48,608844468000.0,0.7074149230079456,0.11115173946879014,0.04400157881540494
19,19,0.1,1950,2.25,1,100000.0,6270710000000.0,9675.0,9.675,606691192500.0,0.7050530632714072,0.1235057546902206,0.044725860761882126
20,20,0.1,2050,2.25,1,100000.0,6118240000000.0,9821.0,9.821,600872350400.0,0.843197096772201,0.11694460934367688,0.04322635885040937
21,21,0.1,2150,2.25,1,100000.0,5965630000000.0,10357.0,10.357,617860299100.0,0.7629105800142497,0.11070678959560426,0.04300862615790711
22,22,0.1,2250,2.25,1,100000.0,5813420000000.0,10290.0,10.29,598200918000.0,0.9479179638979075,0.1209844472122736,0.04332172843290005
23,23,0.1,2350,2.25,1,100000.0,5662060000000.0,10691.0,10.691,605330834600.0,0.9090529061559208,0.12734165352290877,0.04398183641726496
24,24,0.1,2450,2.25,1,100000.0,5511930000000.0,10723.0,10.723,591044253900.0,1.04013607082652,0.11084500410792451,0.04328919392700023
25,25,0.1,2550,2.25,1,100000.0,5363350000000.0,10880.0,10.88,583532480000.0,1.1016425772386356,0.1107877583666832,0.04458378834747801
