,Simulation Number,PG.cFactor,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,2.5,0.012,1200,1,100000.0,100,,97.5625,0.0975625,,0.00033398553616237336,0.003985751295815566,0.0003150599697581735
1,1,2.5,0.012,1200,1,100000.0,150,,135.9375,0.1359375,,0.0005617501956187709,0.0033652176264519417,0.0003137084620423505
2,2,2.5,0.012,1200,1,100000.0,200,,164.8125,0.1648125,,0.0006883865271607448,0.002680432135830111,0.00034125743128407933
3,3,2.5,0.012,1200,1,100000.0,250,,189.3125,0.1893125,,0.0008382925144214681,0.0025920664251315026,0.00036159110105252006
4,4,2.5,0.012,1200,1,100000.0,300,,206.25,0.20625,,0.0010513290493285865,0.002468609391013051,0.0003547605078339099
5,5,2.5,0.012,1200,1,100000.0,350,,228.3125,0.2283125,,0.0012378961273604716,0.002243561525410775,0.0003520106304332697
6,6,2.5,0.012,1200,1,100000.0,400,,251.5625,0.2515625,,0.0014220098124972935,0.0024639304498209474,0.00036006305237840856
7,7,2.5,0.012,1200,1,100000.0,450,,258.5625,0.2585625,,0.0017561428247603317,0.001990034309961004,0.0003546644365605053
8,8,2.5,0.012,1200,1,100000.0,500,,282.0,0.282,,0.0017285727482274635,0.0020839557268535745,0.0003660149102953209
9,9,2.5,0.012,1200,1,100000.0,550,,286.0,0.28600000000000003,,0.002115914808904052,0.0018032782834348467,0.0003658480027071404
10,10,2.5,0.012,1200,1,100000.0,600,,298.375,0.29837499999999995,,0.0025362476445423,0.00213861248907855,0.00035003100504166364
11,11,2.5,0.012,1200,1,100000.0,650,,324.0625,0.3240625,,0.0025925031564142382,0.001987287982243716,0.00036679522258969554
12,12,2.5,0.012,1200,1,100000.0,700,,330.1875,0.3301875,,0.002756916048866742,0.0018960806439857973,0.0003617710226284451
13,13,2.5,0.012,1200,1,100000.0,750,,341.75,0.34175,,0.0033737596089906674,0.00183297883551734,0.000364620063776261
14,14,2.5,0.012,1200,1,100000.0,800,,357.5625,0.3575625,,0.003167803445393247,0.0016811869972197455,0.000364639397566264
15,15,2.5,0.012,1200,1,100000.0,850,,356.375,0.356375,,0.003702812058712368,0.0016650859008493888,0.00037203378489672896
16,16,2.5,0.012,1200,1,100000.0,900,,381.125,0.381125,,0.0042749130539405655,0.001706788261355202,0.0003706171869616896
17,17,2.5,0.012,1200,1,100000.0,950,,392.3125,0.39231250000000006,,0.004072801413592231,0.0016305306581298857,0.0003709604592546593
18,18,2.5,0.012,1200,1,100000.0,1000,,398.8125,0.3988125,,0.004697169268752077,0.0014918394476191297,0.00037106435676540015
19,19,2.5,0.012,1200,1,100000.0,1050,,406.75,0.40675000000000006,,0.005371009401770266,0.0015692931570085778,0.0003684282363966132
20,20,2.5,0.012,1200,1,100000.0,1100,,415.5,0.4155,,0.005500531010554255,0.0016320284371500564,0.00036929764611552505
21,21,2.5,0.012,1200,1,100000.0,1150,,443.4375,0.4434375,,0.005312168527993322,0.0015651029286078268,0.0003649958137420333
22,22,2.5,0.012,1200,1,100000.0,1200,,441.6875,0.4416875,,0.006023289629581541,0.0015952821499187536,0.0003722439748537124
23,23,2.5,0.012,1200,1,100000.0,1250,,442.9375,0.4429375,,0.006072332412628612,0.001481148996847458,0.00037709881273433624
24,24,2.5,0.012,1200,1,100000.0,1300,,454.3125,0.4543125,,0.006444106470667066,0.0014996710664153116,0.0003734427124576175
25,25,2.5,0.012,1200,1,100000.0,1350,,463.5625,0.4635625,,0.007288625746880939,0.0015418970401839603,0.0003762650917503302
26,26,2.5,0.012,1200,1,100000.0,1400,,474.125,0.474125,,0.007727882965042454,0.0015136161730488588,0.0003732045692889513
27,27,2.5,0.012,1200,1,100000.0,1450,,475.9375,0.4759375,,0.00804436469731229,0.001381676455169872,0.0003704426091209663
28,28,2.5,0.012,1200,1,100000.0,1500,,494.0625,0.4940625,,0.007695122787495734,0.001497624457538735,0.00037081043723045546
29,29,2.5,0.012,1200,1,100000.0,1550,,499.375,0.4993749999999999,,0.008804065833302843,0.0014742732622444559,0.00037610208417817144
30,30,2.5,0.012,1200,1,100000.0,1600,,500.75,0.50075,,0.008933061142727182,0.0014547450124456152,0.0003771374548414109
31,31,2.5,0.012,1200,1,100000.0,1650,,522.9375,0.5229375,,0.008683203728239166,0.001470860897830007,0.00037370079478886057
32,32,2.5,0.012,1200,1,100000.0,1700,,518.3125,0.5183125,,0.009453386803528474,0.0013996089693280292,0.000382928826439824
33,33,2.5,0.012,1200,1,100000.0,1750,,527.0,0.527,,0.009984945295229863,0.0014516608820397227,0.0003765501606481085
34,34,2.5,0.012,1200,1,100000.0,1800,,522.3125,0.5223125,,0.01078283022182802,0.0015435288669683306,0.0003737032103945034
35,35,2.5,0.012,1200,1,100000.0,1850,,537.125,0.5371250000000001,,0.011027467408140978,0.0013674362700602473,0.0003674685802865818
36,36,2.5,0.012,1200,1,100000.0,1900,,550.1875,0.5501875,,0.010512525304250175,0.0014236890897585518,0.00037437701025230634
37,37,2.5,0.012,1200,1,100000.0,1950,,566.75,0.56675,,0.011477450745132955,0.0012815932637794472,0.0003777393595647198
38,38,2.5,0.012,1200,1,100000.0,2000,,568.125,0.568125,,0.01157522145308576,0.0012846695901227462,0.00037472044541025327
39,39,2.5,0.012,2400,1,100000.0,100,,70.3125,0.0703125,,0.0001856252731062824,0.003783101514643381,0.00029955664389971667
40,40,2.5,0.012,2400,1,100000.0,150,,98.75,0.09875,,0.0003329839263663814,0.0026869363293545528,0.000312949779425278
41,41,2.5,0.012,2400,1,100000.0,200,,111.75,0.11175,,0.0004603617431495621,0.0031117529590622894,0.0003381996301510866
42,42,2.5,0.012,2400,1,100000.0,250,,134.3125,0.1343125,,0.0005936856077521924,0.0022823006225191726,0.0003261776742295229
43,43,2.5,0.012,2400,1,100000.0,300,,142.0625,0.14206249999999998,,0.000807466599521689,0.002358835742017493,0.00033424273317701633
44,44,2.5,0.012,2400,1,100000.0,350,,159.1875,0.15918749999999998,,0.0008002843833772033,0.0023323816187395454,0.00036044553020749063
45,45,2.5,0.012,2400,1,100000.0,400,,171.6875,0.17168750000000002,,0.0010171335904693988,0.0019961567040482054,0.0003585467704130997
46,46,2.5,0.012,2400,1,100000.0,450,,183.1875,0.1831875,,0.0012893877036574963,0.002073276406152528,0.00036055837290088527
47,47,2.5,0.012,2400,1,100000.0,500,,197.125,0.197125,,0.0014962128250779472,0.0020533783826573167,0.0003685227968573492
48,48,2.5,0.012,2400,1,100000.0,550,,203.0625,0.2030625,,0.0014912903718808934,0.0017683397960564112,0.0003449492555406072
49,49,2.5,0.012,2400,1,100000.0,600,,215.4375,0.2154375,,0.001909605607067988,0.0018818985630040723,0.0003697205329967628
50,50,2.5,0.012,2400,1,100000.0,650,,225.75,0.22575,,0.0018183329450636163,0.0017693005098071177,0.00036208984492916554
51,51,2.5,0.012,2400,1,100000.0,700,,237.25,0.23725,,0.0018924126936212813,0.00196364148307732,0.0003517616739716022
52,52,2.5,0.012,2400,1,100000.0,750,,237.75,0.23775,,0.0022289644680952847,0.0017087274239670287,0.00035735580181582094
53,53,2.5,0.012,2400,1,100000.0,800,,253.8125,0.2538125,,0.0025212699200309885,0.0017812279967604847,0.0003688823708779801
