# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	6.781250000000000000e+01	6.781249999999999778e-02	nan	2.747315010775963628e-04	3.793769064820321207e-03	2.747653436898459000e-04
nan	8.212500000000000000e+01	8.212500000000000355e-02	nan	4.251673874975381295e-04	3.091318277938817811e-03	3.206549417017943667e-04
nan	4.006250000000000000e+01	4.006250000000000089e-02	nan	5.211894143180018091e-04	3.245936299542981178e-03	2.907830080482056269e-04
nan	5.356250000000000000e+01	5.356249999999999900e-02	nan	6.426876365868139374e-04	2.777011736862836609e-03	3.369891767186508299e-04
nan	5.743750000000000000e+01	5.743749999999999550e-02	nan	9.144356536516795586e-04	2.152639566291662029e-03	3.214705201700436728e-04
nan	7.075000000000000000e+01	7.075000000000000733e-02	nan	1.208206258780819553e-03	2.561460775116606529e-03	3.437880786697127076e-04
nan	7.812500000000000000e+01	7.812500000000000000e-02	nan	1.397111243299775651e-03	2.018321093727874858e-03	3.225697308207160991e-04
nan	9.093750000000000000e+01	9.093749999999999056e-02	nan	1.783009202839025420e-03	2.389708565122016393e-03	3.543562229709520928e-04
nan	9.868750000000000000e+01	9.868750000000001132e-02	nan	1.906031859149948104e-03	2.251342048971435774e-03	3.621432296561839272e-04
nan	1.025625000000000000e+02	1.025624999999999870e-01	nan	2.088998433997346638e-03	2.126498236998603571e-03	3.481572416320109298e-04
nan	1.113750000000000000e+02	1.113750000000000018e-01	nan	2.363457374798372257e-03	1.972925003676307461e-03	3.419417944309160280e-04
nan	1.302500000000000000e+02	1.302500000000000047e-01	nan	2.132451839699456286e-03	2.027491802137265219e-03	3.547486891547694914e-04
nan	1.343750000000000000e+02	1.343749999999999944e-01	nan	2.664318711062207967e-03	1.946576621863297177e-03	3.445556769781317800e-04
nan	1.371250000000000000e+02	1.371249999999999969e-01	nan	2.752910715024370347e-03	1.918600135416329315e-03	3.457230129007454506e-04
nan	1.494375000000000000e+02	1.494374999999999731e-01	nan	3.017958841027734707e-03	1.817783326023829360e-03	3.649533247600870957e-04
nan	1.608750000000000000e+02	1.608749999999999902e-01	nan	3.027668345239931114e-03	1.677268808134216218e-03	3.664070667541440593e-04
nan	1.725000000000000000e+02	1.725000000000000144e-01	nan	3.566066250378696623e-03	1.800974010061980220e-03	3.568079544153905246e-04
