# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	9.793750000000000000e+01	9.793749999999999678e-02	nan	3.129547095976903393e-04	3.604392263875051683e-03	2.720835178711966673e-04
nan	1.365000000000000000e+02	1.365000000000000102e-01	nan	5.171555311402897814e-04	3.709809490239046083e-03	3.291043422991322747e-04
nan	1.702500000000000000e+02	1.702499999999999847e-01	nan	6.795044082146262099e-04	3.119417240914079681e-03	3.500621571087778614e-04
nan	1.838750000000000000e+02	1.838750000000000107e-01	nan	8.410858739811288842e-04	2.888351096016852394e-03	3.372494986262593373e-04
nan	2.138125000000000000e+02	2.138125000000000164e-01	nan	1.076946332222661340e-03	2.312681236817134504e-03	3.365972686697877008e-04
nan	2.301875000000000000e+02	2.301874999999999893e-01	nan	1.235357531875536097e-03	2.396865009785107813e-03	3.642274853350670107e-04
nan	2.471875000000000000e+02	2.471875000000000044e-01	nan	1.263874114922458602e-03	2.342177831084005842e-03	3.663715743921243514e-04
nan	2.603750000000000000e+02	2.603750000000000231e-01	nan	1.615530323793024081e-03	2.423291535039331576e-03	3.656148810862605916e-04
nan	2.787500000000000000e+02	2.787499999999999978e-01	nan	2.005485682865071340e-03	2.293594454602567324e-03	3.554373065000718561e-04
nan	2.914375000000000000e+02	2.914375000000000160e-01	nan	2.194384173243690839e-03	2.227425843010099986e-03	3.689809775450635402e-04
nan	3.135625000000000000e+02	3.135625000000000218e-01	nan	2.223525382589741639e-03	2.090741308409821680e-03	3.652195591063241869e-04
nan	3.209375000000000000e+02	3.209374999999999867e-01	nan	2.575063332848515074e-03	1.898485729388108391e-03	3.615605695062734399e-04
nan	3.338750000000000000e+02	3.338750000000000329e-01	nan	2.746479545152169521e-03	2.008813339296940288e-03	3.718322838111743777e-04
nan	3.329375000000000000e+02	3.329374999999999973e-01	nan	2.828079683368400765e-03	1.938655868520915409e-03	3.590875915670327313e-04
nan	3.541250000000000000e+02	3.541250000000000231e-01	nan	3.235659859321060594e-03	2.009136006034029955e-03	3.691657771989691563e-04
nan	3.627500000000000000e+02	3.627500000000000169e-01	nan	3.662332208030250058e-03	1.841835156795675402e-03	3.758599897611784326e-04
nan	3.737500000000000000e+02	3.737499999999999711e-01	nan	4.153411748845314833e-03	1.814619619990526320e-03	3.700320966199395446e-04
nan	3.903750000000000000e+02	3.903750000000000275e-01	nan	3.930867606541710302e-03	1.921985666119506962e-03	3.648077341125606499e-04
nan	3.960000000000000000e+02	3.960000000000000187e-01	nan	4.211415928168094069e-03	1.985166443874203466e-03	3.640775888859268156e-04
nan	4.144375000000000000e+02	4.144375000000000142e-01	nan	4.527764542473278198e-03	1.954311806988681417e-03	3.730937554586505117e-04
nan	4.203750000000000000e+02	4.203750000000000542e-01	nan	4.957707590762083782e-03	1.674061368325297254e-03	3.759242818384668722e-04
nan	4.245625000000000000e+02	4.245625000000000093e-01	nan	5.165963724834909954e-03	1.871806823315913656e-03	3.761785056608535913e-04
nan	4.294375000000000000e+02	4.294375000000000275e-01	nan	5.253196469880094810e-03	1.828538339895177320e-03	3.667507488376262363e-04
nan	4.511250000000000000e+02	4.511249999999999982e-01	nan	5.099051932518250396e-03	1.702532527604233396e-03	3.773324931703819990e-04
nan	4.596875000000000000e+02	4.596874999999999711e-01	nan	5.933201188710768292e-03	1.888018073847573227e-03	3.779292497561440359e-04
nan	4.577500000000000000e+02	4.577499999999999902e-01	nan	5.838045520505374952e-03	1.681227569773542348e-03	3.712850342966272314e-04
nan	4.788125000000000000e+02	4.788124999999999742e-01	nan	6.238199711617653520e-03	1.720484683896480451e-03	3.696127423414852231e-04
nan	4.778125000000000000e+02	4.778124999999999734e-01	nan	6.813170142450530875e-03	1.597707685866076900e-03	3.654495397384957089e-04
nan	4.916875000000000000e+02	4.916875000000000551e-01	nan	6.670891577641668846e-03	1.642131656588470458e-03	3.850802351092299288e-04
nan	4.930000000000000000e+02	4.929999999999999938e-01	nan	7.502532473495193699e-03	1.664718738085104897e-03	3.724182392123326249e-04
nan	5.086250000000000000e+02	5.086249999999999938e-01	nan	8.164009168567076813e-03	1.553138699731765717e-03	3.788803055084801179e-04
nan	5.110625000000000000e+02	5.110624999999999751e-01	nan	8.762054940191887908e-03	1.673280044636129508e-03	3.750818704632892129e-04
nan	5.200000000000000000e+02	5.200000000000000178e-01	nan	8.720097556164319030e-03	1.798180370753548873e-03	3.737726308863412953e-04
nan	5.340000000000000000e+02	5.340000000000000302e-01	nan	9.013967297889280417e-03	1.535386165931849119e-03	3.694054533594059021e-04
nan	5.303750000000000000e+02	5.303750000000000409e-01	nan	9.222893937206322335e-03	1.619494392026957306e-03	3.706724094409597110e-04
nan	5.402500000000000000e+02	5.402499999999998970e-01	nan	9.227201835230403049e-03	1.679091772984775757e-03	3.764418184840838226e-04
nan	5.462500000000000000e+02	5.462500000000000133e-01	nan	1.039160883563283733e-02	1.538975648378589686e-03	3.729286782715085838e-04
nan	5.618125000000000000e+02	5.618124999999999369e-01	nan	9.716885328472812944e-03	1.534996742391178323e-03	3.747302506967504533e-04
nan	5.633125000000000000e+02	5.633124999999999938e-01	nan	1.103320557601250584e-02	1.646187053787058702e-03	3.726119360823779126e-04
nan	6.587500000000000000e+01	6.587500000000000300e-02	nan	2.014370484104688330e-04	4.896799601722192329e-03	3.006649678028694948e-04
nan	9.600000000000000000e+01	9.600000000000000200e-02	nan	3.018005075006158222e-04	2.774779137109646340e-03	3.196393342941828645e-04
