,Simulation Number,PG.cFactor,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,2.5,0.012,1200,1,100000.0,100,,71.125,0.071125,,0.00028709565726892095,0.003525913311655651,0.00026212013564436414
1,1,2.5,0.012,1200,1,100000.0,150,,81.4375,0.08143749999999998,,0.00047358816006948246,0.003762790201255428,0.0003036890441365888
2,2,2.5,0.012,1200,1,100000.0,200,,39.875,0.039875,,0.0007056610023905563,0.0024041107486353405,0.0002995502664950496
3,3,2.5,0.012,1200,1,100000.0,250,,50.375,0.050375,,0.000799044974792551,0.002473361629581696,0.0003016512033218862
4,4,2.5,0.012,1200,1,100000.0,300,,58.625,0.058625,,0.0009080848437541533,0.0026835786290528765,0.00030824940140277145
5,5,2.5,0.012,1200,1,100000.0,350,,70.625,0.070625,,0.0013970883288259015,0.0021338280714285913,0.0003018699645618313
6,6,2.5,0.012,1200,1,100000.0,400,,81.625,0.081625,,0.001272111450163038,0.002099385804356847,0.00035013189163435765
7,7,2.5,0.012,1200,1,100000.0,450,,92.875,0.092875,,0.0016836928752468339,0.002320498052393878,0.00032400802181191174
8,8,2.5,0.012,1200,1,100000.0,500,,96.3125,0.0963125,,0.0019226452187304233,0.002096359200095656,0.00033864264569256105
9,9,2.5,0.012,1200,1,100000.0,550,,106.5,0.1065,,0.001947392986082264,0.0017328776729123758,0.0003454453017675367
10,10,2.5,0.012,1200,1,100000.0,600,,113.625,0.113625,,0.00214045928518658,0.0017404778447086705,0.0003482122308600758
11,11,2.5,0.012,1200,1,100000.0,650,,127.0625,0.1270625,,0.002265798706112321,0.0020302911506428624,0.00035695192085454647
12,12,2.5,0.012,1200,1,100000.0,700,,133.1875,0.1331875,,0.002484762248592176,0.0018517898633560908,0.000348987914589651
13,13,2.5,0.012,1200,1,100000.0,750,,136.25,0.13624999999999998,,0.0029076469046671605,0.00180291901689518,0.00035194987354374445
14,14,2.5,0.012,1200,1,100000.0,800,,148.125,0.148125,,0.0029791398264364943,0.0016656854303532408,0.00034809558204277084
15,15,2.5,0.012,1200,1,100000.0,850,,165.1875,0.1651875,,0.003447647437788248,0.0018144403780571332,0.0003536263723583196
16,16,2.5,0.012,1200,1,100000.0,900,,169.75,0.16975,,0.003780886575007969,0.0017087179838124091,0.000349241662757302
17,17,2.5,0.012,1200,1,100000.0,950,,176.0,0.176,,0.003822722781357868,0.001953795729140288,0.00035513264158235953
18,18,2.5,0.012,1200,1,100000.0,1000,,186.1875,0.1861875,,0.004099303398106713,0.0019352140308699453,0.00037215500918267685
19,19,2.5,0.012,1200,1,100000.0,1050,,187.125,0.187125,,0.004843562867648643,0.0016276523283072102,0.0003687071193165576
20,20,2.5,0.012,1200,1,100000.0,1100,,191.9375,0.1919375,,0.005223934487162296,0.0017312983914580195,0.00035791921263084235
21,21,2.5,0.012,1200,1,100000.0,1150,,203.0625,0.2030625,,0.004589424543794961,0.001667332630947822,0.00036732856698124726
22,22,2.5,0.012,1200,1,100000.0,1200,,210.25,0.21025,,0.005137892492996343,0.0018025364197812104,0.0003644738609429991
23,23,2.5,0.012,1200,1,100000.0,1250,,218.0,0.218,,0.005577368821988671,0.0017469945704926056,0.0003704568436935608
24,24,2.5,0.012,1200,1,100000.0,1300,,220.4375,0.2204375,,0.006086902146066109,0.0016528940105038907,0.00036834366417143994
25,25,2.5,0.012,1200,1,100000.0,1350,,231.5,0.2315,,0.0059610236157965355,0.0016671874490480963,0.0003743598444635825
26,26,2.5,0.012,1200,1,100000.0,1400,,237.875,0.237875,,0.006869510966168946,0.0015197541204315336,0.0003757101012575692
27,27,2.5,0.012,1200,1,100000.0,1450,,241.375,0.241375,,0.006613881692132395,0.0019070808737170057,0.00037344103640510416
28,28,2.5,0.012,1200,1,100000.0,1500,,240.5625,0.2405625,,0.0070159698126417425,0.0016963564129243965,0.00037304603403785086
29,29,2.5,0.012,1200,1,100000.0,1550,,241.75,0.24175,,0.007214735895189506,0.0017805005116614005,0.00036365835023413536
30,30,2.5,0.012,1200,1,100000.0,1600,,241.0625,0.2410625,,0.007824834747523822,0.0015986945431484974,0.00036868484032670425
31,31,2.5,0.012,1200,1,100000.0,1650,,247.0,0.247,,0.007699331303669511,0.00168931078378062,0.0003718390453590287
