,Simulation Number,PG.cFactor,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,2.5,0.01,2400,1,100000.0,100,,10000.0,10.0,,0.009981408768691009,0.011459326292473327,0.010300675541063639
1,1,2.5,0.01,2400,1,100000.0,150,,10000.0,10.0,,0.01497216515700444,0.009446361327383999,0.008299507584602534
2,2,2.5,0.01,2400,1,100000.0,200,,10000.0,10.0,,0.019316444346254288,0.00830325630489754,0.007393858142102186
3,3,2.5,0.01,2400,1,100000.0,250,,10000.0,10.0,,0.02493022368042716,0.007314999667354934,0.006705920419177655
4,4,2.5,0.01,2400,1,100000.0,300,,10000.0,10.0,,0.029892828491204,0.006968269267047888,0.00614821859044849
5,5,2.5,0.01,2400,1,100000.0,350,,10000.0,10.0,,0.034960853571026865,0.0066542767318415975,0.0056533009531665335
6,6,2.5,0.01,2400,1,100000.0,400,,10000.0,10.0,,0.03994590374531128,0.0063184655772283455,0.0052108830926288095
7,7,2.5,0.01,2400,1,100000.0,450,,10000.0,10.0,,0.044918741059270816,0.0059974043318234485,0.004979417210586694
8,8,2.5,0.01,2400,1,100000.0,500,,10000.0,10.0,,0.04982929238555016,0.0061422002316580395,0.004714355865748742
9,9,2.5,0.01,2400,1,100000.0,550,,10000.0,10.0,,0.0548374642559736,0.00578641513681266,0.004425319164227616
10,10,2.5,0.01,2400,1,100000.0,600,,10000.0,10.0,,0.05988316895928392,0.005706861297515373,0.004165725697075693
11,11,2.5,0.01,2400,1,100000.0,650,,10000.0,10.0,,0.06489841985805128,0.005509875914527766,0.003959538509479004
12,12,2.5,0.01,2400,1,100000.0,700,,10000.0,10.0,,0.0698350793672364,0.005567110736160227,0.003932143877973969
13,13,2.5,0.01,2400,1,100000.0,750,,10000.0,10.0,,0.0748812327901453,0.005152915842783301,0.0038583524540510166
14,14,2.5,0.01,2400,1,100000.0,800,,10000.0,10.0,,0.07989905319372269,0.005101024421905888,0.0037134794283865775
15,15,2.5,0.01,2400,1,100000.0,850,,10000.0,10.0,,0.08486500210566532,0.005023503470044842,0.0036029203659831135
16,16,2.5,0.01,2400,1,100000.0,900,,10000.0,10.0,,0.08702417363959043,0.004944772518985242,0.0035323044975677912
17,17,2.5,0.01,2400,1,100000.0,950,,10000.0,10.0,,0.09468669940278003,0.0049579521999533,0.0034684833674222607
18,18,2.5,0.01,2400,1,100000.0,1000,,10000.0,10.0,,0.09987100811491019,0.0050005513568669195,0.003199224083248933
19,19,2.5,0.01,2400,1,100000.0,1050,,10000.0,10.0,,0.10472451108494624,0.004936147870744392,0.0033395131229272215
20,20,2.5,0.01,2400,1,100000.0,1100,,10000.0,10.0,,0.1098613737192909,0.0047259725137865196,0.003185200900313166
21,21,2.5,0.01,2400,1,100000.0,1150,,10000.0,10.0,,0.11486221078077732,0.004876852333799251,0.0031228901141151675
22,22,2.5,0.01,2400,1,100000.0,1200,,10000.0,10.0,,0.11966953933179866,0.004623244961011619,0.003020576389017577
23,23,2.5,0.01,2400,1,100000.0,1250,,10000.0,10.0,,0.12465433359120878,0.004626115090030332,0.0029481098970316525
24,24,2.5,0.01,2400,1,100000.0,1300,,10000.0,10.0,,0.12543501672935556,0.004548712283470249,0.002933337810903947
25,25,2.5,0.01,2400,1,100000.0,1350,,10000.0,10.0,,0.13448322803897325,0.0045122285776626235,0.002915800832268132
26,26,2.5,0.01,2400,1,100000.0,1400,,10000.0,10.0,,0.1398032527983196,0.004578908683424776,0.002821706884999087
27,27,2.5,0.01,2400,1,100000.0,1450,,10000.0,10.0,,0.14448552651524324,0.004347359641349425,0.0027019812821244007
28,28,2.5,0.01,2400,1,100000.0,1500,,10000.0,10.0,,0.14898334176231628,0.00447352970644243,0.002722155180881066
29,29,2.5,0.01,2400,1,100000.0,1550,,10000.0,10.0,,0.15458418721741507,0.0045361001339753685,0.0026284741582141857
30,30,2.5,0.01,2400,1,100000.0,1600,,10000.0,10.0,,0.15972700425934588,0.0043516150896325614,0.0027240621952739704
31,31,2.5,0.01,2400,1,100000.0,1650,,10000.0,10.0,,0.164729869765938,0.004444017896525135,0.002587337453403401
32,32,2.5,0.01,2400,1,100000.0,1700,,10000.0,10.0,,0.16913242155709213,0.004213047100006144,0.002493530397496911
33,33,2.5,0.01,2400,1,100000.0,1750,,10000.0,10.0,,0.17463073405290744,0.004254015533188345,0.0025426532931108387
34,34,2.5,0.01,2400,1,100000.0,1800,,10000.0,10.0,,0.1795382091833994,0.00434513944467216,0.0025027622974508608
35,35,2.5,0.01,2400,1,100000.0,1850,,10000.0,10.0,,0.1845844677356536,0.004245713582313067,0.002504235792449223
36,36,2.5,0.01,2400,1,100000.0,1900,,10000.0,10.0,,0.18973846784930176,0.004309701982977396,0.0023607407291387997
37,37,2.5,0.01,2400,1,100000.0,1950,,10000.0,10.0,,0.188420887249594,0.004323067167282083,0.002394575544800515
38,38,2.5,0.01,2400,1,100000.0,2000,,10000.0,10.0,,0.19966229733328417,0.004253994149035535,0.0024383261793251864
