,Simulation Number,PG.cFactor,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,2.5,0.012,1200,1,100000.0,100,,100000.0,100.0,,0.09957976125357249,0.10911847948762748,0.10432095762542733
1,1,2.5,0.012,1200,1,100000.0,150,,100000.0,100.0,,0.14978106494794474,0.0947029704964522,0.08379164036317624
2,2,2.5,0.012,1200,1,100000.0,200,,100000.0,100.0,,0.19865300840951505,0.0821123003378771,0.07980849015688507
3,3,2.5,0.012,1200,1,100000.0,250,,100000.0,100.0,,0.24965227484827324,0.07388857850884852,0.06615859545809624
4,4,2.5,0.012,1200,1,100000.0,300,,100000.0,100.0,,0.29941782630778846,0.06723086864490681,0.06356470464374982
5,5,2.5,0.012,1200,1,100000.0,350,,100000.0,100.0,,0.34960212923665773,0.06279773178131262,0.054633716020104896
6,6,2.5,0.012,1200,1,100000.0,400,,100000.0,100.0,,0.39960643826370307,0.06232049393514544,0.053426145584298416
7,7,2.5,0.012,1200,1,100000.0,450,,100000.0,100.0,,0.44959863334612743,0.0611330352383407,0.05024008721136125
8,8,2.5,0.012,1200,1,100000.0,500,,100000.0,100.0,,0.49865081413734913,0.05590451366179299,0.046233841811889664
9,9,2.5,0.012,1200,1,100000.0,550,,100000.0,100.0,,0.549584078597718,0.05677249526315414,0.04409059744473105
10,10,2.5,0.012,1200,1,100000.0,600,,100000.0,100.0,,0.5986525697347531,0.05664820805809553,0.04299293668889514
11,11,2.5,0.012,1200,1,100000.0,650,,100000.0,100.0,,0.6492803863906715,0.05361963286141507,0.04189281093791564
12,12,2.5,0.012,1200,1,100000.0,700,,100000.0,100.0,,0.6991973686330368,0.05398093618956112,0.0392371134681832
13,13,2.5,0.012,1200,1,100000.0,750,,100000.0,100.0,,0.748642018729953,0.052194152713892314,0.03765839520456602
14,14,2.5,0.012,1200,1,100000.0,800,,100000.0,100.0,,0.7337564257846446,0.05208755070880981,0.03771039636156594
15,15,2.5,0.012,1200,1,100000.0,850,,100000.0,100.0,,0.8489782562701292,0.05060731873805549,0.03707331481959288
16,16,2.5,0.012,1200,1,100000.0,900,,100000.0,100.0,,0.8961583717983501,0.05139372963585317,0.03528366365287312
17,17,2.5,0.012,1200,1,100000.0,950,,100000.0,100.0,,0.9468957491378378,0.04760131153896239,0.03383646556001675
18,18,2.5,0.012,1200,1,100000.0,1000,,100000.0,100.0,,0.9983220132976384,0.0496876254169706,0.031776087163134
19,19,2.5,0.012,1200,1,100000.0,1050,,100000.0,100.0,,1.044925701527859,0.045072213566925055,0.0327580478545596
20,20,2.5,0.012,1200,1,100000.0,1100,,100000.0,100.0,,1.0958464278233464,0.048227097111466846,0.03274198594496173
21,21,2.5,0.012,1200,1,100000.0,1150,,100000.0,100.0,,1.1440312845596168,0.0461423945667594,0.030121527244103143
22,22,2.5,0.012,1200,1,100000.0,1200,,100000.0,100.0,,1.1992572404012094,0.047599407640538514,0.030309847969616863
23,23,2.5,0.012,1200,1,100000.0,1250,,100000.0,100.0,,1.2488042389023235,0.0466814890346472,0.029489341528214696
24,24,2.5,0.012,1200,1,100000.0,1300,,100000.0,100.0,,1.2969882299721007,0.0470518972608344,0.028576232328593867
25,25,2.5,0.012,1200,1,100000.0,1350,,100000.0,100.0,,1.3485586805210232,0.046642460574244954,0.029675951583291567
26,26,2.5,0.012,1200,1,100000.0,1400,,100000.0,100.0,,1.3988840380094416,0.04436133174503585,0.02728797555414496
27,27,2.5,0.012,1200,1,100000.0,1450,,100000.0,100.0,,1.4487191779228397,0.04597808269923344,0.028143948066153005
28,28,2.5,0.012,1200,1,100000.0,1500,,100000.0,100.0,,1.4977538052831392,0.044920002525859176,0.02647885427927512
29,29,2.5,0.012,1200,1,100000.0,1550,,100000.0,100.0,,1.5474389191040243,0.04550957189374788,0.026477567036567392
30,30,2.5,0.012,1200,1,100000.0,1600,,100000.0,100.0,,1.5977564461940688,0.04491741099540007,0.027626887988246293
31,31,2.5,0.012,1200,1,100000.0,1650,,100000.0,100.0,,1.6482657052781633,0.045546847825069486,0.02688112554729828
32,32,2.5,0.012,1200,1,100000.0,1700,,100000.0,100.0,,1.6978536593526883,0.04252188353344682,0.025258588707251364
33,33,2.5,0.012,1200,1,100000.0,1750,,100000.0,100.0,,1.747688452533282,0.041132437393409375,0.02682929842344716
34,34,2.5,0.012,1200,1,100000.0,1800,,100000.0,100.0,,1.7970893684261,0.04496821522917041,0.025281668555309805
35,35,2.5,0.012,1200,1,100000.0,1850,,100000.0,100.0,,1.8490915218284272,0.042741722374461576,0.024897380627253003
36,36,2.5,0.012,1200,1,100000.0,1900,,100000.0,100.0,,1.895859357542406,0.04277094566569774,0.024140279189595763
37,37,2.5,0.012,1200,1,100000.0,1950,,100000.0,100.0,,1.947665879034332,0.04213805424395128,0.02333452638800766
38,38,2.5,0.012,1200,1,100000.0,2000,,100000.0,100.0,,1.9980951281022497,0.04259676067149279,0.02459835566026104
39,39,2.5,0.012,2400,1,100000.0,100,,100000.0,100.0,,0.09984670165459873,0.11311437841493896,0.10402291426210712
40,40,2.5,0.012,2400,1,100000.0,150,,100000.0,100.0,,0.14958623996798792,0.08714755313931533,0.08236744489576003
41,41,2.5,0.012,2400,1,100000.0,200,,100000.0,100.0,,0.19917573331368743,0.0815018996317399,0.07444386396772501
