# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	3.837500000000000000e+02	3.837500000000000355e-01	nan	1.098711015089293142e-03	1.843862495446981983e-02	1.195719790705365368e-03
nan	5.692500000000000000e+02	5.692500000000000338e-01	nan	1.780119896970688842e-03	1.379467421071640942e-02	1.210692071194983477e-03
nan	6.502500000000000000e+02	6.502499999999999947e-01	nan	2.597790400180599590e-03	1.275509707271039669e-02	1.282751510430882834e-03
nan	7.400000000000000000e+02	7.399999999999999911e-01	nan	3.355516351533083252e-03	1.109264619476797199e-02	1.414891065470146383e-03
nan	8.455000000000000000e+02	8.454999999999999183e-01	nan	3.945185001967388416e-03	1.059802116770157399e-02	1.362980586912857905e-03
nan	9.400000000000000000e+02	9.400000000000000577e-01	nan	5.382361424537407402e-03	1.025191756773514637e-02	1.397622928356990080e-03
nan	9.800000000000000000e+02	9.799999999999999822e-01	nan	5.947903028726386765e-03	9.426059747498074376e-03	1.465664191483484870e-03
nan	1.032000000000000000e+03	1.032000000000000028e+00	nan	6.565843944613902750e-03	8.972258998881613157e-03	1.394621954887262979e-03
nan	1.106500000000000000e+03	1.106500000000000039e+00	nan	7.917230269697483891e-03	8.895979305469460530e-03	1.457684512196481298e-03
nan	1.163000000000000000e+03	1.162999999999999812e+00	nan	7.436044038968248060e-03	9.876245730359202446e-03	1.443886920594540831e-03
nan	1.206500000000000000e+03	1.206499999999999906e+00	nan	9.717109601865558943e-03	9.388528241878458386e-03	1.443147215694791114e-03
nan	1.273500000000000000e+03	1.273500000000000076e+00	nan	9.508990922682869495e-03	7.965886103747630426e-03	1.444113563657220198e-03
nan	1.307000000000000000e+03	1.307000000000000162e+00	nan	1.022998837657951299e-02	8.448310341374380694e-03	1.437302215097953015e-03
nan	1.383750000000000000e+03	1.383750000000000036e+00	nan	1.220426850673561603e-02	7.733703211251323484e-03	1.446344078289432244e-03
nan	1.402750000000000000e+03	1.402749999999999941e+00	nan	1.181317507496260077e-02	7.619450463208139214e-03	1.468264930524785204e-03
nan	1.466750000000000000e+03	1.466749999999999998e+00	nan	1.332759997765720072e-02	7.674011075996036400e-03	1.437931524167813686e-03
nan	1.503250000000000000e+03	1.503249999999999975e+00	nan	1.437379464175592148e-02	8.192240312683875259e-03	1.480068492792840137e-03
