# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.168750000000000000e+01	1.168750000000000171e-02	nan	2.428439466734044544e-04	2.890619878962872192e-03	2.713138215658228284e-04
nan	2.162500000000000000e+01	2.162499999999999839e-02	nan	3.845883841027903705e-04	2.987252614472677738e-03	2.775977398931536678e-04
nan	1.156250000000000000e+01	1.156250000000000160e-02	nan	5.416466670119830925e-04	2.749140809010673300e-03	2.754190822919724987e-04
nan	1.718750000000000000e+01	1.718750000000000139e-02	nan	6.585135390785321410e-04	2.717581236255924709e-03	2.728398259595418446e-04
nan	2.025000000000000000e+01	2.024999999999999717e-02	nan	8.550203550479458601e-04	2.570808526809546021e-03	2.752329369667156776e-04
nan	2.556250000000000000e+01	2.556249999999999842e-02	nan	7.170707719294445092e-04	2.483477861977901376e-03	3.310052935026541396e-04
nan	3.256250000000000000e+01	3.256250000000000117e-02	nan	9.339832157948535496e-04	2.628340227883713045e-03	2.988505122828918068e-04
nan	3.450000000000000000e+01	3.450000000000000289e-02	nan	1.204078643965544870e-03	2.333648473732720385e-03	3.093859193213764234e-04
nan	4.256250000000000000e+01	4.256250000000000311e-02	nan	1.259305072974115092e-03	1.983290337931025576e-03	3.083281411088388806e-04
nan	4.312500000000000000e+01	4.312500000000000361e-02	nan	1.171598849609267745e-03	2.347554942607414392e-03	2.973848568234856811e-04
nan	4.931250000000000000e+01	4.931250000000000910e-02	nan	1.330176181930653456e-03	1.747767543013731750e-03	3.265815314223726286e-04
nan	5.418750000000000000e+01	5.418749999999999956e-02	nan	1.711864395055329169e-03	1.907184534346008549e-03	3.280126457750722813e-04
nan	5.468750000000000000e+01	5.468750000000000000e-02	nan	1.972191674909140602e-03	2.250810041218384398e-03	3.279214058240254330e-04
nan	5.975000000000000000e+01	5.974999999999999756e-02	nan	1.886852310313713588e-03	1.948546012565778064e-03	2.832738552583248916e-04
nan	6.050000000000000000e+01	6.049999999999999822e-02	nan	2.344470298410783471e-03	2.115228330695032369e-03	3.318673480438556842e-04
nan	6.775000000000000000e+01	6.775000000000000466e-02	nan	2.293096176003928122e-03	2.032695046073455542e-03	3.416715726350433215e-04
nan	7.118750000000000000e+01	7.118749999999998690e-02	nan	2.516621966179855008e-03	1.950824830155266452e-03	3.534487087338559130e-04
nan	7.568750000000000000e+01	7.568750000000001865e-02	nan	3.048515864591649915e-03	1.883952658231688058e-03	3.535473038124195663e-04
nan	7.793750000000000000e+01	7.793749999999999289e-02	nan	3.027651794553776199e-03	1.931948812533871521e-03	3.569812092864806455e-04
nan	7.675000000000000000e+01	7.674999999999999878e-02	nan	2.940158056091490835e-03	1.699402911123602811e-03	3.522364733187370893e-04
nan	8.200000000000000000e+01	8.200000000000000344e-02	nan	3.324443698417667292e-03	2.085415869167239235e-03	3.404435869343961653e-04
nan	7.981250000000000000e+01	7.981249999999999456e-02	nan	3.152284292568197088e-03	1.803722977441091398e-03	3.634172517283521323e-04
nan	7.762500000000000000e+01	7.762499999999999956e-02	nan	3.309506802736450481e-03	2.036112024202939644e-03	3.598992489873854015e-04
nan	7.581250000000000000e+01	7.581250000000000488e-02	nan	3.088607499563522651e-03	1.726504892667996612e-03	3.388073537678307819e-04
nan	7.268750000000000000e+01	7.268749999999998823e-02	nan	3.562479789493977478e-03	1.570569258545715177e-03	3.438731689943985725e-04
nan	6.931250000000000000e+01	6.931249999999999911e-02	nan	3.816259370466923428e-03	1.651904412989956949e-03	3.395903246547451104e-04
nan	6.743750000000000000e+01	6.743749999999999745e-02	nan	3.849803598455991960e-03	1.127516929636122704e-03	3.563076190716758015e-04
nan	6.268750000000000000e+01	6.268750000000000711e-02	nan	3.992715782473510444e-03	1.881590995870874956e-03	3.689044165179099287e-04
nan	6.231250000000000000e+01	6.231249999999999983e-02	nan	4.445889785316126108e-03	1.797109907993638470e-03	3.267570622929393638e-04
nan	5.218750000000000000e+01	5.218749999999999778e-02	nan	4.322984246272199016e-03	1.978379122795995756e-03	3.211250627907111200e-04
nan	4.575000000000000000e+01	4.575000000000000594e-02	nan	5.079578885570867897e-03	1.439860810234911770e-03	3.283703601161179985e-04
nan	4.106250000000000000e+01	4.106250000000000178e-02	nan	4.361320364040466302e-03	1.709256333067376340e-03	2.885736677207014064e-04
nan	3.937500000000000000e+01	3.937499999999999334e-02	nan	5.540369842236714248e-03	1.456843470140458665e-03	3.239306976511994486e-04
nan	3.393750000000000000e+01	3.393750000000000239e-02	nan	5.495749078036737956e-03	1.486966390149441555e-03	2.282182811149880341e-04
nan	2.875000000000000000e+01	2.875000000000000125e-02	nan	5.907318101492364804e-03	1.340328510110959988e-03	2.623212633373791765e-04
nan	2.425000000000000000e+01	2.425000000000000072e-02	nan	6.743403660458896151e-03	1.594131649977034368e-03	2.928462193425327245e-04
nan	2.156250000000000000e+01	2.156249999999999833e-02	nan	6.930179116471655958e-03	2.049163718940395611e-03	2.744322754500449525e-04
nan	1.718750000000000000e+01	1.718750000000000139e-02	nan	6.962700229532962568e-03	1.830927066312474380e-03	2.674184636075736159e-04
nan	1.175000000000000000e+01	1.175000000000000003e-02	nan	7.573410051555011166e-03	1.851063869176063819e-03	2.683434283037301445e-04
nan	9.437500000000000000e+00	9.437499999999999709e-03	nan	2.405354889849768316e-04	2.923183046330293539e-03	2.358170826723697457e-04
nan	1.400000000000000000e+01	1.399999999999999856e-02	nan	3.775393446585183915e-04	2.846625726554491247e-03	2.381001965254970077e-04
nan	7.750000000000000000e+00	7.750000000000000812e-03	nan	5.240530086280041459e-04	2.603165518403038978e-03	2.252908796529898056e-04
nan	1.243750000000000000e+01	1.243750000000000064e-02	nan	6.630465315809196169e-04	2.812169463321374102e-03	2.284252178113577452e-04
nan	1.712500000000000000e+01	1.712500000000000133e-02	nan	7.975423430779760101e-04	2.595612096533182235e-03	2.195115827129200776e-04
nan	2.175000000000000000e+01	2.174999999999999850e-02	nan	9.361900148674414182e-04	2.577590399772569912e-03	2.295847264844355596e-04
nan	2.700000000000000000e+01	2.699999999999999623e-02	nan	8.532406887137643052e-04	2.190570198270930247e-03	2.740976408153162312e-04
nan	3.043750000000000000e+01	3.043749999999999928e-02	nan	8.166387585788470460e-04	2.478528011496362697e-03	2.250307028783404427e-04
nan	3.693750000000000000e+01	3.693750000000000505e-02	nan	1.195033063925876604e-03	1.964738366384365283e-03	2.873616847319406106e-04
nan	3.550000000000000000e+01	3.550000000000000377e-02	nan	1.310916608254331095e-03	2.313306214939660037e-03	2.492029935980494488e-04
nan	4.131250000000000000e+01	4.131250000000000200e-02	nan	1.608876764315425589e-03	1.718388113296801358e-03	2.852350633943729783e-04
nan	4.250000000000000000e+01	4.249999999999999611e-02	nan	1.210230803991407811e-03	1.486534421963699084e-03	2.521799273277049126e-04
nan	4.675000000000000000e+01	4.674999999999999989e-02	nan	1.667539689989894214e-03	1.994974284647388612e-03	2.838426389594944426e-04
nan	4.993750000000000000e+01	4.993749999999999578e-02	nan	1.333702173475614927e-03	2.103022666513272056e-03	2.712218278429909734e-04
nan	5.106250000000000000e+01	5.106249999999999678e-02	nan	1.826243134601668316e-03	1.555179710671464452e-03	2.669915533781168815e-04
nan	6.156250000000000000e+01	6.156249999999999917e-02	nan	1.804200222203178328e-03	1.686998158947827873e-03	2.876799693258405089e-04
nan	5.643750000000000000e+01	5.643749999999999462e-02	nan	2.046857322376638422e-03	1.761872458490184885e-03	2.764698953036631821e-04
nan	6.493750000000000000e+01	6.493750000000000910e-02	nan	1.940188947251897389e-03	1.757076686060954351e-03	2.780256739554752988e-04
nan	6.281250000000000000e+01	6.281249999999999334e-02	nan	2.370039739147955515e-03	1.782828073474733866e-03	2.909180143114635086e-04
nan	6.831250000000000000e+01	6.831249999999999822e-02	nan	2.637428061760260789e-03	1.896200207050143102e-03	2.456950032719726839e-04
nan	6.568750000000000000e+01	6.568750000000000977e-02	nan	3.009229319786754786e-03	1.929100785939043446e-03	2.784280369334957020e-04
nan	6.625000000000000000e+01	6.625000000000000333e-02	nan	3.212621334142795604e-03	1.531361390484014227e-03	2.783179194333682926e-04
nan	6.337500000000000000e+01	6.337500000000000078e-02	nan	3.258562743667425821e-03	1.588627931032946927e-03	2.869332801577563811e-04
nan	6.018750000000000000e+01	6.018749999999999795e-02	nan	3.506004295005027416e-03	1.802730031421514263e-03	2.773665337623037520e-04
nan	6.031250000000000000e+01	6.031250000000000500e-02	nan	2.942537019137603238e-03	1.737027460942756115e-03	2.663991520320559527e-04
nan	6.018750000000000000e+01	6.018749999999999795e-02	nan	3.285639615370428146e-03	1.270863979514826134e-03	2.725457903237259649e-04
nan	5.893750000000000000e+01	5.893749999999999684e-02	nan	3.775529358463813878e-03	1.561268258682719980e-03	2.734431395460387368e-04
nan	5.137500000000000000e+01	5.137499999999999706e-02	nan	3.201832581524399757e-03	1.393773770298510585e-03	3.005734237641684466e-04
nan	5.006250000000000000e+01	5.006249999999999589e-02	nan	4.075129511917907621e-03	1.145261357355949368e-03	2.717698748286027813e-04
nan	4.300000000000000000e+01	4.299999999999999656e-02	nan	4.619077464568022151e-03	1.602694733482751960e-03	2.597983513943062802e-04
nan	3.987500000000000000e+01	3.987500000000000072e-02	nan	5.414189053681184305e-03	2.114674166210008845e-03	2.828013522421748320e-04
nan	3.556250000000000000e+01	3.556250000000000383e-02	nan	4.735222575973807579e-03	1.310517857207633627e-03	2.537693936125957395e-04
nan	3.481250000000000000e+01	3.481249999999999623e-02	nan	4.891889300907337201e-03	1.472670419778110418e-03	2.707341306298129157e-04
nan	3.100000000000000000e+01	3.099999999999999978e-02	nan	4.652777103373775119e-03	1.661564773104475109e-03	2.684988687206507976e-04
nan	2.431250000000000000e+01	2.431250000000000078e-02	nan	5.654425667055694785e-03	1.653318752429735897e-03	2.155946033395238453e-04
nan	2.200000000000000000e+01	2.200000000000000219e-02	nan	5.966252249511990076e-03	1.668167182074823014e-03	2.286526229613375773e-04
nan	1.787500000000000000e+01	1.787500000000000200e-02	nan	6.724845498181340059e-03	2.104106055747614976e-03	2.216203364758869299e-04
nan	1.612500000000000000e+01	1.612500000000000044e-02	nan	7.107728445814953319e-03	2.046574212274086119e-03	2.192536916660699415e-04
nan	1.406250000000000000e+01	1.406249999999999861e-02	nan	7.199448758346985687e-03	2.007001973058269821e-03	2.292010796629625363e-04
nan	6.062500000000000000e+00	6.062500000000000180e-03	nan	2.758754927280787400e-04	2.829041234294202983e-03	1.716778814774251670e-04
nan	1.118750000000000000e+01	1.118750000000000126e-02	nan	3.608802923897542277e-04	2.709160138787506614e-03	1.834671249515411491e-04
nan	5.625000000000000000e+00	5.625000000000000659e-03	nan	4.727367354734769017e-04	2.692320441379748505e-03	1.610705399974216977e-04
nan	1.000000000000000000e+01	1.000000000000000021e-02	nan	6.125585866697731176e-04	2.879489238699818425e-03	1.644061275580779218e-04
nan	1.368750000000000000e+01	1.368749999999999828e-02	nan	7.305077549351780960e-04	2.537186219368490255e-03	1.780673330776442022e-04
nan	1.825000000000000000e+01	1.825000000000000233e-02	nan	9.453870089095215649e-04	2.587211981969004659e-03	1.811301620341763821e-04
nan	1.975000000000000000e+01	1.975000000000000019e-02	nan	1.109298448496147437e-03	2.508286738083469539e-03	1.844144271944038341e-04
nan	2.375000000000000000e+01	2.375000000000000028e-02	nan	1.083716154215465678e-03	2.492107077210050335e-03	2.077549722457602355e-04
nan	2.743750000000000000e+01	2.743750000000000355e-02	nan	1.019182007401976155e-03	2.207265127107229177e-03	2.001224049962158232e-04
nan	2.862500000000000000e+01	2.862500000000000114e-02	nan	1.530631598287569622e-03	2.431144364274878157e-03	1.842644864711230786e-04
nan	3.331250000000000000e+01	3.331250000000000183e-02	nan	9.982986162953011444e-04	1.915245045197275491e-03	2.233066420419390296e-04
nan	3.606250000000000000e+01	3.606250000000000427e-02	nan	1.033654827466534698e-03	1.692041757560688690e-03	2.031196737587327294e-04
nan	3.893750000000000000e+01	3.893749999999999989e-02	nan	1.666468754287109277e-03	1.820914384530559387e-03	1.939717817460844278e-04
nan	4.081250000000000000e+01	4.081250000000000155e-02	nan	1.668096064506130460e-03	1.953934777674047173e-03	2.055946103276283315e-04
nan	4.212500000000000000e+01	4.212500000000000272e-02	nan	1.866748468053458510e-03	1.662357290671728164e-03	1.823897318179900284e-04
nan	4.593750000000000000e+01	4.593749999999999223e-02	nan	1.774152667195494359e-03	1.695962478016293292e-03	2.235437541120669381e-04
nan	4.612500000000000000e+01	4.612499999999999933e-02	nan	1.717198299679978390e-03	1.774137016531200954e-03	1.854063685986856382e-04
nan	4.675000000000000000e+01	4.674999999999999989e-02	nan	1.909771682115035674e-03	1.550371880571304499e-03	2.172504977639994745e-04
nan	5.025000000000000000e+01	5.025000000000000300e-02	nan	2.173323269509808142e-03	1.716493404734739138e-03	2.172900635634985689e-04
nan	4.981250000000000000e+01	4.981250000000000955e-02	nan	2.416237416213107281e-03	1.823566838112606866e-03	2.373710331413887503e-04
nan	5.037500000000000000e+01	5.037500000000000311e-02	nan	2.216403479195605541e-03	2.244643629599254835e-03	2.293067826123024676e-04
nan	5.375000000000000000e+01	5.375000000000000611e-02	nan	2.765546615691505394e-03	1.815520635402130588e-03	2.174661174399603253e-04
nan	5.112500000000000000e+01	5.112500000000000377e-02	nan	2.635681200587214335e-03	1.604663842076939958e-03	2.109909572206435536e-04
nan	4.987500000000000000e+01	4.987500000000000266e-02	nan	2.772895715224876767e-03	1.654178525089012707e-03	2.281146425054436427e-04
nan	5.193750000000000000e+01	5.193749999999999756e-02	nan	3.029447298303011848e-03	1.907262431104333501e-03	2.120679063323162186e-04
nan	4.500000000000000000e+01	4.499999999999999833e-02	nan	2.942642874003809084e-03	1.519882752099938495e-03	2.219769055501076950e-04
nan	4.643750000000000000e+01	4.643750000000000655e-02	nan	3.071742716670655682e-03	1.822861853155033438e-03	2.311884518431848393e-04
nan	3.968750000000000000e+01	3.968750000000000749e-02	nan	3.344035184611016120e-03	1.665088501181827057e-03	2.037978817550613819e-04
nan	3.818750000000000000e+01	3.818749999999999922e-02	nan	3.661876443217693122e-03	1.328205462163559863e-03	2.104652114758966206e-04
nan	3.425000000000000000e+01	3.425000000000000266e-02	nan	3.273021123447961145e-03	1.771297546481915728e-03	2.299478128795802564e-04
nan	3.168750000000000000e+01	3.168750000000000039e-02	nan	4.572013340109037927e-03	1.300838722552627447e-03	1.811887957612893965e-04
nan	2.762500000000000000e+01	2.762500000000000025e-02	nan	3.376771337926243177e-03	1.603520452699419823e-03	2.039917231472988975e-04
nan	2.700000000000000000e+01	2.699999999999999969e-02	nan	4.133714217569730599e-03	1.673569677923667041e-03	2.021269697534503211e-04
nan	2.312500000000000000e+01	2.312499999999999972e-02	nan	4.306069275233043864e-03	1.710991036266766097e-03	1.965741592466370413e-04
nan	1.925000000000000000e+01	1.924999999999999975e-02	nan	6.090598554280144371e-03	1.945291219482074042e-03	1.663586128087248483e-04
nan	1.687500000000000000e+01	1.687500000000000111e-02	nan	5.932303754820250456e-03	1.920179410271942010e-03	1.637279895392938615e-04
nan	1.512500000000000000e+01	1.512499999999999956e-02	nan	6.411301840608622099e-03	1.796101552145631334e-03	1.793361940872103253e-04
nan	1.112500000000000000e+01	1.112500000000000121e-02	nan	6.543693564269803357e-03	1.855586900623138347e-03	1.682575410193854588e-04
nan	8.312500000000000000e+00	8.312500000000000444e-03	nan	6.129093464934195698e-03	1.975872905645212080e-03	1.949309608949969315e-04
nan	3.375000000000000000e+00	3.374999999999999528e-03	nan	2.591817842273950838e-04	2.927855893081801695e-03	1.201417742699986615e-04
nan	6.125000000000000000e+00	6.125000000000000236e-03	nan	4.127403745698185033e-04	2.787980850756316322e-03	1.300376283645992876e-04
nan	3.375000000000000000e+00	3.374999999999999528e-03	nan	4.193284709010174603e-04	2.531936547487890782e-03	1.260049520870299919e-04
nan	6.437500000000000000e+00	6.437499999999999646e-03	nan	6.204838969376126308e-04	2.686712765911208542e-03	1.259101623962442307e-04
nan	8.062500000000000000e+00	8.062500000000000222e-03	nan	7.981565695321833024e-04	2.616272185770368922e-03	1.458550059535636159e-04
nan	1.256250000000000000e+01	1.256250000000000075e-02	nan	9.234581974849882628e-04	2.550123979671018847e-03	1.376127889970518931e-04
nan	1.425000000000000000e+01	1.425000000000000051e-02	nan	1.005448563286494637e-03	2.496616071846508023e-03	1.361704866556776895e-04
nan	1.812500000000000000e+01	1.812499999999999875e-02	nan	1.225965911605392819e-03	2.596372326664614198e-03	1.315824478967962457e-04
nan	2.037500000000000000e+01	2.037499999999999728e-02	nan	1.285482002873390879e-03	2.294090364620767972e-03	1.295153717937936916e-04
nan	2.281250000000000000e+01	2.281250000000000291e-02	nan	1.600956363228393711e-03	2.460065388303196016e-03	1.349574212213876603e-04
nan	2.325000000000000000e+01	2.324999999999999983e-02	nan	1.701824007177574509e-03	1.946614509935472043e-03	1.317439063830661786e-04
nan	2.618750000000000000e+01	2.618749999999999897e-02	nan	1.487969647534725937e-03	2.303906813979031409e-03	1.276734101730879543e-04
nan	2.737500000000000000e+01	2.737500000000000003e-02	nan	1.733216093590831362e-03	2.010849357311208715e-03	1.530634555944516994e-04
nan	2.618750000000000000e+01	2.618749999999999897e-02	nan	1.650278580439804108e-03	2.312895150930729862e-03	1.452046908667881087e-04
nan	3.093750000000000000e+01	3.093749999999999972e-02	nan	1.431163053808859331e-03	1.832757117136656023e-03	1.547757317865480872e-04
nan	3.243750000000000000e+01	3.243750000000000105e-02	nan	1.876153695420157419e-03	1.624155184539069312e-03	1.455735509229704079e-04
nan	3.275000000000000000e+01	3.275000000000000133e-02	nan	2.521887565414715482e-03	1.295918197182755437e-03	1.488269630358521963e-04
nan	3.481250000000000000e+01	3.481250000000000316e-02	nan	2.279224933275258991e-03	1.686586482320579210e-03	1.533228601938957207e-04
nan	3.431250000000000000e+01	3.431250000000000272e-02	nan	2.360548222490876924e-03	1.493220025917979532e-03	1.529033063729307376e-04
nan	3.781250000000000000e+01	3.781250000000000583e-02	nan	1.912971357114656712e-03	1.954150160072190296e-03	1.320732413887587477e-04
nan	3.693750000000000000e+01	3.693749999999999811e-02	nan	1.993418623442266835e-03	1.561177270325175837e-03	1.576921108508970047e-04
nan	3.712500000000000000e+01	3.712500000000000522e-02	nan	2.290909487754788643e-03	1.526666145380591987e-03	1.758784999963097621e-04
nan	3.600000000000000000e+01	3.600000000000000422e-02	nan	2.814247748545994909e-03	1.122144513205320521e-03	1.439973810912549990e-04
nan	3.518750000000000000e+01	3.518750000000000350e-02	nan	3.354024657483023475e-03	1.327448252456355036e-03	1.818874197960192781e-04
nan	3.612500000000000000e+01	3.612499999999999739e-02	nan	2.904710105454455515e-03	1.751877575956331447e-03	1.695449256169899715e-04
nan	3.493750000000000000e+01	3.493750000000000328e-02	nan	2.500243305732396948e-03	1.511771891482831210e-03	1.659102043113462317e-04
nan	3.181250000000000000e+01	3.181250000000000050e-02	nan	2.984315917146318498e-03	1.096676019881172217e-03	1.555777254127669153e-04
nan	2.862500000000000000e+01	2.862499999999999767e-02	nan	3.454115524052339074e-03	1.840865244252349372e-03	1.662830416794287955e-04
nan	2.881250000000000000e+01	2.881249999999999784e-02	nan	3.595315847803703946e-03	1.723532187873444942e-03	1.299047498500573129e-04
nan	2.662500000000000000e+01	2.662500000000000283e-02	nan	3.699322008438474425e-03	2.027719402982801952e-03	1.538511118110737338e-04
nan	2.193750000000000000e+01	2.193750000000000214e-02	nan	4.809614358268805498e-03	1.976343907614953009e-03	1.439271067500877117e-04
nan	2.131250000000000000e+01	2.131249999999999811e-02	nan	4.739665269016082524e-03	2.025274952430476585e-03	1.355939634725084140e-04
nan	1.918750000000000000e+01	1.918749999999999969e-02	nan	5.268498701589992630e-03	1.886589895867039120e-03	1.361062307427894191e-04
nan	1.512500000000000000e+01	1.512499999999999956e-02	nan	4.963993729125628675e-03	1.959861807941656094e-03	1.359284357444971291e-04
nan	1.525000000000000000e+01	1.524999999999999967e-02	nan	5.465087057884466734e-03	1.938334516657582926e-03	1.272148593381096013e-04
nan	1.243750000000000000e+01	1.243750000000000064e-02	nan	5.289829765404761505e-03	2.007876405863934059e-03	1.245854174613652003e-04
nan	1.062500000000000000e+01	1.062500000000000076e-02	nan	5.740430092926590393e-03	1.758748246393705868e-03	1.292657352021064866e-04
nan	1.000000000000000000e+01	1.000000000000000021e-02	nan	5.718443877721432131e-03	1.853605391910529126e-03	1.379277771333793320e-04
nan	7.437500000000000000e+00	7.437499999999999667e-03	nan	6.006312400432671159e-03	1.864784365126280095e-03	1.251579256254813815e-04
nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan
nan	1.375000000000000000e+00	1.374999999999999920e-03	nan	6.510295146367428521e-04	2.196378039175163679e-03	4.924523595356619513e-05
nan	1.937500000000000000e+00	1.937500000000000420e-03	nan	1.016234121992141840e-03	2.331358770444604770e-03	3.808517273191198375e-05
nan	2.375000000000000000e+00	2.374999999999999941e-03	nan	9.376663228415718122e-04	2.535773396074488158e-03	4.363643818498685092e-05
nan	2.500000000000000000e+00	2.500000000000000052e-03	nan	9.384587537996833505e-04	2.518930139745335917e-03	3.803327116150410534e-05
nan	2.250000000000000000e+00	2.250000000000000264e-03	nan	1.317858508186234723e-03	1.764869481714223271e-03	3.995614738939172228e-05
nan	3.000000000000000000e+00	2.999999999999999629e-03	nan	1.543684382475307097e-03	2.181555436072848790e-03	4.077468889851510998e-05
