# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.164000000000000057e+01	1.163999999999999931e-02	nan	2.770589098415635293e-04	2.356153803603085704e-03	2.145432471349770426e-04
nan	2.800000000000000000e+01	2.800000000000000405e-02	nan	3.624384384954737384e-04	2.589659780506885049e-03	2.528170692397532153e-04
nan	1.775999999999999801e+01	1.776000000000000495e-02	nan	6.188643685862215511e-04	2.339761706471963493e-03	2.155183361323590536e-04
nan	3.423999999999999488e+01	3.424000000000000654e-02	nan	5.079479840139811044e-04	2.304160265486026368e-03	2.316633901230925299e-04
nan	4.900000000000000000e+01	4.900000000000000189e-02	nan	6.475717119224100185e-04	2.020710423428547647e-03	2.476441966268023943e-04
nan	7.023999999999999488e+01	7.023999999999999688e-02	nan	9.286167219852359744e-04	1.904982777746130895e-03	2.540593127004955984e-04
nan	9.820000000000000284e+01	9.819999999999999563e-02	nan	9.074080429604692308e-04	1.756711245344065586e-03	2.872230098426535724e-04
nan	1.247999999999999972e+02	1.247999999999999943e-01	nan	1.290027356812970460e-03	1.895571959192251426e-03	2.661266717742748721e-04
nan	1.538799999999999955e+02	1.538799999999999613e-01	nan	1.356959541274136436e-03	1.883540907301113317e-03	2.708237514885242464e-04
nan	1.719200000000000159e+02	1.719200000000000172e-01	nan	1.585980782829210598e-03	1.881930536910731561e-03	2.927718525245766421e-04
nan	2.166800000000000068e+02	2.166799999999999837e-01	nan	1.593536161099109311e-03	1.866372250882842752e-03	2.867943187503163354e-04
nan	2.593199999999999932e+02	2.593199999999999950e-01	nan	1.776679849790525467e-03	1.601358838808659242e-03	2.909541816708442275e-04
nan	2.948799999999999955e+02	2.948799999999999755e-01	nan	1.996765039434649294e-03	1.741863904274879981e-03	3.005066524798196033e-04
nan	3.281999999999999886e+02	3.281999999999999917e-01	nan	2.085985696271564112e-03	1.496049187033759087e-03	2.882281559899432040e-04
nan	3.758400000000000318e+02	3.758399999999999519e-01	nan	2.168621785676805216e-03	1.629986777023945772e-03	2.987024917270535802e-04
nan	4.242800000000000296e+02	4.242799999999999905e-01	nan	2.628229156503038982e-03	1.601408704567135449e-03	2.978631212424553564e-04
nan	4.664399999999999409e+02	4.664400000000000768e-01	nan	2.567167294760110824e-03	1.628455783673570922e-03	2.990361317101395138e-04
nan	4.946000000000000227e+02	4.945999999999999841e-01	nan	2.649805198698231782e-03	1.518522114937370182e-03	3.005634423651458724e-04
nan	5.340399999999999636e+02	5.340400000000000702e-01	nan	2.951348136730302767e-03	1.592813569581581334e-03	3.022206234477835957e-04
nan	5.664399999999999409e+02	5.664399999999999435e-01	nan	3.145317475018601181e-03	1.684120854330062962e-03	2.980202875186506212e-04
nan	5.892400000000000091e+02	5.892399999999999860e-01	nan	3.192918303966507665e-03	1.546529978956773330e-03	3.026278524520836137e-04
nan	6.067999999999999545e+02	6.068000000000000060e-01	nan	3.468497178746474726e-03	1.529707994344273094e-03	2.976531061608582527e-04
nan	6.184800000000000182e+02	6.184800000000000297e-01	nan	3.485003405412499117e-03	1.501146773727986706e-03	2.955222998319809061e-04
nan	6.146399999999999864e+02	6.146399999999999642e-01	nan	3.754219748007017049e-03	1.530201357065726943e-03	3.020857258880460744e-04
nan	6.043999999999999773e+02	6.043999999999999373e-01	nan	4.024762459666817935e-03	1.499351092417789463e-03	3.004782934674110899e-04
nan	5.934399999999999409e+02	5.934400000000000786e-01	nan	4.158518086651383922e-03	1.401858582202654326e-03	2.995327253024354934e-04
nan	5.637999999999999545e+02	5.637999999999999678e-01	nan	4.385976756366290544e-03	1.416076239296949714e-03	2.983504081841971238e-04
nan	5.280399999999999636e+02	5.280400000000000649e-01	nan	4.362208643869961919e-03	1.465662794525670687e-03	3.030172078482049449e-04
nan	4.990000000000000000e+02	4.989999999999999991e-01	nan	4.839042417415839736e-03	1.393186629402452499e-03	2.922058383557826072e-04
nan	4.738399999999999750e+02	4.738400000000000389e-01	nan	4.599489795427871147e-03	1.496647475839563103e-03	2.992144325190803505e-04
nan	4.276399999999999864e+02	4.276399999999999646e-01	nan	5.049029877727662270e-03	1.479558326675385269e-03	2.984407826980265853e-04
nan	4.008000000000000114e+02	4.007999999999999896e-01	nan	5.148151590965426017e-03	1.394714672083285315e-03	2.956894310479928935e-04
nan	3.668799999999999955e+02	3.668799999999999839e-01	nan	5.417072364043633119e-03	1.328581921144669775e-03	3.010073035191819556e-04
nan	3.347199999999999704e+02	3.347200000000000175e-01	nan	5.869519931220566061e-03	1.394646205642117737e-03	2.999152082714088988e-04
nan	3.083600000000000136e+02	3.083600000000000230e-01	nan	5.552241076566133068e-03	1.546829960075199028e-03	3.017445388152748985e-04
nan	2.718400000000000318e+02	2.718399999999999705e-01	nan	5.965739866860530691e-03	1.472252948129031732e-03	3.003327240332567946e-04
nan	2.453599999999999852e+02	2.453599999999999670e-01	nan	6.148483776496504842e-03	1.371939267787623210e-03	3.022196960392489707e-04
nan	2.132800000000000296e+02	2.132800000000000529e-01	nan	6.060658202204649743e-03	1.253148969579930818e-03	2.957253229678187133e-04
nan	1.735200000000000102e+02	1.735200000000000076e-01	nan	6.549887988612682066e-03	1.492270404636659433e-03	2.955201392166984073e-04
nan	8.839999999999999858e+00	8.840000000000000635e-03	nan	2.494995479046262146e-04	2.457823008044013845e-03	1.724496066378369439e-04
nan	1.964000000000000057e+01	1.963999999999999774e-02	nan	3.510996987798692620e-04	2.181503434507012402e-03	1.957940448636488230e-04
nan	1.324000000000000021e+01	1.324000000000000177e-02	nan	5.671071894293387141e-04	2.247542441773958070e-03	1.829569598005067739e-04
nan	2.808000000000000185e+01	2.808000000000000426e-02	nan	4.222710044905398264e-04	1.852987940766583725e-03	2.004931955083086184e-04
nan	3.896000000000000085e+01	3.896000000000000157e-02	nan	6.955529396236670653e-04	1.892145062792579321e-03	2.143597160870841186e-04
nan	5.543999999999999773e+01	5.544000000000000317e-02	nan	8.768277823355674757e-04	1.912920762510337451e-03	2.201347770315988171e-04
nan	8.120000000000000284e+01	8.119999999999999440e-02	nan	9.682562191096621843e-04	1.692307903158028499e-03	2.266008088224125887e-04
nan	9.964000000000000057e+01	9.963999999999997859e-02	nan	1.156985406723833997e-03	1.855925318976663465e-03	2.281251372512551495e-04
nan	1.261200000000000045e+02	1.261200000000000099e-01	nan	1.222877188663460324e-03	1.865283907794502245e-03	2.294089780392427299e-04
nan	1.428400000000000034e+02	1.428400000000000225e-01	nan	1.366765797583866394e-03	1.786700724100381875e-03	2.361407206601541639e-04
nan	1.791200000000000045e+02	1.791200000000000014e-01	nan	1.656598582108017399e-03	1.687696355802454804e-03	2.356553811729863014e-04
nan	2.153199999999999932e+02	2.153200000000000391e-01	nan	1.751423728933332313e-03	1.767331173695655972e-03	2.473484947923795308e-04
nan	2.451199999999999761e+02	2.451200000000000601e-01	nan	1.866927532150839449e-03	1.706551103086712722e-03	2.395726709655707448e-04
