# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	2.146999999999999886e+01	2.147000000000000297e-02	nan	8.574715250944108815e-05	1.651125658985029988e-03	1.004481929277313784e-04
nan	3.061000000000000298e+01	3.060999999999999832e-02	nan	1.232325549088386619e-04	1.207841744387850051e-03	9.710211720141230507e-05
nan	3.748000000000000398e+01	3.747999999999999249e-02	nan	2.082160708556557611e-04	1.208113517074408056e-03	1.067309322953464762e-04
nan	4.223999999999999488e+01	4.223999999999999977e-02	nan	2.053252421933393754e-04	1.053087158175393867e-03	1.076616212753032687e-04
nan	4.889000000000000057e+01	4.889000000000000290e-02	nan	2.890905537145727132e-04	9.582396674625919767e-04	1.163419692975495762e-04
nan	5.302000000000000313e+01	5.301999999999999769e-02	nan	3.427930602168771483e-04	8.878290570335769984e-04	1.113858027276579772e-04
nan	5.668999999999999773e+01	5.668999999999998346e-02	nan	4.268153652981254470e-04	8.812970004831045118e-04	1.144244985667817050e-04
nan	6.092999999999999261e+01	6.092999999999999805e-02	nan	4.884630577606686053e-04	7.875939540271539949e-04	1.148321985332369433e-04
nan	6.428000000000000114e+01	6.428000000000000380e-02	nan	4.848295228561028580e-04	7.728210495640904952e-04	1.174695024809970336e-04
nan	6.896000000000000796e+01	6.895999999999999353e-02	nan	5.761187884684204662e-04	7.374811336489740582e-04	1.204662951346606155e-04
nan	7.092000000000000171e+01	7.092000000000001081e-02	nan	6.746750959746350461e-04	7.609609753628252069e-04	1.199210797026317753e-04
nan	7.500000000000000000e+01	7.499999999999999722e-02	nan	6.733323973026017440e-04	7.171393599262670601e-04	1.172569236242185199e-04
nan	7.707000000000000739e+01	7.706999999999999962e-02	nan	8.055572783462139558e-04	7.126518518638251575e-04	1.186091163375014429e-04
nan	8.065000000000000568e+01	8.065000000000001334e-02	nan	8.451512274928064256e-04	6.670099086385284422e-04	1.194499472979124768e-04
nan	8.321000000000000796e+01	8.321000000000002006e-02	nan	9.483468591099608819e-04	6.400494625474282672e-04	1.183500069592536658e-04
nan	8.609999999999999432e+01	8.610000000000000986e-02	nan	1.024591969961647937e-03	6.768637687134435813e-04	1.191113643346450052e-04
nan	8.793999999999999773e+01	8.794000000000000428e-02	nan	1.028050673777443098e-03	6.428969096645492046e-04	1.193981159333720716e-04
nan	9.106000000000000227e+01	9.106000000000001593e-02	nan	1.121939190409193586e-03	6.390192214880364638e-04	1.217638898673213563e-04
nan	9.431000000000000227e+01	9.431000000000000494e-02	nan	1.269861494592987609e-03	6.338852336866510236e-04	1.199058421580192493e-04
nan	9.442000000000000171e+01	9.441999999999997617e-02	nan	1.253190070185610308e-03	6.049141884347079574e-04	1.221757074807705839e-04
nan	9.852000000000001023e+01	9.852000000000001034e-02	nan	1.439086950751971086e-03	5.976428171718724952e-04	1.208191906009440546e-04
nan	1.010600000000000023e+02	1.010599999999999693e-01	nan	1.478154916799212472e-03	5.717499902800555252e-04	1.223986152245665660e-04
nan	1.034799999999999898e+02	1.034800000000000164e-01	nan	1.512532503218153588e-03	6.204594780352872072e-04	1.220401988597904819e-04
nan	1.048700000000000045e+02	1.048699999999999910e-01	nan	1.597018557831688572e-03	5.462814263060277202e-04	1.235943593466399648e-04
nan	1.083299999999999983e+02	1.083299999999999957e-01	nan	1.666947075641473774e-03	6.118013816192475205e-04	1.218438032900339020e-04
nan	1.091900000000000119e+02	1.091900000000000093e-01	nan	1.864709229064374224e-03	5.504718796782652034e-04	1.234381023426253069e-04
nan	1.103099999999999881e+02	1.103099999999999914e-01	nan	1.885868611789192186e-03	6.217101400146073662e-04	1.230415468794610447e-04
nan	1.113099999999999881e+02	1.113099999999999923e-01	nan	1.986639297613237119e-03	5.607464218187394305e-04	1.235376436060907379e-04
nan	1.166200000000000045e+02	1.166199999999999876e-01	nan	2.078377534587616537e-03	5.613825156720970641e-04	1.233902853597179747e-04
nan	1.154099999999999966e+02	1.154100000000000126e-01	nan	2.136245280910316000e-03	5.515436435213650354e-04	1.216924423409320984e-04
nan	1.182999999999999972e+02	1.183000000000000024e-01	nan	2.232452571822705293e-03	5.489515247435159968e-04	1.227949519733509691e-04
nan	1.205499999999999972e+02	1.205500000000000044e-01	nan	2.435109709422249649e-03	5.229743765766734333e-04	1.238728564301772874e-04
nan	1.231700000000000017e+02	1.231699999999999739e-01	nan	2.420665344284316130e-03	5.524771988955659270e-04	1.236218539989349650e-04
nan	1.221200000000000045e+02	1.221200000000000063e-01	nan	2.515020522514532699e-03	5.476547582881931536e-04	1.230534204627965810e-04
nan	1.259400000000000119e+02	1.259400000000000241e-01	nan	2.693086263823261332e-03	5.573346769385146161e-04	1.245537088975051622e-04
nan	1.290200000000000102e+02	1.290199999999999958e-01	nan	2.831151132015747793e-03	5.492735138183625025e-04	1.239965964212968682e-04
nan	1.298000000000000114e+02	1.297999999999999987e-01	nan	2.809065769840799528e-03	5.465636826093371288e-04	1.240572299384707245e-04
nan	1.314900000000000091e+02	1.314900000000000235e-01	nan	3.049869895723986927e-03	5.210142499578946425e-04	1.250599713027253802e-04
nan	1.335200000000000102e+02	1.335199999999999998e-01	nan	3.136807002483692208e-03	5.441419598893489345e-04	1.247382868471834817e-04
