# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	2.146999999999999886e+02	2.147000000000000297e-01	nan	8.574715250944109357e-04	1.651125658985029901e-02	1.004481929277313730e-03
nan	3.061000000000000227e+02	3.060999999999999832e-01	nan	1.232325549088386565e-03	1.207841744387850094e-02	9.710211720141230778e-04
nan	3.748000000000000114e+02	3.747999999999999110e-01	nan	2.082160708556557611e-03	1.208113517074408012e-02	1.067309322953464762e-03
nan	4.223999999999999773e+02	4.223999999999999977e-01	nan	2.053252421933393808e-03	1.053087158175393910e-02	1.076616212753032714e-03
nan	4.888999999999999773e+02	4.889000000000000012e-01	nan	2.890905537145727240e-03	9.582396674625919333e-03	1.163419692975495735e-03
nan	5.302000000000000455e+02	5.302000000000000046e-01	nan	3.427930602168771483e-03	8.878290570335770418e-03	1.113858027276579772e-03
nan	5.668999999999999773e+02	5.668999999999998485e-01	nan	4.268153652981254362e-03	8.812970004831045118e-03	1.144244985667817105e-03
nan	6.092999999999999545e+02	6.092999999999999527e-01	nan	4.884630577606685620e-03	7.875939540271539516e-03	1.148321985332369406e-03
nan	6.427999999999999545e+02	6.428000000000000380e-01	nan	4.848295228561028472e-03	7.728210495640905169e-03	1.174695024809970390e-03
nan	6.896000000000000227e+02	6.895999999999999908e-01	nan	5.761187884684204445e-03	7.374811336489740798e-03	1.204662951346606101e-03
nan	7.092000000000000455e+02	7.092000000000000526e-01	nan	6.746750959746350244e-03	7.609609753628251635e-03	1.199210797026317808e-03
nan	7.500000000000000000e+02	7.500000000000000000e-01	nan	6.733323973026017657e-03	7.171393599262670601e-03	1.172569236242185144e-03
nan	7.707000000000000455e+02	7.706999999999999407e-01	nan	8.055572783462139341e-03	7.126518518638251358e-03	1.186091163375014483e-03
nan	8.065000000000000000e+02	8.065000000000001057e-01	nan	8.451512274928064256e-03	6.670099086385284856e-03	1.194499472979124741e-03
nan	8.321000000000000227e+02	8.321000000000001728e-01	nan	9.483468591099608602e-03	6.400494625474283106e-03	1.183500069592536685e-03
nan	8.610000000000000000e+02	8.610000000000000986e-01	nan	1.024591969961647850e-02	6.768637687134436247e-03	1.191113643346450052e-03
nan	8.793999999999999773e+02	8.794000000000000705e-01	nan	1.028050673777443011e-02	6.428969096645492480e-03	1.193981159333720688e-03
nan	9.106000000000000227e+02	9.106000000000001871e-01	nan	1.121939190409193543e-02	6.390192214880364638e-03	1.217638898673213590e-03
nan	9.431000000000000227e+02	9.431000000000000494e-01	nan	1.269861494592987652e-02	6.338852336866510236e-03	1.199058421580192439e-03
nan	9.442000000000000455e+02	9.441999999999998172e-01	nan	1.253190070185610308e-02	6.049141884347079140e-03	1.221757074807705784e-03
nan	9.852000000000000455e+02	9.852000000000000757e-01	nan	1.439086950751971086e-02	5.976428171718724952e-03	1.208191906009440601e-03
nan	1.010600000000000023e+03	1.010599999999999721e+00	nan	1.478154916799212515e-02	5.717499902800555686e-03	1.223986152245665551e-03
nan	1.034799999999999955e+03	1.034800000000000164e+00	nan	1.512532503218153544e-02	6.204594780352871639e-03	1.220401988597904792e-03
nan	1.048700000000000045e+03	1.048699999999999966e+00	nan	1.597018557831688529e-02	5.462814263060277419e-03	1.235943593466399702e-03
nan	1.083299999999999955e+03	1.083299999999999930e+00	nan	1.666947075641473860e-02	6.118013816192474988e-03	1.218438032900338993e-03
nan	1.091900000000000091e+03	1.091900000000000093e+00	nan	1.864709229064374224e-02	5.504718796782652468e-03	1.234381023426253015e-03
nan	1.103099999999999909e+03	1.103099999999999969e+00	nan	1.885868611789192142e-02	6.217101400146073445e-03	1.230415468794610447e-03
nan	1.113099999999999909e+03	1.113099999999999978e+00	nan	1.986639297613237293e-02	5.607464218187393871e-03	1.235376436060907270e-03
nan	1.166200000000000045e+03	1.166199999999999903e+00	nan	2.078377534587616537e-02	5.613825156720970641e-03	1.233902853597179747e-03
nan	1.154099999999999909e+03	1.154100000000000126e+00	nan	2.136245280910316000e-02	5.515436435213650138e-03	1.216924423409320929e-03
nan	1.183000000000000000e+03	1.183000000000000052e+00	nan	2.232452571822705206e-02	5.489515247435159534e-03	1.227949519733509800e-03
nan	1.205500000000000000e+03	1.205500000000000016e+00	nan	2.435109709422249649e-02	5.229743765766734116e-03	1.238728564301772766e-03
nan	1.231700000000000045e+03	1.231699999999999795e+00	nan	2.420665344284316303e-02	5.524771988955659054e-03	1.236218539989349541e-03
nan	1.221200000000000045e+03	1.221200000000000063e+00	nan	2.515020522514532786e-02	5.476547582881931102e-03	1.230534204627965755e-03
nan	1.259400000000000091e+03	1.259400000000000297e+00	nan	2.693086263823261245e-02	5.573346769385145727e-03	1.245537088975051622e-03
nan	1.290200000000000045e+03	1.290200000000000014e+00	nan	2.831151132015747793e-02	5.492735138183624591e-03	1.239965964212968574e-03
nan	1.298000000000000000e+03	1.298000000000000043e+00	nan	2.809065769840799615e-02	5.465636826093371071e-03	1.240572299384707245e-03
nan	1.314900000000000091e+03	1.314900000000000180e+00	nan	3.049869895723986840e-02	5.210142499578946859e-03	1.250599713027253802e-03
nan	1.335200000000000045e+03	1.335199999999999942e+00	nan	3.136807002483692208e-02	5.441419598893488911e-03	1.247382868471834817e-03
