,Simulation Number,PG.cFactor,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,2.5,0.01,2400,1,100000.0,100,,135.0,0.135,,0.0008516492470718618,0.015700067719107584,0.0008608503433963488
1,1,2.5,0.01,2400,1,100000.0,150,,148.7,0.1487,,0.001226745800960316,0.012674206324696494,0.0009705734003933219
2,2,2.5,0.01,2400,1,100000.0,200,,55.9,0.05589999999999999,,0.0021271717282676382,0.014558798738844548,0.0009271444501838963
3,3,2.5,0.01,2400,1,100000.0,250,,80.5,0.0805,,0.002660238132109356,0.013826569992088176,0.0008745716214058705
4,4,2.5,0.01,2400,1,100000.0,300,,79.79999999999998,0.07979999999999998,,0.003558132022014428,0.012678113804814263,0.0009114555156245523
5,5,2.5,0.01,2400,1,100000.0,350,,99.8,0.09979999999999999,,0.0038202808266300254,0.010315135135106297,0.001036963168963807
6,6,2.5,0.01,2400,1,100000.0,400,,124.1,0.1241,,0.0036008866821816807,0.006983880429050585,0.0008762117572090853
7,7,2.5,0.01,2400,1,100000.0,450,,133.9,0.1339,,0.004149902208729373,0.007498166400821629,0.0010458651341789392
8,8,2.5,0.01,2400,1,100000.0,500,,153.0,0.153,,0.0046507177107912405,0.008532498508408606,0.0010572008692924613
9,9,2.5,0.01,2400,1,100000.0,550,,154.5,0.15449999999999997,,0.0049718753305910465,0.008017886391888879,0.001118902345193438
10,10,2.5,0.01,2400,1,100000.0,600,,171.7,0.1717,,0.005218677573873265,0.0076574902817558976,0.0011183635386357311
11,11,2.5,0.01,2400,1,100000.0,650,,196.8,0.1968,,0.0061307483007340124,0.007294539499777506,0.0011339776399683682
12,12,2.5,0.01,2400,1,100000.0,700,,201.1,0.2011,,0.006815374752125081,0.007925174625268705,0.001112217839892193
13,13,2.5,0.01,2400,1,100000.0,750,,203.5,0.2035,,0.006877713958806453,0.007758591777790864,0.0011724966790736167
14,14,2.5,0.01,2400,1,100000.0,800,,217.4,0.2174,,0.0075905666067910705,0.007011527971496114,0.0011531415003158667
15,15,2.5,0.01,2400,1,100000.0,850,,220.6,0.22060000000000005,,0.007601267009579261,0.006071001611830593,0.0011276357209698432
16,16,2.5,0.01,2400,1,100000.0,900,,246.2,0.2462,,0.009898418786008278,0.007918205644616521,0.0010731808165942672
17,17,2.5,0.01,2400,1,100000.0,950,,250.0,0.25,,0.00892625208392701,0.007108162176861939,0.0011143163533985454
18,18,2.5,0.01,2400,1,100000.0,1000,,259.6,0.2596,,0.011526994653831935,0.006476238243494958,0.0011832362064800879
19,19,2.5,0.01,2400,1,100000.0,1050,,257.1,0.2571,,0.010924038404550628,0.006953009922622445,0.0010655504202802936
20,20,2.5,0.01,2400,1,100000.0,1100,,265.1,0.2651,,0.011630994964548336,0.00641994473078712,0.001158310594535185
21,21,2.5,0.01,2400,1,100000.0,1150,,266.9,0.2669,,0.01091162966019965,0.006897297250734765,0.0011807232303455487
22,22,2.5,0.01,2400,1,100000.0,1200,,259.8,0.2598,,0.013301159133015971,0.0069104979720594,0.0010620860253980893
23,23,2.5,0.01,2400,1,100000.0,1250,,254.8,0.2548,,0.013814993941787179,0.006721363576645127,0.0010865823974706857
24,24,2.5,0.01,2400,1,100000.0,1300,,255.9,0.25590000000000007,,0.013028321012598099,0.006291089240466147,0.0011210295417145807
25,25,2.5,0.01,2400,1,100000.0,1350,,245.3,0.2453,,0.014134721367872772,0.006149464674945851,0.0011477335507721453
26,26,2.5,0.01,2400,1,100000.0,1400,,224.9,0.2249,,0.015942192132979472,0.006017199743212713,0.001137222135912392
27,27,2.5,0.01,2400,1,100000.0,1450,,215.2,0.2152,,0.016143419525428727,0.006152084857206436,0.001104504078747158
28,28,2.5,0.01,2400,1,100000.0,1500,,188.2,0.1882,,0.01702204130624523,0.006273711731169635,0.0011435647147473168
29,29,2.5,0.01,2400,1,100000.0,1550,,176.2,0.17619999999999997,,0.01850819764122207,0.005499265552951165,0.0011108225203023995
30,30,2.5,0.01,2400,1,100000.0,1600,,159.0,0.15899999999999995,,0.0174628966190312,0.005881801958028358,0.0011152297140662535
31,31,2.5,0.01,2400,1,100000.0,1650,,140.8,0.14079999999999998,,0.02000703728838289,0.005708887263775093,0.001138237282669452
32,32,2.5,0.01,2400,1,100000.0,1700,,122.8,0.1228,,0.017421414032018606,0.007004604626726224,0.0010663331751842075
33,33,2.5,0.01,2400,1,100000.0,1750,,118.0,0.118,,0.02272589171081731,0.0065714474907742565,0.0009951565352443775
34,34,2.5,0.01,2400,1,100000.0,1800,,95.4,0.09539999999999998,,0.025214012287398925,0.0067705635177411055,0.0008992842760233492
35,35,2.5,0.01,2400,1,100000.0,1850,,92.1,0.09209999999999999,,0.023889849325734906,0.006485372531859046,0.0009265347323152512
36,36,2.5,0.01,2400,1,100000.0,1900,,65.7,0.06570000000000001,,0.02745890027379198,0.0072127152856331506,0.0009073089859445673
37,37,2.5,0.01,2400,1,100000.0,1950,,66.3,0.0663,,0.028157306477718125,0.007276314021922759,0.0008817104124674001
38,38,2.5,0.01,2400,1,100000.0,2000,,52.2,0.0522,,0.02869833447710719,0.006932745712671422,0.000932310773926525
