,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.02,100,1,100000.0,,100000.0,100.0,100.0,0.0997243351155872,0.1100324587025664,0.1018556832623527,2420000000000000.0,1560000000000000.0,1260000000000000.0,1.0027690187268412,100.27690187268412,2426701025318956.0,1564319669213872.2,1263488963595819.8,0.0100134469536619,0.0064549492759143,0.0052136128767,0.0048182216381953,0.0031059610560267,0.0025086608529446
1,1,2.25,0.02,105,1,100000.0,,100000.0,100.0,105.0,0.1046863712554795,0.1087896847342815,0.0996784247033868,2420000000000000.0,1560000000000000.0,1260000000000000.0,1.0030107484202355,100.30107484202355,2427286011176970.5,1564696767535567.5,1263793543009496.8,0.0105804788400316,0.0068204739629954,0.0055088443547272,0.0053692406850884,0.0034611634168338,0.0027955550674427
2,2,2.25,0.02,110,1,100000.0,,100000.0,100.0,110.0,0.1098721300571554,0.1094155752844492,0.1019183739254806,2420000000000000.0,1560000000000000.0,1260000000000000.0,1.001164798121022,100.11647981210216,2422818811452872.0,1561817085068794.2,1261467645632487.5,0.010961052636104,0.007065802525753,0.0057069943477236,0.0060625646652687,0.0039080995362889,0.0031565419331563
3,3,2.25,0.02,115,1,100000.0,,100000.0,100.0,115.0,0.1148063652792728,0.1019184945182247,0.0972837236184739,2420000000000000.0,1560000000000000.0,1260000000000000.0,1.0016877688194776,100.16877688194776,2424084400543135.5,1562632919358385.5,1262126588712541.8,0.0113714426666199,0.0073303514710442,0.0059206684958434,0.0066039383486879,0.004257084224774,0.0034384141815482
4,4,2.25,0.02,120,1,100000.0,,100000.0,100.0,120.0,0.1198283367024316,0.0974753579362871,0.0979877463284563,2420000000000000.0,1560000000000000.0,1260000000000000.0,1.001433112377598,100.14331123775978,2423468131953786.5,1562235655309052.5,1261805721595773.2,0.0117583751914943,0.0075797790490625,0.006122129231935,0.0072514795115739,0.0046745074537418,0.0037755637126376
5,5,2.25,0.02,125,1,100000.0,,100000.0,100.0,125.0,0.1248059146414817,0.0989834507254132,0.0956662398911008,2420000000000000.0,1560000000000000.0,1260000000000000.0,1.0015558193823757,100.1555819382376,2423765082905349.0,1562427078236506.0,1261960332421793.5,0.0122429762398578,0.0078921665017265,0.0063744421744714,0.0076221432710963,0.0049134477284753,0.0039685539345377
6,6,2.25,0.02,130,1,100000.0,,100000.0,100.0,130.0,0.1298094783606245,0.0931873031724512,0.0909764610195342,2420000000000000.0,1560000000000000.0,1260000000000000.0,1.001468800622741,100.1468800622741,2423554497507033.0,1562291328971476.0,1261850688784653.8,0.0127150536943002,0.0081964808938464,0.0066202345681067,0.0080327417207991,0.0051781310266308,0.0041823365984326
7,7,2.25,0.02,135,1,100000.0,,100000.0,100.0,135.0,0.134759744445904,0.094053884963659,0.0889258903807275,2420000000000000.0,1560000000000000.0,1260000000000000.0,1.0017837483617245,100.17837483617242,2424316671035373.0,1562782647444290.0,1262247522935772.8,0.013219797179326,0.0085218527271689,0.006883034895021,0.0084039595845943,0.0054174284925484,0.0043756153209045
8,8,2.25,0.02,140,1,100000.0,,100000.0,100.0,140.0,0.1397336642141283,0.0903735135763308,0.0859187769073457,2419065967918995.5,1560000000000000.0,1260000000000000.0,1.0019076023469566,100.19076023469566,2423680583836840.0,1562975859661252.0,1262403578957165.2,0.0137817210182986,0.0088875148812254,0.0071783774040666,0.0088077493261254,0.0056799149469146,0.0045876236109695
9,9,2.25,0.02,145,1,100000.0,,100000.0,100.0,145.0,0.1446441733492179,0.093206708464605,0.0865922058341288,2410218671546599.5,1560000000000000.0,1260000000000000.0,1.0024636172869992,100.2463617286999,2416156527931269.0,1563843242967718.5,1263104157781618.8,0.014227880294938,0.0092089126692645,0.0074379679251751,0.0091454822060491,0.0059193601019951,0.0047810216208422
10,10,2.25,0.02,150,1,100000.0,,100000.0,100.0,150.0,0.1497775628976796,0.0936189432811445,0.0846941738994926,2410000000000000.0,1560000000000000.0,1260000000000000.0,1.0014854321268407,100.14854321268407,2413579891425686.0,1562317274117871.5,1261871644479819.2,0.0147073153017208,0.0095200879131471,0.0076893017760034,0.0095471255625277,0.0061798821068644,0.0049914432401597
11,11,2.25,0.02,155,1,100000.0,,100000.0,100.0,155.0,0.1547992542978761,0.0937583240540934,0.0853472373435486,2410000000000000.0,1560000000000000.0,1260000000000000.0,1.0012978071611356,100.12978071611356,2413127715258337.0,1562024579171371.5,1261635237023030.8,0.0152538175848249,0.0098738404283514,0.0079750249613607,0.0098125437696454,0.0063516880832558,0.0051302096057067
12,12,2.25,0.02,160,1,100000.0,,100000.0,100.0,160.0,0.1597729632921413,0.0891267798705162,0.0816791861934874,2410000000000000.0,1560000000000000.0,1260000000000000.0,1.0014221936743168,100.14221936743166,2413427486755103.0,1562218622131933.8,1261791964029639.0,0.0157403160139039,0.0101887522745602,0.0082293768371447,0.010093141689282,0.0065333199316514,0.0052769122524876
13,13,2.25,0.02,165,1,100000.0,,100000.0,100.0,165.0,0.1648285601538816,0.0898422706975632,0.083628567078023,2410000000000000.0,1560000000000000.0,1260000000000000.0,1.001040270023108,100.1040270023108,2412507050755690.5,1561622821236048.5,1261310740229116.2,0.0161939744958475,0.0104824067276025,0.0084665592799867,0.0103394869726754,0.0066927799491177,0.0054057068819796
14,14,2.25,0.02,170,1,100000.0,,100000.0,100.0,170.0,0.1692345779203037,0.0813911326311203,0.0827965904406056,2405982223351527.5,1560000000000000.0,1260000000000000.0,1.0045783633691103,100.45783633691106,2416997684229651.5,1567142246855812.5,1265768737845079.2,0.0166857194899285,0.0108187509249462,0.0087382219009181,0.0105804898167597,0.0068602186474815,0.0055409458306581
15,15,2.25,0.02,175,1,100000.0,,100000.0,100.0,175.0,0.1745246301982092,0.0822422540048147,0.0794025216320049,2400000000000000.0,1560000000000000.0,1260000000000000.0,1.0027290057007616,100.27290057007616,2406549613681828.0,1564257248893188.2,1263438547182959.5,0.0172373973837151,0.0112043082994148,0.0090496336264504,0.0107755475886344,0.0070041059326123,0.0056571624840331
16,16,2.25,0.02,180,1,100000.0,,100000.0,100.0,180.0,0.1796105497264363,0.0850237156902745,0.0767778209164663,2400000000000000.0,1560000000000000.0,1260000000000000.0,1.0021713413349482,100.21713413349484,2405211219203876.0,1563387292482519.5,1262735890082034.8,0.0178198728355945,0.0115829173431364,0.0093554332386871,0.0110063974685285,0.0071541583545435,0.0057783586709775
17,17,2.25,0.02,185,1,100000.0,,100000.0,100.0,185.0,0.1845884230711191,0.0823698636367654,0.0784207099616522,2400000000000000.0,1560000000000000.0,1260000000000000.0,1.0022324589672875,100.22324589672876,2405357901521490.0,1563482635988968.5,1262812898298782.5,0.0183454581085027,0.0119245477705267,0.0096313655069639,0.0112109979890272,0.0072871486928676,0.0058857739442392
18,18,2.25,0.02,190,1,100000.0,,100000.0,100.0,190.0,0.1897140767976395,0.085153244289065,0.074105699857717,2400000000000000.0,1560000000000000.0,1260000000000000.0,1.0015076065505069,100.15076065505068,2403618255721217.0,1562351866218790.8,1261899584253638.8,0.018869774455486,0.0122653533960659,0.0099066315891301,0.0114233493260223,0.0074251770619145,0.0059972583961617
19,19,2.25,0.02,195,1,100000.0,,100000.0,100.0,195.0,0.1948985622649274,0.0807584607083839,0.0780358729409146,2400000000000000.0,1560000000000000.0,1260000000000000.0,1.0005206138325426,100.05206138325428,2401249473198102.5,1560812157578766.8,1260655973429004.0,0.0194158355785477,0.012620293126056,0.0101933136787375,0.0116254005313776,0.0075565103453954,0.0061033352789732
20,20,2.25,0.02,200,1,100000.0,,100000.0,100.0,200.0,0.1996673915945223,0.0818415228021119,0.0720522190988817,2392898491691216.5,1560000000000000.0,1260000000000000.0,1.0016680622195868,100.1668062219587,2396889995260513.0,1562602177062555.5,1262101758396679.5,0.0198884916047282,0.0129658851017319,0.0104724456590912,0.011799709515078,0.0076925732150518,0.0062132322121572
21,21,2.25,0.02,205,1,100000.0,,100000.0,100.0,205.0,0.2036675421480595,0.0797327562708781,0.0720975871011743,2390000000000000.0,1560000000000000.0,1260000000000000.0,1.006632186383014,100.6632186383014,2405850925455403.0,1570346210757501.5,1268356554842597.5,0.0203861305217058,0.0133064282903184,0.0107474997729495,0.0119806404880481,0.0078199996491025,0.0063161535627366
22,22,2.25,0.02,210,1,100000.0,,100000.0,100.0,210.0,0.1960186016910332,0.0823180445391296,0.0716434890377915,2390000000000000.0,1560000000000000.0,1260000000000000.0,1.0969216130887136,109.69216130887136,2621642655282025.0,1711197716418393.0,1382121232491779.0,0.0209259723055558,0.0136587936387727,0.0110321025543934,0.0121824409737797,0.0079517187946009,0.0064225421033315
23,23,2.25,0.02,215,1,100000.0,,100000.0,100.0,215.0,0.2144965039655573,0.0787945749617898,0.0696625511260611,2386356645550526.0,1560000000000000.0,1260000000000000.0,1.0023502741957917,100.23502741957915,2391965237996519.0,1563666427745434.5,1262961345486697.2,0.0214244313218106,0.0140054978472481,0.0113121328766236,0.0123954022608126,0.0081030752728944,0.0065447915665685
24,24,2.25,0.02,220,1,100000.0,,100000.0,100.0,220.0,0.2196915350791527,0.0808736777562007,0.0755504467432817,2380000000000000.0,1560000000000000.0,1260000000000000.0,1.0014049019088442,100.1404901908844,2383343666543049.0,1562191646977797.0,1261770176405143.8,0.0219045447473237,0.01435760075875,0.0115965236897596,0.0126022609938841,0.008260305525403,0.0066717852320563
25,25,2.25,0.02,225,1,100000.0,,100000.0,100.0,225.0,0.2246043929191159,0.0800285491165996,0.071800281827916,2380000000000000.0,1560000000000000.0,1260000000000000.0,1.0017648764203926,100.17648764203923,2384200405880534.0,1562753207215812.0,1262223744289694.8,0.0224341200873072,0.0147047173681509,0.011876887105045,0.0128427545010347,0.0084179399250479,0.0067991053240771
26,26,2.25,0.02,230,1,100000.0,,100000.0,100.0,230.0,0.2297887545989055,0.0763225518851069,0.0685241797283237,2380000000000000.0,1560000000000000.0,1260000000000000.0,1.0009193414154764,100.09193414154768,2382188032568834.5,1561434172608143.5,1261158370183500.5,0.0229580900431478,0.0150481598602144,0.0121542829640194,0.0130926054284802,0.0085817077598442,0.0069313793444894
