,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,PhotonFlux11,PhotonFlux13,PhotonFlux15,PhotonFlux17,PhotonFlux19,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,FluxPerMilPerBwAbs11,FluxPerMilPerBwAbs13,FluxPerMilPerBwAbs15,FluxPerMilPerBwAbs17,FluxPerMilPerBwAbs19,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,AXUVCurrentAmp11,AXUVCurrentAmp13,AXUVCurrentAmp15,AXUVCurrentAmp17,AXUVCurrentAmp19,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9,GaAsPCurrentAmp11,GaAsPCurrentAmp13,GaAsPCurrentAmp15,GaAsPCurrentAmp17,GaAsPCurrentAmp19
0,0,0.02,500,2,100000.0,1.17577026432641,,2281.3,0.0003702800361821,500.0,0.0309777578191301,0.0232536578765936,0.0070778392122612,11145429089.082806,6479900633.187676,4591472448.658697,3465821138.6649523,2677124661.596966,2092082204.4291644,1651448961.3724024,1307088527.723,1040486901.6718496,829427281.0480227,16.368726534828177,0.0060619101213753,182463494653.40125,106083427124.07048,75167685505.05566,56739478736.07428,43827610177.54456,34249792185.77133,27036119141.334534,21398542728.45536,17033967441.065031,13578678671.881023,2.418459360641281e-07,1.406081023628652e-07,9.963088395997305e-08,7.520524789236676e-08,5.8091233147629444e-08,4.539633019143934e-08,3.58349792307645e-08,2.8362662933766522e-08,2.2577643865122925e-08,1.799783710244674e-08,1.3523642821015266e-07,7.862583035473991e-08,5.5712016937072855e-08,4.20535869783066e-08,3.248370019798683e-08,2.5384910943101753e-08,2.0038354478979428e-08,1.5859953208698968e-08,1.262506190267538e-08,1.0064106285406708e-08
1,1,0.02,520,2,100000.0,1.18413280440169,,2295.1,3.523655592034441e-05,520.0,0.034699308397387,0.0224590076186669,0.0072790866428508,1057096677.610332,616639728.6060272,436933293.4122707,329814163.41442364,254760299.30409008,199086540.94994587,157155039.40473604,124385042.39881577,99014722.1361678,78929885.26157147,15.070522614651514,0.0005311454777217,15934364331.652588,9295045860.130676,6586203923.749736,4971521671.475607,3840181803.9282737,3000971949.127904,2368908830.639018,1874943536.357788,1492518792.3981256,1189765870.0967264,2.3874959188738132e-08,1.3927059526763906e-08,9.868316464678428e-09,7.448987266886294e-09,5.7538651644858894e-09,4.4964506472123475e-09,3.549410599392401e-09,2.8092868645415193e-09,2.2362878440118047e-09,1.7826636194257802e-09,1.3421643278623224e-08,7.829291912530214e-09,5.547612555164265e-09,4.187552702930446e-09,3.234616030148196e-09,2.52774281747404e-09,1.995350967421986e-09,1.579280025784666e-09,1.2571605870977084e-09,1.0021493648038675e-09
2,2,0.02,540,2,100000.0,1.19462031821519,,2289.4,1.7549610369095582e-05,540.0,0.0337181054774987,0.0214103133112255,0.0074487276533029,524733350.0359578,307118181.45917267,217615168.57678524,164264353.05473462,126883682.96856104,99155298.58539002,78271262.24616629,61950124.6029074,49314405.13715858,39311127.2267741,16.152873549611684,0.0002833589335541,8472432113.270088,4958781337.198214,3513650776.0718765,2652239618.0671587,2048685089.596748,1600977974.5811372,1263780843.6516588,1000257035.4462684,796238603.2872559,634724011.1613714,1.2316670113828861e-08,7.208753411103847e-09,5.107916702725011e-09,3.8556532530246846e-09,2.9782449807017603e-09,2.3273975298706703e-09,1.8372022979156086e-09,1.454108545211233e-09,1.1575198334401032e-09,9.227204366212923e-10,6.968875794503051e-09,4.078773458321183e-09,2.890102336181867e-09,2.181561118279216e-09,1.6851161202092663e-09,1.3168611451151251e-09,1.0395045499492843e-09,8.227468747356445e-10,6.549344810218585e-10,5.220830026651114e-10
3,3,0.02,560,2,100000.0,1.20514112000624,,2293.8,0.0086723742705429,560.0,0.0338842297813925,0.021567321568125,0.0072223049755356,257569515835.12787,151766549734.50296,107537440954.73352,81173423172.28273,62701265976.02608,48998914628.5681,38678789246.6219,30613481175.016884,24369371700.225903,19426118366.01638,16.610583589787463,0.1440123792724335,4277167664391.2783,2520216637267.5884,1785753502978.1765,1347955869989.9785,1041209502139.6952,813669942889.25,642295211555.0538,508363698831.69073,404674785755.5385,322587729570.25134,6.247003599596118e-06,3.680894376866399e-06,2.608176587036763e-06,1.9687526495696857e-06,1.5207352196996611e-06,1.1884030416740087e-06,9.381022240470936e-07,7.424889800193366e-07,5.91046468513976e-07,4.7115448023889916e-07,3.570842558433411e-06,2.104031810524737e-06,1.4908568257432422e-06,1.125356442657802e-06,8.692657137196484e-07,6.79301698826558e-07,5.362275357108758e-07,4.2441327378013284e-07,3.3784739357568625e-07,2.693160717471663e-07
4,4,0.02,580,2,100000.0,1.21534946177801,,2327.5,0.0209701349216676,580.0,0.0341988137684324,0.0213888043299143,0.0072022959296724,620715993681.3625,366977361129.184,260029673028.6789,196280462866.80923,151614075483.65714,118481262307.42229,93526801750.63773,74024576273.48683,58926079129.88612,46973102224.535545,17.170100213895378,0.3603827836762456,10667330396816.871,6306698714334.299,4468746517585.446,3373182855209.659,2605567525979.2563,2036162727770.788,1607307215196.0557,1272151226377.147,1012675622130.2504,807257435434.7903,1.5603836710744583e-05,9.2252412985821e-06,6.53674240585246e-06,4.9341862031273405e-06,3.811342547928491e-06,2.978435047827936e-06,2.351118639524352e-06,1.860862959085418e-06,1.4813101742294686e-06,1.1808308862185089e-06,8.935150839674713e-06,5.282606070753629e-06,3.743103730134001e-06,2.8254395898430845e-06,2.182470965231357e-06,1.7055271028433148e-06,1.346309890032068e-06,1.065577110272018e-06,8.482356033610114e-07,6.761735770564648e-07
5,5,0.02,600,2,100000.0,1.21985929056978,,2317.8,0.0078065606972516,600.0,0.0358843652623135,0.0211362132255584,0.0072797783944422,230293540568.92416,136614812201.90414,96801352645.92068,73069408126.27559,56441433841.12954,44107067939.47191,34817260709.74243,27557159261.29838,21936435559.277184,17486695961.84373,16.858010553345935,0.1316220875550609,3882851582874.3,2303386532213.5674,1632113885682.7563,1231982739515.371,951627693023.0912,743664794686.0946,587034510495.572,464625969069.3652,369858066029.72144,294833476123.3366,5.995049260033077e-06,3.5563851542569103e-06,2.5199529093020386e-06,1.9021580025054096e-06,1.4692951237301403e-06,1.1482043498029452e-06,9.063701593134754e-07,7.173736911158224e-07,5.710538447692524e-07,4.552172997448845e-07,3.4215646418833863e-06,2.029741736710484e-06,1.4382170020119998e-06,1.0856218660348642e-06,8.38573300366674e-07,6.553166178522419e-07,5.172941797559289e-07,4.09427904605029e-07,3.259185302946548e-07,2.59806942298942e-07
6,6,0.02,620,2,100000.0,1.22668718395639,,2366.5,0.0083546099886659,620.0,0.0369334774114917,0.0208056331901378,0.0074536930647607,244790072667.91284,146205674801.65445,103597163859.45798,78199149493.91347,60403830218.05493,47203546435.96272,37261560549.45021,29491773259.990868,23476454068.151363,18714326374.611763,16.9476362004449,0.141699860209983,4151805904152.503,2479747553674.7026,1757078266603.7893,1326310691565.441,1024489989318.1772,800604210186.404,631981376536.5242,500200506541.24005,398176607190.0523,317407686870.36194,6.588730792898528e-06,3.935248767089563e-06,2.788404840680605e-06,2.104795911997618e-06,1.6258199192032882e-06,1.2705231733746304e-06,1.00292625721254e-06,7.937958941614949e-07,6.318885163155243e-07,5.037118421874641e-07,3.7478557303013386e-06,2.2384803849922667e-06,1.586123244223092e-06,1.1972672230587214e-06,9.24812181913948e-07,7.227093814403604e-07,5.704927152608865e-07,4.515334719441545e-07,3.594359932473298e-07,2.865254892790102e-07
7,7,0.02,640,2,100000.0,1.23422873606346,,2362.9,0.0092966724074022,640.0,0.0383496833523735,0.0208624572059067,0.0073179457747296,271462834296.14755,162691767129.54047,115278737851.78868,87016853733.28564,67214941505.51874,52526199101.82307,41463158937.01433,32817253598.130165,26123649464.8005,20824546192.581184,16.83738369264332,0.1564519539269887,4568397054668.072,2737909193722.304,1940004228694.661,1464390288756.615,1131147626892.129,883953539687.4867,697775714514.37,552275397362.2703,439629990534.83856,350452376796.4549,7.549029580982878e-06,4.524247180383574e-06,3.2057522878146468e-06,2.419825920479444e-06,1.8691604065241853e-06,1.4606855182381256e-06,1.1530367099720426e-06,9.12605288385944e-07,7.264648329644482e-07,5.791036390890973e-07,4.280370894793277e-06,2.565290775989122e-06,1.8176917498437204e-06,1.3720640950433243e-06,1.059831560594363e-06,8.282224505336306e-07,6.537826777663704e-07,5.174557965280913e-07,4.119124046016818e-07,3.283572193266076e-07
8,8,0.02,660,2,100000.0,1.24231942993718,,2365.1,0.0105546546941469,660.0,0.0383380614282486,0.0202505505595839,0.0072439325404105,307140451599.67834,184706457147.5729,130877718207.42308,98791567937.21613,76310153438.68295,59633799021.93068,47073759935.89571,37257931070.33899,29658579690.55314,23642426514.889328,17.283040652088168,0.1823942591822586,5307672942203.728,3191899535689.527,2261688813860.007,1707210265945.9414,1318710493887.73,1030527564379.7616,813478395952.8738,643851734913.3732,512527868302.1468,408563140568.25946,8.81198707018574e-06,5.299304939115138e-06,3.75493607114444e-06,2.834371098863868e-06,2.189369983417282e-06,1.7109184517714589e-06,1.3505657159116297e-06,1.0689455105757962e-06,8.509169645093448e-07,6.783110322067375e-07,5.00841341118662e-06,3.011932463772022e-06,2.1341692886156043e-06,1.6109535920517786e-06,1.2443583836040982e-06,9.7242390973211e-07,7.676125021956125e-07,6.075498055494422e-07,4.836302984685362e-07,3.855273553628188e-07
9,9,0.02,680,2,100000.0,1.25043238280315,,2414.4,0.012224673950848,680.0,0.0387420230891847,0.020891089670832,0.0074017003733106,353293077179.5092,213931794139.8412,151585956990.51605,114422948179.93793,88384392664.63153,69069407822.2916,54522045820.78239,43153099046.49367,34351333801.883068,27383269649.89967,17.72575216159738,0.2167979066391199,6265459501870.565,3793963366184.599,2688294042325.0874,2029228406142.1624,1567448865000.8374,1224908172511.0278,966918663610.475,765296610436.0935,609202117655.927,485627310871.6286,1.0448284146979037e-05,6.326815659935402e-06,4.483000810468513e-06,3.383942547256877e-06,2.613878698361883e-06,2.042657627350572e-06,1.612434162474965e-06,1.2762091016898266e-06,1.015905828823913e-06,8.098324044717313e-07,5.945783042481444e-06,3.600387655481843e-06,2.5511318244557057e-06,1.9256930545891458e-06,1.4874744428076417e-06,1.1624108716269948e-06,9.175845110542296e-07,7.262496242200517e-07,5.78119389251656e-07,4.60849619901676e-07
