# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.984519183063297887e-02	1.075332235694724525e-01	1.066527506134564707e-01
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.497897217602513764e-01	8.983002505418866135e-02	9.094784788610629778e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.997244787585287784e-01	7.782961985535559457e-02	7.743911242024970054e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.492307113005068631e-01	7.260114597181510643e-02	7.135634786994900225e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.995060365401115976e-01	6.591727994307426675e-02	6.706726081907210535e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.495008564781187377e-01	6.010193346753298776e-02	6.154951366771502924e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.988902369844538609e-01	5.798545643606730499e-02	5.796682015268147387e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.491772479408268626e-01	5.530401253740357959e-02	5.533583747950328313e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.991748434323881045e-01	5.319892848635121574e-02	5.351445972066402879e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.492796908792343391e-01	4.939607749982251328e-02	5.260866216032487191e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.989657806269519380e-01	4.974922249362495608e-02	5.002599469881128386e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.487380390720431933e-01	4.955126057495774783e-02	4.783440166044316405e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.991830174009578958e-01	4.741795225018530235e-02	4.657988516391693701e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.492089413353028027e-01	4.693410160389994978e-02	4.596034576671019500e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.993341974228542757e-01	4.473266264954821325e-02	4.524441718019068387e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.491734179440868502e-01	4.374792904783190994e-02	4.395363345413944023e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.986581573928674738e-01	4.382658606853660765e-02	4.314999501033807416e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.455699653410647443e-01	4.231219192143069463e-02	4.205875354059877835e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.981496127496484183e-01	4.179679792831202112e-02	4.113272333663433450e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.048084853457476040e+00	4.148216338591277641e-02	4.141221867582471627e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.098723852994589745e+00	4.124606938125498917e-02	4.034131323665930691e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.147578063307446383e+00	4.044874754256102406e-02	3.985795066439225265e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.198500570346436644e+00	3.918931073886262190e-02	4.044138756643329835e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.246766015202138034e+00	3.903329306375911967e-02	3.831897274445410229e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.298605740375182949e+00	3.904357373131912140e-02	3.789425019173663090e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.346775876559286100e+00	3.850329144366702178e-02	3.816451186794886374e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.397058690384369584e+00	3.913580045269084151e-02	3.790546979495480057e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.447183747669191778e+00	3.923265682579533259e-02	3.839548669365745737e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.496695710681069658e+00	3.764881125859226296e-02	3.638193869740737052e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.548292332462096965e+00	3.702352854373597985e-02	3.610225350427762048e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.594949592752300305e+00	3.566778053908882529e-02	3.737820570829578776e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.647643103845734869e+00	3.518108614234014692e-02	3.527057277230888355e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.642755782787344909e+00	3.625289771947059342e-02	3.494110579258673938e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.748152705608549740e+00	3.579947458977512931e-02	3.522802088657240455e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.797686978742444763e+00	3.628725129563915852e-02	3.421786892764872023e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.847159097016287888e+00	3.469686095308378848e-02	3.517607991635626763e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.896371681126765907e+00	3.630381444386095863e-02	3.483958245960637468e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.940424999682295537e+00	3.505000287316718116e-02	3.441843795515907994e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.932791522691505337e+00	3.460543196720088088e-02	3.422257636231675754e-02
