# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	3.891000000000000227e+02	3.890999999999999459e-01	nan	2.159743596484986396e-03	4.129463326200814854e-02	2.163763766836599399e-03
nan	6.188999999999999773e+02	6.189000000000001167e-01	nan	3.500162274028184497e-03	3.816978897289012573e-02	2.201444009282418467e-03
nan	7.648999999999999773e+02	7.649000000000000243e-01	nan	4.609171580111137527e-03	3.190634812281818722e-02	2.222043931171439370e-03
nan	8.813999999999999773e+02	8.813999999999999613e-01	nan	5.804690511627086554e-03	3.070855285803134743e-02	2.336732162206563070e-03
nan	9.742000000000000455e+02	9.742000000000000659e-01	nan	7.532744541322244913e-03	2.487531820513166209e-02	2.300678064781502222e-03
nan	1.059200000000000045e+03	1.059199999999999919e+00	nan	8.709682869147172476e-03	2.491634972297809142e-02	2.302962640302528424e-03
nan	1.142700000000000045e+03	1.142700000000000049e+00	nan	9.842793014860263048e-03	2.364534651508923974e-02	2.309063586964620659e-03
nan	1.225400000000000091e+03	1.225400000000000045e+00	nan	1.121372360087775563e-02	2.338769643890439495e-02	2.366616242703588769e-03
nan	1.287400000000000091e+03	1.287399999999999878e+00	nan	1.297414765707003391e-02	2.216874943199506273e-02	2.355988530982536418e-03
nan	1.393900000000000091e+03	1.393899999999999917e+00	nan	1.416851967678667279e-02	2.077996702361792347e-02	2.359191818045957428e-03
nan	1.448599999999999909e+03	1.448599999999999888e+00	nan	1.667668845450407528e-02	1.962360111855535744e-02	2.325936555490785550e-03
nan	1.511400000000000091e+03	1.511400000000000077e+00	nan	1.753518725005278472e-02	1.851593201055629773e-02	2.355382729366754975e-03
nan	1.577700000000000045e+03	1.577700000000000102e+00	nan	1.910041136883364882e-02	1.968261268364853572e-02	2.369152360326685827e-03
nan	1.623400000000000091e+03	1.623400000000000176e+00	nan	2.009259621922865335e-02	1.885838813151503174e-02	2.363094407099506061e-03
nan	1.672599999999999909e+03	1.672599999999999865e+00	nan	2.267403246623871452e-02	1.815661991679458701e-02	2.374169233275227019e-03
nan	1.725599999999999909e+03	1.725600000000000023e+00	nan	2.420070766844446483e-02	1.867405262402167809e-02	2.357240251388382363e-03
nan	1.807799999999999955e+03	1.807799999999999851e+00	nan	2.786008015872312032e-02	1.671590023129488137e-02	2.394885252265179908e-03
nan	1.844900000000000091e+03	1.844899999999999762e+00	nan	2.957850542575215375e-02	1.725712132679401573e-02	2.381226256088449667e-03
nan	1.904099999999999909e+03	1.904100000000000126e+00	nan	3.258019304638537506e-02	1.623139890257179613e-02	2.370773689710310630e-03
nan	1.942099999999999909e+03	1.942099999999999937e+00	nan	3.113149647256250457e-02	1.603961618768186964e-02	2.378605544314931017e-03
nan	1.981900000000000091e+03	1.981899999999999995e+00	nan	3.191883778661121912e-02	1.695880202408054857e-02	2.364614563395342223e-03
nan	2.028400000000000091e+03	2.028400000000000425e+00	nan	3.566447266887280698e-02	1.564225906696969232e-02	2.383587421460260734e-03
nan	1.918599999999999909e+03	1.918600000000000083e+00	nan	3.708576108977013064e-02	1.604004324559560324e-02	2.378037904790983401e-03
nan	1.486700000000000045e+03	1.486700000000000133e+00	nan	4.011387412758722626e-02	1.519900341556173692e-02	2.400203369087457704e-03
nan	7.850000000000000000e+02	7.849999999999998090e-01	nan	3.995191756471285632e-02	1.613801258776401820e-02	2.392626928461867412e-03
nan	2.473000000000000114e+02	2.473000000000000198e-01	nan	3.998962437019600025e-02	1.340358550511464540e-02	2.101213639109836880e-03
nan	4.450000000000000000e+01	4.449999999999999789e-02	nan	5.592820249326051207e-02	1.713455930565890156e-02	1.729154683497726623e-03
nan	4.099999999999999645e+00	4.100000000000000346e-03	nan	4.254123200312209807e-02	1.420174690783092795e-02	1.135638050873537599e-03
nan	nan	nan	nan	nan	nan	nan
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
