# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	9.350000000000000000e+01	9.349999999999999978e-02	nan	3.428997064267399596e-03	4.010076278990998278e-02	2.099229692992218930e-03
nan	1.115000000000000000e+02	1.115000000000000019e-01	nan	4.399338399224461682e-03	2.857636680633347456e-02	2.513952378098718854e-03
nan	2.222500000000000000e+02	2.222500000000000031e-01	nan	4.645478533348068595e-03	2.806924408829910428e-02	2.659852965705743113e-03
nan	2.617500000000000000e+02	2.617500000000000382e-01	nan	4.877146287142863912e-03	2.449498582041350486e-02	2.718835078252488865e-03
nan	3.000000000000000000e+02	2.999999999999999889e-01	nan	8.876242999150463220e-03	3.025840510866041264e-02	2.663463740497665384e-03
nan	3.642500000000000000e+02	3.642500000000000182e-01	nan	1.050604632374074754e-02	2.133541622079027436e-02	2.602856324477653693e-03
nan	4.370000000000000000e+02	4.369999999999999996e-01	nan	9.227179797349549517e-03	2.450706066473167313e-02	2.758395073014814538e-03
nan	4.815000000000000000e+02	4.814999999999999836e-01	nan	1.116482782167338428e-02	2.333438844263182113e-02	2.804578288970373083e-03
nan	4.947500000000000000e+02	4.947500000000000231e-01	nan	1.360504390282812892e-02	1.924162333455789464e-02	2.810867549792313985e-03
nan	5.667500000000000000e+02	5.667500000000000870e-01	nan	1.243100561484311584e-02	2.050253172876008445e-02	2.770805820703153323e-03
nan	6.470000000000000000e+02	6.470000000000000195e-01	nan	1.753173548590325481e-02	2.113154523616286862e-02	2.560258334085692856e-03
nan	6.547500000000000000e+02	6.547499999999999432e-01	nan	1.609352324902602049e-02	2.055003450470184456e-02	2.794611548043928612e-03
nan	7.247500000000000000e+02	7.247500000000000053e-01	nan	1.756804409146184298e-02	2.169287535462831318e-02	2.757318406575897871e-03
nan	7.547500000000000000e+02	7.547500000000000320e-01	nan	2.022758609325592261e-02	1.981438416394879984e-02	2.793402540109749411e-03
nan	8.227500000000000000e+02	8.227499999999999813e-01	nan	2.309500148166421241e-02	2.004948605555235616e-02	2.701537646497715554e-03
nan	8.547500000000000000e+02	8.547500000000000098e-01	nan	2.284994001328755076e-02	1.879329044929886616e-02	2.723902902590879041e-03
nan	9.055000000000000000e+02	9.054999999999999716e-01	nan	2.342809396827760793e-02	1.839203130349367082e-02	2.834025980355237527e-03
nan	9.587500000000000000e+02	9.587499999999999911e-01	nan	2.482725532274798752e-02	1.959136670362479626e-02	2.825477390233118238e-03
nan	1.000250000000000000e+03	1.000250000000000083e+00	nan	2.799027753309246691e-02	2.001548565350409759e-02	2.914940330730107776e-03
nan	1.052750000000000000e+03	1.052750000000000075e+00	nan	3.111604522206334877e-02	1.861054997938704769e-02	2.800004158628871358e-03
nan	1.058250000000000000e+03	1.058250000000000135e+00	nan	3.181071584458550205e-02	1.686306167174559875e-02	2.798227162946521646e-03
nan	1.082250000000000000e+03	1.082250000000000156e+00	nan	3.350941202165813593e-02	1.774971355736641027e-02	2.853273692694866664e-03
nan	1.155750000000000000e+03	1.155750000000000055e+00	nan	3.321882528757669206e-02	1.699426525947403746e-02	2.678721851407789116e-03
nan	1.189500000000000000e+03	1.189499999999999780e+00	nan	3.948438929950270904e-02	1.792162604917750535e-02	2.848102491118249726e-03
nan	1.203250000000000000e+03	1.203249999999999931e+00	nan	3.753957015919695550e-02	1.777299818110206903e-02	2.875142738157244766e-03
nan	1.216250000000000000e+03	1.216250000000000053e+00	nan	4.088885513385775994e-02	1.666253142645953561e-02	2.848827843783791926e-03
nan	1.228500000000000000e+03	1.228499999999999925e+00	nan	4.396150953868982469e-02	1.898046622019475271e-02	2.882333840693868630e-03
nan	1.253750000000000000e+03	1.253749999999999920e+00	nan	4.689403507143197203e-02	1.614631665456623191e-02	2.910567538697418459e-03
