# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
nan	3.631250000000000000e+01	3.631250000000000450e-02	nan	5.553987144519823005e-04	8.411725569763307819e-03	6.133815965159085826e-04
nan	1.491250000000000000e+02	1.491250000000000075e-01	nan	1.040020141138242593e-03	8.625194301767854718e-03	7.010833879211254751e-04
nan	2.254375000000000000e+02	2.254375000000000129e-01	nan	1.350599529153839740e-03	7.849196274902686676e-03	6.871750062243983225e-04
nan	2.623125000000000000e+02	2.623124999999999485e-01	nan	1.763190106977674532e-03	7.470116341029823040e-03	7.012304814545379733e-04
nan	2.928125000000000000e+02	2.928124999999999756e-01	nan	2.022197701062822262e-03	7.397789719330894430e-03	6.974545269572691823e-04
nan	3.276250000000000000e+02	3.276249999999999996e-01	nan	2.512258382335375018e-03	6.190233742258898289e-03	7.079086481331255511e-04
nan	3.563750000000000000e+02	3.563749999999999973e-01	nan	2.659239546261460418e-03	5.956203351603779270e-03	7.079702414572122291e-04
nan	3.678750000000000000e+02	3.678750000000000075e-01	nan	2.804241046195699028e-03	5.669992191254682665e-03	7.118234696227049730e-04
nan	3.901250000000000000e+02	3.901249999999999996e-01	nan	3.598870041912505258e-03	5.816323185182598401e-03	7.026037787029537846e-04
nan	4.158125000000000000e+02	4.158124999999999738e-01	nan	3.698221873030149709e-03	5.646075615185911292e-03	7.090363893958442562e-04
nan	4.298125000000000000e+02	4.298125000000000417e-01	nan	3.919470025977034311e-03	5.311603051106812169e-03	7.141256933847687886e-04
nan	4.595000000000000000e+02	4.595000000000000195e-01	nan	4.377371131376150970e-03	5.260282815297633030e-03	7.129801145907144070e-04
nan	4.705625000000000000e+02	4.705624999999999392e-01	nan	4.709191957040559373e-03	5.167736719652964855e-03	7.179467918132745752e-04
nan	4.891250000000000000e+02	4.891250000000000320e-01	nan	5.266995123264450740e-03	4.557850362875521741e-03	7.043896441826849857e-04
nan	5.071875000000000000e+02	5.071874999999999023e-01	nan	5.964941923160438364e-03	5.125964228634242829e-03	7.137532918526958954e-04
nan	5.212500000000000000e+02	5.212499999999999911e-01	nan	6.198480760708946491e-03	5.154124237402238004e-03	7.129694864035527810e-04
nan	5.398125000000000000e+02	5.398125000000000284e-01	nan	6.225037946272493627e-03	4.480018731302718576e-03	7.082259143728639270e-04
nan	5.538125000000000000e+02	5.538125000000000409e-01	nan	7.213139163461335102e-03	4.570554698074913089e-03	7.171773844542037642e-04
nan	5.696250000000000000e+02	5.696250000000000480e-01	nan	7.565445084708244394e-03	4.823795735772407056e-03	7.071463869687951917e-04
nan	5.970000000000000000e+02	5.969999999999999751e-01	nan	8.037517539747796036e-03	4.326642214845757839e-03	7.074420038122962570e-04
nan	6.035625000000000000e+02	6.035625000000000018e-01	nan	7.680571237941080653e-03	4.541604380324335694e-03	7.056005065170817703e-04
nan	6.113750000000000000e+02	6.113750000000000018e-01	nan	8.748757626960923517e-03	4.226361328920402727e-03	7.143613242413811943e-04
nan	6.255000000000000000e+02	6.255000000000000560e-01	nan	8.740403538425312036e-03	4.807030591540814059e-03	7.148896378107820731e-04
nan	6.318125000000000000e+02	6.318124999999999991e-01	nan	8.780704380455972569e-03	4.244744822725927264e-03	7.225406123178212611e-04
nan	6.496250000000000000e+02	6.496250000000000080e-01	nan	1.030478198332218653e-02	4.194306331595921804e-03	7.216309299345829119e-04
nan	6.693750000000000000e+02	6.693749999999999423e-01	nan	1.113946848175828563e-02	4.287964207737141736e-03	7.180428547762850253e-04
nan	6.808750000000000000e+02	6.808750000000000080e-01	nan	1.103196683611429307e-02	4.209549082894836758e-03	7.190915104147012175e-04
nan	6.925625000000000000e+02	6.925625000000000808e-01	nan	1.201771626293179906e-02	4.307022176981061511e-03	7.363598463410983477e-04
nan	7.002500000000000000e+02	7.002500000000000391e-01	nan	1.219483441819591008e-02	4.004929130749856209e-03	7.088263483523390193e-04
nan	7.054375000000000000e+02	7.054374999999999396e-01	nan	1.240691088052869873e-02	3.920309714053981168e-03	7.202731907931490818e-04
nan	7.396875000000000000e+02	7.396875000000000533e-01	nan	1.231311693028658283e-02	4.122290128097859385e-03	7.254984542743515190e-04
