,Simulation Number,PG.cFactor,ExitSlit.openingHeight,PG.lineDensity,PG.orderDiffraction,SU.numberRays,SU.photonEnergy,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonFlux,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM
0,0,2.5,0.012,1200,1,100000.0,100,,25000.0,25.0,,0.02494993357632236,0.02664112653191499,0.026335594060748663
1,1,2.5,0.012,1200,1,100000.0,150,,25000.0,25.0,,0.0372472629145264,0.02279792353635152,0.020316742460736004
2,2,2.5,0.012,1200,1,100000.0,200,,25000.0,25.0,,0.049944586597707286,0.02066808622788604,0.018436362424674398
3,3,2.5,0.012,1200,1,100000.0,250,,25000.0,25.0,,0.062396881954718715,0.01863604873701351,0.016888009912419143
4,4,2.5,0.012,1200,1,100000.0,300,,25000.0,25.0,,0.07484102498877121,0.017878279802149614,0.014930493138835953
5,5,2.5,0.012,1200,1,100000.0,350,,25000.0,25.0,,0.08723682645572593,0.015777544057520118,0.013870292740282888
6,6,2.5,0.012,1200,1,100000.0,400,,25000.0,25.0,,0.09972250696346308,0.01568166277799935,0.013035211095876093
7,7,2.5,0.012,1200,1,100000.0,450,,25000.0,25.0,,0.1122570279050663,0.014844664495535963,0.012460862630713825
8,8,2.5,0.012,1200,1,100000.0,500,,25000.0,25.0,,0.12483604079718091,0.014943709332398985,0.011487707740977711
9,9,2.5,0.012,1200,1,100000.0,550,,25000.0,25.0,,0.1369113172053744,0.013814926832029024,0.011280864471131727
10,10,2.5,0.012,1200,1,100000.0,600,,25000.0,25.0,,0.14990377266492771,0.014384337942775905,0.01092146805809534
11,11,2.5,0.012,1200,1,100000.0,650,,25000.0,25.0,,0.162268989200939,0.013572676149049112,0.010546396723594085
12,12,2.5,0.012,1200,1,100000.0,700,,25000.0,25.0,,0.1744505593388581,0.01284476972700132,0.00991901062410378
13,13,2.5,0.012,1200,1,100000.0,750,,25000.0,25.0,,0.18721023893549213,0.013376671452450476,0.009371938231761854
