,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.02,100,1,100000.0,,57.620000000000005,0.05762,10.0,0.0002968358230179,0.0041136037920328,0.0007100616325542,1394404000000.0,898872000000.0,726012000000.0,3.3837764211677808,1.948899477260484,47163367349703.71,30402831845263.55,24556133413482.1,5.769748134700025e-06,3.719341772781836e-06,3.0040837395545586e-06,2.7762593079281646e-06,1.7896547604826188e-06,1.4454903834667303e-06
1,1,2.25,0.02,105,1,100000.0,,62.010000000000005,0.06201,10.5,0.0002886858707664,0.003866529314175,0.0007013648310919,1500642000000.0,967356000000.0,781326000000.0,3.8145623009926566,2.3504613545161304,56881164779290.36,36667197130451.64,29615813066903.24,6.560954928703616e-06,4.22937590445357e-06,3.416034384366346e-06,3.3294661488233707e-06,2.146267434778701e-06,1.7335236973212592e-06
2,2,2.25,0.02,110,1,100000.0,,64.32000000000001,0.06432,11.0,0.00029608809708,0.0039179521108806,0.000684367616594,1556544000000.0,1003392000000.0,810432000000.0,3.769081808813904,2.426237894046907,58714957035935.17,37849311147131.766,30570597464991.04,7.0501490555421335e-06,4.544724184564351e-06,3.670738764455822e-06,3.899441592700874e-06,2.5136896217410582e-06,2.030287771406239e-06
3,3,2.25,0.02,115,1,100000.0,,66.78,0.0667799999999999,11.5,0.0003470985382118,0.0035138122831812,0.0006849037287169,1616076000000.0,1041768000000.0,841428000000.0,3.348444379076703,2.2334771231735067,54050146380798.85,34842243121506.69,28141811751986.18,7.593849412768809e-06,4.895208712363363e-06,3.953822421524254e-06,4.41011002925381e-06,2.8428808453041096e-06,2.296172990437934e-06
4,4,2.25,0.02,120,1,100000.0,,69.33,0.06933,12.0,0.000347559642188,0.003637630587526,0.0007107170229179,1677786000000.0,1081548000000.0,873558000000.0,3.5404252550283983,2.447329604347959,59225376425220.61,38178341827828.16,30836353014784.29,8.15208152026306e-06,5.255060814715032e-06,4.244472196500603e-06,5.027450745374185e-06,3.2408360176792265e-06,2.6175983219716835e-06
5,5,2.25,0.02,125,1,100000.0,,72.82000000000001,0.07282,12.5,0.000392195660099,0.0039675843595054,0.0006963645558476,1762244000000.0,1135992000000.0,917532000000.0,3.2395168877944926,2.3601838072657007,57116448135829.95,36818867393344.93,29738315971547.832,8.915335297864452e-06,5.74707564655725e-06,4.641868791450087e-06,5.550444730012346e-06,3.577972635875728e-06,2.8899009751303955e-06
6,6,2.25,0.02,130,1,100000.0,,70.95,0.07095,13.0,0.0003784890697528,0.0036376465210756,0.0006484763936667,1716990000000.0,1106820000000.0,893970000000.0,3.488862070703374,2.474399615373115,59880470692029.4,38600633999820.6,31177435153701.25,9.02133059610606e-06,5.815403194184072e-06,4.69705642607175e-06,5.699230250907004e-06,3.6738839633945975e-06,2.967367816587944e-06
7,7,2.25,0.02,135,1,100000.0,,70.22999999999999,0.0702299999999999,13.5,0.0004149441253136,0.0035615957361695,0.0007205493086573,1699566000000.0,1095588000000.0,884898000000.0,3.339883425564593,2.352084495407572,56920444788863.234,36692518128358.12,29636264642135.41,9.284263559040751e-06,5.984897170290732e-06,4.833955406773284e-06,5.90210081626062e-06,3.804660030316764e-06,3.072994639871232e-06
8,8,2.25,0.02,140,1,100000.0,,68.47,0.06847,14.0,0.0004231843729874,0.0035231037899678,0.0006710011710129,1656334468234.1362,1068132000000.0,862722000000.0,3.374341697884391,2.315114461543944,56004146057580.65,36115785600085.52,29170442215453.688,9.43634438122914e-06,6.085281439175037e-06,4.915035008564453e-06,6.030665963598066e-06,3.889037764152454e-06,3.141145886430829e-06
9,9,2.25,0.02,145,1,100000.0,,68.09,0.06809,14.5,0.0004222334481636,0.0032289269408943,0.0006320996858343,1641117893456.0796,1062204000000.0,857934000000.0,3.475779551458866,2.3706463780353384,57137761639750.914,36982083497351.28,29870144363245.26,9.687763692823207e-06,6.270348636502212e-06,5.064512360251788e-06,6.22715883409885e-06,4.030492293448482e-06,3.2553976216314664e-06
10,10,2.25,0.02,150,1,100000.0,,63.38,0.06338,15.0,0.0004969420540757,0.0036237408875374,0.000673509928563,1527458000000.0,988728000000.0,798588000000.0,3.085124824508539,1.9514020587055332,47028789614803.35,30441872115806.312,24587665939689.715,9.3214964382307e-06,6.033831719352653e-06,4.87347946563099e-06,6.050968181530075e-06,3.916809279330671e-06,3.163576725613236e-06
11,11,2.25,0.02,155,1,100000.0,,59.82000000000001,0.05982,15.5,0.0004710570712629,0.0030604030271166,0.0006920628663692,1441662000000.0,933192000000.0,753732000000.0,3.345212976564683,2.009375572388307,48425951294558.19,31346258929257.586,25318132212092.66,9.124833679242303e-06,5.9065313442398335e-06,4.770659931886019e-06,5.869863683001906e-06,3.7995798114037223e-06,3.068891386133777e-06
12,12,2.25,0.02,160,1,100000.0,,55.77,0.05577,16.0,0.000534412051592,0.0033443883880871,0.0006937447667985,1344057000000.0,870012000000.0,702702000000.0,3.0585980317434824,1.705095155024575,41092793236092.25,26599484418383.367,21484198953309.64,8.77837424095421e-06,5.682267143522228e-06,4.589523462075646e-06,5.628945120112575e-06,3.643632525881999e-06,2.942933963212383e-06
13,13,2.25,0.02,165,1,100000.0,,53.08,0.0530799999999999,16.5,0.0005344324130194,0.0034271725912892,0.0006710009609584,1279228000000.0,828048000000.0,668808000000.0,3.133852867378057,1.661441745565961,40040746068139.664,25918491230828.992,20934165994131.11,8.595761662395892e-06,5.56406149101145e-06,4.49404966581694e-06,5.488199685096123e-06,3.5525275969916808e-06,2.86934921295482e-06
14,14,2.25,0.02,170,1,100000.0,,48.85,0.04885,17.0,0.000539608111801,0.0031146913502999,0.0006754303984185,1175322316107.2212,762060000000.0,615510000000.0,3.173370832718671,1.551324516092954,37324592083690.586,24200662451050.08,19546688902771.22,8.150973970830085e-06,5.284959826836229e-06,4.268621398598493e-06,5.168569275487124e-06,3.3512168092947163e-06,2.706752038276502e-06
15,15,2.25,0.02,175,1,100000.0,,44.71,0.0447099999999999,17.5,0.0005853796679491,0.0030669951165483,0.000660508970257,1073040000000.0,697476000000.0,563346000000.0,3.060573982169521,1.371826362618442,32923832702842.613,21400491256847.69,17285012168992.37,7.706840370259026e-06,5.009446240668367e-06,4.046091194385989e-06,4.817747326878481e-06,3.1315357624710125e-06,2.5293173466112034e-06
16,16,2.25,0.02,180,1,100000.0,,43.09,0.04309,18.0,0.0005859100600548,0.0032595763284287,0.000652384927301,1034160000000.0,672204000000.0,542934000000.0,3.187268138743801,1.3721330191185124,32931192458844.29,21405275098248.79,17288876040893.254,7.678583204857703e-06,4.991079083157507e-06,4.031256182550294e-06,4.742656669188965e-06,3.082726834972828e-06,2.489894751324207e-06
17,17,2.25,0.02,185,1,100000.0,,42.19,0.04219,18.5,0.0006223510284402,0.0032940032518062,0.000705973881109,1012560000000.0,658164000000.0,531594000000.0,3.0254609518533235,1.278475810494498,30683419451867.945,19944222643714.164,16108795212230.668,7.739948775977303e-06,5.030966704385248e-06,4.063473107388084e-06,4.729920051570591e-06,3.0744480335208844e-06,2.4832080270745607e-06
18,18,2.25,0.02,190,1,100000.0,,41.48,0.0414799999999999,19.0,0.0006015025579412,0.0030059530385489,0.0007122329945167,995520000000.0,647088000000.0,522648000000.0,3.284351128593888,1.3577172498006775,32585213995216.26,21180389096890.57,17107237347488.535,7.8271824441356e-06,5.087668588688139e-06,4.109270783171191e-06,4.738405300434087e-06,3.0799634452821564e-06,2.4876627827278963e-06
19,19,2.25,0.02,195,1,100000.0,,40.97,0.04097,19.5,0.0006688925152806,0.0031049733283565,0.0006309754027973,983280000000.0,639132000000.0,516222000000.0,2.961577580698928,1.2143898772059627,29145357052943.117,18944482084413.023,15301312452795.137,7.95466783653102e-06,5.170534093745163e-06,4.176200614178785e-06,4.7629265977054366e-06,3.0959022885085333e-06,2.500536463795354e-06
20,20,2.25,0.02,200,1,100000.0,,39.24,0.03924,20.0,0.0006660802263456,0.0027739253551403,0.0006624099122789,938973368139.6332,612144000000.0,494424000000.0,3.095763970892703,1.215176571783479,29077941857591.902,18956754519822.277,15311224804471.834,7.804244105695366e-06,5.087813313919629e-06,4.109387676627393e-06,4.630206013716614e-06,3.018565729586327e-06,2.438072320050495e-06
