,Simulation Number,PG.cFactor,ExitSlit.openingWidth,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.02,100,1,100000.0,,100000.0,100.0,100.0,0.0998693896499958,0.1087986385447976,0.1003226373022577,2420000000000000.0,1560000000000000.0,1260000000000000.0,1.001307811637399,100.1307811637399,2423164904162505.0,1562040186154342.2,1261647842663122.8,0.0100134469536619,0.0064549492759143,0.0052136128767,0.0048182216381953,0.0031059610560267,0.0025086608529446
1,1,2.25,0.02,150,1,100000.0,,100000.0,100.0,150.0,0.1498827032971803,0.0870288092468566,0.0908757655364696,2410000000000000.0,1560000000000000.0,1260000000000000.0,1.0007825899869651,100.07825899869653,2411886041868586.0,1561220840379665.8,1260986063383576.2,0.0147073153017208,0.0095200879131471,0.0076893017760034,0.0095471255625277,0.0061798821068644,0.0049914432401597
2,2,2.25,0.02,200,1,100000.0,,100000.0,100.0,200.0,0.1996112284446098,0.0810463403226778,0.0798010688879002,2392898491691216.5,1560000000000000.0,1260000000000000.0,1.0019476437193413,100.19476437193411,2397559005409580.0,1563038324202172.2,1262454031086369.8,0.0198884916047282,0.0129658851017319,0.0104724456590912,0.011799709515078,0.0076925732150518,0.0062132322121572
3,3,2.25,0.02,250,1,100000.0,,100000.0,100.0,250.0,0.2443404555824884,0.0726589814659039,0.0662530411885598,2370000000000000.0,1560000000000000.0,1260000000000000.0,1.0231625352585174,102.31625352585174,2424895208562686.5,1596133555003287.2,1289184794425732.0,0.0249919887631365,0.0164504229833303,0.0132868801019206,0.0139988186650915,0.009214412285883,0.0074424099232132
4,4,2.25,0.02,300,1,100000.0,,100000.0,100.0,300.0,0.2993780959043306,0.0780067287344154,0.0653734543928688,2335952718498758.0,1560000000000000.0,1260000000000000.0,1.0020773199648785,100.20773199648784,2340805239717907.5,1563240619145210.2,1262617423155746.8,0.0298570842565311,0.0199392098441624,0.0161047464125927,0.0162739932596629,0.0108681264325374,0.0087781021185879
5,5,2.25,0.02,350,1,100000.0,,100000.0,100.0,350.0,0.3497600763022319,0.0716380242878247,0.0527449369349578,2300000000000000.0,1560000000000000.0,1260000000000000.0,1.0006859665068255,100.06859665068257,2301577722965698.5,1561070107750647.8,1260864317798600.0,0.0345499369718277,0.0234338702939353,0.0189273567758708,0.0186601977980966,0.0126564819847959,0.0102225431415659
6,6,2.25,0.02,400,1,100000.0,,100000.0,100.0,400.0,0.3989670908329117,0.0673747237605554,0.0518301022361656,2259006997877350.5,1550000000000000.0,1260000000000000.0,1.002588958314662,100.2588958314662,2264855472827384.5,1554012885387726.0,1263262087476473.8,0.0389700932675005,0.0267390249881401,0.0217362396677784,0.0209648730221002,0.0143848838072611,0.0116935184497735
7,7,2.25,0.02,450,1,100000.0,,100000.0,100.0,450.0,0.4497489274874624,0.0598230086807219,0.0468151575519366,2210000000000000.0,1540000000000000.0,1260000000000000.0,1.000558250386366,100.0558250386366,2211233733353868.8,1540859705595003.8,1260703395486821.2,0.0430352550465212,0.029988367769974,0.0245359372663424,0.0236428116759116,0.016475081439323,0.0134796120867188
8,8,2.25,0.02,500,1,100000.0,,100000.0,100.0,500.0,0.4996919842702709,0.0624450506600664,0.0426891567195109,2150000000000000.0,1521880408827353.8,1260000000000000.0,1.000616411188142,100.0616411188142,2151325284054504.8,1522818512938369.0,1260776678097058.8,0.0466530950385029,0.0330234564419805,0.0273408836039598,0.0260876739987186,0.0184661953351277,0.0152885903434351
9,9,2.25,0.02,550,1,100000.0,,100000.0,100.0,550.0,0.5497544168615605,0.060075755325633,0.0438998259170742,2083588353441012.8,1502389444711665.2,1260000000000000.0,1.0004467142616909,100.04467142616907,2084519122073988.5,1503060583503231.5,1260562859969730.5,0.0495973551918249,0.0357626029166238,0.0299928090107116,0.0282832625221738,0.0203938916269844,0.0171036235248124
10,10,2.25,0.02,600,1,100000.0,,100000.0,100.0,600.0,0.5993646144270315,0.0577506597840424,0.0423220564589939,2015115450105272.8,1490000000000000.0,1254455112301570.0,1.0010600985738471,100.1060098573847,2017251671120067.2,1491579546875032.2,1255784958377076.0,0.0524579037613919,0.0387879893434347,0.0326562359246782,0.0299393884707312,0.0221375350077629,0.0186379489692907
11,11,2.25,0.02,650,1,100000.0,,100000.0,100.0,650.0,0.6486816887249915,0.0503696080229089,0.0444251174712949,1940000000000000.0,1470000000000000.0,1246760539604716.0,1.0020322930304997,100.20322930304997,1943942648479168.8,1472987470754834.2,1249294322360056.5,0.0548019386586839,0.0415251803238481,0.0352190178420027,0.0311166215689513,0.023578058611525,0.0199974102566915
12,12,2.25,0.02,700,1,100000.0,,100000.0,100.0,700.0,0.6992796993918091,0.0574138166082853,0.0385887045527089,1858169731614735.2,1450000000000000.0,1239065959431385.8,1.0010300608023046,100.10300608023046,1860083759419300.0,1451493588163341.8,1240342272707666.0,0.0566010223758306,0.0441679148296291,0.03774273087204,0.0322156505842625,0.0251390885086625,0.021482061256701
13,13,2.25,0.02,750,1,100000.0,,100000.0,100.0,750.0,0.7496186195207883,0.0496105623496275,0.0369026327540605,1769696844815709.5,1424425588577701.5,1221371393613033.2,1.000508766016852,100.0508766016852,1770597206430482.0,1425150287910704.2,1221992785872058.8,0.0578160596847168,0.0465360353028275,0.0399022474370126,0.0326866337678576,0.0263094086875952,0.022558959493271
14,14,2.25,0.02,800,1,100000.0,,100000.0,100.0,800.0,0.7985961602905718,0.0489787171606691,0.0365092424622034,1671223944698468.0,1404934624431989.2,1210000000000000.0,1.001757884371642,100.1757884371642,1674161763152367.8,1407404337051457.2,1212127040089687.0,0.0582817178595956,0.048995231101177,0.0421971446937558,0.0326816255453241,0.0274742038354597,0.0236621591231312
