,Simulation Number,PG.orderDiffraction,PG.cFactor,PG.lineDensity,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2,25,3000,1000000.0,150,17.15,2.43,0.81,,11206.75,1.120675,150.0,0.0001772275683364,0.0338826597560409,0.0013911006347231,-0.0025529963344393,3.76644735557478e-07,27008267500000.0,17482530000000.0,14120505000000.0,4.241874072813492,4.753394570650896,114556809152686.58,74152955302153.97,59892771590201.28,0.0001648212057575,0.0001066892452206,8.617208267822672e-05,0.0001069922493978,6.925639380110288e-05,5.5937856531660014e-05
1,1,2,25,3000,1000000.0,155,17.15,2.43,0.81,,10357.75,1.035775,155.0,0.0001772283754419,0.0322563450907204,0.0013603800724845,-0.0024453675565943,-1.57785863034926e-06,24962177500000.0,16158090000000.0,13050765000000.0,4.373055584644908,4.529540759481171,109161932303496.22,70660835847906.27,57072213569462.76,0.0001579952290891,0.0001022707706967,8.260331479353465e-05,0.0001016358752299,6.578919724434456e-05,5.3137428543509066e-05
2,2,2,25,3000,1000000.0,160,17.15,2.43,0.81,,9574.5,0.95745,160.0,0.0001882665155505,0.032853513791753,0.0014243056343831,-0.0025721700906934,-2.2685004886842938e-07,23074545000000.0,14936220000000.0,12063870000000.0,4.254464899098595,4.073153720352151,98163004660486.84,63541198037493.54,51321736876437.09,0.000150705655675,9.75522086527767e-05,7.879216852724273e-05,9.663678510403058e-05,6.255327168559656e-05,5.052379636144336e-05
3,3,2,25,3000,1000000.0,165,17.15,2.43,0.81,,8695.25,0.869525,165.0,0.0001927105500456,0.0324829356199076,0.0014209884823337,-0.0026218545573109,-2.309191627026171e-06,20955552500000.0,13564590000000.0,10956015000000.0,4.299128195626216,3.740624672639015,90149054610600.28,58353744893168.63,47131870875251.59,0.0001408106567349,9.114714709818636e-05,7.361884957930435e-05,8.99044240991561e-05,5.8195394852565786e-05,4.70039727655339e-05
4,4,2,25,3000,1000000.0,170,17.15,2.43,0.81,,7982.75,0.7982750000000001,170.0,0.0001932618614546,0.0297636135223562,0.0012626967486041,-0.0025961342372347,-7.865455904960187e-06,19206354593459.406,12453090000000.0,10058265000000.0,4.399026850045585,3.512030230937907,84498823035097.62,54787671602631.34,44251580909817.625,0.0001331979272581,8.636338394611444e-05,6.975504087955397e-05,8.446140508473868e-05,5.4763410408183015e-05,4.423198532968628e-05
5,5,2,25,3000,1000000.0,175,17.15,2.43,0.81,,7578.0,0.7578,175.0,0.0002104287110781,0.0314102896997661,0.0013900467482131,-0.0025547385908912,6.2991964736956825e-06,18187200000000.0,11821680000000.0,9548280000000.0,4.169933608824155,3.1595331725922438,75828796142213.84,49288717492439.01,39810117974662.27,0.0001306249973737,8.490624829296552e-05,6.85781236212414e-05,8.165709962667218e-05,5.3077114757336914e-05,4.286997730400289e-05
6,6,2,25,3000,1000000.0,180,17.15,2.43,0.81,,7214.5,0.7214499999999999,180.0,0.0002046985673871,0.0306213617143465,0.0014498966333288,-0.0023097452966684,1.5470367936442333e-06,17314800000000.0,11254620000000.0,9090270000000.0,4.397760366460144,3.1724962242872787,76139909382894.69,49490941098881.54,39973452426019.71,0.0001285614725723,8.35649571720581e-05,6.749477310050847e-05,7.940565453669945e-05,5.1613675448854646e-05,4.168796863176722e-05
7,7,2,25,3000,1000000.0,185,17.15,2.43,0.81,,6938.25,0.6938249999999999,185.0,0.0002167062124342,0.0300377984949281,0.0013772706401639,-0.0022725876686406,-9.841604669974018e-06,16651800000000.0,10823670000000.0,8742195000000.0,4.270326689781229,2.962251305457013,71094031330968.31,46211120365129.41,37324366448758.37,0.0001272853747212,8.273549356885743e-05,6.682482172869253e-05,7.778470679736822e-05,5.056005941828935e-05,4.083697106861831e-05
8,8,2,25,3000,1000000.0,190,17.15,2.43,0.81,,6930.25,0.693025,190.0,0.0002119991024471,0.0304251787305395,0.0013215136597066,-0.0023729019363968,-9.69824135444448e-06,16632600000000.0,10811190000000.0,8732115000000.0,4.4825827138675285,3.1059090127966797,74541816307120.31,48452180599628.2,39134453561238.16,0.00013077225442,8.500196537308579e-05,6.86554335705693e-05,7.916666666666668e-05,5.1458333333333335e-05,4.15625e-05
9,9,2,25,3000,1000000.0,195,17.15,2.43,0.81,,6808.75,0.6808749999999999,195.0,0.0002205531565948,0.028524585013014,0.0014113233344921,-0.0023460768836977,-1.2459948648360054e-05,16341000000000.0,10621650000000.0,8579025000000.0,4.421694665198338,3.0104783787292035,72251481089500.88,46963462708175.58,37932027571987.96,0.0001321975704954,8.592842082203409e-05,6.940372451010447e-05,7.91544458680178e-05,5.145038981421157e-05,4.155608408070934e-05
