# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.993895258874019305e-02	1.092194079131074969e-01	1.025723900579910836e-01
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.497079509523757679e-01	9.020168562442541782e-02	8.402274327119799158e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.997083313004068827e-01	8.320058145208829303e-02	7.313686279692371839e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.496936307266111044e-01	7.495232241943147744e-02	6.817014332736963389e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	2.997630737803831380e-01	7.511640053180428100e-02	5.972616068400311840e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.496782987617450544e-01	6.944291289068439677e-02	5.736874387789721308e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	3.982817093151425070e-01	6.683444269033310403e-02	5.263587678750936832e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.489361511519973647e-01	6.329577314130180321e-02	4.789979444269021336e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	4.995366677388375365e-01	6.194515003628128791e-02	4.801249390384072779e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.492170260133946158e-01	5.896132564786455560e-02	4.290946137980292813e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	5.988200236546958877e-01	5.900142638384345967e-02	4.401260640790986833e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.493332217280567420e-01	5.600031724842240155e-02	4.208563134389430027e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	6.993204337812812810e-01	5.481221259714895433e-02	3.866226801196918222e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.486136587997123115e-01	5.500299332693552729e-02	3.768494819552126868e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	7.986441124575662798e-01	5.401222046984349712e-02	3.647119747094400288e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.487298475997704372e-01	5.087416935132811624e-02	3.537480332847615927e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	8.992856584444268719e-01	5.024467848934072861e-02	3.599332567299408370e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.478963435866774034e-01	5.093533414982483881e-02	3.553926284467190388e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	9.988800721120014714e-01	4.984821934539204052e-02	3.318903548850171692e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.048141109901280288e+00	5.162504043736255988e-02	3.209512298999475655e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.099321157472104460e+00	4.972522567193243120e-02	3.134159745348564369e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.147111988449069031e+00	4.717779040716665873e-02	3.018513962559635222e-02
nan	1.000000000000000000e+05	1.000000000000000000e+02	nan	1.198437265427457987e+00	5.174720489896222908e-02	3.073889337991968576e-02
