,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,PG.orderDiffraction,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7
0,0,2.25,0.02,100,1,100000.0,68.59,11.21,8.75,,1211.3,1.2113,100.0,0.0058700610948235,0.0542749108415387,0.0068968547117149,0.0002107475878647,-3.717915260085247e-05,16701041010000.0,9371767535000.0,6435927612000.0,4665007012000.0,17.1936683287542,20.82696228721004,287155907927365.9,161137165868029.72,110658649102895.86,80209630238994.78,6.910536703494548e-05,3.877838722056771e-05,2.6630504024946417e-05,1.9302810021951697e-05,3.325178395651655e-05,1.8659195506311476e-05,1.281393623223032e-05,9.28803211882292e-06
1,1,2.25,0.02,105,1,100000.0,68.59,11.21,8.75,,1243.2,1.2432,105.0,0.0059357965622936,0.0519692727818064,0.0070551196662733,0.0006837433153047,-1.214836369644525e-05,17140868640000.0,9618576240000.0,6605419968000.0,4787861568000.0,17.904999109503258,22.261304832987484,306932192645781.6,172234602427582.56,118279655290822.44,85733627624994.75,7.494156939887678e-05,4.205336461923596e-05,2.8879548016920013e-05,2.093300330959697e-05,3.803035094200221e-05,2.134068218199729e-05,1.465540893978574e-05,1.0622802117965763e-05
2,2,2.25,0.02,110,1,100000.0,68.59,11.21,8.75,,1289.6,1.2896,110.0,0.0064378164287233,0.0571365531000633,0.0070676554915532,0.0005646797881973,-4.690085640677515e-06,17780617920000.0,9977570720000.0,6851954304000.0,4966559104000.0,17.240010510825975,22.218261799275247,306338728209867.4,171901580627902.66,118050957322381.23,85567858571840.81,8.053483013370876e-05,4.519201563734327e-05,3.103497181253049e-05,2.249533709060572e-05,4.454386195389946e-05,2.499573045136045e-05,1.7165461178292013e-05,1.2442184186726992e-05
3,3,2.25,0.02,115,1,100000.0,68.59,11.21,8.75,,1335.5,1.3355,115.0,0.0070360943290281,0.0575166110723334,0.0073392669692019,0.0004165567725625,-5.7216387712754455e-06,18413473350000.0,10332696725000.0,7095832020000.0,5143331020000.0,16.489839503403424,22.03116930473471,303759153022890.75,170454055352267.22,117056889996688.66,84847320473166.48,8.652386631936341e-05,4.85527555371526e-05,3.334291197826284e-05,2.416822058238758e-05,5.024853007793739e-05,2.8196897581648695e-05,1.936381702178754e-05,1.4035636761559623e-05
4,4,2.25,0.02,120,1,100000.0,68.59,11.21,8.75,,1320.8,1.3207999999999998,120.0,0.0073886839574213,0.052613342129354,0.0070938145472015,0.0002628363929043,2.5408382628375844e-05,18210794160000.0,10218963560000.0,7017727392000.0,5086717792000.0,16.391798167104156,21.66768026665626,298747475212576.44,167641758839106.12,115125585500008.69,83447436950157.23,8.848320259022931e-05,4.965223454821868e-05,3.4097963498662584e-05,2.471551086429171e-05,5.456826476889654e-05,3.062091110944641e-05,2.102847371937973e-05,1.5242243739605965e-05
5,5,2.25,0.02,125,1,100000.0,68.59,11.21,8.75,,1339.0,1.339,125.0,0.0071255905434767,0.0535985954240558,0.0071195883687325,0.0006338221936286,-4.163457629317004e-05,18461730300000.0,10359776050000.0,7114428360000.0,5156810360000.0,17.689274879767233,23.67260076882309,326390717620302.1,183153728518345.84,125778209308941.62,91168866984922.23,9.339939066510864e-05,5.2410947119999136e-05,3.599246998828534e-05,2.6088721781377093e-05,5.814791461939677e-05,3.262962698742661e-05,2.2407930682591277e-05,1.6242127018923074e-05
6,6,2.25,0.02,130,1,100000.0,68.59,11.21,8.75,,1284.7,1.2847,130.0,0.0072033911819829,0.053168582788028,0.0070451016736421,0.0003737346212679,6.42402620838229e-06,17713058190000.0,9939659665000.0,6825919428000.0,4947688028000.0,18.330464925638356,23.510421481830367,324154638265032.6,181898955483847.5,124916511834120.4,90544275627684.4,9.306714296533705e-05,5.222450675353137e-05,3.5864434727267586e-05,2.599591691680444e-05,5.879521550651083e-05,3.299285904197938e-05,2.265737511244179e-05,1.642293390248517e-05
7,7,2.25,0.02,135,1,100000.0,68.59,11.21,8.75,,1239.4,1.2393999999999998,135.0,0.0082215710583198,0.0501422662123066,0.007181588398192,7.68227657636547e-06,-3.912463501460657e-05,17088475380000.0,9589175830000.0,6585229656000.0,4773226856000.0,16.517035472050683,20.46523941972016,282168581547275.7,158338534128403.94,108736728694433.95,78816548662803.08,9.334966058987945e-05,5.238304115268447e-05,3.5973305963472585e-05,2.6074830961666363e-05,5.934332911398999e-05,3.330043228301202e-05,2.2868596646403404e-05,1.657603536608447e-05
8,8,2.25,0.02,140,1,100000.0,68.59,11.21,8.75,,1176.9,1.1769,140.0,0.008435401258589,0.0554334362475399,0.0072634149614206,0.0005611882791455,2.4676880267177783e-05,16226744130000.0,9105616455000.0,6253152156000.0,4532524356000.0,16.80433230347721,19.72110059296096,271908618645567.84,152581169232709.28,104782940514543.9,75950691447634.95,9.244578841616155e-05,5.187583445291246e-05,3.562498900065176e-05,2.5822357476581164e-05,5.908110674599129e-05,3.315328654078616e-05,2.276754640781789e-05,1.6502790280063495e-05
9,9,2.25,0.02,145,1,100000.0,68.59,11.21,8.75,,1096.9,1.0969,145.0,0.0088810404161989,0.0536814890455797,0.0071442135746219,0.0006913122572546,-3.5220700695440016e-05,15123728130000.0,8486660455000.0,5828092956000.0,4224425156000.0,16.554161085760658,18.18008771581332,250661595399319.3,140658429652861.92,96595169255167.98,70015881014648.9,8.927762280953155e-05,5.009802242551008e-05,3.440410196164084e-05,2.493741175605651e-05,5.738640569624575e-05,3.220230724135052e-05,2.2114474945170027e-05,1.60294190527506e-05
