,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,PhotonFlux11,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,FluxPerMilPerBwAbs11,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,AXUVCurrentAmp11,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9,GaAsPCurrentAmp11
0,0,2.25,0.02,500,100000.0,17.15,2.43,0.81,,0.05,319.01,0.3190099999999999,50.0,0.0038100721645122,0.000390403457648,0.0002908447848322,-8.440939151891641e-06,-3.669822524577845e-08,7761918123442.81,4632025200000.0,3355985200000.0,2573453670000.0,2023480430000.0,1613233570000.0,1.3155684906714602,4.195601413126875,102084306596319.06,60920132518602.21,44137726866094.71,33845916599694.49,26612699763463.76,21217156346182.6,0.0001684267459972,0.0001005108427331,7.2821905341116e-05,5.5841664485434e-05,4.3907732469454e-05,3.5005739097908006e-05,9.4181576562377e-05,5.6204075986717006e-05,4.0720859461448e-05,3.1225776927327e-05,2.4552510604938e-05,1.9574656492065e-05
1,1,2.25,0.02,550,100000.0,17.15,2.43,0.81,,0.0549999999999999,272.99,0.2729899999999999,55.0,0.0043707262539646,0.0003881240352161,0.0002842423312225,-6.738713153166695e-06,-3.639927467909604e-07,6566378778387.65,3963814800000.0,2871854800000.0,2202210330000.0,1731575570000.0,1380510430000.0,1.2648473574931347,3.454547876341523,83094142144888.48,50160035164478.92,36341843659112.83,27867837718447.07,21912197179634.29,17469648610659.088,0.0001563048766604,9.4353920833512e-05,6.8361105176895e-05,5.2421010975476e-05,4.1218107427474005e-05,3.2861417193872e-05,8.913402424353401e-05,5.3806028620058e-05,3.8983431204063e-05,2.9893473338702e-05,2.3504933852408e-05,1.8739468783167e-05
2,2,2.25,0.02,600,100000.0,17.15,2.43,0.81,,0.0599999999999999,183.65,0.18365,60.0,0.0047951745619889,0.0003758720900874,0.0002870946822424,-8.72390164647782e-06,9.053310550628088e-07,4361191541439.6064,2666598000000.0,1931998000000.0,1481504550000.0,1164891950000.0,928718050000.0,1.2569920239819314,2.3061916123002257,54765822774313.71,33485902210599.27,24261135761398.367,18604047736425.92,14628173396820.332,11662410983402.24,0.000113531443647,6.941743275652101e-05,5.029417304398e-05,3.8566834025263006e-05,3.032470908915801e-05,2.4176581091576e-05,6.479599357327099e-05,3.961872924605501e-05,2.8704478765048e-05,2.201131465757e-05,1.7307272700255005e-05,1.3798341170612004e-05
3,3,2.25,0.02,650,100000.0,17.15,2.43,0.81,,0.065,246.44,0.24644,65.0,0.0052925759796869,0.0003814995133277,0.0002900596254592,-6.743559861513318e-06,2.240422613979623e-07,5770563188875.154,3578308800000.0,2592548800000.0,1988031480000.0,1563168920000.0,1246247080000.0,1.2365639462455764,3.0456712905414123,71316501520094.78,44223147138661.3,32040461976495.65,24569430300797.57,19318692995904.17,15401959716267.918,0.0001630093040736,0.0001010815769893,7.3235412529502e-05,5.6158752174474994e-05,4.415705529226499e-05,3.520451341841e-05,9.255692318966e-05,5.7394268446616986e-05,4.158317521063501e-05,3.1887022283666e-05,2.5072441098956e-05,1.9989174623588e-05
4,4,2.25,0.02,700,100000.0,17.15,2.43,0.81,,0.07,272.95,0.2729499999999999,70.0,0.0061714275957126,0.0003690363573485,0.0002855662632719,-7.937331569724371e-06,4.710435973511218e-07,6292354476544.321,3963234000000.0,2871434000000.0,2201887650000.0,1731321850000.0,1380308150000.0,1.136044691080662,3.101669883268904,71503229070341.78,45036246705064.48,32629567171988.867,25021170948330.24,19673892069574.656,15685144599690.848,0.0001916690873088,0.0001207226081116,8.7465691276479e-05,6.707088702731401e-05,5.2737155871358e-05,4.2045057108851e-05,0.0001090924524922,6.8711786418299e-05,4.9782919636398e-05,3.8174792082397e-05,3.0016450499398e-05,2.3930819829015e-05
5,5,2.25,0.02,750,100000.0,17.15,2.43,0.81,,0.075,307.22,0.30722,75.0,0.0069951976116374,0.0003758105732378,0.0002946442873607,-7.505051992128097e-06,1.024132744138528e-06,6961624568384.855,4460834400000.0,3231954400000.0,2478343740000.0,1948696460000.0,1553611540000.0,1.0740178709988368,3.301579998087413,74814010901547.28,47938941572229.234,34732621579879.598,26633845844571.164,20941921927868.47,16696090050328.05,0.0002274365254859,0.0001457356205779,0.0001055880666997,8.096757928389498e-05,6.3663983562382e-05,5.0756544990535e-05,0.0001285825159053,8.2392450864676e-05,5.969480599837399e-05,4.5775475284112e-05,3.5992790346736994e-05,2.8695497522217003e-05
6,6,2.25,0.02,800,100000.0,17.15,2.43,0.81,,0.0799999999999999,344.85,0.34485,80.0,0.0075030500427533,0.0003699121254032,0.0002948655691781,-5.766470785543719e-06,5.175476389307962e-07,7667649604545.604,5007222000000.0,3627822000000.0,2781904950000.0,2187383550000.0,1743906450000.0,1.0677662232829634,3.682574917496158,81881090647669.92,53470987802044.21,38740688132059.58,29707331859441.5,23358572701678.133,18622781357778.07,0.0002673991072925,0.0001746202241716,0.0001265154792208,9.701524437968502e-05,7.6282099305856e-05,6.0816423804148e-05,0.0001499447479695,9.7918746883338e-05,7.0943885482968e-05,5.4401551729189e-05,4.2775386465632e-05,3.4102968525412e-05
7,7,2.25,0.02,850,100000.0,17.15,2.43,0.81,,0.0849999999999999,378.71,0.37871,85.0,0.00809908155598,0.0003762490205298,0.0003050864186694,-5.6126868586724485e-06,1.8958428317703958e-07,8251237806132.428,5498869200000.0,3984029200000.0,3055053570000.0,2402157530000.0,1915136470000.0,1.0557589668178815,3.997511201222302,87096764157173.84,58043862641747.83,42053817836858.62,32247922860260.305,25356213549353.06,20215414144581.18,0.000305926435745,0.0002038784355159,0.0001477135772471,0.0001132704779137,8.9063423999844e-05,7.1006422066405e-05,0.0001698764268741,0.0001132106810508,8.202316560981099e-05,6.289742176561999e-05,4.9455602610552e-05,3.9428816396274e-05
8,8,2.25,0.02,900,100000.0,17.15,2.43,0.81,,0.09,404.71,0.40471,90.0,0.0089667105190062,0.0003721641069412,0.0002914593347692,-4.200262286999183e-06,-1.1717916723431602e-06,8620965112943.693,5876389200000.0,4257549200000.0,3264795570000.0,2567075530000.0,2046618470000.0,1.00538256012896,4.067790476249487,86650391101063.56,59064317715142.54,42793155810144.6,32814865771904.613,25801994990850.49,20570816438393.656,0.0003386355372253,0.0002308273131391,0.0001672385216407,0.0001282426952543,0.0001008359261185,8.0392129651844e-05,0.0001854074660721,0.0001263810277563,9.1565317630659e-05,7.021458339605601e-05,5.5209012331866e-05,4.4015761526445e-05
9,9,2.25,0.02,950,100000.0,17.15,2.43,0.81,,0.095,425.41,0.4254099999999999,95.0,0.0098055869148458,0.0003610820753546,0.0002948861634717,-4.560415282660147e-06,5.652372048793141e-07,8843724770451.01,6176953200000.0,4475313200000.0,3431782470000.0,2698375630000.0,2151298370000.0,0.9733810878821664,4.145066621584793,86170584510188.12,60186367345411.2,43606100859072.04,33438252436324.523,26292157580712.35,20961601905354.305,0.0003668463721434,0.0002562260734177,0.0001856403782613,0.0001423537007066,0.0001119312660942,8.9237965101479e-05,0.00019734598368,0.0001378374991352,9.9865736288104e-05,7.657955272206499e-05,6.0213722934928e-05,4.800580117955499e-05
