,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,PhotonFlux11,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,FluxPerMilPerBwAbs11,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,AXUVCurrentAmp11,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9,GaAsPCurrentAmp11
0,0,0.02,500,100000.0,17.15,2.43,0.81,1.132207708766776,,0.05,90.0,0.0012548826963975,500.0,0.0277075589937812,0.0002082985900966,0.0001292196466931,-1.7786217320229837e-06,1.2693306862672323e-06,30532888448.52068,18220896751.691788,13201365966.101765,10123138711.83868,7959720943.24938,6345941795.682188,1.804561708637779,0.002264513262751,55098481348.30918,32880732575.145493,23822679524.14122,18267828490.61285,14363807625.630014,11451643569.732143,6.625366263203926e-07,3.953773152760124e-07,2.8645794467656e-07,2.196631406564457e-07,1.7271889192808177e-07,1.3770131428035777e-07,3.704800186438376e-07,2.2108875089416162e-07,1.6018275891229884e-07,1.2283215932942156e-07,9.658167678523874e-08,7.70004003630699e-08
1,1,0.02,510,100000.0,17.15,2.43,0.81,1.134734428137802,,0.051,122.0,0.0019318210296163,510.0,0.0350859129838454,9.79143442315644e-05,4.521415418849974e-05,3.490878545705109e-06,-2.8255305125237573e-06,46898547122.91911,28050041350.02957,20322757231.564125,15584000245.91519,12253540790.856585,9769218946.76994,1.453574829974693,0.0028080464246661,68170547660.25725,40772834086.15233,29540648387.487778,22652510507.781742,17811438471.65732,14200290769.536663,1.0384315922032889e-06,6.210863851312049e-07,4.499882074091099e-07,3.450622499210352e-07,2.7131893532281217e-07,2.163108711851587e-07,5.823577044079152e-07,3.483083952757974e-07,2.5235566930450335e-07,1.935126601026073e-07,1.5215703520897954e-07,1.213082338092085e-07
2,2,0.02,520,100000.0,17.15,2.43,0.81,1.1371251937425453,,0.052,139.0,0.0026267153956613,520.0,0.0457251989796532,9.68146481302612e-05,9.82732200760062e-05,6.442204482843707e-06,6.042723791484098e-06,63618780560.66996,38139907545.00346,27633045962.35788,21189713096.80048,16661255754.680231,13283299755.859676,1.13722851207578,0.0029871756410545,72349091157.08627,43373790308.112114,31425087743.89389,24097545896.38708,18947655091.209023,15106147216.812874,1.4368560810889033e-06,8.614053524013298e-07,6.241036024285117e-07,4.785783042576809e-07,3.763012500193962e-07,3.000087374031353e-07,8.077488053756568e-07,4.842511045497808e-07,3.508485964093453e-07,2.6903950829222324e-07,2.1154302728369563e-07,1.6865412091654553e-07
3,3,0.02,530,100000.0,17.15,2.43,0.81,1.1396961390385214,,0.053,121.0,0.0024739417211182,530.0,0.0437242786824754,0.0001722469490914,7.2784501898715e-05,-8.441658541834407e-06,-5.660523024558532e-06,59780688016.19135,35921633790.63697,26025866906.16397,19957287864.26092,15692212337.053053,12510723283.694984,1.2121412084321534,0.0029987667074269,72462635412.85175,43542092591.83998,31547025762.131992,24191051028.813576,19021177225.209435,15164763239.45832,1.3764406062269337e-06,8.270897681548019e-07,5.992413471755175e-07,4.595133030099715e-07,3.613106335679e-07,2.880573662230601e-07,7.762526053271164e-07,4.664426379642233e-07,3.3794604348372106e-07,2.591455069185531e-07,2.037634746974565e-07,1.6245181957197505e-07
4,4,0.02,540,100000.0,17.15,2.43,0.81,1.1421032315621116,,0.054,152.0,0.00355609625663,540.0,0.0214133668283693,8.653372558810782e-05,8.919113268774186e-05,1.925507640143366e-06,-1.952554025601209e-06,85736509284.3972,51634517646.26761,37410132619.7476,28687028502.23421,22556318555.804096,17983178769.777912,2.5217893305997285,0.0089677255985551,216209414356.25745,130211375691.02106,94340473296.80035,72342642403.54456,56882283471.635445,45349788351.89349,2.012428410534193e-06,1.2119780842825652e-06,8.780998241496272e-07,6.733489811231029e-07,5.294474510058067e-07,4.22105590373067e-07,1.1386489618322876e-06,6.857474184959979e-07,4.968362839240977e-07,3.8098653064788e-07,2.995658316473909e-07,2.388309018825249e-07
5,5,0.02,550,100000.0,17.15,2.43,0.81,1.1446849391252194,,0.055,143.0,0.0035462612426418,550.0,0.0252701396038901,0.0001671111690434,7.282071204925232e-05,4.428771061503465e-06,-3.655225556710423e-06,85300174241.9218,51491713243.160034,37306668272.59253,28607689444.39201,22493935062.07741,17933443104.039963,2.1764818422899888,0.0077183732026267,185654280381.71503,112070778902.14076,81197286091.63367,62264116625.59019,48957641224.26163,39031813285.68359,2.0304697100145896e-06,1.225699302330499e-06,8.88041092322097e-07,6.809721950344446e-07,5.354415065208233e-07,4.2688439200312213e-07,1.1578905292339177e-06,6.989641888560396e-07,5.064120707138799e-07,3.883294842632005e-07,3.0533952134392964e-07,2.434340153612253e-07
6,6,0.02,560,100000.0,17.15,2.43,0.81,1.1470719240942415,,0.056,121.0,0.0033471693469667,560.0,0.0396875351333392,0.000117349125924,0.0001088123572825,1.071048749915798e-05,-1.222712024810743e-06,80319931077.53926,48600898917.95709,35212221530.090126,27001615121.980705,21231095167.810043,16926635387.610811,1.411022372940405,0.0047229308345903,113333219743.43922,68576955718.25258,49685232379.89099,38099883042.64074,29957550283.80689,23883861230.523643,1.948052342039884e-06,1.178749703743777e-06,8.540252674507254e-07,6.548880068940115e-07,5.149317748517063e-07,4.1053286858349033e-07,1.1135239636265986e-06,6.737837654105374e-07,4.881684030384885e-07,3.743397820638295e-07,2.9433956088147645e-07,2.3466422187886283e-07
7,7,0.02,570,100000.0,17.15,2.43,0.81,1.1496258456588988,,0.057,125.0,0.0036343778163044,570.0,0.0219388058960703,0.0001766566106283,6.902352058056537e-05,-2.046613686480628e-05,-3.6491858379877615e-06,86997913566.26721,52771165892.74116,38233654627.52321,29318525844.1283,23052858488.819363,18379048617.051792,2.59813593638703,0.0094426076109485,226032405627.2116,137106662510.97237,99336232067.17831,76173515597.52164,59894460076.24639,47751266688.56661,2.1484118041859005e-06,1.3031829279245785e-06,9.441793665128488e-07,7.240204324771056e-07,5.692898975086501e-07,4.538702525147792e-07,1.230776278641236e-06,7.465638716445144e-07,5.408988932300477e-07,4.14774845217376e-07,3.261332395207407e-07,2.600119489604897e-07
8,8,0.02,580,100000.0,17.15,2.43,0.81,1.1519513659104534,,0.0579999999999999,110.0,0.0035343188112706,580.0,0.0459455850134418,0.0002112779095191,0.0001017217381332,-8.084824657354276e-07,-6.024839703266814e-06,84392249864.07518,51318309139.650536,37181033894.56774,28511349850.52072,22418184219.89004,17873050228.59592,1.262362857781255,0.0044615927949057,106533641713.00365,64782327382.031136,46935956202.40823,35991669076.504486,28299883098.087017,22562274763.838257,2.121490182202993e-06,1.2900626441690826e-06,9.346734859957815e-07,7.167310847460048e-07,5.635583575733122e-07,4.493007432205959e-07,1.21481883810153e-06,7.387224393564113e-07,5.352176351259949e-07,4.104183139316921e-07,3.227077433083827e-07,2.572809487483039e-07
9,9,0.02,590,100000.0,17.15,2.43,0.81,1.1544339730283155,,0.059,115.0,0.0038819102617378,590.0,0.0467515857271791,0.0002164436445763,0.0001042145431281,-6.517325552793135e-06,-3.8929208664896525e-06,92442416259.30598,56365337000.43327,40837695953.48195,31315370081.43906,24622956790.203045,19630820193.6082,1.2619892797711063,0.0048989291353465,116661338315.38235,71132451045.23247,51536734503.84612,39519661334.840935,31073907505.50341,24773884637.447697,2.364974017495248e-06,1.4420064174812054e-06,1.044759470516686e-06,8.011477802906946e-07,6.299343461489866e-07,5.022194526998937e-07,1.3521832897581957e-06,8.2447289780683e-07,5.973453777498518e-07,4.580594260749102e-07,3.601674649303528e-07,2.871459672320343e-07
