,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,PhotonFlux11,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,FluxPerMilPerBwAbs11,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,AXUVCurrentAmp11,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9,GaAsPCurrentAmp11
0,0,0.02,500,100000.0,17.15,2.43,0.81,1.132207708766776,,0.0004999999999999,1.178,1.19743695518459e-05,5.0,0.0003155193098788,1.8431069021497e-06,1.2652509379152644e-06,-2.6904980477886253e-08,2.6244067164918656e-08,291351606.6621062,173867845.89281005,125970367.68542436,96597239.17474511,75953426.06736188,60554386.823687375,0.0161020296948127,1.92881841531403e-05,469305997.1366578,280064433.90360296,202911697.29104012,155597781.56338602,122344952.08337145,97540347.26243252,6.322071718710591e-09,3.772778203989327e-09,2.733445365424774e-09,2.0960745021750623e-09,1.6481220487537396e-09,1.313976541155236e-09,3.535202666792529e-09,2.109677991865622e-09,1.5284994817098026e-09,1.172091760356747e-09,9.216038224795891e-10,7.347549314644936e-10
1,1,0.02,550,100000.0,17.15,2.43,0.81,1.1446849391252194,,0.00055,1.93,3.4391294344725e-05,5.5,0.0003584517147095,1.4186917336438092e-06,1.0370766558972325e-06,3.52038652781045e-09,-7.163750933580071e-10,827232738.7321478,499361593.8854149,361796416.5065127,277434571.47890097,218143980.0285941,173916775.5012771,0.0168921936624982,5.76637862283812e-05,1387018799.8517432,837278176.0361013,606623031.122575,465173763.5043548,365761396.0466248,291605766.95692605,1.9691296460477152e-08,1.1886711835468084e-08,8.612135572253735e-09,6.6040016788375374e-09,5.192659309392152e-09,4.139883040768741e-09,1.122910899259858e-08,6.778486273465422e-09,4.911134682979081e-09,3.765981320113333e-09,2.961152784613717e-09,2.360799248272359e-09
2,2,0.02,600,100000.0,17.15,2.43,0.81,1.1570811972818376,,0.0006,1.791,4.39184751144765e-05,6.0,0.0003898164299742,1.7203992419337e-06,1.0186969051572728e-06,-1.9081241978350536e-09,5.809147704621223e-09,1042945179.3203564,637696258.6622076,462022358.2042992,354290338.7484868,278574887.6511283,222095728.65391076,0.0169510406387669,7.46791625970065e-05,1773428435.8282611,1084341440.9085422,785624790.5205142,602436804.6700557,473689928.35281575,377652525.25306463,2.7150165437090343e-08,1.6600641399555644e-08,1.2027461950642244e-08,9.2229596535961e-09,7.251919311114425e-09,5.7816421182887675e-09,1.549546001233694e-08,9.474512248626918e-09,6.8644537779307975e-09,5.2638354207764e-09,4.138900219906374e-09,3.29976642157757e-09
3,3,0.02,650,100000.0,17.15,2.43,0.81,1.1690582049414966,,0.0006499999999999,2.129,5.95292673865578e-05,6.5,0.0004281969350711,1.196362290011639e-06,1.043318998874336e-06,5.572705136210671e-09,-6.662918115400724e-09,1393919002.7657032,864364962.4528271,626247892.9065936,480222600.00736606,377594143.0329396,301039505.1738255,0.0161898224395526,9.68568282589948e-05,2267969679.202084,1406361146.3206124,1018933833.2846313,781344033.5653155,614362861.6468074,489804980.5057395,3.937601220862881e-08,2.4416946211884252e-08,1.7690514748555256e-08,1.3565530653668752e-08,1.0666438692973953e-08,8.503890977513684e-09,2.2357757787026016e-08,1.3863978058817269e-08,1.0044700356663748e-08,7.702528305818105e-09,6.056419616189941e-09,4.828521834947584e-09
4,4,0.02,700,100000.0,17.15,2.43,0.81,1.1816434119664396,,0.0007,2.38,6.260139641801931e-05,7.0,0.0004451790318047,1.4931363196002e-06,9.497059888230708e-07,1.3809160532819312e-08,5.530296543635892e-09,1443158735.991396,908972275.9896454,658566690.3175666,505005464.9041646,397080657.4794987,316575261.68592536,0.0172119258874337,0.0001083064398654,2496803486.8147283,1572609506.846651,1139383747.3847637,873708050.3947613,686987748.0666878,547705666.399691,4.395952561165736e-08,2.768786901269295e-08,2.0060356887984148e-08,1.5382785077506473e-08,1.209532735175698e-08,9.643082203663102e-09,2.5020479445611952e-08,1.5759127240016665e-08,1.141776987362089e-08,8.75543246867868e-09,6.8843074437621005e-09,5.488561050465859e-09
5,5,0.02,750,100000.0,17.15,2.43,0.81,1.1948713752184863,,0.0007499999999999,2.782,4.966915359277359e-05,7.5,0.0004402286390276,1.5499127921908708e-06,9.849833952081324e-07,1.082855842784614e-08,-1.0048997851730021e-08,1125506151.7555444,721196110.1670827,522519495.7959856,400681062.03291017,315051441.23896736,251176909.71865955,0.023928114552932,0.0001189005287191,2694293476.743737,1726435677.0021148,1250833562.1254992,959170565.1774148,754186053.6655933,601279973.7327615,3.677032653137322e-08,2.3561502904836712e-08,1.707073075474395e-08,1.3090264733699572e-08,1.0292741937009593e-08,8.20595869075477e-09,2.0788310435019932e-08,1.3320627878663474e-08,9.651033421731389e-09,7.400654621017784e-09,5.819059410080056e-09,4.63928479217639e-09
6,6,0.02,800,100000.0,17.15,2.43,0.81,1.2081915211478749,,0.0007999999999999,2.976,1.23812377281291e-05,8.0,0.0004028001161036,1.6627414314999998e-06,1.04493453634514e-06,-1.3395063425269298e-08,-4.296744520969121e-09,275293584.3696648,179775571.81244344,130250620.8999246,99879444.7528224,78534190.90952678,62611919.19115196,0.0222592389208027,2.7644904818158e-05,614677232.1202042,401404017.9596587,290824398.6870254,223011447.1680831,175351631.26157817,139800283.66542658,9.600498523065644e-09,6.2694345588201435e-09,4.542317600467486e-09,3.4831631257577197e-09,2.7387757167077247e-09,2.183507614597346e-09,5.383504627216662e-09,3.5156018071718523e-09,2.547116460843519e-09,1.953192822207668e-09,1.5357756379401555e-09,1.2244075990955963e-09
7,7,0.02,850,100000.0,17.15,2.43,0.81,1.225131389594826,,0.0008499999999999,3.2269999999999994,2.257668280702549e-05,8.5,0.0005354864866349,1.366300789152978e-06,8.883985960478701e-07,1.453618573205111e-09,1.5531799861070783e-08,491895061.4306237,327813434.35801506,237506703.1299117,182126100.20427737,143203899.04496482,114170284.9551296,0.016090890116634,3.63436400632418e-05,791846048.1695595,527709653.71827793,382335093.4653089,293184144.39017546,230527708.92114577,183789787.7998162,1.823771250323771e-08,1.2154151645947512e-08,8.805900503813211e-09,6.75258549089935e-09,5.3094892486394684e-09,4.2330265064432886e-09,1.0127132122017287e-08,6.749020718891851e-09,4.8897863610704055e-09,3.749610891136402e-09,2.948280882915359e-09,2.350537036875764e-09
8,8,0.02,900,100000.0,17.15,2.43,0.81,1.2339391645767503,,0.0008999999999999,3.632,2.9766298057127196e-05,9.0,0.0004841956504981,1.4841208436559004e-06,9.510574209599092e-07,-3.5499318424577615e-08,-7.276680135255274e-09,634069375.829559,432206647.78949296,313141455.5609826,240124726.4268485,188807628.5763605,150528169.27489436,0.0198266802330985,5.90130922357466e-05,1257072494.8019636,856870099.2630453,620817730.3200576,476058615.0657705,374320044.0513428,298429207.43617225,2.4906541310534043e-08,1.6977279045802817e-08,1.2300342669548596e-08,9.432211436810698e-09,7.416451858645127e-09,5.912816813679395e-09,1.3636663035558094e-08,9.29528635557027e-09,6.734601409132178e-09,5.164261365729018e-09,4.060606153814203e-09,3.237345943534356e-09
9,9,0.02,950,100000.0,17.15,2.43,0.81,1.2438372185643578,,0.0009499999999999,3.949,4.84892436782391e-05,9.5,0.0006650414462582,1.5201270669220002e-06,9.221789912243284e-07,-7.673846807862275e-09,1.1416734329357472e-08,1008028784.9784482,704063818.2080376,510106843.4950795,391162728.752358,307567272.6510731,245210105.28085715,0.0146613314590664,7.11464379874496e-05,1479042608.2108283,1033046279.5777746,748460527.6279744,573938315.2447596,451281856.1543956,359787536.90253484,4.1814022075979617e-08,2.9205257306296863e-08,2.1159731877564944e-08,1.6225813408395098e-08,1.2758191948611637e-08,1.0171555523274329e-08,2.2493964626091998e-08,1.5711046011073443e-08,1.138293416229288e-08,8.728719571028197e-09,6.8633033642037754e-09,5.471815404820826e-09
10,10,0.02,1000,100000.0,17.15,2.43,0.81,1.2548110036432727,,0.0009999999999999,2.9560000000000004,6.419287268499111e-05,10.0,0.0007327529387454,1.52977039754e-06,9.284669781484336e-07,1.7369264627633983e-08,-4.269606599404696e-09,1299720992.8996484,932080511.3860788,675309020.6461122,517843903.9498278,407175391.44090205,324623357.1680028,0.0142553920614845,9.068315628012712e-05,1836073024.7742577,1316719429.1874528,953986804.0669425,731541021.7117894,575203260.2848494,458584721.3086054,5.677000545110273e-08,4.0711980495293756e-08,2.9496558871245888e-08,2.2618701560298537e-08,1.7784854840333906e-08,1.4179096788202514e-08,2.9913232839344084e-08,2.14519435435936e-08,1.5542317223044398e-08,1.1918238881967598e-08,9.371189937810892e-09,7.471245075754325e-09
11,11,0.02,1050,100000.0,17.15,2.43,0.81,1.265621692098661,,0.00105,4.536,9.305135370581269e-05,10.5,0.0006369571304148,1.438379003500135e-06,9.644179162297825e-07,-2.6249232665687386e-08,-4.166393755784658e-09,1831024953.3352764,1351105655.8084085,978900240.9851552,750645270.3447955,590224736.5559735,470560695.6902976,0.017326349651854,0.0001617833842842,3183504611.830848,2349094739.807849,1701961202.6707006,1305106561.0213444,1026192006.5152334,818138574.32564,8.40093381653846e-08,6.199013930925304e-08,4.491296594582245e-08,3.444038938069863e-08,2.7080127661060053e-08,2.158981642471712e-08,4.3299744445961816e-08,3.1950700349240634e-08,2.3148854523003545e-08,1.7751122570063646e-08,1.3957527018955466e-08,1.1127733585820242e-08
12,12,0.02,1100,100000.0,17.15,2.43,0.81,1.2772359716415136,,0.0011,4.792,0.0001242166388669,11.0,0.0007686051485147,1.4331456028616997e-06,9.986783703743034e-07,1.4011863316166216e-08,7.039661575302121e-09,2369931868.9377985,1803625596.3483572,1306759040.8804903,1002055625.7398208,787906140.3331702,628163542.750251,0.0146191647881362,0.0001829837933522,3491151646.994722,2656924679.474264,1924989506.065376,1476130260.9723752,1160666201.2331443,925349042.9821868,1.1394204269425357e-07,8.671506020790459e-08,6.282661386963886e-08,4.817702415269741e-08,3.788110378090488e-08,3.020096828315245e-08,5.735570194840256e-08,4.3650289481541744e-08,3.162541634613081e-08,2.425116289584004e-08,1.9068442574477922e-08,1.5202445861443296e-08
13,13,0.02,1150,100000.0,17.15,2.43,0.81,1.2881404145939348,,0.00115,5.097,0.0001680810721575,11.5,0.0007209596359004,1.5106422565794103e-06,1.0868100913740826e-06,-2.4042715418175144e-08,4.054416867328697e-09,3099719516.8563824,2440537167.727986,1768212879.0976875,1355910009.095156,1066138240.6954968,849985981.9008558,0.0164793630787706,0.000276512874399,5099398417.885129,4014966936.274115,2908915438.677941,2230629357.777086,1753921162.313134,1398325605.8359635,1.558486459359646e-07,1.2270607417168565e-07,8.890274795359044e-08,6.817285815034353e-08,5.36036245503445e-08,4.273585517122687e-08,9.935635351164763e-08,7.822735969382608e-08,5.667712286357097e-08,4.346144012741701e-08,3.4173288053577054e-08,2.7244886912650032e-08
