,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,0.02,500,100000.0,17.15,2.43,0.81,1.17577026432641,,309.0,0.0043084305909647,500.0,0.0272131318072297,0.000408730623387,0.0003557966453321,4.9280344426927504e-06,-5.996663034938479e-06,139162308088.16208,75397535341.88348,49977794855.19134,18.373482462138544,0.0791608739024324,2556896227048.567,1385315293292.5671,918266137268.216,3.0196987837276525e-06,1.636059712545942e-06,1.0844738666018815e-06,1.6885678727038246e-06,9.148587545608956e-07,6.064206601660795e-07
1,1,0.02,510,100000.0,17.15,2.43,0.81,1.17662360156545,,291.0,0.0046078681935931,510.0,0.0345307247762889,0.0004401451459127,0.0001717179802139,-7.22184784337498e-06,2.621615632852142e-05,148834142653.05792,80637693387.87967,53451271045.68024,14.769455414101229,0.0680557038393288,2198199234010.3208,1190974817188.2542,789446164536.2141,3.2954981595559173e-06,1.7854866189544442e-06,1.1835225588498028e-06,1.8481320844712788e-06,1.0013099528869156e-06,6.637254544850412e-07
2,2,0.02,520,100000.0,17.15,2.43,0.81,1.17747901516844,,311.0,0.005877039482379,520.0,0.0314705896068971,0.0003203247484956,0.0003345829158853,-7.686708086855435e-06,3.166273722801246e-06,189828375280.8448,102848190941.63414,68173657995.59749,16.52336376583282,0.0971084612335115,3136603297842.4243,1699398071586.453,1126458150308.7344,4.287351203240917e-06,2.322868298969537e-06,1.5397298438883787e-06,2.4101946313365405e-06,1.3058330045941008e-06,8.65580734473804e-07
3,3,0.02,530,100000.0,17.15,2.43,0.81,1.17837189466193,,307.0,0.006276860399862,530.0,0.0432484165283995,0.0003984386163082,0.0004539259322341,-1.7536424822417895e-05,7.833231592611291e-09,202742590915.5427,109845056997.58504,72811580638.39923,12.254783933001807,0.0769215679779241,2484566645686.9507,1346127439613.673,892290188543.9204,4.668115138993142e-06,2.529164548990092e-06,1.676474786759147e-06,2.6326138027440264e-06,1.4263387476167328e-06,9.454588269916628e-07
4,4,0.02,540,100000.0,17.15,2.43,0.81,1.1791362468331,,337.0,0.0078842397268704,540.0,0.0345375833279604,0.0002958543410779,0.0005026584981833,1.1202969351170329e-05,4.414519875251979e-06,254660943177.91595,137974195220.2331,91457180831.69736,15.635141430490156,0.1232712032015087,3981659863408.733,2157246056026.404,1429945957137.502,5.977464225942508e-06,3.238564209101978e-06,2.14670541860474e-06,3.3820996561325524e-06,1.8324069344371408e-06,1.2146240251126194e-06
5,5,0.02,550,100000.0,17.15,2.43,0.81,1.18000708146274,,356.0,0.0088284545621014,550.0,0.028341361989419,0.0004955549724441,0.0004199952611168,-2.0234435025808328e-05,3.626741957539684e-06,285159082355.8769,154497954836.7754,102410072920.37685,19.40626566236784,0.171327334620284,5533872908235.176,2998228355854.971,1987397081595.2952,6.7878745196584125e-06,3.6776409936229776e-06,2.437750601487232e-06,3.870836181980884e-06,2.097202265779116e-06,1.3901455018878712e-06
6,6,0.02,560,100000.0,17.15,2.43,0.81,1.18089388467086,,309.0,0.0085477299852291,560.0,0.0440525643616638,0.0003139746090159,0.000442211645711,1.5824679278282929e-06,-1.137058549763257e-06,276091678522.9005,149585274741.50955,99153667828.65776,12.712086302229723,0.1086594812603893,3509701244710.576,1901540922056.8137,1260449982620.5166,6.69623384568194e-06,3.6279904736666855e-06,2.4048393996876312e-06,3.827626543856835e-06,2.073791471129864e-06,1.3746274894346526e-06
7,7,0.02,570,100000.0,17.15,2.43,0.81,1.18169303123046,,284.0,0.0082573063986437,570.0,0.0479911257551748,0.0003346992584263,0.0004291524603022,-1.342998755061986e-05,6.902411258881562e-06,266710996676.1946,144502861976.26642,95784754224.26804,11.877195857164018,0.098073645349306,3167778744782.585,1716288793612.8552,1137654286051.95,6.586422939084156e-06,3.568495400432592e-06,2.365402665429604e-06,3.7732119599831736e-06,2.0443098854398e-06,1.3550854097772388e-06
8,8,0.02,580,100000.0,17.15,2.43,0.81,1.18256256858225,,239.0,0.0076791108717608,580.0,0.0409331240152823,0.0004470416553573,0.000293107726169,2.664636041523204e-05,6.973241190144003e-06,248035281157.87646,134384440255.81544,89077686112.42622,14.16945356487956,0.1088088049169776,3514524398818.377,1904154086047.108,1262182137036.9402,6.2352220098873455e-06,3.3782162592268904e-06,2.2392747775446813e-06,3.5704455391307843e-06,1.934451917485719e-06,1.2822652710191054e-06
9,9,0.02,590,100000.0,17.15,2.43,0.81,1.18333929872482,,280.0,0.0094516075937964,590.0,0.0455765903050178,0.0003286523389728,0.0002982433586491,4.956641368023899e-06,8.916050477268497e-06,305286925279.62537,165403132891.4379,109638648088.03883,12.945242196738947,0.122353349450232,3952013187242.497,2141183615379.062,1419298853622.6926,7.810220409450246e-06,4.231543565491619e-06,2.804908877697302e-06,4.46552454651154e-06,2.4194018440852e-06,1.603717793793618e-06
