,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,0.02,500,100000.0,17.15,2.43,0.81,1.132207708766776,,0.000125,0.21675,3.022175827157187e-06,1.25,7.547300102750412e-05,4.6951714744413766e-07,3.3226522811007495e-07,7.113651491550133e-09,5.6926653771080985e-09,64976780.28388254,45993901.833823375,38079415.42218231,0.0041779970824004,5.041270841261163e-06,108387323.08711806,76722113.28908168,63520012.5998924,1.40993856087437e-09,9.980269178813663e-10,8.26289575210096e-10,7.88415377456883e-10,5.580808916138852e-10,4.6204808167240576e-10
1,1,0.02,510,100000.0,17.15,2.43,0.81,1.134734428137802,,0.0001275,0.2951249999999999,4.673185912832061e-06,1.275,7.193236347734432e-05,3.543409345220716e-07,2.417465006312027e-07,-6.811317629805661e-10,-2.6573972854887493e-09,99742920.97037372,71032425.87504949,58882142.50168576,0.0052647678352378,9.7011516169222e-06,207058143.43728185,147457504.57721907,122234510.37322108,2.2085161820216564e-09,1.5728059742695615e-09,1.3037733734076626e-09,1.2385470776953032e-09,8.82037568513582e-10,7.311627212678377e-10
2,2,0.02,520,100000.0,17.15,2.43,0.81,1.1371251937425453,,0.00013,0.3364999999999999,6.358918925467912e-06,1.3,8.773338910292224e-05,3.337126880972581e-07,2.3637750703155599e-07,-5.65179204495794e-09,-3.4981385116427e-09,135233354.8435448,96655567.66711444,80122378.46089749,0.0039626087760608,9.949332767230017e-06,211589684.40037277,151229858.06189835,125361592.86709993,3.054300421362157e-09,2.1830053790664928e-09,1.809596564226172e-09,1.7170178343428674e-09,1.227207101864567e-09,1.0172900975982595e-09
3,3,0.02,530,100000.0,17.15,2.43,0.81,1.1396961390385214,,0.0001325,0.340875,6.969461852778288e-06,1.325,7.848277497494382e-05,3.801934816328558e-07,2.3455237063842746e-07,9.559745833539455e-10,-1.5733064209484767e-09,147055645.0936236,105530603.8426511,87815219.34500748,0.0108172457582828,3.1601531445265485e-05,666792313.4951046,478505911.3914141,398179296.2103468,3.3859322801192463e-09,2.4298249677108246e-09,2.021931124620972e-09,1.9095184652452888e-09,1.370315546592814e-09,1.1402811688194612e-09
4,4,0.02,540,100000.0,17.15,2.43,0.81,1.1421032315621116,,0.000135,0.3436249999999999,8.039234053845185e-06,1.35,8.540453971522754e-05,3.015671989062996e-07,2.5765397564826306e-07,4.4176783530251276e-10,-9.841451970766938e-11,168927052.62289155,121254773.40560326,101294349.07845064,0.0044865640126768,1.4385924569959617e-05,302288976.85795623,216981121.8677245,181262649.5814924,3.965097282867548e-09,2.846121832472709e-09,2.3776058485873004e-09,2.243485473106942e-09,1.610359728986838e-09,1.3452694351605135e-09
5,5,0.02,550,100000.0,17.15,2.43,0.81,1.1446849391252194,,0.0001375,0.3496249999999999,8.670360747962564e-06,1.375,7.61742975368803e-05,3.979201435722506e-07,2.357163159109845e-07,1.444225219186269e-09,-1.7976677196276927e-09,180654626.74587184,130262584.69581494,109246545.42433,0.0052988964817174,1.828010610032854e-05,380882161.7031089,274638384.5334315,230329336.86414152,4.300269616579627e-09,3.1007466857327167e-09,2.600484739676158e-09,2.452260891965802e-09,1.7682239746081095e-09,1.482945860574655e-09
6,6,0.02,560,100000.0,17.15,2.43,0.81,1.1470719240942415,,0.00014,0.341625,9.450220893863586e-06,1.4,8.612117205038204e-05,3.2868210725687653e-07,2.1571096688137638e-07,2.5662708644309052e-09,-3.9718097644027965e-09,196176544.9024508,141753313.40795618,119072783.26268324,0.0044764789281994,1.6875113782391593e-05,350309432.3239492,253126706.7358756,212626433.65813556,4.7579993237491694e-09,3.438036742209103e-09,2.887950863455646e-09,2.719714533114622e-09,1.965212236684438e-09,1.6507782788149279e-09
7,7,0.02,570,100000.0,17.15,2.43,0.81,1.1496258456588988,,0.0001425,0.303875,8.835172471436051e-06,1.425,9.295776134892704e-05,3.189039969935835e-07,2.3173986972826377e-07,1.1559454304173995e-09,-5.143074726183086e-09,181845450.5568504,132527587.07154314,111323173.14009625,0.0041301904087912,1.4704746249406789e-05,302652972.0492126,220571193.7411036,185279802.74252707,4.4906699080347115e-09,3.2727662167196806e-09,2.74912362204453e-09,2.5726026952786624e-09,1.8748933594708828e-09,1.574910421955541e-09
8,8,0.02,580,100000.0,17.15,2.43,0.81,1.1519513659104534,,0.0001449999999999,0.25875,8.313681749238924e-06,1.45,8.925184700898456e-05,4.336405173272578e-07,3.015067611729787e-07,-1.6579605065929261e-09,-7.508466395089904e-10,170430475.8594001,124264174.3178018,104752390.0404118,0.0042117650975446,1.4019411358606364e-05,287397932.8514331,209547421.8818043,176644583.11844173,4.28435764973978e-09,3.123808480510721e-09,2.6333125066693292e-09,2.453331354408442e-09,1.788771600538395e-09,1.507901222709579e-09
9,9,0.02,590,100000.0,17.15,2.43,0.81,1.1544339730283155,,0.0001474999999999,0.307625,1.0384109950148576e-05,1.475,9.393771319858062e-05,3.797741780245288e-07,2.5922699061436974e-07,-3.0971583498723515e-10,1.487316441509957e-09,211089229.65446615,154723238.25721553,130631482.77061208,0.0042468799946878,1.7782535273291264e-05,361485162.44174576,264959775.5720416,223703231.31425455,5.400340706213899e-09,3.9583175471595835e-09,3.341973037061061e-09,3.087666252535512e-09,2.2631837826677492e-09,1.910786360487149e-09
