sep=	
DetectorAtFocus_RN	DetectorAtFocus_RS	DetectorAtFocus_RO	DetectorAtFocus_OX	DetectorAtFocus_OY	DetectorAtFocus_OZ	DetectorAtFocus_DX	DetectorAtFocus_DY	DetectorAtFocus_DZ	DetectorAtFocus_EN	DetectorAtFocus_PL	DetectorAtFocus_S0	DetectorAtFocus_S1	DetectorAtFocus_S2	DetectorAtFocus_S3
706	2	1	4.52764413070295e-05	4.42677914097578e-05	0	-0.000240581806971689	0.00215857336679164	0.999997641337925	999.994670985138	1000.06420209068	1	1	-3.65072e-21	2.09912e-18
732	2	1	2.67668694320378e-06	-6.43991061185512e-05	0	0.00150577663079333	-0.00117511354433984	0.999998175870784	1000.02437410383	999.505781573117	1	1	-2.97981e-21	2.14458e-18
901	2	1	6.83559449618509e-06	-4.6419299549405e-05	0	0.000277922723552411	-0.000494452334329541	0.999999839137911	999.986636034476	1000.21648078004	1	1	-2.8183e-21	2.1117e-18
1652	2	1	3.56042340241003e-05	4.61595706028467e-06	0	-0.000724120093064958	-5.55875872465233e-05	0.999999736280021	999.970148476025	999.822796912498	1	1	-2.6686e-21	2.08842e-18
1810	2	1	2.08501920675452e-05	6.59225624730642e-05	0	0.00117460709919204	-0.00169323998110483	0.99999787661601	1000.02384723606	1000.30288095031	1	1	-2.56984e-21	2.13529e-18
2921	2	1	-5.98794422723148e-05	4.68247220831858e-05	0	-0.000437525776508447	0.000155002034837752	0.999999892272776	999.9879096214	1000.26408008767	1	1	-2.85016e-21	2.09471e-18
3963	2	1	0.000179395276847794	6.18160338650142e-05	0	0.000525510440556591	-0.000828805273768387	0.999999518460182	1000.04127645979	999.73181145269	1	1	-2.75337e-21	2.11757e-18
4026	2	1	2.36069011855244e-05	1.17627966415013e-05	0	-0.00121061077589297	0.00104547793314955	0.999998720697902	999.988033419897	999.554974965323	1	1	-2.95057e-21	2.07797e-18
4518	2	1	7.02056671536555e-05	2.74548973145938e-05	0	-0.00156127820325737	0.0016312958025444	0.999997450638939	1000.01607768363	999.876333273862	1	1	-3.05297e-21	2.07089e-18
4749	2	1	-0.000109852037391278	3.3339751920991e-05	0	-0.000393575075181794	0.00105811501785293	0.999999362745431	999.989595158445	999.699719651842	1	1	-3.21809e-21	2.09578e-18
4807	2	1	3.97164579476472e-05	-5.22059595725599e-05	0	-0.000898399711916642	0.00160141461936348	0.999998314173166	1000.02039677342	1000.25064618393	1	1	-3.24662e-21	2.08489e-18
6135	2	1	4.87043752136485e-05	4.09790994178039e-05	0	0.00165796302765506	0.0019975539072956	0.999996630462816	1000.0029593535	999.578035805944	1	1	-4.36064e-21	2.14901e-18
6139	2	1	-9.59037826391285e-05	-3.97987935112643e-05	0	0.00166263305496675	-0.00019723582523499	0.999998598373694	999.988741938253	999.78171445722	1	1	-3.51217e-21	2.14913e-18
6210	2	1	7.77771846207087e-05	5.11716665209105e-05	0	-0.000400330576836899	-0.00123150315653637	0.999999161567351	1000.02233713418	999.655457197504	1	1	-2.23297e-21	2.09562e-18
6757	2	1	7.87008262559397e-06	3.23707251950189e-05	0	-0.00193947045564795	0.000303288582320682	0.999998073233337	1000.02604988093	1000.40566660176	1	1	-2.45599e-21	2.06359e-18
6804	2	1	-2.3620276931563e-05	-3.14145761408646e-05	0	-2.97521808434653e-05	0.00128622767644556	0.999999172366243	999.991801239908	999.737442251808	1	1	-3.42795e-21	2.10424e-18
8282	2	1	0.000192155058610116	6.64908239045303e-05	0	-0.000219101365125749	-0.000399987619887333	0.999999896002242	1000.01072301047	999.923869017957	1	1	-2.6848e-21	2.09955e-18
8310	2	1	-0.000106202379872855	1.93269712689403e-06	0	-0.000698692075878018	0.000986564383835074	0.999999269259783	1000.01063800508	1000.30468905829	1	1	-3.09026e-21	2.08894e-18
8739	2	1	1.97413202018271e-05	2.10469676881209e-05	0	-0.000370775262272377	0.000730329364780694	0.999999664572305	999.986772295827	999.706770480723	1	1	-3.10229e-21	2.09625e-18
9142	2	1	-2.75387572201691e-05	-5.11563177030272e-05	0	-0.00192575416448068	0.00199826220357752	0.999996149202117	1000.013198882	1000.29895678616	1	1	-3.07007e-21	2.06372e-18
9456	2	1	-0.000111986570536016	6.93120024819471e-07	0	-0.00112392494938869	0.00211580487155873	0.999997130077108	1000.00773297541	999.967634509621	1	1	-3.34612e-21	2.07995e-18
9656	2	1	-6.1568039406712e-05	-6.02149865567281e-05	0	0.0010612657586325	0.00202180626032647	0.999997393003819	1000.0178998172	1000.4241897607	1	1	-4.10674e-21	2.13214e-18
9657	2	1	-4.9388562414765e-05	-3.62848747947897e-06	0	0.000537843579855212	-0.000468159881334388	0.999999745775273	1000.0039599279	999.938468619063	1	1	-2.92647e-21	2.11805e-18
10348	2	1	-3.97625092949383e-05	-0.000122203384102015	0	-0.00262031620206316	0.000544856086913691	0.99999641853101	999.993980953952	1000.47216198218	1	1	-2.37008e-21	2.05091e-18
10493	2	1	1.23982315135551e-05	-4.9740189718428e-05	0	-0.00163022729218761	0.000357300900727013	0.999998607346551	999.993642857915	999.645345025464	1	1	-2.56345e-21	2.06941e-18
11643	2	1	2.01863742342011e-05	8.35443130624558e-05	0	-7.26870445859421e-06	-0.000619032462366905	0.99999980837297	1000.02221435702	1000.32684546325	1	1	-2.66032e-21	2.1049e-18
13559	2	1	-6.485646918164e-05	0.000100169148892881	0	0.000342246924055904	0.00178924109177743	0.999998340740302	1000.01142322095	999.623547713317	1	1	-3.74054e-21	2.11318e-18
13954	2	1	3.14867992678991e-06	1.79370099213649e-05	0	0.00126201586547033	-0.00169161170702829	0.999997772880414	999.998020386476	1000.21187513905	1	1	-2.60723e-21	2.13786e-18
14019	2	1	4.05315624378011e-05	8.90935298616391e-05	0	-0.000287392085684165	-0.000899702819293011	0.999999553970213	1000.0322228876	999.825608788225	1	1	-2.43178e-21	2.09807e-18
14338	2	1	7.29800133266734e-05	-3.34231855119438e-05	0	-0.000949311561956759	0.000407737347476442	0.999999466278765	1000.02616009196	999.788335641978	1	1	-2.78857e-21	2.08368e-18
14389	2	1	-9.40907038575745e-05	8.8345693434938e-05	0	-0.000379601584772524	-0.00020705584540935	0.999999906515253	999.994193394075	999.921010954734	1	1	-2.71531e-21	2.09587e-18
15370	2	1	-5.10368923979654e-06	5.34718393460087e-05	0	-5.50965253764023e-05	0.00162314149482344	0.999998681187161	1000.00412868034	1000.11175317172	1	1	-3.53819e-21	2.10372e-18
15863	2	1	-7.13102556093581e-05	-1.73334018899185e-05	0	0.000303883828996629	0.00121842329540916	0.999999211549334	999.996012981123	999.701951681887	1	1	-3.52458e-21	2.11214e-18
16330	2	1	1.15241463612969e-05	2.55679713908608e-05	0	-0.000742784829844712	-0.000157415596429233	0.999999711745471	999.993375773215	1000.31035807154	1	1	-2.62012e-21	2.08816e-18
16497	2	1	-9.98772617780141e-05	3.14153073401879e-05	0	0.000718886034451177	-0.000891900009144162	0.999999343858406	1000.01124931275	999.955753084656	1	1	-2.7995e-21	2.12319e-18
16614	2	1	0.000123674055859113	5.58663300861961e-05	0	-0.000310598797858024	-0.000114346919221124	0.999999945226583	999.981111227415	1000.47429814587	1	1	-2.77976e-21	2.09771e-18
17039	2	1	5.91080109052511e-05	-3.61589964512632e-05	0	-0.000399335282166962	-0.00102151872851882	0.999999398515229	999.975608568052	999.792607142701	1	1	-2.33721e-21	2.09584e-18
17525	2	1	-5.89357554956482e-05	3.81418608801365e-05	0	0.00155183787659398	-0.00139642002936153	0.999997820902779	1000.02822518538	999.535581695468	1	1	-2.88646e-21	2.14605e-18
17883	2	1	-2.1296595343917e-05	-0.00010329601277137	0	0.000199109082970394	-0.000281360378744306	0.999999940595953	999.990843544593	1000.18171371631	1	1	-2.88209e-21	2.10893e-18
17892	2	1	1.27746034417342e-05	9.40796360771046e-06	0	-0.00184004745624752	0.00163765618032527	0.999996966149195	1000.00841140852	999.721893292384	1	1	-2.97456e-21	2.06535e-18
19241	2	1	-0.000109739872500736	-6.01829457306802e-05	0	-0.00208514236052436	-0.000510672088822267	0.999997695695023	1000.00275648496	1006.72707200355	1	1	-2.07184e-21	2.06055e-18
19435	2	1	-4.78139535087241e-05	2.19933705773584e-05	0	-0.00235165454743221	-0.00012710888562166	0.999997226778264	999.994712895536	1000.25201278481	1	1	-2.16864e-21	2.05584e-18
