,Simulation Number,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,PG.cFactor,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,0.02,500,1000000.0,17.15,2.43,0.81,1.132207708766776,,2268.5,0.0031630015519752,500.0,0.0425455591961792,0.0004179085920325,0.0004212209434108,6.346227213057024e-07,-1.9747384333222705e-06,102164950128.8012,55352527159.567215,36690818002.91313,11.796248306043818,0.0373090603455284,1205082649160.5715,652908556046.7493,432785100008.1309,2.216888896726919e-06,1.2011007954402812e-06,7.961582415489865e-07,1.2396492618862868e-06,6.716365969972143e-07,4.4519911572386796e-07
1,1,0.02,510,1000000.0,17.15,2.43,0.81,1.134734428137802,,3147.4,0.004983781564438,510.0,0.0449165249282884,0.0004378397190506,0.0004235898944813,1.13209561914311e-06,-2.9887989314022855e-07,160976144531.3521,87216177377.66753,57811866147.48247,11.41511611120701,0.0569141870006378,1838328240120.605,995998272511.1636,660204569207.3999,3.564347390854397e-06,1.931147967181175e-06,1.280075223960093e-06,1.998904097135705e-06,1.0829975758475183e-06,7.17872678847498e-07
2,2,0.02,520,1000000.0,17.15,2.43,0.81,1.1371251937425453,,3494.8,0.0066042050106168,520.0,0.0452038805970459,0.0004332105473295,0.0004166105206164,4.5523107033356886e-08,7.349335830691398e-07,213315821842.92484,115573587685.7952,76608778123.15567,11.652205849507792,0.0769981967859407,2487041756185.887,1347468443753.9636,893179082716.9128,4.81782475404706e-06,2.610276569530141e-06,1.730240468945694e-06,2.708407780577152e-06,1.4674035962879305e-06,9.72678955253714e-07
3,3,0.02,530,1000000.0,17.15,2.43,0.81,1.1396961390385214,,3578.6,0.0073167337547055,530.0,0.0464098194534926,0.0004229613796316,0.0004082827141418,-2.8326913539346867e-08,2.0230278326499217e-06,236330500276.99063,128042840707.34782,84874111554.58484,11.444119898312303,0.0837342997939653,2704617883345.0835,1465350246394.395,971317877609.999,5.441471282215262e-06,2.9481655553797864e-06,1.954212596708887e-06,3.06875301449504e-06,1.6626370821567551e-06,1.1020908658867637e-06
4,4,0.02,540,1000000.0,17.15,2.43,0.81,1.1421032315621116,,3565.0,0.0083404494440038,540.0,0.0476853239106162,0.0004223562807648,0.000416578925609,2.680747435057282e-07,-1.3937500766507484e-06,269396517041.32657,145957865270.06854,96749213550.44543,11.375732912948791,0.0948892202568535,3064921814296.3696,1660561354494.937,1100714954979.5012,6.323341236048975e-06,3.425958874020342e-06,2.2709213107791985e-06,3.5777997846031306e-06,1.93843641580665e-06,1.2849064241918362e-06
5,5,0.02,550,1000000.0,17.15,2.43,0.81,1.1446849391252194,,3629.5,0.0090008078182997,550.0,0.0488784766484854,0.0004299736901251,0.0004369660807456,-6.867244622367477e-07,-5.621101605447772e-07,290726092531.0829,157514136820.24615,104409370692.27744,11.3297278432037,0.1018836282465276,3290841192362.8438,1782963494314.234,1181850087659.7207,6.920390609297811e-06,3.749437636616461e-06,2.485341519128625e-06,3.946404472612252e-06,2.138144838102613e-06,1.4172845783994465e-06
6,6,0.02,560,1000000.0,17.15,2.43,0.81,1.1470719240942415,,3540.1,0.0097928216571875,560.0,0.0500224698477722,0.0004344057695773,0.0004248469498025,1.3733357392284818e-06,3.502270213836815e-07,316308139527.15857,171374379000.78253,113596731223.37584,11.229499395555267,0.1099323961754696,3550816396467.671,1923816933070.7195,1275215795635.4482,7.671630238543248e-06,4.156456011594639e-06,2.755136556257017e-06,4.385171756604396e-06,2.3758670507918548e-06,1.5748604450963152e-06
7,7,0.02,570,1000000.0,17.15,2.43,0.81,1.1496258456588988,,3065.5,0.008912948156705,570.0,0.0486711667537519,0.0004138027627156,0.0004207403248807,1.973284920561039e-06,-9.424666660829172e-07,287888225461.5756,155976592742.3397,103390198617.77943,11.74695365460344,0.1046244294499161,3379369071232.291,1830927515373.5325,1213643381619.027,7.109394197099465e-06,3.8518389612768e-06,2.553218968617765e-06,4.0728103039888805e-06,2.2066309696534183e-06,1.462681099884551e-06
8,8,0.02,580,1000000.0,17.15,2.43,0.81,1.1519513659104534,,2609.9,0.0083856533323048,580.0,0.0518118991739129,0.0004169152286697,0.0004261755249194,2.792549615727081e-07,-2.13224395597731e-06,270856602633.44843,146748933315.33585,97273578654.7369,11.292985906550175,0.0946980752621558,3058747830967.634,1657216317087.7278,1098497673041.008,6.808914612387022e-06,3.689040424667892e-06,2.4453067957798597e-06,3.898956406936164e-06,2.1124376817765595e-06,1.4002444062061768e-06
9,9,0.02,590,1000000.0,17.15,2.43,0.81,1.1544339730283155,,3020.4,0.0101955841343938,590.0,0.0511931037137855,0.0004203421141543,0.0004385820321807,-1.5674340310197112e-06,3.3619727019736114e-08,329317367540.92163,178422722351.89252,118268775958.96878,11.594273561250596,0.1181741086421781,3817023709142.357,2068046901238.1191,1370819660249.2676,8.424996330251259e-06,4.564626494718175e-06,3.025695276498904e-06,4.817025121529805e-06,2.6098433320981915e-06,1.729953294419373e-06
