,Simulation Number,ExitSlit.openingHeight,CPMU20.photonEnergy,PG.orderDiffraction,CPMU20.numberRays,PG.cFactor,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
0,0,0.02,500,2,100000.0,1.17577026432641,,0.5,2495.0,0.0004049658923747,500.0,0.0355653825349691,0.0093058365365618,0.0059113935717302,-0.0001433935440242,6.392370057013259e-05,5434709921.754337,2761867385.995659,1652665806.7812734,1037522616.2640584,664549029.386932,14.058614426778142,0.0056932593368924,76404491311.32983,38828028677.606606,23234191353.858147,14586130421.118492,9342638571.840534,1.1792838999362792e-07,5.993007518260335e-08,3.5861383697977164e-08,2.2513321498215503e-08,1.4420125128248108e-08,6.59436933564321e-08,3.351195162490607e-08,2.0053119440064764e-08,1.2589093850881136e-08,8.063506248749393e-09
1,1,0.02,502,2,100000.0,1.17662360156545,,0.502,2493.0,0.0003526762652884,502.0,0.0391371695125144,0.0080968855903926,0.0063144274976743,-0.0001108577146916,2.2572514988349664e-05,4727263890.800569,2405252129.2673926,1439271838.6422625,903556591.6690704,578741751.3383858,12.826681291795545,0.0045236660540359,60635107309.51227,30851402488.525463,18461081166.520885,11589632430.440212,7423335994.673062,1.0299154980089033e-07,5.24025419730034e-08,3.1357004954813326e-08,1.968552969718984e-08,1.2608881433680143e-08,5.7622884464710844e-08,2.9318770594336972e-08,1.75439740169339e-08,1.1013884202740664e-08,7.0545604905142185e-09
2,2,0.02,504,2,100000.0,1.17747901516844,,0.504,2583.0,0.0003115672623318,504.0,0.0420077165576913,0.0079003992969613,0.006027542364649,-0.0002294870287109,-8.412969908330498e-06,4172267031.9407935,2124888729.1033933,1271505997.5763853,798235326.0942659,511281877.48660827,11.99779567422646,0.0037381203522359,50058007347.53693,25493980802.24925,15255269157.474957,9577064342.42853,6134255498.019212,9.126888112375145e-08,4.648221586323648e-08,2.781435820203344e-08,1.7461501032494405e-08,1.1184357218705431e-08,5.10922039161259e-08,2.6020685496711225e-08,1.5570442450451392e-08,9.774926135274802e-09,6.260988988284913e-09
3,3,0.02,506,2,100000.0,1.17837189466193,,0.506,2580.0,0.000259239146016,506.0,0.0405517057346855,0.008887266892046,0.0058394822237533,-0.0001213811773321,-1.3800092012454415e-06,3468246620.2262287,1768010975.829522,1057954954.8915368,664170692.0931431,425411438.6123528,12.477896819200796,0.0032347593154861,43276423470.72478,22061058531.61529,13201052766.49883,8287453366.275423,5308240036.712712,7.616940838794945e-08,3.882894292089057e-08,2.3234738425242583e-08,1.4586473865589685e-08,9.342858553252408e-09,4.266769030954056e-08,2.1750744119702192e-08,1.3015364626466955e-08,8.170880708896924e-09,5.233573475136554e-09
4,4,0.02,508,2,100000.0,1.1791362468331,,0.508,2576.0,0.0002124603412801,508.0,0.0401342076363562,0.0084357578674043,0.0063558802462802,-0.0002521145156307,-1.3726068656087424e-05,2839299988.9053373,1448979527.5308702,867050652.7644401,544323394.3598372,348647420.0407856,12.657531565163378,0.0026892234760993,35938529232.53734,18340504106.99751,10974721005.96141,6889790545.766513,4413015724.279019,6.260761339431897e-08,3.195053373381328e-08,1.9118787121362463e-08,1.2002531880649509e-08,7.687804377886744e-09,3.5092667345605336e-08,1.7908835540071743e-08,1.0716416105430026e-08,6.727630007868593e-09,4.3091494312694616e-09
5,5,0.02,510,2,100000.0,1.18000708146274,,0.51,2550.0,0.0001644071495098,510.0,0.036315084891271,0.0088882043736549,0.0061240121614802,-0.0001206959258983,-5.381717655033247e-05,2194024508.336737,1121256759.657155,670945577.1496847,421211117.0442274,269792132.34565854,14.043750731327298,0.0023088930261643,30812333293.50407,15746650438.440847,9422592439.7767,5915383933.033057,3788893455.935693,4.858027600628463e-08,2.4826961891756944e-08,1.4856133648131978e-08,9.326492135877022e-09,5.973760185391956e-09,2.7244065210397045e-08,1.3923086165001764e-08,8.331395108412345e-09,5.230344098934681e-09,3.3501150141888405e-09
6,6,0.02,512,2,100000.0,1.18089388467086,,0.512,2513.0,0.0001263980179307,512.0,0.0387578155998653,0.0086695560185306,0.0056883029435087,-0.0003354907096699,6.158790660396492e-05,1684997836.5277498,862034482.2879097,515830311.1755073,323831721.93865466,207419147.42440763,13.210238814433565,0.0016697480025366,22259223822.33546,11387681377.299889,6814241598.352031,4277894382.498873,2740056472.162628,3.745014675052775e-08,1.91592636891589e-08,1.1464656175287021e-08,7.197365626337993e-09,4.610022245441314e-09,2.101574444881493e-08,1.0751525012733061e-08,6.433573838264461e-09,4.03891599451937e-09,2.586987176817442e-09
7,7,0.02,514,2,100000.0,1.18169303123046,,0.514,2557.0,0.0001023691759841,514.0,0.0433461522929974,0.0085666485948019,0.0058087180386435,-0.0001322858723225,4.324273456568079e-05,1363397254.650036,698157780.2119956,417768607.1913716,262269828.8714271,167987817.79001242,11.858030593479844,0.0012138968206495,16167206356.706558,8278776316.829821,4953912925.070747,3110003654.504106,1992004682.6858847,3.0427474970320225e-08,1.5581062900253257e-08,9.323506993538642e-09,5.8531793475731435e-09,3.749050472040409e-09,1.7080135922903417e-08,8.74626213378601e-09,5.233650405862274e-09,3.285619294246299e-09,2.1044891732467508e-09
8,8,0.02,516,2,100000.0,1.18256256858225,,0.516,2554.0,7.60379207530265e-05,516.0,0.0401615778155246,0.0092898859465771,0.0058440863779012,-9.729235667157424e-05,6.78639356976927e-06,1011765652.1393014,518578619.5356407,310310754.59310114,194809152.9692539,124778227.95571648,12.848100798483513,0.0009769428703419,12999267083.129152,6662750375.732343,3986903853.865645,2502927633.816168,1603163250.2311988,2.2673688608830512e-08,1.162135729127266e-08,6.954070250100253e-09,4.365677035225889e-09,2.79628259750417e-09,1.2731538040873442e-08,6.525526348756333e-09,3.904790766755806e-09,2.451378079987349e-09,1.570144976291663e-09
9,9,0.02,518,2,100000.0,1.18333929872482,,0.518,2536.0,5.607045981565229e-05,518.0,0.038211627860619,0.0088023050562808,0.0060077629498104,-0.0002766697870514,4.614584987664267e-05,745211003.2226492,382400535.9427487,228823546.50767705,143652518.04770118,92011624.55748542,13.55608303026136,0.0007600958088059,10102142234.7506,5183853416.056344,3101950995.7369413,1947365462.160756,1247317222.2505076,1.6766159943392293e-08,8.603453948383938e-09,5.148195830403937e-09,3.231971996445696e-09,2.070127262360417e-09,9.41934850243986e-09,4.833481926579066e-09,2.8922932173561827e-09,1.8157449700726635e-09,1.1630122934774555e-09
