,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.02,500,100000.0,17.15,2.43,0.81,,0.5,1134.0,1.134,500.0,0.0294684917631684,0.0114569581315714,0.00668442630076,9.574433580388056e-05,4.289687001067769e-06,36628200000000.0,19845000000000.0,13154400000000.0,16.96727487848329,19.24088971220005,621480737704061.8,336715569963500.94,223194320661520.62,0.0007947994863671,0.0004306189167623,0.0002854388248253,0.0004444393212836,0.0002407952979091,0.0001596128831854
1,1,2.25,0.02,501,100000.0,17.15,2.43,0.81,,0.501,1102.0,1.102,501.0,0.0362820363909577,0.0145481398373556,0.0052888889389666,-9.924624995021578e-05,-4.834861246216044e-05,35594600000000.0,19285000000000.0,12783200000000.0,13.808486232731417,15.21695182847002,491507544059581.7,266296656998225.3,176516641210252.22,0.0007737731672667,0.0004192269482095,0.0002778875770988,0.000432886460249,0.0002345360078748,0.000155463868077
2,2,2.25,0.02,502,100000.0,17.15,2.43,0.81,,0.502,1148.0,1.148,502.0,0.0392094419823934,0.0128353082033842,0.0069076758144867,7.997973129769609e-05,-7.022291458852299e-05,37080400000000.0,20090000000000.0,13316800000000.0,12.803038620784708,14.697888336660846,474741793274145.25,257213045891564.75,170495504705265.78,0.0008078600965494,0.0004376950987497,0.0002901293225998,0.0004519907613499,0.0002448866354063,0.0001623248554693
3,3,2.25,0.02,503,100000.0,17.15,2.43,0.81,,0.503,1071.0,1.0710000000000002,503.0,0.0412583193341333,0.0137046811049969,0.005780929357075,0.0002966111984778,-1.8812372962577776e-06,34593300000000.008,18742500000000.004,12423600000000.002,12.191480606042612,13.05707572907164,421743546049014.0,228498825258753.7,151462078457231.0,0.0007551757017096,0.0004091509219788,0.0002712086111402,0.0004226439815202,0.0002289866772942,0.0001517854546636
4,4,2.25,0.02,504,100000.0,17.15,2.43,0.81,,0.504,1170.0,1.17,504.0,0.0307306648007852,0.0123288637785815,0.0065950713855356,0.0004305442041597,-8.119171877413987e-06,37790999999999.99,20475000000000.0,13571999999999.998,16.400556358517886,19.188650939465923,619793425344749.1,335801391440653.6,222588350897804.72,0.0008266830143283,0.0004478932740169,0.0002968892559197,0.0004627761031144,0.0002507300868266,0.0001661982289822
5,5,2.25,0.02,505,100000.0,17.15,2.43,0.81,,0.505,1117.0,1.117,505.0,0.034672148086372,0.0121498531508568,0.0067069767238017,0.0002172772926168,-7.750288029651125e-05,36079100000000.0,19547500000000.0,12957200000000.0,14.565004704698136,16.26911025514782,525492261241274.56,284709429465086.8,188721678959714.7,0.0007909468808556,0.0004285315917948,0.0002840552265611,0.0004428334190464,0.0002399252270375,0.0001590361504934
6,6,2.25,0.02,506,100000.0,17.15,2.43,0.81,,0.506,1115.0,1.115,506.0,0.0360647616461164,0.0118742919671653,0.0058018542762445,-2.916500368576189e-05,-5.080006171039799e-05,36014500000000.0,19512500000000.0,12934000000000.0,14.03031593457063,15.643802267046254,505294813225594.0,273766539673309.47,181468106297736.53,0.0007909481241587,0.000428532265411,0.0002840556730724,0.0004430640899904,0.0002400502035551,0.0001591189920708
7,7,2.25,0.02,507,100000.0,17.15,2.43,0.81,,0.507,1087.0,1.087,507.0,0.0281253338195597,0.0137357173601603,0.0061489018500443,7.434002529914563e-05,-9.800518572274957e-05,35110100000000.0,19022500000000.0,12609200000000.0,18.026452708177548,19.594754093789,632910557229384.5,342908196641307.4,227299147487952.4,0.0007726096346213,0.0004185965512654,0.0002774697139816,0.0004329403135953,0.0002345651853844,0.0001554832085977
8,8,2.25,0.02,508,100000.0,17.15,2.43,0.81,,0.508,1141.0,1.141,508.0,0.0361769899780028,0.0133391754081733,0.0066230402645948,7.66228191422648e-05,-9.82455894772122e-05,36854300000000.0,19967500000000.0,13235600000000.0,14.04207481907381,16.022007368563216,517510838004591.9,280385128949856.3,185855285475333.3,0.0008126509264024,0.0004402907495988,0.0002918498683055,0.000455505122815,0.0002467907012155,0.0001635869790914
9,9,2.25,0.02,509,100000.0,17.15,2.43,0.81,,0.509,1143.0,1.143,509.0,0.0338923282001815,0.0123458416463783,0.006077680848175,0.0002134249051093,-7.285679583671432e-06,36918900000000.0,20002500000000.0,13258800000000.002,15.018147971235392,17.165743131122053,554453503135242.3,300400504794635.94,199122620321015.84,0.0008158585370704,0.0004420286191558,0.0002930018275547,0.0004573675409518,0.0002477997512896,0.0001642558351406
