,Simulation Number,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2.25,0.02,500,100000.0,17.15,2.43,0.81,,0.5,100000.0,100.0,500.0,0.4991084678099469,0.0652870555105389,0.0445582262773829,-0.0001805637341537,9.495753216067955e-06,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0017862493777456,100.17862493777456,3235769585490118.5,1753125936411055.0,1162072049278185.0,0.0700881381276114,0.0379734494499442,0.0251709722068201,0.0391921800073773,0.021234153254771,0.0140752101574482
1,1,2.25,0.02,501,100000.0,17.15,2.43,0.81,,0.501,100000.0,100.0,501.0,0.5007960906722815,0.0633544470431426,0.0449435813529064,0.0001402430020041,1.197027719988528e-06,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0004071703663755,100.04071703663756,3231315160283393.0,1750712548141157.5,1160472317624995.8,0.0702153509316467,0.0380423727957838,0.0252166585389195,0.0392818929445585,0.0212827593352871,0.0141074290451046
2,2,2.25,0.02,502,100000.0,17.15,2.43,0.81,,0.502,100000.0,100.0,502.0,0.4987293573849456,0.0544237330876003,0.0501205703258631,-0.0001457343925905,-5.571056220758631e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0065579508537532,100.65579508537532,3251182181257623.0,1761476413994068.0,1167607222990353.8,0.0703710885496047,0.0381267507621697,0.0252725890766382,0.0393720175391977,0.0213315884500297,0.0141397957725911
3,3,2.25,0.02,503,100000.0,17.15,2.43,0.81,,0.503,100000.0,100.0,503.0,0.5018509684160222,0.057234188155175,0.0511347159233508,-0.0001034298473664,0.0002052016492204,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0022895872605455,100.22895872605456,3237395366851562.5,1754006777705954.8,1162655921222233.0,0.0705112700008987,0.0382027004648831,0.0253229328795797,0.0394625566312122,0.0213806421376537,0.0141723113598161
4,4,2.25,0.02,504,100000.0,17.15,2.43,0.81,,0.504,100000.0,100.0,504.0,0.5038906225308892,0.0535988768226004,0.0506798909852216,5.184066860964381e-05,-4.783513371834835e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0002170658952958,100.02170658952956,3230701122841805.0,1750379865316767.5,1160251796438543.0,0.0706566678913135,0.0382814764117023,0.0253751500786141,0.0395535130867022,0.0214299219509996,0.0142049768360912
5,5,2.25,0.02,505,100000.0,17.15,2.43,0.81,,0.505,100000.0,100.0,505.0,0.5034254410261383,0.053870673096261,0.0493721164238997,0.0001610519432878,3.402725201742793e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0031276905089506,100.31276905089506,3240102440343910.5,1755473458390663.8,1163628120990382.8,0.0708099266656812,0.0383645113513752,0.025430190381483,0.0396448897982529,0.0214794294572577,0.0142377932402394
6,6,2.25,0.02,506,100000.0,17.15,2.43,0.81,,0.506,100000.0,100.0,506.0,0.5056502225962163,0.0625764662846466,0.0493897831881588,-1.1320910012956342e-05,-5.399122201617599e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.000691737861773,100.0691737861773,3232234313293526.5,1751210541258102.8,1160802415919656.5,0.0709370514940568,0.0384333870323837,0.0254758451186086,0.0397366896852411,0.0215291662381337,0.0142707616207057
7,7,2.25,0.02,507,100000.0,17.15,2.43,0.81,,0.507,100000.0,100.0,507.0,0.5057576604013434,0.057820601828898,0.044997133127192,-4.96896685062811e-05,-0.0001600872873781,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.002456393043401,100.24563930434007,3237934149530185.0,1754298687825951.8,1162849415930345.2,0.0710772432954284,0.0385093423427243,0.0255261926386058,0.0398289156941464,0.0215791338900174,0.0143038830356687
8,8,2.25,0.02,508,100000.0,17.15,2.43,0.81,,0.508,100000.0,100.0,508.0,0.5066932737478282,0.0545932849806563,0.051290734172457,-7.42229533260104e-05,7.943309836560178e-06,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.0025789295415477,100.25789295415476,3238329942419199.0,1754513126697708.5,1162991558268195.2,0.0712226929362314,0.0385881463276795,0.025578428422919,0.0399215707988664,0.0216293340241536,0.0143371585531532
9,9,2.25,0.02,509,100000.0,17.15,2.43,0.81,,0.509,100000.0,100.0,509.0,0.5084331091376271,0.0639997246026402,0.0433268700592242,1.0584791130292782e-06,-3.185476702191577e-05,3230000000000000.0,1750000000000000.0,1160000000000000.0,1.001114976291246,100.1114976291246,3233601373420724.5,1751951208509680.5,1161293372497845.2,0.0713786996562074,0.0386726700923724,0.0256344556040868,0.0400146580010361,0.0216797682668152,0.0143705892511461
