,Simulation Number,M3.radius,PG.cFactor,ExitSlit.openingHeight,SU.photonEnergy,SU.numberRays,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,300.0,2.25,10,1000,100000.0,17.15,2.43,0.81,,0.1,90070.0,90.07,1000.0,0.0997589448849112,0.1374501006085173,0.105987920538121,0.0004758950923278,0.0001645409138171,2756142000000000.0,1576225000000000.0,1044812000000000.0,1.002416375948712,90.28764298170049,2762801875240035.0,1580033752179758.8,1047336658587725.6,0.1203844496001719,0.0688473159478107,0.0456359351425488,0.0634329350950639,0.0362770053648241,0.0240464721275405
1,1,300.0,5.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,89902.0,89.902,1000.0,0.0999260636242524,0.1379663668982879,0.237052981248835,-0.0002359082787335,-0.0004958538319392,2751001200000000.0,1573285000000000.0,1042863200000000.0,1.0007399108207198,89.96851946260435,2753036695555693.0,1574449090595576.0,1043634825766210.4,0.1201599066054697,0.0687189008364614,0.0455508142687401,0.0633146189732035,0.0362093409160477,0.0240016202643516
2,2,300.0,10.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,75547.0,75.547,1000.0,0.0996401882987356,0.136104235573712,0.4539541206518948,-0.0007704351264651,-1.536052142477899e-05,2311738200000000.0,1322072500000000.0,876345200000000.0,1.0036111102097236,75.81980854301398,2320086141416227.5,1326846649502744.8,879509779098962.2,0.1009735096474319,0.0577462881970607,0.0382775396049088,0.0532049289178061,0.0304276554268498,0.0201691887400833
3,3,300.0,20.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,46066.0,46.066,1000.0,0.0999312398718075,0.1457260484233416,0.5325381063831558,-0.0012416897385399,-1.1460494398582245e-05,1409619600000000.0,806155000000000.0,534365600000000.0,1.0006880744027662,46.09769683543783,1410589523164397.8,806709694620162.0,534733283291078.8,0.0615702237735263,0.0352117292822454,0.0233403462670884,0.0324425623191874,0.0185537529603196,0.0122984876765547
4,4,300.5,2.25,10,1000,100000.0,17.15,2.43,0.81,,0.1,90184.0,90.184,1000.0,0.0998238678183724,0.1298391641302821,0.0987204557308904,0.0002804579826988,-2.0408997838759627e-05,2759630400000000.0,1578220000000000.0,1046134400000000.0,1.0017644295445252,90.34312331404344,2764499573409730.0,1581004657995760.5,1047980230442904.0,0.1205368180608627,0.0689344547733692,0.0456936957354904,0.0635132210348978,0.0363229205264938,0.0240769073204187
5,5,300.5,5.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,89732.0,89.732,1000.0,0.0997787120608109,0.1344298779151597,0.2340811323204049,-7.683882475945214e-05,-0.0002290775131642,2745799200000000.0,1570310000000000.0,1040891200000000.0,1.002217787087232,89.9310064709115,2751888798009892.0,1573792613240951.2,1043199675062573.6,0.1199326904798782,0.0685889569737865,0.0454646800511956,0.0631948943260828,0.0361408709381192,0.0239562344504104
6,6,300.5,10.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,75561.0,75.561,1000.0,0.099099405363745,0.1321800869021501,0.4388024416731745,-0.0008621341075305,-0.0003249363394077,2312166600000000.5,1322317500000000.2,876507600000000.1,1.009087790516495,76.24768253921688,2333179085700037.0,1334334444436295.8,884473117454916.0,0.1009922215636571,0.0577569894563398,0.0382846330110595,0.0532147885946278,0.0304332941309146,0.0201729263953491
7,7,300.5,20.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,46383.0,46.383,1000.0,0.0998102158716847,0.1393054995597215,0.5220701928717583,-0.0010827856503259,-0.0004782457660953,1419319800000000.0,811702500000000.0,538042800000000.0,1.0019014499333343,46.471194952257854,1422018565539090.0,813245911664512.4,539065861446191.0,0.0619939150194823,0.035454036367351,0.0235009612492155,0.032665813572936,0.0186814293309274,0.0123831188707862
8,8,301.0,2.25,10,1000,100000.0,17.15,2.43,0.81,,0.1,90174.0,90.174,1000.0,0.0999821611898141,0.1360882339821376,0.0988130043793146,0.0001320558945219,8.849433316859145e-05,2759324399999999.5,1578044999999999.8,1046018400000000.0,1.000178419929851,90.19008883875438,2759816718465883.5,1578326554678201.2,1046205030529550.6,0.1205234524064162,0.0689268110167413,0.0456886290168113,0.0635061784085966,0.0363188928807333,0.0240742375666575
9,9,301.0,5.0,10,1000,100000.0,17.15,2.43,0.81,,0.1,89875.0,89.875,1000.0,0.099724247161248,0.1210137518423731,0.2074208364978733,1.5609188138557768e-05,-0.0001539868775073,2750175000000000.0,1572812500000000.0,1042550000000000.0,1.0027651533764508,90.12351815970852,2757779655687081.0,1577161567794899.0,1045432810652618.8,0.120123819338464,0.068698262693566,0.0455371341283066,0.0632956038821902,0.0361984662724944,0.0239944119291962
