,Simulation Number,SU.numberRays,SU.photonEnergy,PG.cFactor,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,ExitSlit.openingHeight,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,PhotonFlux7,PhotonFlux9,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,FluxPerMilPerBwAbs7,FluxPerMilPerBwAbs9,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,AXUVCurrentAmp7,AXUVCurrentAmp9,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5,GaAsPCurrentAmp7,GaAsPCurrentAmp9
0,0,1000000.0,150,1.6,17.15,2.43,0.81,0.02,,0.003,25014.0,2.5014000000000003,150.0,0.0029719766569087,0.0284824755579667,0.0009985258790378,-0.0043953355475524,-1.9397087920653032e-06,56703355791686.58,36895650000000.0,29916744000000.0,25864476000000.0,23065409400000.0,1.00942919353896,2.524986184718354,57238022707754.88,37243546224595.73,30198834769231.51,26108357149987.78,23282897609287.94,0.0003460390590431,0.0002251601484696,0.0001825705339455,0.0001578410803509,0.0001407594392568,0.0002246282396514,0.0001461607482411,0.0001185140711161,0.0001024611618178,9.137276335805288e-05
1,1,1000000.0,200,1.6,17.15,2.43,0.81,0.02,,0.004,15712.0,1.5712,200.0,0.0039877726391637,0.0266038692004725,0.0010636739951374,-0.0030335774984976,-5.140893888362785e-07,35335700098017.29,23175200000000.0,18791552000000.0,16246208000000.0,14488035200000.0,1.0030662131326629,1.5760176340740395,35444046885709.67,23246260102592.09,18849170903525.52,16296022336325.572,14532458603796.725,0.000293691427859,0.0001926198592369,0.0001561853231507,0.0001350297860684,0.0001204167947134,0.0001742451667366,0.0001142800787009,9.266371127208531e-05,8.011227211984634e-05,7.144248174246645e-05
2,2,1000000.0,250,1.6,17.15,2.43,0.81,0.02,,0.005,18519.0,1.8519,250.0,0.0049681134240131,0.0249907810919667,0.001155844904137,-0.0024108034842055,-3.251566258831105e-06,41197441925428.16,27315525000000.0,22148724000000.0,19148646000000.0,17076369900000.0,1.006418246377533,1.8637859504665537,41461857257829.664,27490842769381.664,22290879967579.98,19271546727824.164,17185970249252.09,0.0004344329137849,0.0002880461155523,0.000233561460475,0.0002019252091397,0.0001800727614582,0.000243339881426,0.0001613439161252,0.0001308253041937,0.0001131048198464,0.000100864559362
3,3,1000000.0,300,1.6,17.15,2.43,0.81,0.02,,0.006,23241.0,2.3241,300.0,0.0059893503365628,0.0276847094277021,0.0011029386414759,-0.0019020849642107,1.7531944639209473e-06,51023032690221.41,34280475000000.0,27796236000000.0,24031194000000.0,21430526100000.0,1.0017780999338266,2.3282324820562064,51113756741271.52,34341429110329.043,27845660485392.23,24073923864461.176,21468631717040.28,0.0006521531767281,0.0004381574260144,0.0003552788349242,0.0003071557820331,0.0002739152288325,0.0003554645963133,0.0002388234208124,0.0001936493635875,0.0001674192658441,0.000149301068699
4,4,1000000.0,350,1.6,17.15,2.43,0.81,0.02,,0.007,27288.0,2.7288,350.0,0.006971679580829,0.020973546194999,0.0011111632305937,-0.0015514379529922,-3.826077498471595e-07,58943679535750.89,40093354531053.1,32636448000000.0,28215792000000.0,25162264800000.0,1.0040622089473064,2.73988495577541,59183121078148.17,40256222114556.67,32769024071073.9,28330410442717.73,25264479177205.05,0.0008854349621077,0.0006022708139291,0.0004902553136453,0.0004238494935696,0.000377980288221,0.0004782177039498,0.000325282576495,0.0002647837283075,0.0002289183738043,0.0002041447122678
5,5,1000000.0,400,1.6,17.15,2.43,0.81,0.02,,0.008,33598.0,3.3598000000000003,400.0,0.0079890747295507,0.0259219896591941,0.0011307623031759,-0.0013991764655494,2.2919895273635123e-06,71212748217027.14,48993574492775.67,40183208000000.0,34740332000000.004,30980715800000.004,1.0013675263805952,3.364394615133524,71310133528848.6,49060574498374.2,40238159596996.95,34787840320480.64,31023082746146.227,0.0012284899703543,0.000845187362981,0.0006931998727842,0.0005993049067382,0.0005344478283397,0.0006608949088372,0.0004546883073425,0.0003729230826341,0.0003224100898359,0.0002875187077734
6,6,1000000.0,450,1.6,17.15,2.43,0.81,0.02,,0.009,39898.0,3.9898,450.0,0.0089398250560748,0.0263812106556144,0.0009742160027853,-0.0012902993723595,1.453524366937735e-06,82680606413097.53,57676322142925.41,47718008000000.0,41254532000000.0,36789945800000.0,1.006731109786571,4.016655781826461,83237138652084.34,58064547799355.06,48039203150644.47,41532220784085.6,37037582964221.8,0.0016100366445197,0.001123129064962,0.000929211151399,0.0008033481024637,0.0007164093668102,0.0008845257948755,0.0006170273405359,0.0005104922518975,0.0004413453080786,0.0003935826968852
7,7,1000000.0,500,1.6,17.15,2.43,0.81,0.02,,0.01,43447.0,4.3447,500.0,0.0099731466674484,0.0224148493225912,0.0011688241521417,-0.0011506833027381,-7.021362102073848e-07,87703677350216.45,62208877517413.14,51962611999999.99,44924197999999.99,40062478699999.99,1.0026925636859658,4.356398381446415,87939825086975.3,62376378881961.22,52102524642099.12,45045159264155.93,40170349475317.39,0.0019030920905329,0.001349877523283,0.0011275426400394,0.0009748152924755,0.0008693202912879,0.0010641790433494,0.0007548301937211,0.0006305040381292,0.0005451013172455,0.000486110178561
8,8,1000000.0,550,1.6,17.15,2.43,0.81,0.02,,0.011,43287.0,4.3287,550.0,0.0109648980030669,0.0230369088013121,0.0010893014122629,-0.0010190715220816,-8.855742550370985e-06,84858971530636.2,61325578628418.68,51657674898771.61,44758757999999.99,39914942699999.99,1.0032013062887764,4.342557494532226,85130631089856.31,61521900588944.68,51823046938288.61,44902044493463.21,40042722657081.65,0.0020199674015585,0.0014597828311694,0.0012296498231557,0.0010654292700402,0.0009501279786306,0.0011519015093355,0.0008324520708744,0.0007012170028855,0.0006075690049763,0.0005418175817105
9,9,1000000.0,600,1.6,17.15,2.43,0.81,0.02,,0.012,49960.0,4.996,600.0,0.0119501008407496,0.0196577152705252,0.0010667302488598,-0.0009105984124227,-4.870395626178838e-06,94682809119673.5,69939343343275.484,59104074023402.336,51658640000000.0,46068116000000.0,1.0041756266256925,5.016861430621959,95078169178428.95,70231383927523.12,59350870568581.36,51874347192631.06,46260479251765.09,0.0024648025443895,0.001820675506232,0.0015386095257538,0.0013447884414874,0.0011992547600537,0.0014067409406175,0.0010391172226051,0.0008781332267077,0.0007675133902371,0.0006844527051622
