Simulation Number,SU.numberRays,SU.photonEnergy,PG.cFactor,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,ExitSlit.openingHeight
0,1000000.0,150,1.6,17.15,2.43,0.81,0.02
1,1000000.0,175,1.6,17.15,2.43,0.81,0.02
2,1000000.0,200,1.6,17.15,2.43,0.81,0.02
3,1000000.0,225,1.6,17.15,2.43,0.81,0.02
4,1000000.0,250,1.6,17.15,2.43,0.81,0.02
5,1000000.0,275,1.6,17.15,2.43,0.81,0.02
6,1000000.0,300,1.6,17.15,2.43,0.81,0.02
7,1000000.0,325,1.6,17.15,2.43,0.81,0.02
8,1000000.0,350,1.6,17.15,2.43,0.81,0.02
9,1000000.0,375,1.6,17.15,2.43,0.81,0.02
10,1000000.0,400,1.6,17.15,2.43,0.81,0.02
11,1000000.0,425,1.6,17.15,2.43,0.81,0.02
12,1000000.0,450,1.6,17.15,2.43,0.81,0.02
13,1000000.0,475,1.6,17.15,2.43,0.81,0.02
14,1000000.0,500,1.6,17.15,2.43,0.81,0.02
15,1000000.0,525,1.6,17.15,2.43,0.81,0.02
16,1000000.0,550,1.6,17.15,2.43,0.81,0.02
17,1000000.0,575,1.6,17.15,2.43,0.81,0.02
18,1000000.0,600,1.6,17.15,2.43,0.81,0.02
19,1000000.0,625,1.6,17.15,2.43,0.81,0.02
20,1000000.0,650,1.6,17.15,2.43,0.81,0.02
21,1000000.0,675,1.6,17.15,2.43,0.81,0.02
22,1000000.0,700,1.6,17.15,2.43,0.81,0.02
23,1000000.0,725,1.6,17.15,2.43,0.81,0.02
24,1000000.0,750,1.6,17.15,2.43,0.81,0.02
25,1000000.0,775,1.6,17.15,2.43,0.81,0.02
26,1000000.0,800,1.6,17.15,2.43,0.81,0.02
27,1000000.0,825,1.6,17.15,2.43,0.81,0.02
28,1000000.0,850,1.6,17.15,2.43,0.81,0.02
29,1000000.0,875,1.6,17.15,2.43,0.81,0.02
30,1000000.0,900,1.6,17.15,2.43,0.81,0.02
31,1000000.0,925,1.6,17.15,2.43,0.81,0.02
32,1000000.0,950,1.6,17.15,2.43,0.81,0.02
33,1000000.0,975,1.6,17.15,2.43,0.81,0.02
34,1000000.0,1000,1.6,17.15,2.43,0.81,0.02
35,1000000.0,1025,1.6,17.15,2.43,0.81,0.02
36,1000000.0,1050,1.6,17.15,2.43,0.81,0.02
37,1000000.0,1075,1.6,17.15,2.43,0.81,0.02
38,1000000.0,1100,1.6,17.15,2.43,0.81,0.02
39,1000000.0,1125,1.6,17.15,2.43,0.81,0.02
40,1000000.0,1150,1.6,17.15,2.43,0.81,0.02
41,1000000.0,1175,1.6,17.15,2.43,0.81,0.02
42,1000000.0,1200,1.6,17.15,2.43,0.81,0.02
43,1000000.0,1225,1.6,17.15,2.43,0.81,0.02
44,1000000.0,1250,1.6,17.15,2.43,0.81,0.02
45,1000000.0,1275,1.6,17.15,2.43,0.81,0.02
46,1000000.0,1300,1.6,17.15,2.43,0.81,0.02
47,1000000.0,1325,1.6,17.15,2.43,0.81,0.02
48,1000000.0,1350,1.6,17.15,2.43,0.81,0.02
49,1000000.0,1375,1.6,17.15,2.43,0.81,0.02
50,1000000.0,1400,1.6,17.15,2.43,0.81,0.02
51,1000000.0,1425,1.6,17.15,2.43,0.81,0.02
52,1000000.0,1450,1.6,17.15,2.43,0.81,0.02
53,1000000.0,1475,1.6,17.15,2.43,0.81,0.02
54,1000000.0,1500,1.6,17.15,2.43,0.81,0.02
55,1000000.0,1525,1.6,17.15,2.43,0.81,0.02
56,1000000.0,1550,1.6,17.15,2.43,0.81,0.02
57,1000000.0,1575,1.6,17.15,2.43,0.81,0.02
58,1000000.0,1600,1.6,17.15,2.43,0.81,0.02
59,1000000.0,1625,1.6,17.15,2.43,0.81,0.02
60,1000000.0,1650,1.6,17.15,2.43,0.81,0.02
61,1000000.0,1675,1.6,17.15,2.43,0.81,0.02
62,1000000.0,1700,1.6,17.15,2.43,0.81,0.02
63,1000000.0,1725,1.6,17.15,2.43,0.81,0.02
64,1000000.0,1750,1.6,17.15,2.43,0.81,0.02
65,1000000.0,1775,1.6,17.15,2.43,0.81,0.02
66,1000000.0,1800,1.6,17.15,2.43,0.81,0.02
67,1000000.0,1825,1.6,17.15,2.43,0.81,0.02
68,1000000.0,1850,1.6,17.15,2.43,0.81,0.02
69,1000000.0,1875,1.6,17.15,2.43,0.81,0.02
70,1000000.0,1900,1.6,17.15,2.43,0.81,0.02
71,1000000.0,1925,1.6,17.15,2.43,0.81,0.02
72,1000000.0,1950,1.6,17.15,2.43,0.81,0.02
73,1000000.0,1975,1.6,17.15,2.43,0.81,0.02
74,1000000.0,2000,1.6,17.15,2.43,0.81,0.02
75,1000000.0,2025,1.6,17.15,2.43,0.81,0.02
76,1000000.0,2050,1.6,17.15,2.43,0.81,0.02
77,1000000.0,2075,1.6,17.15,2.43,0.81,0.02
78,1000000.0,2100,1.6,17.15,2.43,0.81,0.02
