,Simulation Number,PG.orderDiffraction,PG.cFactor,PG.lineDensity,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs,SourcePhotonFlux,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux1,PhotonFlux3,PhotonFlux5,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs1,FluxPerMilPerBwAbs3,FluxPerMilPerBwAbs5,AXUVCurrentAmp1,AXUVCurrentAmp3,AXUVCurrentAmp5,GaAsPCurrentAmp1,GaAsPCurrentAmp3,GaAsPCurrentAmp5
0,0,2,25,3000,1000000.0,150,17.15,2.43,0.81,,2005.5,0.20055,150.0,0.0001008435859048,0.0116343910172558,0.0008929940610735,-4.048034228578711e-05,-7.952406624096708e-07,4833255000000.0,3128580000000.0,2526930000000.0,4.597281166282556,0.9212972397685067,22203263478421.008,14372236940388.703,11608345221083.184,2.949552083760125e-05,1.9092536309816577e-05,1.542089471177493e-05,1.9146760315649364e-05,1.23937535653166e-05,1.001033941814033e-05
1,1,2,25,3000,1000000.0,155,17.15,2.43,0.81,,1822.25,0.182225,155.0,0.0001001910004134,0.0114421414824966,0.0008848346326733,-5.393506625005173e-05,-5.324105156518904e-07,4391622500000.0,2842710000000.0,2296035000000.0,4.786054456597029,0.8748900208028321,21084849501348.25,13648284324524.178,11023614262115.684,2.7796269093947333e-05,1.7992605720563415e-05,1.4532489235839683e-05,1.7880907884236412e-05,1.1574363609713197e-05,9.34852445399912e-06
2,2,2,25,3000,1000000.0,160,17.15,2.43,0.81,,1734.25,0.173425,160.0,0.0001036992222083,0.0112750804302057,0.0008255139896933,4.565986700262659e-05,2.43206654356988e-06,4179542500000.0,2705430000000.0,2185155000000.0,4.656567156680191,0.807442069716437,19459353880166.133,12596096287576.418,10173770078427.107,2.7297643047112852e-05,1.766984363215604e-05,1.427179677981834e-05,1.7504030974637318e-05,1.1330410091466478e-05,9.151485073876771e-06
3,3,2,25,3000,1000000.0,165,17.15,2.43,0.81,,1577.5,0.15775,165.0,0.0001232814519482,0.0111903405167238,0.0007946515850067,-5.64797358933272e-05,-6.751915804242007e-06,3801775000000.0,2460900000000.0,1987650000000.0,4.034767658725257,0.6370452870071787,15352791416873.006,9937906477311.988,8026770616290.451,2.5545994767199556e-05,1.653599661279307e-05,1.3355997264179016e-05,1.6310540699395506e-05,1.0557860369733188e-05,8.527502606322961e-06
4,4,2,25,3000,1000000.0,170,17.15,2.43,0.81,,1476.5,0.1476499999999999,170.0,0.0001096712386185,0.0117156931465877,0.0008342297485391,-5.980298425324984e-05,-1.2068471513735651e-06,3552432752778.5303,2303340000000.0,1860390000000.0,4.677625734895205,0.6902479953170515,16607244064368.545,10767868726946.0,8697124740994.849,2.463646482687947e-05,1.5973885740683094e-05,1.2901984636705577e-05,1.562209321444573e-05,1.0129112833006448e-05,8.181206518966745e-06
5,5,2,25,3000,1000000.0,175,17.15,2.43,0.81,,1367.0,0.1367,175.0,0.0001395803343057,0.0116234032347935,0.0008255356619383,9.72789210327225e-06,-1.1702039355567808e-05,3280800000000.0,2132520000000.0,1722420000000.0,3.7912164099112737,0.518787969274422,12450911262586.129,8093092320680.982,6536728412857.716,2.356352222353856e-05,1.5316289445300065e-05,1.2370849167357745e-05,1.4730173553663351e-05,9.574612809881177e-06,7.733341115673259e-06
6,6,2,25,3000,1000000.0,180,17.15,2.43,0.81,,1380.5,0.13805,180.0,0.0001209702366224,0.0112463655483382,0.0008364888628986,1.7878760592367307e-05,-9.36948909940261e-06,3313200000000.0,2153580000000.0,1739430000000.0,4.483389868659252,0.6188527719591561,14852466527019.746,9654103242562.836,7797544926685.367,2.4600334449538317e-05,1.59902173921999e-05,1.2915175586007616e-05,1.5194331705303708e-05,9.876315608447408e-06,7.977024145284447e-06
7,7,2,25,3000,1000000.0,185,17.15,2.43,0.81,,1291.5,0.12915,185.0,0.0001198576900449,0.0120139546816003,0.0008730105391389,2.648669087235069e-05,-7.003051180219601e-06,3099600000000.0,2014740000000.0,1627290000000.0,4.658298597340908,0.6017967539968597,14443122095924.633,9388029362351.012,7582639100360.433,2.3693159147131283e-05,1.5400553445635334e-05,1.2438908552243924e-05,1.4479003902828674e-05,9.411352536838638e-06,7.601477048985055e-06
8,8,2,25,3000,1000000.0,190,17.15,2.43,0.81,,1286.75,0.1286749999999999,190.0,0.0001276963255207,0.0115241532502733,0.0008426125602511,-0.0001046146744902,5.183486180918056e-06,3088200000000.0,2007330000000.0,1621305000000.0,4.529431620896008,0.5820193871767168,13968465292241.2,9079502439956.78,7333444278426.629,2.4280682280596632e-05,1.578244348238781e-05,1.2747358197313233e-05,1.469899474525931e-05,9.554346584418553e-06,7.716972241261139e-06
9,9,2,25,3000,1000000.0,195,17.15,2.43,0.81,,1330.75,0.133075,195.0,0.0001358019299004,0.0107149392713905,0.0008371946433694,-2.495500993146899e-05,8.42362944499395e-06,3193800000000.0,2075970000000.0,1676745000000.0,4.307770928646581,0.5732630390331566,13758312936795.76,8942903408917.242,7223114291817.773,2.5837623196152435e-05,1.679445507749908e-05,1.3564752177980028e-05,1.5470501757130852e-05,1.0055826142135051e-05,8.122013422493697e-06
