Simulation Number,SU.numberRays,SU.photonEnergy,SU.electronSigmaX,SU.electronSigmaY,SU.electronSigmaYs
0,1000000.0,150,17.15,2.43,0.81
1,1000000.0,155,17.15,2.43,0.81
2,1000000.0,160,17.15,2.43,0.81
3,1000000.0,165,17.15,2.43,0.81
4,1000000.0,170,17.15,2.43,0.81
5,1000000.0,175,17.15,2.43,0.81
6,1000000.0,180,17.15,2.43,0.81
7,1000000.0,185,17.15,2.43,0.81
8,1000000.0,190,17.15,2.43,0.81
9,1000000.0,195,17.15,2.43,0.81
10,1000000.0,200,17.15,2.43,0.81
11,1000000.0,205,17.15,2.43,0.81
12,1000000.0,210,17.15,2.43,0.81
13,1000000.0,215,17.15,2.43,0.81
14,1000000.0,220,17.15,2.43,0.81
15,1000000.0,225,17.15,2.43,0.81
16,1000000.0,230,17.15,2.43,0.81
17,1000000.0,235,17.15,2.43,0.81
18,1000000.0,240,17.15,2.43,0.81
19,1000000.0,245,17.15,2.43,0.81
20,1000000.0,250,17.15,2.43,0.81
21,1000000.0,255,17.15,2.43,0.81
22,1000000.0,260,17.15,2.43,0.81
23,1000000.0,265,17.15,2.43,0.81
24,1000000.0,270,17.15,2.43,0.81
25,1000000.0,275,17.15,2.43,0.81
26,1000000.0,280,17.15,2.43,0.81
27,1000000.0,285,17.15,2.43,0.81
28,1000000.0,290,17.15,2.43,0.81
29,1000000.0,295,17.15,2.43,0.81
30,1000000.0,300,17.15,2.43,0.81
31,1000000.0,305,17.15,2.43,0.81
32,1000000.0,310,17.15,2.43,0.81
33,1000000.0,315,17.15,2.43,0.81
34,1000000.0,320,17.15,2.43,0.81
35,1000000.0,325,17.15,2.43,0.81
36,1000000.0,330,17.15,2.43,0.81
37,1000000.0,335,17.15,2.43,0.81
38,1000000.0,340,17.15,2.43,0.81
39,1000000.0,345,17.15,2.43,0.81
40,1000000.0,350,17.15,2.43,0.81
41,1000000.0,355,17.15,2.43,0.81
42,1000000.0,360,17.15,2.43,0.81
43,1000000.0,365,17.15,2.43,0.81
44,1000000.0,370,17.15,2.43,0.81
45,1000000.0,375,17.15,2.43,0.81
46,1000000.0,380,17.15,2.43,0.81
