,Simulation Number,Dipole.photonEnergy,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,1950,500000.0,0.01715,0.00243,0.81,,1.95,,,1950.0,,,,,,,,,,,
1,1,1951,500000.0,0.01715,0.00243,0.81,,1.9510000000000003,,,1951.0,,,,,,,,,,,
2,2,1952,500000.0,0.01715,0.00243,0.81,,1.952,,,1952.0,,,,,,,,,,,
3,3,1953,500000.0,0.01715,0.00243,0.81,,1.953,,,1953.0,,,,,,,,,,,
4,4,1954,500000.0,0.01715,0.00243,0.81,,1.954,,,1954.0,,,,,,,,,,,
5,5,1955,500000.0,0.01715,0.00243,0.81,,1.955,,,1955.0,,,,,,,,,,,
6,6,1956,500000.0,0.01715,0.00243,0.81,,1.956,,,1956.0,,,,,,,,,,,
7,7,1957,500000.0,0.01715,0.00243,0.81,,1.957,,,1957.0,,,,,,,,,,,
8,8,1958,500000.0,0.01715,0.00243,0.81,,1.958,,,1958.0,,,,,,,,,,,
9,9,1959,500000.0,0.01715,0.00243,0.81,,1.959,,,1959.0,,,,,,,,,,,
10,10,1960,500000.0,0.01715,0.00243,0.81,,1.96,,,1960.0,,,,,,,,,,,
11,11,1961,500000.0,0.01715,0.00243,0.81,,1.9610000000000003,,,1961.0,,,,,,,,,,,
12,12,1962,500000.0,0.01715,0.00243,0.81,,1.962,,,1962.0,,,,,,,,,,,
13,13,1963,500000.0,0.01715,0.00243,0.81,,1.963,,,1963.0,,,,,,,,,,,
14,14,1964,500000.0,0.01715,0.00243,0.81,,1.964,,,1964.0,,,,,,,,,,,
15,15,1965,500000.0,0.01715,0.00243,0.81,,1.965,,,1965.0,,,,,,,,,,,
16,16,1966,500000.0,0.01715,0.00243,0.81,,1.966,,,1966.0,,,,,,,,,,,
17,17,1967,500000.0,0.01715,0.00243,0.81,,1.967,,,1967.0,,,,,,,,,,,
18,18,1968,500000.0,0.01715,0.00243,0.81,,1.968,,,1968.0,,,,,,,,,,,
19,19,1969,500000.0,0.01715,0.00243,0.81,,1.969,,,1969.0,,,,,,,,,,,
20,20,1970,500000.0,0.01715,0.00243,0.81,,1.97,,,1970.0,,,,,,,,,,,
21,21,1971,500000.0,0.01715,0.00243,0.81,,1.9710000000000003,,,1971.0,,,,,,,,,,,
22,22,1972,500000.0,0.01715,0.00243,0.81,,1.972,,,1972.0,,,,,,,,,,,
23,23,1973,500000.0,0.01715,0.00243,0.81,,1.973,,,1973.0,,,,,,,,,,,
24,24,1974,500000.0,0.01715,0.00243,0.81,,1.974,,,1974.0,,,,,,,,,,,
25,25,1975,500000.0,0.01715,0.00243,0.81,,1.975,,,1975.0,,,,,,,,,,,
26,26,1976,500000.0,0.01715,0.00243,0.81,,1.976,,,1976.0,,,,,,,,,,,
27,27,1977,500000.0,0.01715,0.00243,0.81,1496040000000.0,1.977,83.0,0.0166,1977.0,0.7323770010999027,,,,,248342640.0,2.6994293881851705,0.0448105278438738,670383420.75549,2.091091530272432e-08,1.3007530816217289e-08
28,28,1978,500000.0,0.01715,0.00243,0.81,,1.978,,,1978.0,,,,,,,,,,,
