,Simulation Number,Dipole.photonEnergy,Dipole.numberRays,Dipole.sourceWidth,Dipole.sourceHeight,Dipole.verEbeamDiv,SourcePhotonFlux,SourceBandwidth,NumberRaysSurvived,PercentageRaysSurvived,PhotonEnergy,Bandwidth,HorizontalFocusFWHM,VerticalFocusFWHM,HorizontalCenter,VerticalCenter,PhotonFlux,EnergyPerMilPerBw,FluxPerMilPerBwPerc,FluxPerMilPerBwAbs,AXUVCurrentAmp,GaAsPCurrentAmp
0,0,2000,1000000.0,0.01715,0.00243,0.81,7282370000000.0,2.0,295.0,0.0295,2000.0,0.1215905141918938,0.0921531782717124,0.1245795045512553,-0.0011090694657466,0.1004470024974387,2148299150.0,16.448651552238733,0.4852352207910427,35336624148.32065,1.8309851531690169e-07,1.1328719948532168e-07
1,1,3000,1000000.0,0.01715,0.00243,0.81,7590970000000.0,3.0,2871.0,0.2870999999999999,3000.0,0.4001422898968485,0.0733604958039968,0.0642411668774271,-0.0001052711177167,0.101479706365388,21793674870.0,7.4973330131473,2.1524843080745897,163394438080.64966,2.8290404397509737e-06,1.2792267747085684e-06
2,2,4000,1000000.0,0.01715,0.00243,0.81,7650350000000.0,4.0,5904.0,0.5904,4000.0,0.7509856259548542,0.0824633634517555,0.0403427748863853,-0.0003485521681153,0.1002060904817178,45167666400.0,5.3263336364316265,3.1446673789492325,240578060825.4426,7.786945906803817e-06,2.44642800890444e-06
3,3,5000,1000000.0,0.01715,0.00243,0.81,7571910000000.0,5.0,8809.0,0.8809000000000001,5000.0,1.213133635950726,0.0734915763154844,0.0397048127899426,-0.0005628219766088,0.1004400111786837,66700955190.00001,4.121557470526756,3.6306799757870194,274911820154.6149,1.33348496493002e-05,2.86905572813613e-06
4,4,6000,1000000.0,0.01715,0.00243,0.81,7410190000000.0,6.0,11070.0,1.107,6000.0,1.834115622123136,0.078115042805241,0.0410389922616628,0.0002096762746235,0.1004649251865967,82030803300.0,3.271331385888595,3.621363844178674,268349941444.94373,1.6584379496138926e-05,2.6621449902316494e-06
5,5,7000,1000000.0,0.01715,0.00243,0.81,7196220000000.0,7.0,13288.0,1.3288,7000.0,2.570774658944174,0.0745236217577033,0.053340535401691,-0.0002454120229664,0.1007042257109799,95623371360.0,2.722914657512193,3.6182089969022018,260374279476.87567,1.789581354237662e-05,2.408570282585205e-06
6,6,8000,1000000.0,0.01715,0.00243,0.81,6949360000000.0,8.0,15287.0,1.5287,8000.0,3.41642262050118,0.0888858873849027,0.0394263303332493,0.000252982548951,0.1013350646976192,106234866320.0,2.3416306729717244,3.579650809771875,248762821513.9628,1.7595349115582828e-05,2.146124230719504e-06
7,7,9000,1000000.0,0.01715,0.00243,0.81,6682400000000.0,9.0,16954.0,1.6954,9000.0,4.408251546758038,0.086753912520414,0.0396794987803046,0.0002139830507907,0.0995474152016884,113293409600.0,2.0416257794133537,3.4613723464173995,231302745676.99628,1.6284684361328815e-05,1.7512792904201151e-06
8,8,10000,1000000.0,0.01715,0.00243,0.81,6404160000000.0,10.0,18677.0,1.8677,10000.0,5.16882871442067,0.0727919520133631,0.053218365298238,-0.0003623141075865,0.0990718132920702,119610496320.0,1.9346742855108936,3.613391163048696,231407351507.4994,1.4827947623753486e-05,1.4662928886131998e-06
9,9,11000,1000000.0,0.01715,0.00243,0.81,6120870000000.0,11.0,20180.0,2.018,11000.0,6.7472911846653005,0.0777459847117605,0.0530536782233868,0.0002736395309905,0.1001919073116301,123519156599.99998,1.630283872289359,3.289912854279925,201371288923.76367,1.3212900441782228e-05,1.5142087567761056e-06
10,10,12000,1000000.0,0.01715,0.00243,0.81,5836990000000.0,12.0,21274.0,2.1274,12000.0,7.501544798193208,0.0816688536051745,0.0538637451394738,-0.0004156042516081,0.1004222873316794,124176125260.00002,1.5996705109180007,3.403139044926955,198640885738.48187,1.150406469380512e-05,1.5222624686478682e-06
11,11,13000,1000000.0,0.01715,0.00243,0.81,5555780000000.0,13.0,22472.0,2.2472,13000.0,9.351605025254685,0.0785257893782672,0.040098666433881,-0.0002987022780999,0.1005917965923475,124849488160.0,1.3901357002239254,3.123912945543205,173557730645.90027,1.006929322427054e-05,1.5305171558375649e-06
12,12,14000,1000000.0,0.01715,0.00243,0.81,5279600000000.0,14.0,23162.0,2.3162,14000.0,10.699859382883004,0.0910532303553656,0.0412599249523186,-0.0006680634649703,0.0990403762776661,122286095199.99998,1.308428410040263,3.030581883335257,160002601112.56824,8.63477301553784e-06,1.49909278269632e-06
13,13,15000,1000000.0,0.01715,0.00243,0.81,5010160000000.0,15.0,24282.0,2.4282000000000004,15000.0,12.48376581008415,0.0869421589023738,0.0406230080410703,-0.0005514955250586,0.0977634766917797,121656705120.00002,1.201560508919775,2.917629227758998,146177892517.4902,7.564878754340232e-06,1.4913771538271057e-06
14,14,16000,1000000.0,0.01715,0.00243,0.81,4748680000000.0,16.0,24503.0,2.4503,16000.0,13.969067939973684,0.0905888096505884,0.039058238844411,-0.0001180943716491,0.0969253673618637,116356906040.0,1.145387800299448,2.8065437270737377,133273780658.80516,6.407041148700707e-06,1.4264074568425491e-06
15,15,17000,1000000.0,0.01715,0.00243,0.81,4496010000000.0,17.0,24829.0,2.4829,17000.0,16.282611954728054,0.0915807029885992,0.0407460435091618,-5.180837850844101e-06,0.0956699400225162,111631432290.0,1.044058536017843,2.5922929390787024,116549749770.27235,5.47200674261322e-06,1.3684783555668885e-06
16,16,18000,1000000.0,0.01715,0.00243,0.81,4252710000000.0,18.0,24474.0,2.4474,18000.0,17.483431046548503,0.0861091325934632,0.0507361111829164,-0.0003403309649787,0.094322956399493,104080824540.0,1.0295462001752496,2.5197113703089062,107156017416.26389,4.564248738126352e-06,1.2759162244064855e-06
17,17,19000,1000000.0,0.01715,0.00243,0.81,4019120000000.0,19.0,24130.0,2.413,19000.0,18.96096928106272,0.0707647257319621,0.0389318740159201,0.0001895343636059,0.0935402566834498,96981365600.0,1.0020584769881076,2.417967104972304,97180999509.36284,3.822276786835469e-06,1.188884680545374e-06
18,18,20000,1000000.0,0.01715,0.00243,0.81,3795430000000.0,20.0,24105.0,2.4105000000000003,20000.0,19.810796015779488,0.0921460356802893,0.0359709338933031,0.0003291349334846,0.0927941947007576,91488840150.00002,1.0095505493100736,2.4335215991119328,92362608829.17404,3.2544028306575555e-06,1.121552370625719e-06
19,19,21000,1000000.0,0.01715,0.00243,0.81,3581670000000.0,21.0,23496.0,2.3496,21000.0,20.88847072061617,0.0919130408918586,0.0358563344101714,4.220032279506255e-05,0.0924552944775772,84154918320.0,1.0053392745153793,2.362145159401335,84604244530.7298,2.712733481821827e-06,1.0316465700828946e-06
20,20,22000,1000000.0,0.01715,0.00243,0.81,3377790000000.0,22.0,23033.0,2.3033,22000.0,21.75613195286496,0.0839605812472703,0.0352343977248958,-0.0006667694430245,0.092336252111377,77800637070.0,1.011209163819349,2.3291180670251066,78672717156.16736,2.283828668471941e-06,9.537500836056853e-07
21,21,23000,1000000.0,0.01715,0.00243,0.81,3183640000000.0,23.0,22033.0,2.2033,23000.0,22.98217629372448,0.083259372040904,0.0349132919411673,-0.0001333358410363,0.0915185642772406,70145140120.0,1.000775544754671,2.2050087577579665,70199540815.48573,2.0591024443141792e-06,8.599021264284681e-07
22,22,24000,1000000.0,0.01715,0.00243,0.81,2999030000000.0,24.0,17811.0,1.7811,24000.0,23.69904149665672,0.0970295073491601,0.0339502639683547,-0.0003722002612056,0.0912507991591574,53415723330.00001,1.01269918462254,1.8037185177312065,54094059462.31419,1.568012356742769e-06,6.548179103727441e-07
23,23,25000,1000000.0,0.01715,0.00243,0.81,2823720000000.0,25.0,17376.0,1.7375999999999998,25000.0,24.936575946492667,0.0822160558560152,0.0233207656183227,0.0003368613396582,0.089409737507511,49064958719.99999,1.0025434146870615,1.7420194373602378,49189751256.62851,1.4402961667435654e-06,6.014823302694259e-07
24,24,26000,1000000.0,0.01715,0.00243,0.81,2657430000000.0,26.0,17037.0,1.7037,26000.0,25.920375773544947,0.0923615367001416,0.0342231266677734,-0.000435367860112,0.0891953679732154,45274634910.0,1.0030718777825869,1.708933558178193,45413713055.09476,1.3290316513607251e-06,5.550171368362725e-07
25,25,27000,1000000.0,0.01715,0.00243,0.81,2499860000000.0,27.0,16438.0,1.6438,27000.0,26.82920058011223,0.086262479141069,0.0221769561278675,-1.1539032247921866e-06,0.0901304971396913,41092698680.0,1.0063661762629774,1.6542647205410823,41354302042.918304,1.2062713988553089e-06,5.03751206643342e-07
26,26,28000,1000000.0,0.01715,0.00243,0.81,2350690000000.0,28.0,15339.0,1.5339,28000.0,27.84575732262965,0.0932636897613616,0.022221483687252,6.690452494279134e-05,0.0890452598390396,36057233910.0,1.0055391805503169,1.5423965490461309,36256961438.77249,1.0584559151535573e-06,4.420219570350139e-07
27,27,29000,1000000.0,0.01715,0.00243,0.81,2209590000000.0,29.0,14229.0,1.4229,29000.0,28.03292075981153,0.0869250524788233,0.0336951990892208,0.0003231518689029,0.0887381666115458,31440256110.0,1.0344979835841754,1.4719871808419234,32524881549.16505,9.229250678694744e-07,3.854228965569659e-07
28,28,30000,1000000.0,0.01715,0.00243,0.81,2076230000000.0,30.0,13073.0,1.3073,30000.0,29.94911366568704,0.095050548364488,0.0217869224997316,-0.000276592386837,0.0876889425423803,27142554790.0,1.001699093164525,1.309521224493984,27188672519.31144,7.9676654458753e-07,3.327378139197336e-07
29,29,31000,1000000.0,0.01715,0.00243,0.81,1950280000000.0,31.0,10897.0,1.0897,31000.0,30.786130106836936,0.090283472461251,0.0206721356154943,-0.0001482680528627,0.0864313848467569,21252201160.000004,1.0069469560617357,1.0972700980204733,21399839267.673683,6.23855897653778e-07,2.605285688717156e-07
30,30,32000,1000000.0,0.01715,0.00243,0.81,1831390000000.0,32.0,6642.0,0.6642,32000.0,31.77504707162734,0.0886837624096806,0.0320717557615498,9.309670856684055e-05,0.0873243332110913,12164092380.0,1.0070795466601692,0.6689022348916844,12250208639.58282,3.570755195537769e-07,1.4911836922330074e-07
31,31,33000,1000000.0,0.01715,0.00243,0.81,1719250000000.0,33.0,1642.0,0.1642,33000.0,29.92749423598434,0.0906521259781386,0.076238664257552,-0.0008815021447819,0.0897770866134611,2823008500.0,1.102664985574413,0.1810575906313186,3112832626.928945,8.28690867638929e-08,3.4606973596785224e-08
