# SourcePhotonFlux	NumberRaysSurvived	PercentageRaysSurvived	PhotonFlux	Bandwidth	HorizontalFocusFWHM	VerticalFocusFWHM
nan	1.125000000000000000e+01	1.124999999999999958e-02	nan	2.447438033480781212e-04	3.231693263294797749e-03	2.552133722858664793e-04
nan	1.987500000000000000e+01	1.987500000000000031e-02	nan	3.956325591290494660e-04	3.038705516753247883e-03	2.748814719163699002e-04
nan	1.056250000000000000e+01	1.056250000000000071e-02	nan	5.414918442977656628e-04	2.741006791935754645e-03	2.549343901511416004e-04
nan	1.631250000000000000e+01	1.631250000000000061e-02	nan	6.698656206811702627e-04	2.743615036051746253e-03	2.737147822669986166e-04
nan	2.075000000000000000e+01	2.075000000000000108e-02	nan	7.631500016120126980e-04	2.729273531328232222e-03	2.740028589268416761e-04
nan	2.618750000000000000e+01	2.618749999999999897e-02	nan	9.539349479220375540e-04	1.940824452868903033e-03	3.295314719577575836e-04
nan	2.987500000000000000e+01	2.987499999999999878e-02	nan	8.515610425270381256e-04	2.524218987721276244e-03	2.982390522048259675e-04
nan	3.550000000000000000e+01	3.549999999999999684e-02	nan	7.592048731517309079e-04	1.747809286880905658e-03	3.275463198283211190e-04
nan	3.912500000000000000e+01	3.912500000000000006e-02	nan	1.116943119885860369e-03	2.064348729601114471e-03	3.482685092801376947e-04
nan	4.356250000000000000e+01	4.356249999999999706e-02	nan	1.325691807934958888e-03	2.134646059613375026e-03	3.353370667740662074e-04
nan	4.975000000000000000e+01	4.975000000000000255e-02	nan	1.138927217475327325e-03	1.702001463940840034e-03	3.256809911209011289e-04
nan	5.118750000000000000e+01	5.118749999999999689e-02	nan	1.547951760642263253e-03	1.816445820307631583e-03	2.963616576602165725e-04
nan	5.812500000000000000e+01	5.812499999999999611e-02	nan	1.732460175517758216e-03	2.179457303472295132e-03	3.435251569928972131e-04
nan	5.743750000000000000e+01	5.743749999999999550e-02	nan	1.663211055259239401e-03	1.952015059177395059e-03	3.204652918020658298e-04
nan	6.312500000000000000e+01	6.312500000000000056e-02	nan	2.071766896754922982e-03	1.610336952422352762e-03	3.341356051034620727e-04
nan	6.606250000000000000e+01	6.606249999999999623e-02	nan	2.183720374631548111e-03	1.778263712856523139e-03	3.323421877515086325e-04
nan	7.056250000000000000e+01	7.056250000000000022e-02	nan	2.403088181488044484e-03	2.200377656088802966e-03	3.077311978374561597e-04
nan	7.306250000000000000e+01	7.306250000000000244e-02	nan	2.672861435513596007e-03	1.985592064668896106e-03	3.503539341876251226e-04
nan	7.562500000000000000e+01	7.562499999999999778e-02	nan	2.887995525952646858e-03	1.445721890305703364e-03	3.653001320934191453e-04
nan	7.362500000000000000e+01	7.362499999999999600e-02	nan	2.730374974731830662e-03	1.714064401192179473e-03	3.334884833807598469e-04
nan	7.656250000000000000e+01	7.656250000000000555e-02	nan	2.939661489875788902e-03	1.998594632083154719e-03	3.523891405638597497e-04
nan	7.887500000000000000e+01	7.887500000000000067e-02	nan	3.240835642216666201e-03	1.863738719519829768e-03	3.191687081632231483e-04
nan	7.743750000000000000e+01	7.743750000000000633e-02	nan	3.538709930538175286e-03	1.849437422965138390e-03	3.363005112447553947e-04
nan	8.012500000000000000e+01	8.012500000000000178e-02	nan	3.468836261646401908e-03	1.477143604970401454e-03	3.605678394844971679e-04
nan	7.231250000000000000e+01	7.231249999999998790e-02	nan	3.507771435309336994e-03	1.866978449328354295e-03	3.579301632291352966e-04
nan	7.081250000000000000e+01	7.081250000000000044e-02	nan	4.252411608746342608e-03	1.730923229678103022e-03	3.481945272892345402e-04
nan	6.987500000000000000e+01	6.987500000000000655e-02	nan	4.202198070075269243e-03	1.636576773807805205e-03	3.435989974146644505e-04
nan	6.325000000000000000e+01	6.325000000000000067e-02	nan	4.481026095916718077e-03	1.221492987783453360e-03	3.559828153065639823e-04
nan	5.762500000000000000e+01	5.762500000000000261e-02	nan	4.524463342761464446e-03	1.492622727801187679e-03	3.334024693425676356e-04
nan	5.075000000000000000e+01	5.075000000000000344e-02	nan	4.521993960281633917e-03	2.137572090682009554e-03	3.282832845160587850e-04
nan	4.887500000000000000e+01	4.887500000000000178e-02	nan	4.497866900777580668e-03	1.706042173134725802e-03	3.541207630857396479e-04
nan	4.125000000000000000e+01	4.125000000000000194e-02	nan	5.313719873697664298e-03	1.664426937167992832e-03	3.300120864052641530e-04
nan	3.781250000000000000e+01	3.781249999999999889e-02	nan	6.355866505828089430e-03	1.688141163763954861e-03	3.465961472326996784e-04
nan	3.356250000000000000e+01	3.356250000000000205e-02	nan	6.106757856159106268e-03	1.397366998320081263e-03	2.769445966934862844e-04
nan	2.806250000000000000e+01	2.806249999999999717e-02	nan	5.601143729810069416e-03	1.545296421111565146e-03	2.794579854063787734e-04
nan	2.475000000000000000e+01	2.475000000000000117e-02	nan	5.486606099881301789e-03	1.871034620076648166e-03	2.834760306462696553e-04
nan	2.087500000000000000e+01	2.087500000000000119e-02	nan	7.606950266232249264e-03	2.025022636449563644e-03	2.733395666111919863e-04
nan	1.893750000000000000e+01	1.893750000000000294e-02	nan	6.964028193117885977e-03	2.064094590886240803e-03	2.659258752785817904e-04
nan	1.537500000000000000e+01	1.537499999999999978e-02	nan	7.359872755110244240e-03	1.886424266708852746e-03	2.577129095171353814e-04
nan	8.500000000000000000e+00	8.500000000000000611e-03	nan	2.659126334820017569e-04	2.716536961981923237e-03	2.259116249899334493e-04
nan	1.287500000000000000e+01	1.287499999999999756e-02	nan	4.210413412906483400e-04	2.946131750518487472e-03	2.258441312850679962e-04
nan	7.000000000000000000e+00	7.000000000000000146e-03	nan	4.556027125913291440e-04	2.596092177583008559e-03	2.091230375523142550e-04
nan	1.362500000000000000e+01	1.362499999999999996e-02	nan	6.691094990804502323e-04	2.593252254197957272e-03	2.081924308216528496e-04
nan	1.562500000000000000e+01	1.562500000000000000e-02	nan	7.379743550675401135e-04	2.782004389239873653e-03	2.253575990115736644e-04
